,City,Lat,Lng,Date,CO,NO2,SO2,PM2_5
0,Visakhapatnam,17.733,83.303,2020-11-24,502.34749999999997,4.295,7.362500000000001,118.50750000000001
1,Visakhapatnam,17.733,83.303,2020-11-25,608.6041666666666,3.3545833333333337,8.087083333333334,141.90291666666667
2,Visakhapatnam,17.733,83.303,2020-11-26,579.1187499999999,4.910833333333334,3.4445833333333336,68.71499999999999
3,Visakhapatnam,17.733,83.303,2020-11-27,502.3483333333333,4.976249999999999,7.128333333333331,101.25875000000002
4,Visakhapatnam,17.733,83.303,2020-11-28,446.57916666666665,3.5895833333333336,6.872500000000002,82.32666666666667
5,Visakhapatnam,17.733,83.303,2020-11-29,535.0320833333334,3.045833333333333,8.846249999999998,114.10583333333335
6,Visakhapatnam,17.733,83.303,2020-11-30,541.7070833333331,4.177083333333334,9.837499999999997,113.49833333333338
7,Visakhapatnam,17.733,83.303,2020-12-01,527.6616666666667,4.248333333333334,9.117916666666668,106.04624999999999
8,Visakhapatnam,17.733,83.303,2020-12-02,594.13875,4.4975,8.742500000000001,139.22125
9,Visakhapatnam,17.733,83.303,2020-12-03,577.4499999999999,3.5941666666666663,6.164166666666667,149.98833333333334
10,Visakhapatnam,17.733,83.303,2020-12-04,530.1645833333333,3.371666666666666,5.935416666666665,143.24500000000003
11,Visakhapatnam,17.733,83.303,2020-12-05,465.35375000000005,2.2641666666666667,3.8862499999999986,131.45875
12,Visakhapatnam,17.733,83.303,2020-12-06,433.92333333333335,2.7991666666666664,4.0145833333333325,105.37666666666667
13,Visakhapatnam,17.733,83.303,2020-12-07,534.1979166666665,4.583749999999999,4.355416666666666,138.73875000000004
14,Visakhapatnam,17.733,83.303,2020-12-08,773.8266666666668,27.934583333333332,19.555,153.82791666666665
15,Visakhapatnam,17.733,83.303,2020-12-09,1006.3658333333334,45.24791666666667,22.91125,161.52041666666665
16,Visakhapatnam,17.733,83.303,2020-12-10,969.64875,47.187083333333334,43.512499999999996,189.79541666666668
17,Visakhapatnam,17.733,83.303,2020-12-11,1302.8774999999998,66.04916666666666,70.21874999999997,313.04791666666665
18,Visakhapatnam,17.733,83.303,2020-12-12,1213.5908333333332,59.31375,64.71083333333334,319.24125
19,Visakhapatnam,17.733,83.303,2020-12-13,1129.587083333333,55.06083333333334,68.08083333333333,242.86125
20,Visakhapatnam,17.733,83.303,2020-12-14,717.3616666666667,14.551250000000001,27.486666666666668,219.6229166666667
21,Visakhapatnam,17.733,83.303,2020-12-15,512.2229166666667,3.577916666666667,6.978750000000001,135.78624999999997
22,Visakhapatnam,17.733,83.303,2020-12-16,586.2133333333335,4.099583333333333,9.92041666666667,156.79541666666668
23,Visakhapatnam,17.733,83.303,2020-12-17,609.7170833333331,4.33625,9.125416666666668,162.87083333333334
24,Visakhapatnam,17.733,83.303,2020-12-18,676.7508333333335,4.543749999999999,11.01625,183.13041666666672
