From_Date,To_Date,PM2.5,NO2,SO2,CO
01-01-2018 00:00,02-01-2018 00:00,264.23,17.7,9.107204169221337,1.12
02-01-2018 00:00,03-01-2018 00:00,213.34,18.1,6.432204169221336,1.15
03-01-2018 00:00,04-01-2018 00:00,163.06,17.26,8.147204169221336,1.09
04-01-2018 00:00,05-01-2018 00:00,159.68,16.53,9.157204169221338,1.02
05-01-2018 00:00,06-01-2018 00:00,176.3,16.52,6.127204169221336,1.02
06-01-2018 00:00,07-01-2018 00:00,182.93,16.17,9.982204169221337,0.99
07-01-2018 00:00,08-01-2018 00:00,144.45,15.97,8.177204169221337,0.98
08-01-2018 00:00,09-01-2018 00:00,140.48,15.89,7.907204169221337,0.97
09-01-2018 00:00,10-01-2018 00:00,179.06,16.02,7.727204169221336,0.98
10-01-2018 00:00,11-01-2018 00:00,139.66,15.44,6.032204169221337,0.94
11-01-2018 00:00,12-01-2018 00:00,109.41,15.88,5.657204169221337,0.97
12-01-2018 00:00,13-01-2018 00:00,134.5,16.49,8.622204169221337,1.02
13-01-2018 00:00,14-01-2018 00:00,177.84,16.06,10.842204169221336,0.99
14-01-2018 00:00,15-01-2018 00:00,137.66,16.34,10.112204169221336,1.01
15-01-2018 00:00,16-01-2018 00:00,141.07,15.58,11.002204169221336,0.95
16-01-2018 00:00,17-01-2018 00:00,111.61,15.62,11.007204169221335,0.95
17-01-2018 00:00,18-01-2018 00:00,202.35,16.9,11.832204169221336,1.05
18-01-2018 00:00,19-01-2018 00:00,185.18,17.1,11.017204169221335,1.07
19-01-2018 00:00,20-01-2018 00:00,226.74,16.75,12.407204169221338,1.04
20-01-2018 00:00,21-01-2018 00:00,139.19,16.66,12.242204169221337,1.03
21-01-2018 00:00,22-01-2018 00:00,135.11,17.15,13.917204169221336,1.07
22-01-2018 00:00,23-01-2018 00:00,156.08,17.1,13.532204169221338,1.07
23-01-2018 00:00,24-01-2018 00:00,130.8,17.28,12.857204169221337,1.08
24-01-2018 00:00,25-01-2018 00:00,109.71,18.35,13.847204169221335,1.17
25-01-2018 00:00,26-01-2018 00:00,82.75,18.51,16.742204169221335,1.18
26-01-2018 00:00,27-01-2018 00:00,90.63,18.58,17.497204169221337,1.19
27-01-2018 00:00,28-01-2018 00:00,125.39,17.59,16.807204169221336,1.11
28-01-2018 00:00,29-01-2018 00:00,137.58,17.88,16.727204169221338,1.13
29-01-2018 00:00,30-01-2018 00:00,152.78,17.65,18.122204169221337,1.11
30-01-2018 00:00,31-01-2018 00:00,120.39,16.83,16.777204169221335,1.05
31-01-2018 00:00,01-02-2018 00:00,114.71,17.22,17.302204169221337,1.08
01-02-2018 00:00,02-02-2018 00:00,111.3,18.06,17.855,1.14
02-02-2018 00:00,03-02-2018 00:00,127.54,18.49,16.345,1.16
03-02-2018 00:00,04-02-2018 00:00,111.13,17.81,16.655,1.12
04-02-2018 00:00,05-02-2018 00:00,135.32,17.03,18.43,1.06
05-02-2018 00:00,06-02-2018 00:00,129.43,17.6,17.21,1.11
06-02-2018 00:00,07-02-2018 00:00,125.34,17.24,16.785,1.08
07-02-2018 00:00,08-02-2018 00:00,102.78,16.42,19.42,1.01
08-02-2018 00:00,09-02-2018 00:00,136.35,17.35,19.84,1.09
09-02-2018 00:00,10-02-2018 00:00,153.4,17.18,19.840000000000003,1.07
10-02-2018 00:00,11-02-2018 00:00,154.75,17.63,22.880000000000003,1.11
11-02-2018 00:00,12-02-2018 00:00,120.31,17.68,19.915,1.11
12-02-2018 00:00,13-02-2018 00:00,57.36,18.02,17.715,1.14
13-02-2018 00:00,14-02-2018 00:00,70.99,18.78,18.485,1.2
14-02-2018 00:00,15-02-2018 00:00,60.09,17.89,19.95,1.13
15-02-2018 00:00,16-02-2018 00:00,81.05,17.06,21.835,1.06
16-02-2018 00:00,17-02-2018 00:00,68.67,16.74,22.63,1.04
17-02-2018 00:00,18-02-2018 00:00,88.23,17.56,22.435,1.11
18-02-2018 00:00,19-02-2018 00:00,92.45,17.7,21.56,1.12
19-02-2018 00:00,20-02-2018 00:00,137.42,17.82,23.455,1.13
20-02-2018 00:00,21-02-2018 00:00,151.53,17.79,17.545,1.12
21-02-2018 00:00,22-02-2018 00:00,144.24,18.11,8.83,1.15
22-02-2018 00:00,23-02-2018 00:00,135.81,18.53,9.675,1.18
23-02-2018 00:00,24-02-2018 00:00,131.76,17.75,5.49,1.12
24-02-2018 00:00,25-02-2018 00:00,147.8,15.3,5.055,0.92
25-02-2018 00:00,26-02-2018 00:00,108.61,15.63,6.1,0.95
26-02-2018 00:00,27-02-2018 00:00,51.58,16.26,3.03,1.0
27-02-2018 00:00,28-02-2018 00:00,58.85,16.75,4.15,1.04
28-02-2018 00:00,01-03-2018 00:00,130.05,16.87,3.875,1.05
01-03-2018 00:00,02-03-2018 00:00,101.4,17.38,6.42,1.09
02-03-2018 00:00,03-03-2018 00:00,83.4,16.92,3.935,1.05
03-03-2018 00:00,04-03-2018 00:00,80.82,17.62,5.484999999999999,1.11
04-03-2018 00:00,05-03-2018 00:00,69.3,18.11,4.66,1.15
05-03-2018 00:00,06-03-2018 00:00,63.38,17.68,5.78,1.11
06-03-2018 00:00,07-03-2018 00:00,54.69,17.15,8.78,1.07
07-03-2018 00:00,08-03-2018 00:00,63.68,17.03,3.875,1.06
08-03-2018 00:00,09-03-2018 00:00,89.58,16.5,5.745,1.02
09-03-2018 00:00,10-03-2018 00:00,102.03,16.41,5.574999999999999,1.01
10-03-2018 00:00,11-03-2018 00:00,62.16,17.29,4.12,1.08
11-03-2018 00:00,12-03-2018 00:00,63.67,16.97,5.315,1.06
12-03-2018 00:00,13-03-2018 00:00,61.91,16.78,7.43,1.04
13-03-2018 00:00,14-03-2018 00:00,8.0,17.19,6.97,1.08
14-03-2018 00:00,15-03-2018 00:00,8.0,17.54,7.275,1.1
15-03-2018 00:00,16-03-2018 00:00,8.0,17.66,6.025,1.11
16-03-2018 00:00,17-03-2018 00:00,30.5,17.12,4.4,1.07
17-03-2018 00:00,18-03-2018 00:00,66.4,17.24,6.744999999999999,1.08
18-03-2018 00:00,19-03-2018 00:00,68.21,16.87,3.75,1.05
19-03-2018 00:00,20-03-2018 00:00,64.86,17.35,8.535,1.09
20-03-2018 00:00,21-03-2018 00:00,89.43,16.81,7.33,1.04
21-03-2018 00:00,22-03-2018 00:00,108.94,16.39,6.109999999999999,1.01
22-03-2018 00:00,23-03-2018 00:00,57.11,22.44,7.220000000000001,1.5
23-03-2018 00:00,24-03-2018 00:00,8.0,16.8,8.115,1.18
24-03-2018 00:00,25-03-2018 00:00,8.0,15.06,6.87,0.9
25-03-2018 00:00,26-03-2018 00:00,8.0,14.37,5.48,0.85
26-03-2018 00:00,27-03-2018 00:00,8.0,15.66,6.605,0.95
27-03-2018 00:00,28-03-2018 00:00,54.4,15.71,8.435,0.96
28-03-2018 00:00,29-03-2018 00:00,121.67,15.5,9.17,0.94
29-03-2018 00:00,30-03-2018 00:00,49.99,15.05,9.595,0.9
30-03-2018 00:00,31-03-2018 00:00,45.86,15.06,7.609999999999999,0.9
31-03-2018 00:00,01-04-2018 00:00,62.56,15.03,5.7,0.9
01-04-2018 00:00,02-04-2018 00:00,57.6,14.5,2.28,0.86
02-04-2018 00:00,03-04-2018 00:00,139.1,14.81,4.99,0.88
03-04-2018 00:00,04-04-2018 00:00,109.65,14.46,7.115,0.86
04-04-2018 00:00,05-04-2018 00:00,286.31,14.43,7.34,0.85
05-04-2018 00:00,06-04-2018 00:00,54.44,13.93,12.57,0.81
06-04-2018 00:00,07-04-2018 00:00,46.88,15.46,8.49,0.94
07-04-2018 00:00,08-04-2018 00:00,49.11,15.56,3.63,0.94
08-04-2018 00:00,09-04-2018 00:00,30.42,14.42,5.495,0.85
09-04-2018 00:00,10-04-2018 00:00,317.06,16.53,2.715,1.05
10-04-2018 00:00,11-04-2018 00:00,273.74,15.28,3.29,1.16
11-04-2018 00:00,12-04-2018 00:00,12.14,14.93,4.55,1.12
12-04-2018 00:00,13-04-2018 00:00,20.62,15.89,7.335000000000001,1.13
13-04-2018 00:00,14-04-2018 00:00,81.06,15.72,11.63,1.14
14-04-2018 00:00,15-04-2018 00:00,28.74,15.58,7.93,1.04
15-04-2018 00:00,16-04-2018 00:00,55.47,15.47,7.484999999999999,1.05
16-04-2018 00:00,17-04-2018 00:00,61.71,15.98,5.295,1.36
17-04-2018 00:00,18-04-2018 00:00,33.07,15.65,6.25,1.32
18-04-2018 00:00,19-04-2018 00:00,56.56,15.14,6.01,0.65
19-04-2018 00:00,20-04-2018 00:00,39.53,15.86,9.19,0.76
20-04-2018 00:00,21-04-2018 00:00,59.56,15.72,5.24,0.72
21-04-2018 00:00,22-04-2018 00:00,88.47,18.69,3.41,0.73
22-04-2018 00:00,23-04-2018 00:00,54.44,17.62,9.335,0.64
23-04-2018 00:00,24-04-2018 00:00,249.92,16.6,13.555,0.7
24-04-2018 00:00,25-04-2018 00:00,51.47,18.38,7.545,0.58
25-04-2018 00:00,26-04-2018 00:00,77.64,20.19,8.37,1.0
26-04-2018 00:00,27-04-2018 00:00,298.08,19.2,8.665,0.67
27-04-2018 00:00,28-04-2018 00:00,81.11666666666666,17.77,5.245,0.68
28-04-2018 00:00,29-04-2018 00:00,35.14,18.1,6.725,0.6
29-04-2018 00:00,30-04-2018 00:00,38.57,18.15,4.45,0.68
30-04-2018 00:00,01-05-2018 00:00,97.61,18.58,6.31,0.8
01-05-2018 00:00,02-05-2018 00:00,62.3,18.71,4.27,0.98
02-05-2018 00:00,03-05-2018 00:00,140.51,79.42,6.705,2.17
