From_Date,To_Date,PM2.5,NO2,SO2,CO
01-01-2018 00:00,02-01-2018 00:00,377.58,82.0,9.52,3.8
02-01-2018 00:00,03-01-2018 00:00,324.37,77.78,5.12,3.87
03-01-2018 00:00,04-01-2018 00:00,253.49,61.61,11.02,3.26
04-01-2018 00:00,05-01-2018 00:00,279.39,85.56,16.82,3.23
05-01-2018 00:00,06-01-2018 00:00,265.56,77.47,14.62,4.43
06-01-2018 00:00,07-01-2018 00:00,264.01,63.16,20.65,3.48
07-01-2018 00:00,08-01-2018 00:00,212.24,58.59,16.08,2.49
08-01-2018 00:00,09-01-2018 00:00,164.21,63.85,12.23,2.54
09-01-2018 00:00,10-01-2018 00:00,246.26,68.04,21.86,3.05
10-01-2018 00:00,11-01-2018 00:00,198.16,69.88,16.52,1.72
11-01-2018 00:00,12-01-2018 00:00,164.9,63.09,11.32,2.64
12-01-2018 00:00,13-01-2018 00:00,174.95,73.84,14.79,2.75
13-01-2018 00:00,14-01-2018 00:00,251.41,72.03,29.05,2.79
14-01-2018 00:00,15-01-2018 00:00,213.94,68.29,22.97,3.93
15-01-2018 00:00,16-01-2018 00:00,195.94,63.72,17.96,1.85
16-01-2018 00:00,17-01-2018 00:00,145.0,68.84,10.98,2.71
17-01-2018 00:00,18-01-2018 00:00,182.85,77.36,18.08,2.68
18-01-2018 00:00,19-01-2018 00:00,255.92,79.98,19.66,3.44
19-01-2018 00:00,20-01-2018 00:00,274.49,69.86,24.92,2.84
20-01-2018 00:00,21-01-2018 00:00,206.3,58.02,11.03,3.01
21-01-2018 00:00,22-01-2018 00:00,122.96,79.88,10.6,2.92
22-01-2018 00:00,23-01-2018 00:00,239.07,96.56,22.39,3.72
23-01-2018 00:00,24-01-2018 00:00,173.21,77.31,13.71,1.11
24-01-2018 00:00,25-01-2018 00:00,164.86,44.63,16.32,1.56
25-01-2018 00:00,26-01-2018 00:00,128.91,29.08,7.18,1.24
26-01-2018 00:00,27-01-2018 00:00,97.06,38.6,8.26,3.87
27-01-2018 00:00,28-01-2018 00:00,120.75,43.28,7.2,2.19
28-01-2018 00:00,29-01-2018 00:00,147.78,42.1,10.23,8.37
29-01-2018 00:00,30-01-2018 00:00,172.78,44.5,13.35,7.83
30-01-2018 00:00,31-01-2018 00:00,133.58,42.94,9.43,12.32
31-01-2018 00:00,01-02-2018 00:00,147.71,44.07,5.86,17.57
01-02-2018 00:00,02-02-2018 00:00,172.85,65.44,22.65,3.1
02-02-2018 00:00,03-02-2018 00:00,138.98,62.96,10.75,6.55
03-02-2018 00:00,04-02-2018 00:00,113.01,45.28,10.27,9.38
04-02-2018 00:00,05-02-2018 00:00,127.38,35.6,5.29,2.03
05-02-2018 00:00,06-02-2018 00:00,151.55,53.55,5.78,0.77
06-02-2018 00:00,07-02-2018 00:00,129.74,48.22,8.01,0.76
07-02-2018 00:00,08-02-2018 00:00,129.5,41.67,10.46,0.83
08-02-2018 00:00,09-02-2018 00:00,166.22,59.9,25.58,1.99
09-02-2018 00:00,10-02-2018 00:00,194.01,75.12,23.43,2.32
10-02-2018 00:00,11-02-2018 00:00,175.0,114.61,20.69,2.66
11-02-2018 00:00,12-02-2018 00:00,114.21,76.56,17.54,0.96
12-02-2018 00:00,13-02-2018 00:00,88.16,45.44,5.6,0.64
13-02-2018 00:00,14-02-2018 00:00,95.6,47.68,11.52,0.9
14-02-2018 00:00,15-02-2018 00:00,69.46,30.45,6.55,0.76
15-02-2018 00:00,16-02-2018 00:00,81.79,35.2,8.91,1.03
16-02-2018 00:00,17-02-2018 00:00,129.52,42.68,13.62,1.3
17-02-2018 00:00,18-02-2018 00:00,139.55,47.05,16.34,1.25
18-02-2018 00:00,19-02-2018 00:00,129.47,48.22,14.81,1.57
19-02-2018 00:00,20-02-2018 00:00,161.78,65.67,23.72,2.0
20-02-2018 00:00,21-02-2018 00:00,167.93,108.59,18.69,2.34
21-02-2018 00:00,22-02-2018 00:00,159.17,132.87,26.9,2.52
22-02-2018 00:00,23-02-2018 00:00,155.68,63.68,23.62,1.59
23-02-2018 00:00,24-02-2018 00:00,154.14,80.66,21.58,1.7
24-02-2018 00:00,25-02-2018 00:00,159.45,74.04,21.01,1.57
25-02-2018 00:00,26-02-2018 00:00,95.21,38.56,15.38,0.93
26-02-2018 00:00,27-02-2018 00:00,57.69,27.4,3.95,0.7
27-02-2018 00:00,28-02-2018 00:00,80.03,42.3,5.42,1.41
28-02-2018 00:00,01-03-2018 00:00,135.7,64.69,17.03,1.43
01-03-2018 00:00,02-03-2018 00:00,107.1,61.24,14.65,1.45
02-03-2018 00:00,03-03-2018 00:00,130.67,49.89,15.03,1.62
03-03-2018 00:00,04-03-2018 00:00,97.28,45.21,12.89,1.15
04-03-2018 00:00,05-03-2018 00:00,68.02,40.74,8.56,0.85
05-03-2018 00:00,06-03-2018 00:00,69.73,38.4,8.13,0.88
06-03-2018 00:00,07-03-2018 00:00,74.55,35.79,9.49,0.81
07-03-2018 00:00,08-03-2018 00:00,75.65,41.88,17.93,1.05
08-03-2018 00:00,09-03-2018 00:00,115.99,85.59,31.73,2.23
09-03-2018 00:00,10-03-2018 00:00,143.69,69.2,37.73,1.34
10-03-2018 00:00,11-03-2018 00:00,68.25,42.28,25.49,0.83
11-03-2018 00:00,12-03-2018 00:00,80.33,43.18,22.32,1.31
12-03-2018 00:00,13-03-2018 00:00,89.0,50.1,21.03,1.05
13-03-2018 00:00,14-03-2018 00:00,87.37,60.77,21.31,1.43
14-03-2018 00:00,15-03-2018 00:00,79.7,66.32,24.41,1.89
15-03-2018 00:00,16-03-2018 00:00,76.49,50.35,19.47,1.1
16-03-2018 00:00,17-03-2018 00:00,89.69,47.73,20.86,1.03
17-03-2018 00:00,18-03-2018 00:00,99.13,39.3,20.77,0.83
18-03-2018 00:00,19-03-2018 00:00,57.35,40.83,16.06,0.93
19-03-2018 00:00,20-03-2018 00:00,61.1,53.43,19.88,1.02
20-03-2018 00:00,21-03-2018 00:00,91.3,72.24,23.99,1.59
21-03-2018 00:00,22-03-2018 00:00,119.29,59.52,29.74,1.16
22-03-2018 00:00,23-03-2018 00:00,71.67,46.43,16.65,0.96
23-03-2018 00:00,24-03-2018 00:00,53.83,34.98,12.13,0.82
24-03-2018 00:00,25-03-2018 00:00,62.79,36.2,12.86,0.8
25-03-2018 00:00,26-03-2018 00:00,83.94,36.39,13.81,0.96
26-03-2018 00:00,27-03-2018 00:00,70.7,42.81,13.31,0.95
27-03-2018 00:00,28-03-2018 00:00,86.73,64.0,18.31,1.54
28-03-2018 00:00,29-03-2018 00:00,86.09,76.5,23.41,1.29
29-03-2018 00:00,30-03-2018 00:00,77.74,42.48,16.36,0.93
30-03-2018 00:00,31-03-2018 00:00,79.19,56.83,17.15,1.14
31-03-2018 00:00,01-04-2018 00:00,85.43,63.17,18.63,1.18
01-04-2018 00:00,02-04-2018 00:00,60.13,53.51,13.76,1.11
02-04-2018 00:00,03-04-2018 00:00,83.47,70.1,19.43,1.46
03-04-2018 00:00,04-04-2018 00:00,88.33,75.83,21.35,1.35
04-04-2018 00:00,05-04-2018 00:00,84.57,68.71,20.34,1.64
05-04-2018 00:00,06-04-2018 00:00,177.44,65.78,36.09,1.57
06-04-2018 00:00,07-04-2018 00:00,76.65,55.81,24.89,0.94
07-04-2018 00:00,08-04-2018 00:00,42.66,54.64,14.86,0.82
08-04-2018 00:00,09-04-2018 00:00,44.21,45.78,13.96,0.76
09-04-2018 00:00,10-04-2018 00:00,40.93,49.5,13.8,0.99
10-04-2018 00:00,11-04-2018 00:00,73.9,58.07,20.93,1.11
11-04-2018 00:00,12-04-2018 00:00,42.12,44.08,13.87,0.7
12-04-2018 00:00,13-04-2018 00:00,49.61,55.97,13.39,1.39
13-04-2018 00:00,14-04-2018 00:00,68.38,55.75,17.34,1.34
14-04-2018 00:00,15-04-2018 00:00,92.8,64.16,25.67,1.13
15-04-2018 00:00,16-04-2018 00:00,100.24,65.5,24.91,1.32
16-04-2018 00:00,17-04-2018 00:00,113.62,89.0,35.74,1.75
17-04-2018 00:00,18-04-2018 00:00,69.59,61.64,17.05,0.87
18-04-2018 00:00,19-04-2018 00:00,69.16,46.56,16.87,0.5
19-04-2018 00:00,20-04-2018 00:00,88.17,60.81,19.53,0.7
20-04-2018 00:00,21-04-2018 00:00,102.86,56.6,18.04,0.51
21-04-2018 00:00,22-04-2018 00:00,127.17,43.6,12.95,0.42
22-04-2018 00:00,23-04-2018 00:00,66.51,48.13,14.54,0.46
23-04-2018 00:00,24-04-2018 00:00,69.19,45.24,11.07,0.72
24-04-2018 00:00,25-04-2018 00:00,110.72,64.31,22.42,1.19
25-04-2018 00:00,26-04-2018 00:00,107.87,73.81,27.04,1.21
26-04-2018 00:00,27-04-2018 00:00,120.63,87.54,30.62,1.87
27-04-2018 00:00,28-04-2018 00:00,97.72,74.16,19.94,0.79
28-04-2018 00:00,29-04-2018 00:00,82.99,53.48,20.08,0.77
29-04-2018 00:00,30-04-2018 00:00,84.77,59.96,19.25,0.77
30-04-2018 00:00,01-05-2018 00:00,83.14,64.22,20.41,0.75
01-05-2018 00:00,02-05-2018 00:00,94.86,43.42,13.31,0.57
02-05-2018 00:00,03-05-2018 00:00,71.43,32.6,11.77,0.54
03-05-2018 00:00,04-05-2018 00:00,57.22,53.6,15.06,0.56
04-05-2018 00:00,05-05-2018 00:00,42.69,48.28,12.41,0.68
05-05-2018 00:00,06-05-2018 00:00,74.87,67.03,15.71,1.18
06-05-2018 00:00,07-05-2018 00:00,98.0,70.38,22.97,1.06
07-05-2018 00:00,08-05-2018 00:00,107.75,64.87,21.85,1.24
08-05-2018 00:00,09-05-2018 00:00,57.11,30.97,11.38,0.32
09-05-2018 00:00,10-05-2018 00:00,72.94,74.2,15.25,1.02
10-05-2018 00:00,11-05-2018 00:00,101.04,70.14,19.79,1.01
11-05-2018 00:00,12-05-2018 00:00,132.33,84.42,25.8,1.41
12-05-2018 00:00,13-05-2018 00:00,147.46,98.63,28.94,1.45
13-05-2018 00:00,14-05-2018 00:00,74.12,37.23,24.06,0.63
14-05-2018 00:00,15-05-2018 00:00,31.5,49.38,13.19,0.5
15-05-2018 00:00,16-05-2018 00:00,73.78,79.77,8.91,0.1
16-05-2018 00:00,17-05-2018 00:00,64.06,50.71,6.48,0.37
17-05-2018 00:00,18-05-2018 00:00,97.46,58.28,9.78,0.66
18-05-2018 00:00,19-05-2018 00:00,91.51,62.23,6.43,1.29
19-05-2018 00:00,20-05-2018 00:00,91.81,73.6,11.74,1.48
20-05-2018 00:00,21-05-2018 00:00,83.26,58.58,6.16,1.12
21-05-2018 00:00,22-05-2018 00:00,80.07,56.15,5.55,0.89
22-05-2018 00:00,23-05-2018 00:00,95.23,77.09,11.64,1.5
23-05-2018 00:00,24-05-2018 00:00,132.94,89.73,20.66,1.95
24-05-2018 00:00,25-05-2018 00:00,143.67,86.75,26.4,1.28
25-05-2018 00:00,26-05-2018 00:00,62.67,59.36,8.89,0.99
26-05-2018 00:00,27-05-2018 00:00,102.21,62.82,7.89,1.55
27-05-2018 00:00,28-05-2018 00:00,94.84,61.57,5.44,1.01
28-05-2018 00:00,29-05-2018 00:00,119.55,76.54,10.12,1.52
29-05-2018 00:00,30-05-2018 00:00,110.6,68.07,19.82,1.3
30-05-2018 00:00,31-05-2018 00:00,60.62,46.54,7.06,1.01
31-05-2018 00:00,01-06-2018 00:00,64.31,75.41,7.73,1.31
01-06-2018 00:00,02-06-2018 00:00,65.02,40.38,7.6,1.03
02-06-2018 00:00,03-06-2018 00:00,44.65,42.85,13.53,0.96
03-06-2018 00:00,04-06-2018 00:00,49.39,40.56,11.8,0.97
