From_Date,To_Date,PM2.5,NO2,SO2,CO
01-01-2018 00:00,02-01-2018 00:00,260.565,64.20333333333333,18.65,1.3725
02-01-2018 00:00,03-01-2018 00:00,298.615,64.49,23.32,0.985
03-01-2018 00:00,04-01-2018 00:00,203.9725,56.06,14.41,1.0525
04-01-2018 00:00,05-01-2018 00:00,240.465,65.71,15.32,1.0375
05-01-2018 00:00,06-01-2018 00:00,238.3525,59.93333333333334,15.54,1.11
06-01-2018 00:00,07-01-2018 00:00,249.405,62.36666666666667,16.75,1.1825
07-01-2018 00:00,08-01-2018 00:00,180.41000000000005,55.873333333333335,26.16,0.905
08-01-2018 00:00,09-01-2018 00:00,156.7925,56.59333333333333,38.0,1.07
09-01-2018 00:00,10-01-2018 00:00,220.6625,59.135,45.83,0.9175
10-01-2018 00:00,11-01-2018 00:00,171.8225,51.7225,48.31,0.8300000000000001
11-01-2018 00:00,12-01-2018 00:00,149.13,49.087500000000006,55.17,0.8175
12-01-2018 00:00,13-01-2018 00:00,171.465,54.05,62.76,1.1075
13-01-2018 00:00,14-01-2018 00:00,217.955,54.105,30.79,1.22
14-01-2018 00:00,15-01-2018 00:00,158.825,50.9475,40.85,1.0225
15-01-2018 00:00,16-01-2018 00:00,144.875,47.032500000000006,44.27,0.935
16-01-2018 00:00,17-01-2018 00:00,134.7475,47.7975,48.99,0.7675
17-01-2018 00:00,18-01-2018 00:00,228.75,50.0825,16.35,1.1575
18-01-2018 00:00,19-01-2018 00:00,304.5725,50.285,34.31,1.1025
19-01-2018 00:00,20-01-2018 00:00,201.6975,49.24,27.93,1.0975
20-01-2018 00:00,21-01-2018 00:00,136.89,42.620000000000005,41.57,0.8474999999999999
21-01-2018 00:00,22-01-2018 00:00,150.8175,49.5175,46.68,0.8299999999999998
22-01-2018 00:00,23-01-2018 00:00,181.51,52.4625,39.63,1.105
23-01-2018 00:00,24-01-2018 00:00,140.335,49.485,9.19,1.1675
24-01-2018 00:00,25-01-2018 00:00,122.195,37.6475,11.19,1.1575
25-01-2018 00:00,26-01-2018 00:00,104.88,34.2425,5.36,1.1425
26-01-2018 00:00,27-01-2018 00:00,128.4125,37.0975,4.66,1.1825
27-01-2018 00:00,28-01-2018 00:00,169.4125,44.8275,8.9,1.3025
28-01-2018 00:00,29-01-2018 00:00,149.8425,40.045,14.22,1.3
29-01-2018 00:00,30-01-2018 00:00,159.18,40.965,20.71,1.3025
30-01-2018 00:00,31-01-2018 00:00,120.7975,36.6025,29.72,1.375
31-01-2018 00:00,01-02-2018 00:00,116.835,33.4275,28.37,1.3724999999999998
01-02-2018 00:00,02-02-2018 00:00,169.3,94.63,7.57,2.5
02-02-2018 00:00,03-02-2018 00:00,141.21,51.53,6.86,1.41
03-02-2018 00:00,04-02-2018 00:00,155.78,52.78,6.45,1.23
04-02-2018 00:00,05-02-2018 00:00,122.54,31.0,7.29,1.16
05-02-2018 00:00,06-02-2018 00:00,146.58,42.47,8.97,1.56
06-02-2018 00:00,07-02-2018 00:00,173.77,38.88,7.9,1.15
07-02-2018 00:00,08-02-2018 00:00,128.82,44.05,6.87,1.34
08-02-2018 00:00,09-02-2018 00:00,168.67,129.0,4.76,2.6
09-02-2018 00:00,10-02-2018 00:00,210.21,98.35,6.82,2.39
10-02-2018 00:00,11-02-2018 00:00,239.4,241.25,6.27,3.89
11-02-2018 00:00,12-02-2018 00:00,149.89,118.34,6.08,1.57
12-02-2018 00:00,13-02-2018 00:00,70.98,20.93,5.33,0.57
13-02-2018 00:00,14-02-2018 00:00,93.29,38.17,5.07,1.03
14-02-2018 00:00,15-02-2018 00:00,65.12,19.52,4.08,0.59
15-02-2018 00:00,16-02-2018 00:00,73.67,22.03,5.99,0.76
16-02-2018 00:00,17-02-2018 00:00,93.53,29.66,6.84,1.12
17-02-2018 00:00,18-02-2018 00:00,103.89,30.6,7.79,1.19
18-02-2018 00:00,19-02-2018 00:00,102.18,52.3,5.63,1.49
19-02-2018 00:00,20-02-2018 00:00,131.1,129.06,4.94,2.09
20-02-2018 00:00,21-02-2018 00:00,131.69,108.16,6.03,2.14
21-02-2018 00:00,22-02-2018 00:00,151.35,405.33,1.9,0.86
22-02-2018 00:00,23-02-2018 00:00,117.62,131.53,6.25,2.14
23-02-2018 00:00,24-02-2018 00:00,143.27,137.38,6.4,2.23
24-02-2018 00:00,25-02-2018 00:00,138.34,55.0,7.89,1.4
25-02-2018 00:00,26-02-2018 00:00,93.62,24.91,8.61,0.83
26-02-2018 00:00,27-02-2018 00:00,63.99,18.18,4.8,0.6
27-02-2018 00:00,28-02-2018 00:00,101.87,25.15,6.34,0.98
28-02-2018 00:00,01-03-2018 00:00,168.38,42.33,8.67,1.36
01-03-2018 00:00,02-03-2018 00:00,122.33,54.73,8.52,1.43
02-03-2018 00:00,03-03-2018 00:00,116.25,72.11,4.28,1.7
03-03-2018 00:00,04-03-2018 00:00,73.48,28.65,8.91,0.94
04-03-2018 00:00,05-03-2018 00:00,65.98,25.48,6.51,0.78
05-03-2018 00:00,06-03-2018 00:00,88.0,29.21,6.44,0.73
06-03-2018 00:00,07-03-2018 00:00,71.38,27.17,6.51,0.62
07-03-2018 00:00,08-03-2018 00:00,72.75,48.65,6.35,1.0
08-03-2018 00:00,09-03-2018 00:00,109.54,140.26,6.43,2.08
09-03-2018 00:00,10-03-2018 00:00,115.1,106.18,7.12,1.77
10-03-2018 00:00,11-03-2018 00:00,67.75,24.07,7.06,0.75
11-03-2018 00:00,12-03-2018 00:00,81.0,25.56,8.0,0.92
12-03-2018 00:00,13-03-2018 00:00,94.48,35.4,8.71,1.17
13-03-2018 00:00,14-03-2018 00:00,103.29,66.27,6.76,1.7
14-03-2018 00:00,15-03-2018 00:00,123.34,96.16,5.31,1.47
15-03-2018 00:00,16-03-2018 00:00,103.97,35.24,7.0,0.82
16-03-2018 00:00,17-03-2018 00:00,119.43,57.61,12.36,1.0
17-03-2018 00:00,18-03-2018 00:00,99.286,38.67399999999999,31.215,1.078
18-03-2018 00:00,19-03-2018 00:00,75.338,35.248,24.8,1.284
19-03-2018 00:00,20-03-2018 00:00,85.012,47.034000000000006,29.425,1.474
20-03-2018 00:00,21-03-2018 00:00,99.32,82.46,7.44,1.48
21-03-2018 00:00,22-03-2018 00:00,116.1,30.4,12.97,0.98
22-03-2018 00:00,23-03-2018 00:00,67.28,23.03,10.36,0.56
23-03-2018 00:00,24-03-2018 00:00,62.74,27.43,5.51,1.0
24-03-2018 00:00,25-03-2018 00:00,83.87,25.65,5.89,0.9
25-03-2018 00:00,26-03-2018 00:00,93.64,26.53,7.9,0.65
26-03-2018 00:00,27-03-2018 00:00,79.09,37.38,5.94,0.83
27-03-2018 00:00,28-03-2018 00:00,96.86,101.88,6.04,1.56
28-03-2018 00:00,29-03-2018 00:00,97.26,92.44,4.94,1.4
29-03-2018 00:00,30-03-2018 00:00,75.42,26.63,8.29,0.66
30-03-2018 00:00,31-03-2018 00:00,80.15,32.77,6.66,0.77
31-03-2018 00:00,01-04-2018 00:00,96.65,33.01,8.01,0.85
01-04-2018 00:00,02-04-2018 00:00,63.5,24.35,5.65,0.7
02-04-2018 00:00,03-04-2018 00:00,76.17,35.12,6.88,0.83
03-04-2018 00:00,04-04-2018 00:00,85.02,36.1,8.66,0.89
04-04-2018 00:00,05-04-2018 00:00,99.37,45.18,8.79,1.22
05-04-2018 00:00,06-04-2018 00:00,106.28,91.35,6.78,1.62
06-04-2018 00:00,07-04-2018 00:00,72.1,31.73,9.48,0.73
07-04-2018 00:00,08-04-2018 00:00,38.15,25.92,5.51,0.55
08-04-2018 00:00,09-04-2018 00:00,32.5,18.72,6.06,0.46
09-04-2018 00:00,10-04-2018 00:00,27.23,50.04,7.34,1.01
10-04-2018 00:00,11-04-2018 00:00,55.38,28.75,7.35,0.81
11-04-2018 00:00,12-04-2018 00:00,28.45,19.0,6.45,0.5
12-04-2018 00:00,13-04-2018 00:00,24.25,30.23,5.84,0.81
13-04-2018 00:00,14-04-2018 00:00,40.72,67.46,4.74,1.2
14-04-2018 00:00,15-04-2018 00:00,56.64,73.55,5.94,1.11
15-04-2018 00:00,16-04-2018 00:00,83.54,123.6,5.88,1.78
16-04-2018 00:00,17-04-2018 00:00,97.35,114.67,7.18,1.55
17-04-2018 00:00,18-04-2018 00:00,77.73,44.92,4.89,0.86
18-04-2018 00:00,19-04-2018 00:00,61.83,24.73,6.33,0.51
19-04-2018 00:00,20-04-2018 00:00,84.08,39.43,7.79,0.93
20-04-2018 00:00,21-04-2018 00:00,81.74,30.32,7.27,0.53
21-04-2018 00:00,22-04-2018 00:00,89.54,18.73,5.84,0.37
22-04-2018 00:00,23-04-2018 00:00,48.58,22.22,8.14,0.45
23-04-2018 00:00,24-04-2018 00:00,56.31,58.98,3.84,0.77
24-04-2018 00:00,25-04-2018 00:00,103.96,70.58,5.61,1.33
25-04-2018 00:00,26-04-2018 00:00,122.66,110.53,3.66,2.14
26-04-2018 00:00,27-04-2018 00:00,149.04,109.04,7.75,1.87
27-04-2018 00:00,28-04-2018 00:00,102.57,27.37,7.23,0.69
28-04-2018 00:00,29-04-2018 00:00,95.28,22.66,8.13,0.7
29-04-2018 00:00,30-04-2018 00:00,84.67,30.07,9.37,0.82
30-04-2018 00:00,01-05-2018 00:00,75.35,25.22,9.27,0.7
01-05-2018 00:00,02-05-2018 00:00,53.85,20.46,6.3,0.63
02-05-2018 00:00,03-05-2018 00:00,56.6,19.38,5.92,0.55
03-05-2018 00:00,04-05-2018 00:00,44.63,23.88,7.18,0.51
04-05-2018 00:00,05-05-2018 00:00,53.85,25.67,7.82,0.65
05-05-2018 00:00,06-05-2018 00:00,75.85,62.8,5.98,1.37
06-05-2018 00:00,07-05-2018 00:00,86.9,54.22,5.81,1.04
07-05-2018 00:00,08-05-2018 00:00,92.76,82.94,5.99,1.5
