From_Date,To_Date,PM2.5,NO2,SO2,CO
01-01-2018 00:00,02-01-2018 00:00,364.93,84.14,12.54,0.0
02-01-2018 00:00,03-01-2018 00:00,325.26,61.3,13.13,0.0
03-01-2018 00:00,04-01-2018 00:00,191.19,44.59,8.1,0.0
04-01-2018 00:00,05-01-2018 00:00,215.31,71.65,8.77,0.0
05-01-2018 00:00,06-01-2018 00:00,212.85,70.29,11.44,0.0
06-01-2018 00:00,07-01-2018 00:00,223.11,63.52,12.65,0.0
07-01-2018 00:00,08-01-2018 00:00,137.43,49.71,9.68,0.0
08-01-2018 00:00,09-01-2018 00:00,108.63,59.86,15.45,0.0
09-01-2018 00:00,10-01-2018 00:00,223.1,65.7,16.07,0.76
10-01-2018 00:00,11-01-2018 00:00,231.36,64.94,7.98,1.49
11-01-2018 00:00,12-01-2018 00:00,200.58,57.89,14.23,1.09
12-01-2018 00:00,13-01-2018 00:00,114.05,46.37,22.52,1.57
13-01-2018 00:00,14-01-2018 00:00,164.41,24.66,18.83,2.49
14-01-2018 00:00,15-01-2018 00:00,169.96,29.98,17.21,1.84
15-01-2018 00:00,16-01-2018 00:00,140.76,34.49,8.16,1.15
16-01-2018 00:00,17-01-2018 00:00,199.85,28.47,19.55,1.36
17-01-2018 00:00,18-01-2018 00:00,285.49,16.77,9.02,1.2
18-01-2018 00:00,19-01-2018 00:00,269.78,27.45,16.02,2.65
19-01-2018 00:00,20-01-2018 00:00,213.48,35.75,12.1,1.89
20-01-2018 00:00,21-01-2018 00:00,124.98,31.49,15.61,1.18
21-01-2018 00:00,22-01-2018 00:00,156.4,31.07,16.07,1.72
22-01-2018 00:00,23-01-2018 00:00,171.62,30.89,14.98,1.27
23-01-2018 00:00,24-01-2018 00:00,123.45,26.01,12.53,0.76
24-01-2018 00:00,25-01-2018 00:00,107.59,20.22,10.37,0.99
25-01-2018 00:00,26-01-2018 00:00,130.3,48.12,6.84,1.0
26-01-2018 00:00,27-01-2018 00:00,130.94,62.75,5.63,0.93
27-01-2018 00:00,28-01-2018 00:00,164.91,61.64,8.84,1.5
28-01-2018 00:00,29-01-2018 00:00,142.29,62.14,7.52,1.49
29-01-2018 00:00,30-01-2018 00:00,144.1,62.39,9.15,1.37
30-01-2018 00:00,31-01-2018 00:00,111.69,66.99,12.79,0.82
31-01-2018 00:00,01-02-2018 00:00,111.92,62.82,9.83,0.94
01-02-2018 00:00,02-02-2018 00:00,133.77,77.04,17.89,1.04
02-02-2018 00:00,03-02-2018 00:00,107.43,68.41,13.95,1.47
03-02-2018 00:00,04-02-2018 00:00,96.37,70.01,21.54,0.74
04-02-2018 00:00,05-02-2018 00:00,101.51,62.42,15.8,0.75
05-02-2018 00:00,06-02-2018 00:00,105.13,67.63,18.02,0.84
06-02-2018 00:00,07-02-2018 00:00,90.72,58.0,19.16,0.8
07-02-2018 00:00,08-02-2018 00:00,96.14,56.79,19.17,0.75
08-02-2018 00:00,09-02-2018 00:00,97.3,58.35,17.62,1.24
09-02-2018 00:00,10-02-2018 00:00,128.97,53.96,20.28,1.33
10-02-2018 00:00,11-02-2018 00:00,166.83,44.94,21.52,2.48
