,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,221.75,3.6,54.35,0.0
1,02-01-2018 00:00,03-01-2018 00:00,282.3,6.23,69.5,0.0
2,03-01-2018 00:00,04-01-2018 00:00,218.04,4.2,74.81,0.0
3,04-01-2018 00:00,05-01-2018 00:00,354.95,6.98,76.88,0.0
4,05-01-2018 00:00,06-01-2018 00:00,268.15,3.67,67.66,0.0
5,06-01-2018 00:00,07-01-2018 00:00,292.52,9.34,110.24,0.0
6,07-01-2018 00:00,08-01-2018 00:00,305.38,8.31,120.57,0.0
7,08-01-2018 00:00,09-01-2018 00:00,254.6,8.44,100.77,0.0
8,09-01-2018 00:00,10-01-2018 00:00,310.15,5.58,80.2,0.76
9,10-01-2018 00:00,11-01-2018 00:00,322.72,10.9,101.32,1.49
10,11-01-2018 00:00,12-01-2018 00:00,325.85,10.69,96.47,1.09
11,12-01-2018 00:00,13-01-2018 00:00,316.85,4.84,80.7,1.57
12,13-01-2018 00:00,14-01-2018 00:00,395.05,14.36,95.2,2.49
13,14-01-2018 00:00,15-01-2018 00:00,394.94,16.68,125.88,1.84
14,15-01-2018 00:00,16-01-2018 00:00,184.34,9.03,101.18,1.15
15,16-01-2018 00:00,17-01-2018 00:00,225.41,10.95,95.7,1.36
16,17-01-2018 00:00,18-01-2018 00:00,233.98,5.46,83.83,1.2
17,18-01-2018 00:00,19-01-2018 00:00,288.58,12.73,93.88,2.65
18,19-01-2018 00:00,20-01-2018 00:00,244.93,13.09,120.99,1.89
19,20-01-2018 00:00,21-01-2018 00:00,150.34,7.2,101.55,1.18
20,21-01-2018 00:00,22-01-2018 00:00,186.14,10.95,95.4,1.72
21,22-01-2018 00:00,23-01-2018 00:00,260.98,9.91,111.33,1.27
22,23-01-2018 00:00,24-01-2018 00:00,176.89,5.46,89.07,0.76
23,24-01-2018 00:00,25-01-2018 00:00,128.67,5.77,65.85,0.99
24,25-01-2018 00:00,26-01-2018 00:00,202.26,8.45,68.56,1.0
25,26-01-2018 00:00,27-01-2018 00:00,229.34,11.34,82.84,0.93
26,27-01-2018 00:00,28-01-2018 00:00,223.96,7.42,76.24,1.5
27,28-01-2018 00:00,29-01-2018 00:00,240.8,8.88,98.44,1.49
28,29-01-2018 00:00,30-01-2018 00:00,241.33,10.74,100.22,1.37
29,30-01-2018 00:00,31-01-2018 00:00,111.72,6.98,64.87,0.82
30,31-01-2018 00:00,01-02-2018 00:00,83.55,6.99,62.02,0.94
31,01-02-2018 00:00,02-02-2018 00:00,83.9,7.22,70.36,1.69
32,02-02-2018 00:00,03-02-2018 00:00,128.05,17.24,97.54,1.475
33,03-02-2018 00:00,04-02-2018 00:00,138.79,7.8,111.07,1.095
34,04-02-2018 00:00,05-02-2018 00:00,95.72,6.34,64.65,0.835
35,05-02-2018 00:00,06-02-2018 00:00,108.46,7.66,71.83,1.255
36,06-02-2018 00:00,07-02-2018 00:00,112.59,7.88,62.87,1.07
37,07-02-2018 00:00,08-02-2018 00:00,107.89,11.08,57.83,1.225
38,08-02-2018 00:00,09-02-2018 00:00,88.3,7.54,74.63,1.66
39,09-02-2018 00:00,10-02-2018 00:00,86.81,7.37,72.92,1.635
40,10-02-2018 00:00,11-02-2018 00:00,91.49,11.85,90.0,2.215
41,11-02-2018 00:00,12-02-2018 00:00,127.89,10.23,96.4,1.025
42,12-02-2018 00:00,13-02-2018 00:00,87.76,5.52,43.14,0.7
43,13-02-2018 00:00,14-02-2018 00:00,67.67,5.19,40.7,1.18
44,14-02-2018 00:00,15-02-2018 00:00,53.69,5.03,43.29,0.73
45,15-02-2018 00:00,16-02-2018 00:00,57.32,5.42,57.3,0.795
46,16-02-2018 00:00,17-02-2018 00:00,82.23,7.8,59.28,1.0
47,17-02-2018 00:00,18-02-2018 00:00,91.99,10.73,78.13,1.08
48,18-02-2018 00:00,19-02-2018 00:00,95.34,11.71,88.39,1.2000000000000002
49,19-02-2018 00:00,20-02-2018 00:00,79.0,7.39,79.3,1.86
50,20-02-2018 00:00,21-02-2018 00:00,137.06,21.19,109.69,1.73
51,21-02-2018 00:00,22-02-2018 00:00,144.15,16.02,140.12,2.005
52,22-02-2018 00:00,23-02-2018 00:00,108.93,12.3,113.02,1.985
53,23-02-2018 00:00,24-02-2018 00:00,108.61,10.85,92.81,2.27
54,24-02-2018 00:00,25-02-2018 00:00,78.34,10.32,61.98,1.345
55,25-02-2018 00:00,26-02-2018 00:00,123.92,8.05,53.3,0.78
56,26-02-2018 00:00,27-02-2018 00:00,59.41,6.41,46.63,0.815
57,27-02-2018 00:00,28-02-2018 00:00,58.32,10.33,56.97,1.05
58,28-02-2018 00:00,01-03-2018 00:00,82.7,10.06,64.31,1.31
59,01-03-2018 00:00,02-03-2018 00:00,86.01,8.57,79.0,1.3
60,02-03-2018 00:00,03-03-2018 00:00,135.84,8.95,51.18,0.5950000000000001
61,03-03-2018 00:00,04-03-2018 00:00,69.44,8.26,50.03,0.93
62,04-03-2018 00:00,05-03-2018 00:00,102.0,7.9,58.1,0.865
63,05-03-2018 00:00,06-03-2018 00:00,35.87,6.85,51.64,0.88
64,06-03-2018 00:00,07-03-2018 00:00,44.51,6.23,43.78,0.78
65,07-03-2018 00:00,08-03-2018 00:00,46.46,7.66,54.04,1.02
66,08-03-2018 00:00,09-03-2018 00:00,65.2,9.75,56.96,1.52
67,09-03-2018 00:00,10-03-2018 00:00,78.39,15.81,66.34,1.5599999999999998
68,10-03-2018 00:00,11-03-2018 00:00,63.1,14.14,67.85,0.77
69,11-03-2018 00:00,12-03-2018 00:00,60.05,15.6,59.57,1.0699999999999998
70,12-03-2018 00:00,13-03-2018 00:00,72.55,27.3,66.52,1.16
71,13-03-2018 00:00,14-03-2018 00:00,89.13,31.76,77.87,1.27
72,14-03-2018 00:00,15-03-2018 00:00,89.7,11.61,78.44,1.145
73,15-03-2018 00:00,16-03-2018 00:00,69.67,8.58,58.81,1.095
74,16-03-2018 00:00,17-03-2018 00:00,59.04,8.17,46.75,1.01
75,17-03-2018 00:00,18-03-2018 00:00,60.33,14.78,56.76,0.875
76,18-03-2018 00:00,19-03-2018 00:00,43.13,6.84,49.13,0.8700000000000001
77,19-03-2018 00:00,20-03-2018 00:00,85.05,22.75,72.86,0.97
78,20-03-2018 00:00,21-03-2018 00:00,67.75,20.16,60.99,1.265
79,21-03-2018 00:00,22-03-2018 00:00,116.55,23.54,75.38,1.34
80,22-03-2018 00:00,23-03-2018 00:00,61.24,9.58,53.73,1.005
81,23-03-2018 00:00,24-03-2018 00:00,57.87,8.17,49.49,0.88
82,24-03-2018 00:00,25-03-2018 00:00,51.02,8.01,51.13,0.8250000000000001
83,25-03-2018 00:00,26-03-2018 00:00,44.23,6.43,46.65,0.885
84,26-03-2018 00:00,27-03-2018 00:00,47.83,8.32,57.55,0.985
85,27-03-2018 00:00,28-03-2018 00:00,62.44,19.23,65.58,1.345
86,28-03-2018 00:00,29-03-2018 00:00,79.81,16.05,85.14,1.1
87,29-03-2018 00:00,30-03-2018 00:00,65.2,16.96,66.45,1.0
88,30-03-2018 00:00,31-03-2018 00:00,68.99,8.53,62.19,1.085
89,31-03-2018 00:00,01-04-2018 00:00,40.78,6.35,31.13,1.0750000000000002
90,01-04-2018 00:00,02-04-2018 00:00,53.99,5.55,33.3,0.905
91,02-04-2018 00:00,03-04-2018 00:00,74.2,7.51,41.29,1.075
