,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,88.43,9.21,44.79,1.13
1,02-01-2018 00:00,03-01-2018 00:00,114.44,9.36,63.88,0.89
2,03-01-2018 00:00,04-01-2018 00:00,137.8,12.38,69.95,0.73
3,04-01-2018 00:00,05-01-2018 00:00,115.22,10.09,42.02,1.01
4,05-01-2018 00:00,06-01-2018 00:00,113.63,7.32,27.97,1.09
5,06-01-2018 00:00,07-01-2018 00:00,119.78,7.71,18.42,0.76
6,07-01-2018 00:00,08-01-2018 00:00,97.51,7.17,26.5,0.74
7,08-01-2018 00:00,09-01-2018 00:00,63.07,6.34,34.05,0.74
8,09-01-2018 00:00,10-01-2018 00:00,102.48,7.12,43.63,0.7
9,10-01-2018 00:00,11-01-2018 00:00,92.05,9.4,29.06,0.71
10,11-01-2018 00:00,12-01-2018 00:00,123.08,8.15,35.85,0.87
11,12-01-2018 00:00,13-01-2018 00:00,175.47,7.08,39.19,0.84
12,13-01-2018 00:00,14-01-2018 00:00,154.73,5.75,37.89,1.02
13,14-01-2018 00:00,15-01-2018 00:00,137.43,7.3,33.4,0.93
14,15-01-2018 00:00,16-01-2018 00:00,166.01,8.53,35.83,0.87
15,16-01-2018 00:00,17-01-2018 00:00,145.87,6.08,32.11,1.13
16,17-01-2018 00:00,18-01-2018 00:00,120.99,7.35,26.72,1.06
17,18-01-2018 00:00,19-01-2018 00:00,108.57,6.35,23.86,0.82
18,19-01-2018 00:00,20-01-2018 00:00,139.74,6.82,14.71,0.61
19,20-01-2018 00:00,21-01-2018 00:00,103.32,11.41,6.6,0.85
20,21-01-2018 00:00,22-01-2018 00:00,128.52,11.8,13.88,0.82
21,22-01-2018 00:00,23-01-2018 00:00,121.5,7.34,31.36,1.35
22,23-01-2018 00:00,24-01-2018 00:00,91.99,7.14,29.8,0.82
23,24-01-2018 00:00,25-01-2018 00:00,167.74,4.91,28.92,0.57
24,25-01-2018 00:00,26-01-2018 00:00,133.6,5.39,27.48,0.59
25,26-01-2018 00:00,27-01-2018 00:00,140.74,7.09,31.55,0.59
26,27-01-2018 00:00,28-01-2018 00:00,149.49,5.45,31.18,0.61
27,28-01-2018 00:00,29-01-2018 00:00,136.01,7.19,31.92,0.65
28,29-01-2018 00:00,30-01-2018 00:00,148.89,10.29,34.06,0.72
29,30-01-2018 00:00,31-01-2018 00:00,151.2,7.69,33.52,0.64
30,31-01-2018 00:00,01-02-2018 00:00,110.86,11.17,25.75,0.63
31,01-02-2018 00:00,02-02-2018 00:00,142.14,7.59,32.95,0.59
32,02-02-2018 00:00,03-02-2018 00:00,109.84,6.63,33.04,0.56
33,03-02-2018 00:00,04-02-2018 00:00,103.07,6.99,21.16,0.53
