,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,50.61,15.86,90.86,0.826773220747889
1,02-01-2018 00:00,03-01-2018 00:00,64.1,7.14,91.66,0.826773220747889
2,03-01-2018 00:00,04-01-2018 00:00,71.73,12.45,74.53,0.826773220747889
3,04-01-2018 00:00,05-01-2018 00:00,74.89,26.4,77.84,0.826773220747889
4,05-01-2018 00:00,06-01-2018 00:00,73.61,26.48,90.99,0.826773220747889
5,06-01-2018 00:00,07-01-2018 00:00,69.82,16.21,92.32,0.826773220747889
6,07-01-2018 00:00,08-01-2018 00:00,68.94,12.06,75.2,0.826773220747889
7,08-01-2018 00:00,09-01-2018 00:00,65.79,7.58,63.54,0.826773220747889
8,09-01-2018 00:00,10-01-2018 00:00,77.17,7.22,79.03,0.826773220747889
9,10-01-2018 00:00,11-01-2018 00:00,70.78,14.83,84.98,0.826773220747889
10,11-01-2018 00:00,12-01-2018 00:00,77.91,33.86,89.94,0.826773220747889
11,12-01-2018 00:00,13-01-2018 00:00,76.24,9.25,89.75,0.826773220747889
12,13-01-2018 00:00,14-01-2018 00:00,69.57,8.45,89.81,0.826773220747889
13,14-01-2018 00:00,15-01-2018 00:00,67.88,8.91,89.28,0.826773220747889
14,15-01-2018 00:00,16-01-2018 00:00,62.4,3.33,73.72,0.826773220747889
15,16-01-2018 00:00,17-01-2018 00:00,62.3,7.67,62.56,0.826773220747889
16,17-01-2018 00:00,18-01-2018 00:00,65.02,10.38,67.03,0.826773220747889
17,18-01-2018 00:00,19-01-2018 00:00,65.32,13.54,77.92,0.826773220747889
18,19-01-2018 00:00,20-01-2018 00:00,64.18,23.51,89.03,0.826773220747889
19,20-01-2018 00:00,21-01-2018 00:00,66.33,25.38,83.19,0.826773220747889
20,21-01-2018 00:00,22-01-2018 00:00,69.89,12.25,86.8,0.826773220747889
21,22-01-2018 00:00,23-01-2018 00:00,74.18,6.66,75.48,0.826773220747889
22,23-01-2018 00:00,24-01-2018 00:00,54.74,3.82,65.53,0.826773220747889
23,24-01-2018 00:00,25-01-2018 00:00,69.08,6.52,76.83,0.826773220747889
24,25-01-2018 00:00,26-01-2018 00:00,70.28,13.69,88.51,0.826773220747889
25,26-01-2018 00:00,27-01-2018 00:00,66.91,25.06,89.63,0.826773220747889
26,27-01-2018 00:00,28-01-2018 00:00,72.74,14.65,81.86,0.826773220747889
27,28-01-2018 00:00,29-01-2018 00:00,69.68,8.03,83.21,0.826773220747889
28,29-01-2018 00:00,30-01-2018 00:00,67.42,6.25,68.42,0.826773220747889
29,30-01-2018 00:00,31-01-2018 00:00,63.75,14.75,75.29,0.826773220747889
30,31-01-2018 00:00,01-02-2018 00:00,55.31,20.48,73.22,0.826773220747889
31,01-02-2018 00:00,02-02-2018 00:00,46.36,17.25,84.59,0.826773220747889
32,02-02-2018 00:00,03-02-2018 00:00,42.6,9.6,80.79,0.826773220747889
33,03-02-2018 00:00,04-02-2018 00:00,39.75,7.95,71.58,0.826773220747889
34,04-02-2018 00:00,05-02-2018 00:00,39.53,6.44,58.85,0.826773220747889
35,05-02-2018 00:00,06-02-2018 00:00,42.51,6.83,54.47,0.08
36,06-02-2018 00:00,07-02-2018 00:00,45.48,5.88,71.94,0.17
37,07-02-2018 00:00,08-02-2018 00:00,48.74,8.06,91.96,0.54
38,08-02-2018 00:00,09-02-2018 00:00,50.02,11.44,65.87,0.86
39,09-02-2018 00:00,10-02-2018 00:00,46.93,10.37,79.57,0.96
40,10-02-2018 00:00,11-02-2018 00:00,48.86,10.8,75.96,0.68
41,11-02-2018 00:00,12-02-2018 00:00,40.65,4.63,55.4,0.59
42,12-02-2018 00:00,13-02-2018 00:00,47.11,4.84,26.85,0.48
43,13-02-2018 00:00,14-02-2018 00:00,45.02,4.23,45.49,0.31
44,14-02-2018 00:00,15-02-2018 00:00,51.0,8.87,56.53,0.42
45,15-02-2018 00:00,16-02-2018 00:00,58.82,16.3,77.32,0.52
46,16-02-2018 00:00,17-02-2018 00:00,59.9,24.16,80.06,0.65
47,17-02-2018 00:00,18-02-2018 00:00,52.0,21.43,86.53,0.68
48,18-02-2018 00:00,19-02-2018 00:00,47.42,8.37,75.24,0.86
49,19-02-2018 00:00,20-02-2018 00:00,42.85,5.34,62.98,0.69
50,20-02-2018 00:00,21-02-2018 00:00,44.03,4.75,55.54,0.91
51,21-02-2018 00:00,22-02-2018 00:00,50.79,5.12,58.13,0.63
52,22-02-2018 00:00,23-02-2018 00:00,54.82,5.58,63.82,0.79
53,23-02-2018 00:00,24-02-2018 00:00,68.21,6.77,54.94,0.78
54,24-02-2018 00:00,25-02-2018 00:00,49.78,6.35,58.88,0.36
55,25-02-2018 00:00,26-02-2018 00:00,51.48,6.27,67.07,0.45
56,26-02-2018 00:00,27-02-2018 00:00,74.91,6.81,66.57,0.5
57,27-02-2018 00:00,28-02-2018 00:00,64.03,8.73,66.6,0.41
58,28-02-2018 00:00,01-03-2018 00:00,58.86,8.07,79.98,0.64
59,01-03-2018 00:00,02-03-2018 00:00,46.9,5.25,70.86,0.62
60,02-03-2018 00:00,03-03-2018 00:00,42.16,5.39,66.78,0.37
61,03-03-2018 00:00,04-03-2018 00:00,57.78,7.15,68.72,0.4
62,04-03-2018 00:00,05-03-2018 00:00,45.91,3.65,54.85,0.3
63,05-03-2018 00:00,06-03-2018 00:00,40.12,4.63,58.1,0.4
64,06-03-2018 00:00,07-03-2018 00:00,44.89,5.17,44.79,0.5
65,07-03-2018 00:00,08-03-2018 00:00,51.56,6.37,46.78,0.58
66,08-03-2018 00:00,09-03-2018 00:00,52.71,4.96,52.96,1.21
67,09-03-2018 00:00,10-03-2018 00:00,52.74,3.48,57.94,1.02
68,10-03-2018 00:00,11-03-2018 00:00,62.33,3.05,57.96,1.26
69,11-03-2018 00:00,12-03-2018 00:00,48.71,2.74,46.03,1.34
70,12-03-2018 00:00,13-03-2018 00:00,34.3,2.65,51.7,1.37
71,13-03-2018 00:00,14-03-2018 00:00,37.39,4.59,56.7,1.18
72,14-03-2018 00:00,15-03-2018 00:00,40.71,3.92,49.12,1.03
73,15-03-2018 00:00,16-03-2018 00:00,48.91,3.64,49.74,1.02
74,16-03-2018 00:00,17-03-2018 00:00,64.74,7.32,68.17,0.7
75,17-03-2018 00:00,18-03-2018 00:00,54.46,3.26,49.95,0.75
