,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,134.57,5.63,33.305,1.13
1,02-01-2018 00:00,03-01-2018 00:00,93.15,5.445,31.0,0.89
2,03-01-2018 00:00,04-01-2018 00:00,70.75999999999999,3.715,32.09,0.73
3,04-01-2018 00:00,05-01-2018 00:00,94.665,5.415,33.56,1.01
4,05-01-2018 00:00,06-01-2018 00:00,96.265,5.965,35.95,1.09
5,06-01-2018 00:00,07-01-2018 00:00,73.955,4.73,31.375,0.76
6,07-01-2018 00:00,08-01-2018 00:00,64.03999999999999,6.09,30.335,0.74
7,08-01-2018 00:00,09-01-2018 00:00,70.39500000000001,5.07,31.045,0.74
8,09-01-2018 00:00,10-01-2018 00:00,80.92,8.54,27.5,0.7
9,10-01-2018 00:00,11-01-2018 00:00,79.325,12.175,24.305,0.71
10,11-01-2018 00:00,12-01-2018 00:00,66.715,8.530000000000001,18.695,0.87
11,12-01-2018 00:00,13-01-2018 00:00,64.625,10.23950184501845,17.97597046413502,0.84
12,13-01-2018 00:00,14-01-2018 00:00,77.75,13.64450184501845,23.460970464135023,1.02
13,14-01-2018 00:00,15-01-2018 00:00,78.37,13.13950184501845,23.26097046413502,0.93
14,15-01-2018 00:00,16-01-2018 00:00,65.8,13.04,30.675,0.87
15,16-01-2018 00:00,17-01-2018 00:00,70.405,13.67,28.21,1.13
16,17-01-2018 00:00,18-01-2018 00:00,88.505,14.305,22.295,1.06
17,18-01-2018 00:00,19-01-2018 00:00,70.41,9.145,21.64,0.82
18,19-01-2018 00:00,20-01-2018 00:00,53.945,9.755,20.08,0.61
19,20-01-2018 00:00,21-01-2018 00:00,66.84,10.49,21.555,0.85
20,21-01-2018 00:00,22-01-2018 00:00,69.185,5.835,20.86,0.82
21,22-01-2018 00:00,23-01-2018 00:00,90.225,13.58,26.43,1.35
22,23-01-2018 00:00,24-01-2018 00:00,54.33,5.585,19.125,0.82
23,24-01-2018 00:00,25-01-2018 00:00,38.825,9.35,18.48,0.57
24,25-01-2018 00:00,26-01-2018 00:00,44.14,8.73,18.915,0.59
25,26-01-2018 00:00,27-01-2018 00:00,46.725,11.52,20.29,0.59
26,27-01-2018 00:00,28-01-2018 00:00,57.77,12.01,21.19,0.61
27,28-01-2018 00:00,29-01-2018 00:00,51.57,15.83,21.765,0.65
28,29-01-2018 00:00,30-01-2018 00:00,49.57,7.91,17.62,0.72
29,30-01-2018 00:00,31-01-2018 00:00,54.505,8.61,18.905,0.64
30,31-01-2018 00:00,01-02-2018 00:00,47.485,13.75,19.37,0.63
31,01-02-2018 00:00,02-02-2018 00:00,97.47,16.77,50.0,0.59
32,02-02-2018 00:00,03-02-2018 00:00,134.87,23.23,54.11,0.56
33,03-02-2018 00:00,04-02-2018 00:00,176.26,28.82,59.35,0.53
34,04-02-2018 00:00,05-02-2018 00:00,169.9,36.83,67.97,0.54
35,05-02-2018 00:00,06-02-2018 00:00,119.78,23.51,46.94,0.56
36,06-02-2018 00:00,07-02-2018 00:00,95.34,21.22,46.47,0.56
37,07-02-2018 00:00,08-02-2018 00:00,101.67,31.46,49.22,0.6
38,08-02-2018 00:00,09-02-2018 00:00,84.93,30.77,46.37,0.63
39,09-02-2018 00:00,10-02-2018 00:00,104.42,38.24,64.83,0.82
40,10-02-2018 00:00,11-02-2018 00:00,81.83,30.9,44.71,0.88
41,11-02-2018 00:00,12-02-2018 00:00,107.28,42.35,62.7,0.61
42,12-02-2018 00:00,13-02-2018 00:00,121.83,21.7,50.18,0.59
43,13-02-2018 00:00,14-02-2018 00:00,65.46,23.43,36.78,0.42
44,14-02-2018 00:00,15-02-2018 00:00,60.79,27.27,48.59,0.37
45,15-02-2018 00:00,16-02-2018 00:00,54.23,25.41,65.67,0.54
46,16-02-2018 00:00,17-02-2018 00:00,60.86,28.93,73.8,0.51
47,17-02-2018 00:00,18-02-2018 00:00,65.61,27.6,67.65,0.49
48,18-02-2018 00:00,19-02-2018 00:00,84.06,31.29,100.98,0.59
49,19-02-2018 00:00,20-02-2018 00:00,101.06,27.36,94.96,0.67
50,20-02-2018 00:00,21-02-2018 00:00,76.43,20.26,55.54,0.81
51,21-02-2018 00:00,22-02-2018 00:00,86.6,28.7,85.17,0.87
52,22-02-2018 00:00,23-02-2018 00:00,108.91,26.18,121.16,0.77
53,23-02-2018 00:00,24-02-2018 00:00,128.08,22.68,121.73,0.8
54,24-02-2018 00:00,25-02-2018 00:00,91.61,13.91,80.91,0.67
55,25-02-2018 00:00,26-02-2018 00:00,109.35,19.65,74.25,0.54
56,26-02-2018 00:00,27-02-2018 00:00,60.09,15.97,61.53,0.59
57,27-02-2018 00:00,28-02-2018 00:00,71.4,25.81,70.76,0.76
58,28-02-2018 00:00,01-03-2018 00:00,80.21,22.7,72.98,0.76
59,01-03-2018 00:00,02-03-2018 00:00,82.97,27.87,67.07,0.71
60,02-03-2018 00:00,03-03-2018 00:00,75.91,25.66,65.48,0.66
61,03-03-2018 00:00,04-03-2018 00:00,60.9,25.21,64.23,0.53
62,04-03-2018 00:00,05-03-2018 00:00,69.72,26.2,70.68,0.56
63,05-03-2018 00:00,06-03-2018 00:00,73.69,28.63,68.66,0.56
64,06-03-2018 00:00,07-03-2018 00:00,57.19,31.84,61.14,0.55
65,07-03-2018 00:00,08-03-2018 00:00,39.38,37.31,82.13,0.66
66,08-03-2018 00:00,09-03-2018 00:00,76.01,21.39,100.75,0.72
67,09-03-2018 00:00,10-03-2018 00:00,69.76,17.43,81.67,0.67
68,10-03-2018 00:00,11-03-2018 00:00,64.19,21.5,76.44,0.26
69,11-03-2018 00:00,12-03-2018 00:00,60.68,21.0,86.61,0.5803014065639651
70,12-03-2018 00:00,13-03-2018 00:00,98.46,29.9,101.9,0.5803014065639651
71,13-03-2018 00:00,14-03-2018 00:00,86.02,20.32,92.42,0.5803014065639651
72,14-03-2018 00:00,15-03-2018 00:00,68.3,21.88,101.38,0.5803014065639651
73,15-03-2018 00:00,16-03-2018 00:00,100.9,19.93,92.98,0.5803014065639651
74,16-03-2018 00:00,17-03-2018 00:00,62.34,28.58,57.06,0.5803014065639651
75,17-03-2018 00:00,18-03-2018 00:00,54.74,25.37,57.63,0.5803014065639651
76,18-03-2018 00:00,19-03-2018 00:00,81.93,27.98,77.94,0.5803014065639651
77,19-03-2018 00:00,20-03-2018 00:00,195.52,25.7,95.26,0.5803014065639651
78,20-03-2018 00:00,21-03-2018 00:00,159.8,25.81,98.31,0.28
79,21-03-2018 00:00,22-03-2018 00:00,80.92,23.92,78.58,0.29
80,22-03-2018 00:00,23-03-2018 00:00,98.8,28.47,66.37,0.39
81,23-03-2018 00:00,24-03-2018 00:00,76.85,14.99,57.51,0.45
82,24-03-2018 00:00,25-03-2018 00:00,78.59,7.79,40.91,0.39
83,25-03-2018 00:00,26-03-2018 00:00,70.29,12.51,60.33,0.52
84,26-03-2018 00:00,27-03-2018 00:00,65.58,11.86,80.9,0.53
85,27-03-2018 00:00,28-03-2018 00:00,75.22,22.56,73.27,0.64
86,28-03-2018 00:00,29-03-2018 00:00,100.68,14.76,66.5,0.67
87,29-03-2018 00:00,30-03-2018 00:00,54.19,7.82,38.28,0.53
88,30-03-2018 00:00,31-03-2018 00:00,27.38,5.4,27.75,0.77
89,31-03-2018 00:00,01-04-2018 00:00,32.96,8.1,31.77,0.76
90,01-04-2018 00:00,02-04-2018 00:00,43.39,10.57,37.26,1.01
91,02-04-2018 00:00,03-04-2018 00:00,39.01,9.75,59.23,0.37
92,03-04-2018 00:00,04-04-2018 00:00,43.52,4.75,57.92,0.61
93,04-04-2018 00:00,05-04-2018 00:00,30.04,1.79,29.1,0.45
94,05-04-2018 00:00,06-04-2018 00:00,22.72,3.82,27.57,0.98
95,06-04-2018 00:00,07-04-2018 00:00,42.5,10.97,39.15,0.85
96,07-04-2018 00:00,08-04-2018 00:00,46.39,5.57,32.76,0.8
97,08-04-2018 00:00,09-04-2018 00:00,35.57,6.15,33.05,0.74
98,09-04-2018 00:00,10-04-2018 00:00,29.62,2.92,29.41,0.68
99,10-04-2018 00:00,11-04-2018 00:00,31.28,4.71,37.61,0.81
100,11-04-2018 00:00,12-04-2018 00:00,41.11,8.96,45.56,0.83
101,12-04-2018 00:00,13-04-2018 00:00,38.65,7.72,35.78,0.65
102,13-04-2018 00:00,14-04-2018 00:00,50.25,9.0,26.84,0.64
103,14-04-2018 00:00,15-04-2018 00:00,58.72,11.63,32.33,0.66
104,15-04-2018 00:00,16-04-2018 00:00,46.61,15.92,47.36,0.79
105,16-04-2018 00:00,17-04-2018 00:00,84.12,6.47,54.11,0.83
106,17-04-2018 00:00,18-04-2018 00:00,75.08,5.62,32.68,0.58
107,18-04-2018 00:00,19-04-2018 00:00,48.03,5.88,22.73,0.65
108,19-04-2018 00:00,20-04-2018 00:00,64.89,7.79,42.22,0.7
109,20-04-2018 00:00,21-04-2018 00:00,58.9,3.95,21.87,0.61
110,21-04-2018 00:00,22-04-2018 00:00,47.74,4.37,20.5,0.54
111,22-04-2018 00:00,23-04-2018 00:00,69.2,6.2,33.34,0.6
112,23-04-2018 00:00,24-04-2018 00:00,69.03,4.78,33.51,0.74
113,24-04-2018 00:00,25-04-2018 00:00,88.34,8.22,34.93,1.04
114,25-04-2018 00:00,26-04-2018 00:00,90.44,9.71,35.51,0.95
115,26-04-2018 00:00,27-04-2018 00:00,58.56,3.73,26.3,0.8
116,27-04-2018 00:00,28-04-2018 00:00,44.68,8.57,37.46,0.83
117,28-04-2018 00:00,29-04-2018 00:00,47.56,11.89,36.68,0.69
118,29-04-2018 00:00,30-04-2018 00:00,46.4,4.28,21.3,0.7
119,30-04-2018 00:00,01-05-2018 00:00,28.26,3.78,21.75,1.14
120,01-05-2018 00:00,02-05-2018 00:00,58.09,5.55,32.44,0.68
121,02-05-2018 00:00,03-05-2018 00:00,46.73,5.84,34.09,0.77
122,03-05-2018 00:00,04-05-2018 00:00,41.4,8.29,31.51,0.77
123,04-05-2018 00:00,05-05-2018 00:00,52.88,5.9,31.54,0.8
124,05-05-2018 00:00,06-05-2018 00:00,49.75,3.2,21.87,0.81
125,06-05-2018 00:00,07-05-2018 00:00,50.3,2.96,19.19,1.02
126,07-05-2018 00:00,08-05-2018 00:00,62.35,5.46,36.47,0.31
127,08-05-2018 00:00,09-05-2018 00:00,66.86,4.02,35.81,0.27
128,09-05-2018 00:00,10-05-2018 00:00,65.59,0.73,21.83,0.27
129,10-05-2018 00:00,11-05-2018 00:00,76.84,0.48,13.77,0.43
130,11-05-2018 00:00,12-05-2018 00:00,53.06,1.34,27.62,0.84
131,12-05-2018 00:00,13-05-2018 00:00,52.22,3.57,29.84,0.76
132,13-05-2018 00:00,14-05-2018 00:00,46.7,2.7,25.86,0.57
133,14-05-2018 00:00,15-05-2018 00:00,36.23,4.94,29.91,0.79
134,15-05-2018 00:00,16-05-2018 00:00,53.03,2.32,15.72,0.53
135,16-05-2018 00:00,17-05-2018 00:00,38.38,1.17,17.06,0.64
136,17-05-2018 00:00,18-05-2018 00:00,46.69,3.51,20.95,0.85
137,18-05-2018 00:00,19-05-2018 00:00,59.69,1.71,22.06,0.76
138,19-05-2018 00:00,20-05-2018 00:00,51.25,3.02,26.54,0.71
139,20-05-2018 00:00,21-05-2018 00:00,90.47,3.77,42.98,0.69
140,21-05-2018 00:00,22-05-2018 00:00,59.38,4.22,31.37,0.63
141,22-05-2018 00:00,23-05-2018 00:00,46.79,1.6,21.42,0.64
142,23-05-2018 00:00,24-05-2018 00:00,44.42,1.84,15.33,0.65
143,24-05-2018 00:00,25-05-2018 00:00,31.98,1.43,10.96,0.62
144,25-05-2018 00:00,26-05-2018 00:00,31.81,1.39,15.06,0.64
145,26-05-2018 00:00,27-05-2018 00:00,34.47,1.76,18.04,0.9
146,27-05-2018 00:00,28-05-2018 00:00,29.23,1.49,12.82,0.86
