,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,49.09,13.71,54.85,3.64
1,02-01-2018 00:00,03-01-2018 00:00,40.86,12.7,53.66,2.14
2,03-01-2018 00:00,04-01-2018 00:00,45.93,13.39,75.08,2.19
3,04-01-2018 00:00,05-01-2018 00:00,46.0,13.41,85.36,2.18
4,05-01-2018 00:00,06-01-2018 00:00,72.14,13.1,61.65,2.5
5,06-01-2018 00:00,07-01-2018 00:00,57.68,13.91,59.34,2.82
6,07-01-2018 00:00,08-01-2018 00:00,53.94,13.08,56.03,1.49
7,08-01-2018 00:00,09-01-2018 00:00,56.71,14.2,59.99,2.2
8,09-01-2018 00:00,10-01-2018 00:00,44.24,14.34,51.6,1.73
9,10-01-2018 00:00,11-01-2018 00:00,41.75,13.64,27.53,1.32
10,11-01-2018 00:00,12-01-2018 00:00,44.39,15.2,40.65,1.25
11,12-01-2018 00:00,13-01-2018 00:00,52.53,13.32,41.25,2.39
12,13-01-2018 00:00,14-01-2018 00:00,43.86,12.63,41.87,2.96
13,14-01-2018 00:00,15-01-2018 00:00,67.08,15.49,43.25,2.12
14,15-01-2018 00:00,16-01-2018 00:00,47.75,14.27,41.27,1.62
15,16-01-2018 00:00,17-01-2018 00:00,47.49,13.15,45.37,1.04
16,17-01-2018 00:00,18-01-2018 00:00,63.65,8.23,44.47,2.83
17,18-01-2018 00:00,19-01-2018 00:00,58.6,11.67,49.52,2.76
18,19-01-2018 00:00,20-01-2018 00:00,52.33,11.69,54.16,2.16
19,20-01-2018 00:00,21-01-2018 00:00,44.17,12.76,55.87,1.27
20,21-01-2018 00:00,22-01-2018 00:00,53.89,14.59,54.19,1.42
21,22-01-2018 00:00,23-01-2018 00:00,51.3,14.86,54.62,2.72
22,23-01-2018 00:00,24-01-2018 00:00,53.19,15.7,58.11,2.53
23,24-01-2018 00:00,25-01-2018 00:00,41.77,15.38,61.01,2.45
24,25-01-2018 00:00,26-01-2018 00:00,44.51,14.91,52.52,2.19
25,26-01-2018 00:00,27-01-2018 00:00,31.69,16.51,49.98,2.5
26,27-01-2018 00:00,28-01-2018 00:00,47.05,16.58,54.3,3.19
27,28-01-2018 00:00,29-01-2018 00:00,51.77,15.75,56.38,2.96
28,29-01-2018 00:00,30-01-2018 00:00,56.34,14.38,60.61,2.69
29,30-01-2018 00:00,31-01-2018 00:00,59.63,15.18,54.18,1.91
30,31-01-2018 00:00,01-02-2018 00:00,56.01,15.71,52.66,1.93
31,01-02-2018 00:00,02-02-2018 00:00,41.3,15.6,45.89,3.1
32,02-02-2018 00:00,03-02-2018 00:00,48.0,13.64,57.85,2.25
33,03-02-2018 00:00,04-02-2018 00:00,47.08,14.77,50.42,2.29
34,04-02-2018 00:00,05-02-2018 00:00,59.08,15.09,58.71,2.19
35,05-02-2018 00:00,06-02-2018 00:00,63.22,15.88,68.49,2.76
36,06-02-2018 00:00,07-02-2018 00:00,44.81,15.42,58.26,2.15
37,07-02-2018 00:00,08-02-2018 00:00,48.59,16.25,57.9,2.66
38,08-02-2018 00:00,09-02-2018 00:00,55.05,15.82,46.11,2.54
39,09-02-2018 00:00,10-02-2018 00:00,34.21,16.43,49.58,1.92
40,10-02-2018 00:00,11-02-2018 00:00,43.41,16.31,54.5,2.45
41,11-02-2018 00:00,12-02-2018 00:00,74.2,13.98,57.57,1.69
42,12-02-2018 00:00,13-02-2018 00:00,60.29,1.25,24.46,0.35
43,13-02-2018 00:00,14-02-2018 00:00,43.18,0.87,34.63,0.72
44,14-02-2018 00:00,15-02-2018 00:00,75.61,13.48,46.66,0.33
45,15-02-2018 00:00,16-02-2018 00:00,46.78,18.16,45.24,0.63
46,16-02-2018 00:00,17-02-2018 00:00,39.92,17.86,45.15,1.03
47,17-02-2018 00:00,18-02-2018 00:00,36.36,16.88,44.71,1.45
48,18-02-2018 00:00,19-02-2018 00:00,46.6,18.14,46.71,1.7
49,19-02-2018 00:00,20-02-2018 00:00,61.45,20.28,43.3,2.38
50,20-02-2018 00:00,21-02-2018 00:00,51.2,17.56,47.92,2.45
51,21-02-2018 00:00,22-02-2018 00:00,38.64,11.68,35.6,3.66
52,22-02-2018 00:00,23-02-2018 00:00,42.57,11.6,43.36,3.05
53,23-02-2018 00:00,24-02-2018 00:00,50.89,13.14,39.94,2.75
54,24-02-2018 00:00,25-02-2018 00:00,48.57,13.49,60.09,1.9
55,25-02-2018 00:00,26-02-2018 00:00,31.69,3.79,68.56,0.7
56,26-02-2018 00:00,27-02-2018 00:00,41.06,10.94,19.78,0.62
57,27-02-2018 00:00,28-02-2018 00:00,40.55,11.32,24.3,1.42
58,28-02-2018 00:00,01-03-2018 00:00,52.64,10.25,23.7,1.79
59,01-03-2018 00:00,02-03-2018 00:00,44.91,11.56,41.39,1.89
60,02-03-2018 00:00,03-03-2018 00:00,40.6,11.0,43.51,1.22
61,03-03-2018 00:00,04-03-2018 00:00,41.99,10.85,39.85,1.44
62,04-03-2018 00:00,05-03-2018 00:00,43.67,11.23,39.51,1.07
63,05-03-2018 00:00,06-03-2018 00:00,38.07,11.72,44.69,1.28
64,06-03-2018 00:00,07-03-2018 00:00,39.72,10.25,43.01,0.97
65,07-03-2018 00:00,08-03-2018 00:00,36.04,10.32,23.87,0.78
66,08-03-2018 00:00,09-03-2018 00:00,39.73,13.59,31.19,0.62
67,09-03-2018 00:00,10-03-2018 00:00,47.5,9.56,23.19,1.11
68,10-03-2018 00:00,11-03-2018 00:00,57.46,12.25,19.95,0.88
69,11-03-2018 00:00,12-03-2018 00:00,44.02,11.01,15.2,1.53
70,12-03-2018 00:00,13-03-2018 00:00,32.08,11.37,23.31,1.57
71,13-03-2018 00:00,14-03-2018 00:00,31.83,12.73,43.66,2.14
72,14-03-2018 00:00,15-03-2018 00:00,37.58,12.14,33.17,2.06
73,15-03-2018 00:00,16-03-2018 00:00,43.25,10.83,23.77,1.28
74,16-03-2018 00:00,17-03-2018 00:00,52.32,9.97,38.06,1.26
75,17-03-2018 00:00,18-03-2018 00:00,43.88,9.35,54.55,1.03
76,18-03-2018 00:00,19-03-2018 00:00,32.96,12.23,58.77,1.04
77,19-03-2018 00:00,20-03-2018 00:00,35.92,9.77,35.26,1.32
78,20-03-2018 00:00,21-03-2018 00:00,45.67,11.09,34.24,1.95
79,21-03-2018 00:00,22-03-2018 00:00,50.11,12.38,30.16,1.23
80,22-03-2018 00:00,23-03-2018 00:00,58.45,11.75,29.91,0.86
81,23-03-2018 00:00,24-03-2018 00:00,49.29,11.56,29.21,0.9
82,24-03-2018 00:00,25-03-2018 00:00,54.96,12.26,26.09,0.88
83,25-03-2018 00:00,26-03-2018 00:00,64.41,10.78,31.86,0.89
84,26-03-2018 00:00,27-03-2018 00:00,51.35,10.85,30.07,1.54
85,27-03-2018 00:00,28-03-2018 00:00,48.43,14.83,26.56,1.98
86,28-03-2018 00:00,29-03-2018 00:00,41.85,13.36,25.06,1.37
87,29-03-2018 00:00,30-03-2018 00:00,47.55,11.72,28.14,1.2
88,30-03-2018 00:00,31-03-2018 00:00,43.6,10.41,31.44,1.51
89,31-03-2018 00:00,01-04-2018 00:00,41.97,11.01,32.1,1.34
90,01-04-2018 00:00,02-04-2018 00:00,34.35,11.14,23.3,1.21
91,02-04-2018 00:00,03-04-2018 00:00,32.02,11.68,42.89,1.34
92,03-04-2018 00:00,04-04-2018 00:00,43.0,2.75,44.61,1.37
93,04-04-2018 00:00,05-04-2018 00:00,38.43,12.89,18.37,2.06
94,05-04-2018 00:00,06-04-2018 00:00,35.41,14.51,22.46,2.12
95,06-04-2018 00:00,07-04-2018 00:00,40.91,13.01,22.44,1.09
