,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,282.61,24.15,33.62,0.73
1,02-01-2018 00:00,03-01-2018 00:00,274.29,11.48,31.08,0.69
2,03-01-2018 00:00,04-01-2018 00:00,317.91,11.05,28.85,0.7
3,04-01-2018 00:00,05-01-2018 00:00,360.42,18.67,27.31,0.68
4,05-01-2018 00:00,06-01-2018 00:00,406.01,17.74,24.32,0.66
5,06-01-2018 00:00,07-01-2018 00:00,424.77,14.74,19.4,0.66
6,07-01-2018 00:00,08-01-2018 00:00,269.09,20.21,23.36,0.77
7,08-01-2018 00:00,09-01-2018 00:00,287.31,23.01,21.72,0.8
8,09-01-2018 00:00,10-01-2018 00:00,363.55,24.59,21.6,0.72
9,10-01-2018 00:00,11-01-2018 00:00,326.25,26.83,23.7,0.74
10,11-01-2018 00:00,12-01-2018 00:00,249.14,20.35,22.7,0.79
11,12-01-2018 00:00,13-01-2018 00:00,297.3,37.19,20.02,0.77
12,13-01-2018 00:00,14-01-2018 00:00,428.01,25.13,21.19,0.72
13,14-01-2018 00:00,15-01-2018 00:00,345.32,33.16,21.92,0.74
14,15-01-2018 00:00,16-01-2018 00:00,257.18,24.06,21.55,0.78
15,16-01-2018 00:00,17-01-2018 00:00,221.74,27.76,20.73,0.86
16,17-01-2018 00:00,18-01-2018 00:00,349.23,12.32,20.14,0.65
17,18-01-2018 00:00,19-01-2018 00:00,414.48,26.11,19.88,0.63
18,19-01-2018 00:00,20-01-2018 00:00,401.6,19.53,24.04,0.7
19,20-01-2018 00:00,21-01-2018 00:00,257.43,18.26,22.86,0.8
20,21-01-2018 00:00,22-01-2018 00:00,258.76,24.9,19.12,0.76
21,22-01-2018 00:00,23-01-2018 00:00,272.95,26.13,20.36,0.72
22,23-01-2018 00:00,24-01-2018 00:00,234.11,18.41,21.2,0.86
23,24-01-2018 00:00,25-01-2018 00:00,166.03,15.26,20.57,0.92
24,25-01-2018 00:00,26-01-2018 00:00,149.3,10.1,21.25,0.96
25,26-01-2018 00:00,27-01-2018 00:00,131.04,8.21,19.88,0.92
26,27-01-2018 00:00,28-01-2018 00:00,212.19,10.17,21.51,0.76
27,28-01-2018 00:00,29-01-2018 00:00,146.64,10.38,19.99,0.9
28,29-01-2018 00:00,30-01-2018 00:00,198.75,12.36,20.81,0.79
29,30-01-2018 00:00,31-01-2018 00:00,184.22,16.21,22.26,0.9
30,31-01-2018 00:00,01-02-2018 00:00,185.52,13.88,23.8,0.89
31,01-02-2018 00:00,02-02-2018 00:00,250.5,13.4,22.34,1.02
