,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,488.62,21.69,87.65,3.72
1,02-01-2018 00:00,03-01-2018 00:00,360.76,23.63,83.98,3.93
2,03-01-2018 00:00,04-01-2018 00:00,288.57,20.43,87.43,2.12
3,04-01-2018 00:00,05-01-2018 00:00,352.22,21.95,92.08,1.28
4,05-01-2018 00:00,06-01-2018 00:00,305.94,21.69,82.24,2.67
5,06-01-2018 00:00,07-01-2018 00:00,324.43,22.34,123.86,3.54
6,07-01-2018 00:00,08-01-2018 00:00,244.64,21.55,104.59,2.74
7,08-01-2018 00:00,09-01-2018 00:00,177.4,23.5,129.12,3.35
8,09-01-2018 00:00,10-01-2018 00:00,373.14,23.49,138.93,3.82
9,10-01-2018 00:00,11-01-2018 00:00,246.4,23.07,109.23,2.76
10,11-01-2018 00:00,12-01-2018 00:00,203.02,23.39,106.37,4.49
11,12-01-2018 00:00,13-01-2018 00:00,235.63,30.31,128.18,2.36
12,13-01-2018 00:00,14-01-2018 00:00,378.93,24.67,137.78,4.9
13,14-01-2018 00:00,15-01-2018 00:00,302.92,24.67,123.09,2.73
14,15-01-2018 00:00,16-01-2018 00:00,240.9,20.8,101.05,1.83
15,16-01-2018 00:00,17-01-2018 00:00,163.43,27.87,113.0,2.06
16,17-01-2018 00:00,18-01-2018 00:00,291.16,18.02,72.49,1.28
17,18-01-2018 00:00,19-01-2018 00:00,451.25,31.91,137.55,4.07
18,19-01-2018 00:00,20-01-2018 00:00,414.69,21.65,149.24,2.25
19,20-01-2018 00:00,21-01-2018 00:00,234.83,21.96,107.97,1.51
20,21-01-2018 00:00,22-01-2018 00:00,227.46,34.29,159.15,2.74
21,22-01-2018 00:00,23-01-2018 00:00,212.96,29.3,122.22,3.1
22,23-01-2018 00:00,24-01-2018 00:00,195.95,24.91,87.01,2.16
23,24-01-2018 00:00,25-01-2018 00:00,158.36,25.14,70.92,2.07
24,25-01-2018 00:00,26-01-2018 00:00,75.71,10.8,364.9,10.14
25,26-01-2018 00:00,27-01-2018 00:00,190.5,16.85,81.27,2.62
26,27-01-2018 00:00,28-01-2018 00:00,222.35,15.08,185.3,3.47
27,28-01-2018 00:00,29-01-2018 00:00,235.47,15.76,156.33,3.04
28,29-01-2018 00:00,30-01-2018 00:00,241.02,12.74,303.91,3.75
29,30-01-2018 00:00,31-01-2018 00:00,130.58,18.58,146.69,3.65
30,31-01-2018 00:00,01-02-2018 00:00,141.84,14.99,155.33,5.16
31,01-02-2018 00:00,02-02-2018 00:00,194.83,13.67,342.19,4.12
32,02-02-2018 00:00,03-02-2018 00:00,128.85,16.39,230.33,2.25
33,03-02-2018 00:00,04-02-2018 00:00,104.88,17.58,202.86,4.15
34,04-02-2018 00:00,05-02-2018 00:00,137.03,14.94,247.05,6.37
35,05-02-2018 00:00,06-02-2018 00:00,178.36,14.29,307.15,2.19
36,06-02-2018 00:00,07-02-2018 00:00,130.15,18.07,166.46,1.8
37,07-02-2018 00:00,08-02-2018 00:00,135.09,13.27,166.41,1.94
38,08-02-2018 00:00,09-02-2018 00:00,227.74,17.15,112.57,3.35
39,09-02-2018 00:00,10-02-2018 00:00,225.14,12.77,159.42,2.75
40,10-02-2018 00:00,11-02-2018 00:00,303.51,24.76,109.17,3.96
41,11-02-2018 00:00,12-02-2018 00:00,165.98,17.32,110.57,1.81
42,12-02-2018 00:00,13-02-2018 00:00,61.59,7.18,55.63,2.78
43,13-02-2018 00:00,14-02-2018 00:00,118.93,18.8,135.0,2.12
44,14-02-2018 00:00,15-02-2018 00:00,69.04,19.28,112.06,1.58
45,15-02-2018 00:00,16-02-2018 00:00,91.65,18.66,140.29,1.6
46,16-02-2018 00:00,17-02-2018 00:00,124.16,12.94,185.26,1.76
47,17-02-2018 00:00,18-02-2018 00:00,135.25,16.86,162.93,2.83
48,18-02-2018 00:00,19-02-2018 00:00,163.21,16.99,148.37,3.09
49,19-02-2018 00:00,20-02-2018 00:00,260.79,21.55,113.46,3.46
50,20-02-2018 00:00,21-02-2018 00:00,231.76,19.23,129.83,3.46
51,21-02-2018 00:00,22-02-2018 00:00,254.27,21.78,131.63,3.06
52,22-02-2018 00:00,23-02-2018 00:00,225.16,18.1,156.06,2.91
53,23-02-2018 00:00,24-02-2018 00:00,238.65,19.35,165.39,2.59
54,24-02-2018 00:00,25-02-2018 00:00,183.52,15.05,97.55,2.45
55,25-02-2018 00:00,26-02-2018 00:00,123.48,22.85,104.94,1.7
56,26-02-2018 00:00,27-02-2018 00:00,62.93,14.13,101.67,2.07
57,27-02-2018 00:00,28-02-2018 00:00,89.39,14.45,163.24,3.76
58,28-02-2018 00:00,01-03-2018 00:00,151.77,17.83,144.95,2.48
59,01-03-2018 00:00,02-03-2018 00:00,141.23,18.04,136.99,2.2
60,02-03-2018 00:00,03-03-2018 00:00,179.45,17.41,136.95,2.87
61,03-03-2018 00:00,04-03-2018 00:00,105.45,20.27,133.42,3.41
62,04-03-2018 00:00,05-03-2018 00:00,99.91,16.76,114.31,1.43
63,05-03-2018 00:00,06-03-2018 00:00,75.43,15.94,139.45,1.53
64,06-03-2018 00:00,07-03-2018 00:00,75.55,14.45,128.3,3.92
