,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,142.51,12.54,66.5,0.73
1,02-01-2018 00:00,03-01-2018 00:00,194.66,13.13,76.44,0.69
2,03-01-2018 00:00,04-01-2018 00:00,152.67,8.1,69.9,0.7
3,04-01-2018 00:00,05-01-2018 00:00,196.35,8.77,76.18,0.68
4,05-01-2018 00:00,06-01-2018 00:00,206.43,11.44,76.61,0.66
5,06-01-2018 00:00,07-01-2018 00:00,199.48,12.65,76.31,0.66
6,07-01-2018 00:00,08-01-2018 00:00,117.84,9.68,61.52,0.77
7,08-01-2018 00:00,09-01-2018 00:00,107.21,15.45,58.91,0.8
8,09-01-2018 00:00,10-01-2018 00:00,150.46,16.07,68.3,0.72
9,10-01-2018 00:00,11-01-2018 00:00,129.66,7.98,64.51,0.74
10,11-01-2018 00:00,12-01-2018 00:00,102.65,14.23,58.58,0.79
11,12-01-2018 00:00,13-01-2018 00:00,110.73,22.52,60.38,0.77
12,13-01-2018 00:00,14-01-2018 00:00,164.82,18.83,70.83,0.72
13,14-01-2018 00:00,15-01-2018 00:00,124.66,17.21,65.85,0.74
14,15-01-2018 00:00,16-01-2018 00:00,116.94,8.16,60.82,0.78
15,16-01-2018 00:00,17-01-2018 00:00,97.16,19.55,54.63,0.86
16,17-01-2018 00:00,18-01-2018 00:00,198.04,9.02,76.53,0.65
17,18-01-2018 00:00,19-01-2018 00:00,224.89,16.02,80.29,0.63
18,19-01-2018 00:00,20-01-2018 00:00,156.69,12.1,69.65,0.7
19,20-01-2018 00:00,21-01-2018 00:00,103.71,15.61,58.12,0.8
20,21-01-2018 00:00,22-01-2018 00:00,124.5,16.07,63.47,0.76
21,22-01-2018 00:00,23-01-2018 00:00,137.5,14.98,66.53,0.72
22,23-01-2018 00:00,24-01-2018 00:00,111.3,12.53,61.9,0.86
23,24-01-2018 00:00,25-01-2018 00:00,75.38,10.37,49.51,0.92
24,25-01-2018 00:00,26-01-2018 00:00,70.38,6.84,47.46,0.96
25,26-01-2018 00:00,27-01-2018 00:00,79.5,5.63,50.59,0.92
26,27-01-2018 00:00,28-01-2018 00:00,120.53,8.84,62.37,0.76
27,28-01-2018 00:00,29-01-2018 00:00,93.98,7.52,54.34,0.9
28,29-01-2018 00:00,30-01-2018 00:00,114.17,9.15,60.12,0.79
29,30-01-2018 00:00,31-01-2018 00:00,82.31,12.79,51.37,0.9
30,31-01-2018 00:00,01-02-2018 00:00,77.81,9.83,50.64,0.89
31,01-02-2018 00:00,02-02-2018 00:00,118.4,24.18,59.55,0.77
32,02-02-2018 00:00,03-02-2018 00:00,76.11,11.98,38.31,0.93
33,03-02-2018 00:00,04-02-2018 00:00,71.08,10.53,37.86,0.96
34,04-02-2018 00:00,05-02-2018 00:00,78.12,11.33,38.97,0.9
35,05-02-2018 00:00,06-02-2018 00:00,105.67,15.0,42.22,0.84
36,06-02-2018 00:00,07-02-2018 00:00,78.66,12.48,39.23,0.89
37,07-02-2018 00:00,08-02-2018 00:00,86.96,11.75,40.22,0.87
38,08-02-2018 00:00,09-02-2018 00:00,125.79,12.52,45.14,0.76
39,09-02-2018 00:00,10-02-2018 00:00,113.93,11.15,43.87,0.78
40,10-02-2018 00:00,11-02-2018 00:00,113.47,6.19,43.89,0.78
41,11-02-2018 00:00,12-02-2018 00:00,82.22,10.38,38.72,0.95
42,12-02-2018 00:00,13-02-2018 00:00,42.11,8.14,29.73,1.69
43,13-02-2018 00:00,14-02-2018 00:00,64.04,8.81,34.86,1.14
44,14-02-2018 00:00,15-02-2018 00:00,40.97,8.47,29.06,1.56
45,15-02-2018 00:00,16-02-2018 00:00,55.05,9.47,34.05,1.07
46,16-02-2018 00:00,17-02-2018 00:00,61.07,11.03,34.92,1.07
47,17-02-2018 00:00,18-02-2018 00:00,66.43,12.18,36.69,0.97
48,18-02-2018 00:00,19-02-2018 00:00,93.35,12.04,39.11,0.95
49,19-02-2018 00:00,20-02-2018 00:00,148.33,14.49,46.18,0.75
