,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,317.88,18.65,32.17,1.12
1,02-01-2018 00:00,03-01-2018 00:00,359.79,23.32,31.39,1.11
2,03-01-2018 00:00,04-01-2018 00:00,197.22,14.41,28.28,1.32
3,04-01-2018 00:00,05-01-2018 00:00,223.66,15.32,30.41,1.29
4,05-01-2018 00:00,06-01-2018 00:00,224.11,15.54,30.36,1.28
5,06-01-2018 00:00,07-01-2018 00:00,279.25,16.75,30.71,1.25
6,07-01-2018 00:00,08-01-2018 00:00,188.91,26.16,29.96,1.36
7,08-01-2018 00:00,09-01-2018 00:00,181.2,38.0,31.12,1.28
8,09-01-2018 00:00,10-01-2018 00:00,230.74,45.83,32.8,1.22
9,10-01-2018 00:00,11-01-2018 00:00,188.06,48.31,31.93,1.26
10,11-01-2018 00:00,12-01-2018 00:00,164.57,55.17,32.09,1.23
11,12-01-2018 00:00,13-01-2018 00:00,177.7,62.76,31.7,1.27
12,13-01-2018 00:00,14-01-2018 00:00,173.2,30.79,31.56,1.2
13,14-01-2018 00:00,15-01-2018 00:00,68.72,40.85,30.72,1.23
14,15-01-2018 00:00,16-01-2018 00:00,64.24,44.27,30.59,1.34
15,16-01-2018 00:00,17-01-2018 00:00,122.98,48.99,32.7,1.17
16,17-01-2018 00:00,18-01-2018 00:00,201.1,16.35,31.32,1.15
17,18-01-2018 00:00,19-01-2018 00:00,352.27,34.31,32.43,1.02
18,19-01-2018 00:00,20-01-2018 00:00,124.47,27.93,29.14,1.53
19,20-01-2018 00:00,21-01-2018 00:00,73.76,41.57,30.07,1.32
20,21-01-2018 00:00,22-01-2018 00:00,64.2,46.68,31.44,1.14
21,22-01-2018 00:00,23-01-2018 00:00,148.51,39.63,32.72,0.98
22,23-01-2018 00:00,24-01-2018 00:00,146.28,9.19,30.22,1.28
23,24-01-2018 00:00,25-01-2018 00:00,144.32,11.19,30.46,1.26
24,25-01-2018 00:00,26-01-2018 00:00,126.02,5.36,29.29,1.42
25,26-01-2018 00:00,27-01-2018 00:00,147.16,4.66,30.11,1.31
26,27-01-2018 00:00,28-01-2018 00:00,192.55,8.9,30.94,1.26
27,28-01-2018 00:00,29-01-2018 00:00,157.39,14.22,30.58,1.34
28,29-01-2018 00:00,30-01-2018 00:00,176.15,20.71,31.15,1.36
29,30-01-2018 00:00,31-01-2018 00:00,148.22,29.72,29.4,1.43
30,31-01-2018 00:00,01-02-2018 00:00,142.37,28.37,29.93,1.37
31,01-02-2018 00:00,02-02-2018 00:00,137.93,23.18,32.7,1.25
32,02-02-2018 00:00,03-02-2018 00:00,133.62,16.77,32.43,1.06
33,03-02-2018 00:00,04-02-2018 00:00,107.67,20.49,32.51,1.0
