,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,338.07,9.52,8.48,1.96
1,02-01-2018 00:00,03-01-2018 00:00,293.25,5.12,8.48,1.42
2,03-01-2018 00:00,04-01-2018 00:00,218.55,11.02,8.13,1.33
3,04-01-2018 00:00,05-01-2018 00:00,220.73,16.82,8.48,1.19
4,05-01-2018 00:00,06-01-2018 00:00,235.6,14.62,8.47,1.14
5,06-01-2018 00:00,07-01-2018 00:00,243.49,20.65,8.49,1.73
6,07-01-2018 00:00,08-01-2018 00:00,157.4,16.08,8.49,1.13
7,08-01-2018 00:00,09-01-2018 00:00,131.22,12.23,8.48,0.95
8,09-01-2018 00:00,10-01-2018 00:00,192.8,21.86,8.48,1.53
9,10-01-2018 00:00,11-01-2018 00:00,169.25,16.52,8.48,1.14
10,11-01-2018 00:00,12-01-2018 00:00,136.78,11.32,8.48,0.68
11,12-01-2018 00:00,13-01-2018 00:00,137.8,14.79,8.49,1.12
12,13-01-2018 00:00,14-01-2018 00:00,169.98,29.05,8.48,2.27
13,14-01-2018 00:00,15-01-2018 00:00,149.18,22.97,8.48,1.48
14,15-01-2018 00:00,16-01-2018 00:00,161.05,17.96,12.51,1.11
15,16-01-2018 00:00,17-01-2018 00:00,99.7,10.98,16.25,1.27
16,17-01-2018 00:00,18-01-2018 00:00,206.94,18.08,14.81,1.78
17,18-01-2018 00:00,19-01-2018 00:00,224.38,19.66,14.53,1.74
18,19-01-2018 00:00,20-01-2018 00:00,190.9,24.92,14.93,1.32
19,20-01-2018 00:00,21-01-2018 00:00,122.7,11.03,13.84,0.94
20,21-01-2018 00:00,22-01-2018 00:00,121.18,10.6,13.6,1.08
21,22-01-2018 00:00,23-01-2018 00:00,175.36,22.39,15.28,1.64
22,23-01-2018 00:00,24-01-2018 00:00,165.93,13.71,14.31,0.97
23,24-01-2018 00:00,25-01-2018 00:00,144.79,16.32,13.03,0.56
24,25-01-2018 00:00,26-01-2018 00:00,93.95,7.18,12.94,0.16
25,26-01-2018 00:00,27-01-2018 00:00,121.42,8.26,13.25,0.67
26,27-01-2018 00:00,28-01-2018 00:00,144.67,7.2,13.61,0.7
27,28-01-2018 00:00,29-01-2018 00:00,124.44,10.23,13.29,0.91
28,29-01-2018 00:00,30-01-2018 00:00,125.49,13.35,13.33,0.87
29,30-01-2018 00:00,31-01-2018 00:00,101.71,9.43,12.49,0.48
30,31-01-2018 00:00,01-02-2018 00:00,101.42,5.86,12.33,0.52
31,01-02-2018 00:00,02-02-2018 00:00,104.47,21.2,13.78,0.66
32,02-02-2018 00:00,03-02-2018 00:00,93.63,12.7,14.66,0.51
33,03-02-2018 00:00,04-02-2018 00:00,70.45,26.45,21.56,0.55
34,04-02-2018 00:00,05-02-2018 00:00,78.3,21.05,21.79,1.16
35,05-02-2018 00:00,06-02-2018 00:00,117.22,21.05,32.79,1.01
36,06-02-2018 00:00,07-02-2018 00:00,98.17,30.14,40.32,1.04
37,07-02-2018 00:00,08-02-2018 00:00,74.92,25.86,32.62,1.77
38,08-02-2018 00:00,09-02-2018 00:00,123.74,14.47,48.98,2.5
39,09-02-2018 00:00,10-02-2018 00:00,121.29,17.67,52.38,2.22
40,10-02-2018 00:00,11-02-2018 00:00,127.65,21.32,64.42,3.15
41,11-02-2018 00:00,12-02-2018 00:00,104.9,18.25,25.73,2.44
42,12-02-2018 00:00,13-02-2018 00:00,52.31,19.64,14.69,1.36
43,13-02-2018 00:00,14-02-2018 00:00,66.95,18.83,17.58,1.56
44,14-02-2018 00:00,15-02-2018 00:00,52.54,12.91,14.18,1.17
