,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,377.58,9.52,82.0,3.8
1,02-01-2018 00:00,03-01-2018 00:00,324.37,5.12,77.78,3.87
2,03-01-2018 00:00,04-01-2018 00:00,253.49,11.02,61.61,3.26
3,04-01-2018 00:00,05-01-2018 00:00,279.39,16.82,85.56,3.23
4,05-01-2018 00:00,06-01-2018 00:00,265.56,14.62,77.47,4.43
5,06-01-2018 00:00,07-01-2018 00:00,264.01,20.65,63.16,3.48
6,07-01-2018 00:00,08-01-2018 00:00,212.24,16.08,58.59,2.49
7,08-01-2018 00:00,09-01-2018 00:00,164.21,12.23,63.85,2.54
8,09-01-2018 00:00,10-01-2018 00:00,246.26,21.86,68.04,3.05
9,10-01-2018 00:00,11-01-2018 00:00,198.16,16.52,69.88,1.72
10,11-01-2018 00:00,12-01-2018 00:00,164.9,11.32,63.09,2.64
11,12-01-2018 00:00,13-01-2018 00:00,174.95,14.79,73.84,2.75
12,13-01-2018 00:00,14-01-2018 00:00,251.41,29.05,72.03,2.79
13,14-01-2018 00:00,15-01-2018 00:00,213.94,22.97,68.29,3.93
14,15-01-2018 00:00,16-01-2018 00:00,195.94,17.96,63.72,1.85
15,16-01-2018 00:00,17-01-2018 00:00,145.0,10.98,68.84,2.71
16,17-01-2018 00:00,18-01-2018 00:00,182.85,18.08,77.36,2.68
17,18-01-2018 00:00,19-01-2018 00:00,255.92,19.66,79.98,3.44
18,19-01-2018 00:00,20-01-2018 00:00,274.49,24.92,69.86,2.84
19,20-01-2018 00:00,21-01-2018 00:00,206.3,11.03,58.02,3.01
20,21-01-2018 00:00,22-01-2018 00:00,122.96,10.6,79.88,2.92
21,22-01-2018 00:00,23-01-2018 00:00,239.07,22.39,96.56,3.72
22,23-01-2018 00:00,24-01-2018 00:00,173.21,13.71,77.31,1.11
23,24-01-2018 00:00,25-01-2018 00:00,164.86,16.32,44.63,1.56
24,25-01-2018 00:00,26-01-2018 00:00,128.91,7.18,29.08,1.24
25,26-01-2018 00:00,27-01-2018 00:00,97.06,8.26,38.6,3.87
26,27-01-2018 00:00,28-01-2018 00:00,120.75,7.2,43.28,2.19
27,28-01-2018 00:00,29-01-2018 00:00,147.78,10.23,42.1,8.37
28,29-01-2018 00:00,30-01-2018 00:00,172.78,13.35,44.5,7.83
29,30-01-2018 00:00,31-01-2018 00:00,133.58,9.43,42.94,12.32
30,31-01-2018 00:00,01-02-2018 00:00,147.71,5.86,44.07,17.57
31,01-02-2018 00:00,02-02-2018 00:00,172.85,22.65,65.44,3.1
32,02-02-2018 00:00,03-02-2018 00:00,138.98,10.75,62.96,6.55
33,03-02-2018 00:00,04-02-2018 00:00,113.01,10.27,45.28,9.38
34,04-02-2018 00:00,05-02-2018 00:00,127.38,5.29,35.6,2.03
35,05-02-2018 00:00,06-02-2018 00:00,151.55,5.78,53.55,0.77
36,06-02-2018 00:00,07-02-2018 00:00,129.74,8.01,48.22,0.76
37,07-02-2018 00:00,08-02-2018 00:00,129.5,10.46,41.67,0.83
38,08-02-2018 00:00,09-02-2018 00:00,166.22,25.58,59.9,1.99
39,09-02-2018 00:00,10-02-2018 00:00,194.01,23.43,75.12,2.32
40,10-02-2018 00:00,11-02-2018 00:00,175.0,20.69,114.61,2.66
41,11-02-2018 00:00,12-02-2018 00:00,114.21,17.54,76.56,0.96
42,12-02-2018 00:00,13-02-2018 00:00,88.16,5.6,45.44,0.64
43,13-02-2018 00:00,14-02-2018 00:00,95.6,11.52,47.68,0.9
44,14-02-2018 00:00,15-02-2018 00:00,69.46,6.55,30.45,0.76
45,15-02-2018 00:00,16-02-2018 00:00,81.79,8.91,35.2,1.03
46,16-02-2018 00:00,17-02-2018 00:00,129.52,13.62,42.68,1.3
47,17-02-2018 00:00,18-02-2018 00:00,139.55,16.34,47.05,1.25
48,18-02-2018 00:00,19-02-2018 00:00,129.47,14.81,48.22,1.57
49,19-02-2018 00:00,20-02-2018 00:00,161.78,23.72,65.67,2.0
50,20-02-2018 00:00,21-02-2018 00:00,167.93,18.69,108.59,2.34
51,21-02-2018 00:00,22-02-2018 00:00,159.17,26.9,132.87,2.52
52,22-02-2018 00:00,23-02-2018 00:00,155.68,23.62,63.68,1.59
53,23-02-2018 00:00,24-02-2018 00:00,154.14,21.58,80.66,1.7
54,24-02-2018 00:00,25-02-2018 00:00,159.45,21.01,74.04,1.57
55,25-02-2018 00:00,26-02-2018 00:00,95.21,15.38,38.56,0.93
56,26-02-2018 00:00,27-02-2018 00:00,57.69,3.95,27.4,0.7
57,27-02-2018 00:00,28-02-2018 00:00,80.03,5.42,42.3,1.41
58,28-02-2018 00:00,01-03-2018 00:00,135.7,17.03,64.69,1.43
59,01-03-2018 00:00,02-03-2018 00:00,107.1,14.65,61.24,1.45
60,02-03-2018 00:00,03-03-2018 00:00,130.67,15.03,49.89,1.62
61,03-03-2018 00:00,04-03-2018 00:00,97.28,12.89,45.21,1.15
62,04-03-2018 00:00,05-03-2018 00:00,68.02,8.56,40.74,0.85
63,05-03-2018 00:00,06-03-2018 00:00,69.73,8.13,38.4,0.88
64,06-03-2018 00:00,07-03-2018 00:00,74.55,9.49,35.79,0.81
65,07-03-2018 00:00,08-03-2018 00:00,75.65,17.93,41.88,1.05
66,08-03-2018 00:00,09-03-2018 00:00,115.99,31.73,85.59,2.23
67,09-03-2018 00:00,10-03-2018 00:00,143.69,37.73,69.2,1.34
68,10-03-2018 00:00,11-03-2018 00:00,68.25,25.49,42.28,0.83
69,11-03-2018 00:00,12-03-2018 00:00,80.33,22.32,43.18,1.31
