,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,488.62,21.69,87.65,3.72
1,02-01-2018 00:00,03-01-2018 00:00,360.76,23.63,83.98,3.93
2,03-01-2018 00:00,04-01-2018 00:00,288.57,20.43,87.43,2.12
3,04-01-2018 00:00,05-01-2018 00:00,352.22,21.95,92.08,1.28
4,05-01-2018 00:00,06-01-2018 00:00,305.94,21.69,82.24,2.67
5,06-01-2018 00:00,07-01-2018 00:00,324.43,22.34,123.86,3.54
6,07-01-2018 00:00,08-01-2018 00:00,244.64,21.55,104.59,2.74
7,08-01-2018 00:00,09-01-2018 00:00,177.4,23.5,129.12,3.35
8,09-01-2018 00:00,10-01-2018 00:00,373.14,23.49,138.93,3.82
9,10-01-2018 00:00,11-01-2018 00:00,246.4,23.07,109.23,2.76
10,11-01-2018 00:00,12-01-2018 00:00,203.02,23.39,106.37,4.49
11,12-01-2018 00:00,13-01-2018 00:00,235.63,30.31,128.18,2.36
12,13-01-2018 00:00,14-01-2018 00:00,378.93,24.67,137.78,4.9
13,14-01-2018 00:00,15-01-2018 00:00,302.92,24.67,123.09,2.73
14,15-01-2018 00:00,16-01-2018 00:00,240.9,20.8,101.05,1.83
15,16-01-2018 00:00,17-01-2018 00:00,163.43,27.87,113.0,2.06
16,17-01-2018 00:00,18-01-2018 00:00,291.16,18.02,72.49,1.28
17,18-01-2018 00:00,19-01-2018 00:00,451.25,31.91,137.55,4.07
18,19-01-2018 00:00,20-01-2018 00:00,414.69,21.65,149.24,2.25
19,20-01-2018 00:00,21-01-2018 00:00,234.83,21.96,107.97,1.51
20,21-01-2018 00:00,22-01-2018 00:00,227.46,34.29,159.15,2.74
21,22-01-2018 00:00,23-01-2018 00:00,212.96,29.3,122.22,3.1
22,23-01-2018 00:00,24-01-2018 00:00,195.95,24.91,87.01,2.16
23,24-01-2018 00:00,25-01-2018 00:00,158.36,25.14,70.92,2.07
24,25-01-2018 00:00,26-01-2018 00:00,75.71,10.8,364.9,10.14
25,26-01-2018 00:00,27-01-2018 00:00,190.5,16.85,81.27,2.62
26,27-01-2018 00:00,28-01-2018 00:00,222.35,15.08,185.3,3.47
27,28-01-2018 00:00,29-01-2018 00:00,235.47,15.76,156.33,3.04
28,29-01-2018 00:00,30-01-2018 00:00,241.02,12.74,303.91,3.75
29,30-01-2018 00:00,31-01-2018 00:00,130.58,18.58,146.69,3.65
30,31-01-2018 00:00,01-02-2018 00:00,141.84,14.99,155.33,5.16
31,01-02-2018 00:00,02-02-2018 00:00,169.3,7.57,94.63,2.5
32,02-02-2018 00:00,03-02-2018 00:00,141.21,6.86,51.53,1.41
33,03-02-2018 00:00,04-02-2018 00:00,155.78,6.45,52.78,1.23
34,04-02-2018 00:00,05-02-2018 00:00,122.54,7.29,31.0,1.16
35,05-02-2018 00:00,06-02-2018 00:00,146.58,8.97,42.47,1.56
36,06-02-2018 00:00,07-02-2018 00:00,173.77,7.9,38.88,1.15
37,07-02-2018 00:00,08-02-2018 00:00,128.82,6.87,44.05,1.34
38,08-02-2018 00:00,09-02-2018 00:00,168.67,4.76,129.0,2.6
39,09-02-2018 00:00,10-02-2018 00:00,210.21,6.82,98.35,2.39
40,10-02-2018 00:00,11-02-2018 00:00,239.4,6.27,241.25,3.89
41,11-02-2018 00:00,12-02-2018 00:00,149.89,6.08,118.34,1.57
42,12-02-2018 00:00,13-02-2018 00:00,70.98,5.33,20.93,0.57
43,13-02-2018 00:00,14-02-2018 00:00,93.29,5.07,38.17,1.03
44,14-02-2018 00:00,15-02-2018 00:00,65.12,4.08,19.52,0.59
45,15-02-2018 00:00,16-02-2018 00:00,73.67,5.99,22.03,0.76
46,16-02-2018 00:00,17-02-2018 00:00,93.53,6.84,29.66,1.12
47,17-02-2018 00:00,18-02-2018 00:00,103.89,7.79,30.6,1.19
48,18-02-2018 00:00,19-02-2018 00:00,102.18,5.63,52.3,1.49
49,19-02-2018 00:00,20-02-2018 00:00,131.1,4.94,129.06,2.09
50,20-02-2018 00:00,21-02-2018 00:00,131.69,6.03,108.16,2.14
51,21-02-2018 00:00,22-02-2018 00:00,151.35,1.9,405.33,0.86
52,22-02-2018 00:00,23-02-2018 00:00,117.62,6.25,131.53,2.14
53,23-02-2018 00:00,24-02-2018 00:00,143.27,6.4,137.38,2.23
54,24-02-2018 00:00,25-02-2018 00:00,138.34,7.89,55.0,1.4
55,25-02-2018 00:00,26-02-2018 00:00,93.62,8.61,24.91,0.83
56,26-02-2018 00:00,27-02-2018 00:00,63.99,4.8,18.18,0.6
57,27-02-2018 00:00,28-02-2018 00:00,101.87,6.34,25.15,0.98
58,28-02-2018 00:00,01-03-2018 00:00,168.38,8.67,42.33,1.36
59,01-03-2018 00:00,02-03-2018 00:00,122.33,8.52,54.73,1.43
60,02-03-2018 00:00,03-03-2018 00:00,116.25,4.28,72.11,1.7
61,03-03-2018 00:00,04-03-2018 00:00,73.48,8.91,28.65,0.94
62,04-03-2018 00:00,05-03-2018 00:00,65.98,6.51,25.48,0.78
63,05-03-2018 00:00,06-03-2018 00:00,88.0,6.44,29.21,0.73
64,06-03-2018 00:00,07-03-2018 00:00,71.38,6.51,27.17,0.62
