,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,221.75,3.6,54.35,3.64
1,02-01-2018 00:00,03-01-2018 00:00,282.3,6.23,69.5,2.14
2,03-01-2018 00:00,04-01-2018 00:00,218.04,4.2,74.81,2.19
3,04-01-2018 00:00,05-01-2018 00:00,354.95,6.98,76.88,2.18
4,05-01-2018 00:00,06-01-2018 00:00,268.15,3.67,67.66,2.5
5,06-01-2018 00:00,07-01-2018 00:00,292.52,9.34,110.24,2.82
6,07-01-2018 00:00,08-01-2018 00:00,305.38,8.31,120.57,1.49
7,08-01-2018 00:00,09-01-2018 00:00,254.6,8.44,100.77,2.2
8,09-01-2018 00:00,10-01-2018 00:00,310.15,5.58,80.2,1.73
9,10-01-2018 00:00,11-01-2018 00:00,322.72,10.9,101.32,1.32
10,11-01-2018 00:00,12-01-2018 00:00,325.85,10.69,96.47,1.25
11,12-01-2018 00:00,13-01-2018 00:00,316.85,4.84,80.7,2.39
12,13-01-2018 00:00,14-01-2018 00:00,395.05,14.36,95.2,2.96
13,14-01-2018 00:00,15-01-2018 00:00,394.94,16.68,125.88,2.12
14,15-01-2018 00:00,16-01-2018 00:00,184.34,9.03,101.18,1.62
15,16-01-2018 00:00,17-01-2018 00:00,225.41,10.95,95.7,1.04
16,17-01-2018 00:00,18-01-2018 00:00,233.98,5.46,83.83,2.83
17,18-01-2018 00:00,19-01-2018 00:00,288.58,12.73,93.88,2.76
18,19-01-2018 00:00,20-01-2018 00:00,244.93,13.09,120.99,2.16
19,20-01-2018 00:00,21-01-2018 00:00,150.34,7.2,101.55,1.27
20,21-01-2018 00:00,22-01-2018 00:00,186.14,10.95,95.4,1.42
21,22-01-2018 00:00,23-01-2018 00:00,260.98,9.91,111.33,2.72
22,23-01-2018 00:00,24-01-2018 00:00,176.89,5.46,89.07,2.53
23,24-01-2018 00:00,25-01-2018 00:00,128.67,5.77,65.85,2.45
24,25-01-2018 00:00,26-01-2018 00:00,202.26,8.45,68.56,2.19
25,26-01-2018 00:00,27-01-2018 00:00,229.34,11.34,82.84,2.5
26,27-01-2018 00:00,28-01-2018 00:00,223.96,7.42,76.24,3.19
27,28-01-2018 00:00,29-01-2018 00:00,240.8,8.88,98.44,2.96
28,29-01-2018 00:00,30-01-2018 00:00,241.33,10.74,100.22,2.69
29,30-01-2018 00:00,31-01-2018 00:00,111.72,6.98,64.87,1.91
30,31-01-2018 00:00,01-02-2018 00:00,83.55,6.99,62.02,1.93
31,01-02-2018 00:00,02-02-2018 00:00,83.9,7.22,70.36,3.1
32,02-02-2018 00:00,03-02-2018 00:00,128.05,17.24,97.54,2.25
33,03-02-2018 00:00,04-02-2018 00:00,138.79,7.8,111.07,2.29
34,04-02-2018 00:00,05-02-2018 00:00,95.72,6.34,64.65,2.19
35,05-02-2018 00:00,06-02-2018 00:00,108.46,7.66,71.83,2.76
36,06-02-2018 00:00,07-02-2018 00:00,112.59,7.88,62.87,2.15
37,07-02-2018 00:00,08-02-2018 00:00,107.89,11.08,57.83,2.66
38,08-02-2018 00:00,09-02-2018 00:00,88.3,7.54,74.63,2.54
39,09-02-2018 00:00,10-02-2018 00:00,86.81,7.37,72.92,1.92
40,10-02-2018 00:00,11-02-2018 00:00,91.49,11.85,90.0,2.45
41,11-02-2018 00:00,12-02-2018 00:00,127.89,10.23,96.4,1.69
42,12-02-2018 00:00,13-02-2018 00:00,87.76,5.52,43.14,0.35
43,13-02-2018 00:00,14-02-2018 00:00,67.67,5.19,40.7,0.72
44,14-02-2018 00:00,15-02-2018 00:00,53.69,5.03,43.29,0.33
45,15-02-2018 00:00,16-02-2018 00:00,57.32,5.42,57.3,0.63
46,16-02-2018 00:00,17-02-2018 00:00,82.23,7.8,59.28,1.03
47,17-02-2018 00:00,18-02-2018 00:00,91.99,10.73,78.13,1.45
48,18-02-2018 00:00,19-02-2018 00:00,95.34,11.71,88.39,1.7
49,19-02-2018 00:00,20-02-2018 00:00,79.0,7.39,79.3,2.38
50,20-02-2018 00:00,21-02-2018 00:00,137.06,21.19,109.69,2.45
51,21-02-2018 00:00,22-02-2018 00:00,144.15,16.02,140.12,3.66
52,22-02-2018 00:00,23-02-2018 00:00,108.93,12.3,113.02,3.05
53,23-02-2018 00:00,24-02-2018 00:00,108.61,10.85,92.81,2.75
