,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,101.4,6.59,53.19,0.0
1,02-01-2018 00:00,03-01-2018 00:00,70.01,6.28,51.09,0.0
2,03-01-2018 00:00,04-01-2018 00:00,74.13,6.79,52.58,0.0
3,04-01-2018 00:00,05-01-2018 00:00,59.51,6.91,51.63,0.0
4,05-01-2018 00:00,06-01-2018 00:00,68.41,5.95,59.25,0.0
5,06-01-2018 00:00,07-01-2018 00:00,58.51,6.76,60.72,0.0
6,07-01-2018 00:00,08-01-2018 00:00,53.84,5.63,66.97,0.0
7,08-01-2018 00:00,09-01-2018 00:00,57.44,5.91,68.44,0.0
8,09-01-2018 00:00,10-01-2018 00:00,55.56,6.96,66.82,0.0
9,10-01-2018 00:00,11-01-2018 00:00,48.5,6.69,71.78,0.0
10,11-01-2018 00:00,12-01-2018 00:00,52.73,6.25,67.39,0.0
11,12-01-2018 00:00,13-01-2018 00:00,64.61,7.47,67.65,0.0
12,13-01-2018 00:00,14-01-2018 00:00,71.55,7.02,70.36,0.0
13,14-01-2018 00:00,15-01-2018 00:00,93.97,5.74,65.55,0.0
14,15-01-2018 00:00,16-01-2018 00:00,82.47,6.94,53.06,0.0
15,16-01-2018 00:00,17-01-2018 00:00,90.52,6.95,63.78,0.0
16,17-01-2018 00:00,18-01-2018 00:00,58.69,7.35,51.62,0.0
17,18-01-2018 00:00,19-01-2018 00:00,74.17,6.35,54.89,0.0
18,19-01-2018 00:00,20-01-2018 00:00,70.58,6.41,57.84,0.0
19,20-01-2018 00:00,21-01-2018 00:00,57.85,6.1,56.93,0.0
20,21-01-2018 00:00,22-01-2018 00:00,41.16,5.35,59.9,0.0
21,22-01-2018 00:00,23-01-2018 00:00,76.48,5.8,59.99,0.0
22,23-01-2018 00:00,24-01-2018 00:00,92.15,6.21,55.35,0.0
23,24-01-2018 00:00,25-01-2018 00:00,70.93,6.54,48.85,0.0
24,25-01-2018 00:00,26-01-2018 00:00,66.86,6.14,57.75,0.0
25,26-01-2018 00:00,27-01-2018 00:00,67.43,6.3,60.81,0.0
26,27-01-2018 00:00,28-01-2018 00:00,40.19,6.6,60.59,0.0
27,28-01-2018 00:00,29-01-2018 00:00,78.51,5.98,65.34,0.0
28,29-01-2018 00:00,30-01-2018 00:00,102.06,6.47,60.1,0.0
29,30-01-2018 00:00,31-01-2018 00:00,76.78,6.39,57.68,0.0
30,31-01-2018 00:00,01-02-2018 00:00,45.55,5.51,63.09,0.0
31,01-02-2018 00:00,02-02-2018 00:00,44.91,5.31,50.65,0.0
32,02-02-2018 00:00,03-02-2018 00:00,47.08,4.28,62.77,0.0
33,03-02-2018 00:00,04-02-2018 00:00,58.11,5.2,60.23,0.0
34,04-02-2018 00:00,05-02-2018 00:00,56.99,4.84,53.74,2.19
35,05-02-2018 00:00,06-02-2018 00:00,46.5,4.98,54.26,2.76
36,06-02-2018 00:00,07-02-2018 00:00,43.52,4.99,52.05,2.15
37,07-02-2018 00:00,08-02-2018 00:00,55.86,5.93,54.97,0.0
38,08-02-2018 00:00,09-02-2018 00:00,59.09,5.21,57.22,0.0
39,09-02-2018 00:00,10-02-2018 00:00,37.2,5.66,45.31,0.0
40,10-02-2018 00:00,11-02-2018 00:00,50.58,5.54,48.42,0.0
41,11-02-2018 00:00,12-02-2018 00:00,56.69,5.45,53.35,0.0
42,12-02-2018 00:00,13-02-2018 00:00,54.15,5.87,36.03,0.0
43,13-02-2018 00:00,14-02-2018 00:00,44.24,5.91,44.92,0.0
44,14-02-2018 00:00,15-02-2018 00:00,39.32,5.91,40.02,0.0
45,15-02-2018 00:00,16-02-2018 00:00,41.94,5.49,51.77,0.0
46,16-02-2018 00:00,17-02-2018 00:00,41.35,4.29,59.46,0.0
47,17-02-2018 00:00,18-02-2018 00:00,41.95,4.79,60.31,0.0
48,18-02-2018 00:00,19-02-2018 00:00,46.55,5.49,56.74,0.0
49,19-02-2018 00:00,20-02-2018 00:00,45.55,4.37,55.44,0.0
50,20-02-2018 00:00,21-02-2018 00:00,39.14,4.08,50.47,0.0
51,21-02-2018 00:00,22-02-2018 00:00,46.62,5.55,60.04,0.0
52,22-02-2018 00:00,23-02-2018 00:00,58.0,5.4,59.16,0.0
53,23-02-2018 00:00,24-02-2018 00:00,58.52,5.49,49.16,0.0
54,24-02-2018 00:00,25-02-2018 00:00,57.83,5.49,51.25,0.0
