,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,113.28,8.33,41.79,0.02
1,02-01-2018 00:00,03-01-2018 00:00,90.24,7.96,36.55,0.0
2,03-01-2018 00:00,04-01-2018 00:00,67.63,4.6,39.99,0.0
3,04-01-2018 00:00,05-01-2018 00:00,72.72,7.51,41.17,0.0
4,05-01-2018 00:00,06-01-2018 00:00,71.63,8.34,46.01,0.0
5,06-01-2018 00:00,07-01-2018 00:00,73.17,7.5,43.41,0.0
6,07-01-2018 00:00,08-01-2018 00:00,59.31,8.32,44.56,0.0
7,08-01-2018 00:00,09-01-2018 00:00,64.78,7.13,46.56,0.0
8,09-01-2018 00:00,10-01-2018 00:00,84.58,12.45,40.9,0.41
9,10-01-2018 00:00,11-01-2018 00:00,73.29,19.89,32.89,0.57
10,11-01-2018 00:00,12-01-2018 00:00,56.45,10.38,19.73,0.61
11,12-01-2018 00:00,13-01-2018 00:00,50.94,11.38,14.26,0.85
12,13-01-2018 00:00,14-01-2018 00:00,60.53,18.19,25.23,0.98
13,14-01-2018 00:00,15-01-2018 00:00,65.52,17.18,24.83,0.9
14,15-01-2018 00:00,16-01-2018 00:00,50.48,16.96,22.61,0.55
15,16-01-2018 00:00,17-01-2018 00:00,58.57,21.28,21.75,0.91
16,17-01-2018 00:00,18-01-2018 00:00,56.65,23.88,18.28,0.74
17,18-01-2018 00:00,19-01-2018 00:00,49.58,14.43,22.12,1.01
18,19-01-2018 00:00,20-01-2018 00:00,50.3,14.96,17.9,0.77
19,20-01-2018 00:00,21-01-2018 00:00,71.9,16.66,19.66,0.71
20,21-01-2018 00:00,22-01-2018 00:00,76.08,7.51,17.03,0.98
21,22-01-2018 00:00,23-01-2018 00:00,65.9,22.18,23.11,0.93
22,23-01-2018 00:00,24-01-2018 00:00,34.52,6.16,11.05,0.58
23,24-01-2018 00:00,25-01-2018 00:00,45.37,14.47,13.44,0.74
24,25-01-2018 00:00,26-01-2018 00:00,49.31,12.36,14.11,0.57
25,26-01-2018 00:00,27-01-2018 00:00,48.18,18.69,17.8,0.61
26,27-01-2018 00:00,28-01-2018 00:00,52.49,20.13,20.05,0.69
27,28-01-2018 00:00,29-01-2018 00:00,65.14,26.96,20.69,0.69
28,29-01-2018 00:00,30-01-2018 00:00,63.24,11.29,13.37,0.8
29,30-01-2018 00:00,31-01-2018 00:00,61.02,13.27,13.71,0.62
30,31-01-2018 00:00,01-02-2018 00:00,37.15,22.16,12.4,0.61
31,01-02-2018 00:00,02-02-2018 00:00,50.15,44.19,18.16,0.67
32,02-02-2018 00:00,03-02-2018 00:00,48.55,11.7,10.9,0.59
33,03-02-2018 00:00,04-02-2018 00:00,54.87,11.36,7.33,0.55
34,04-02-2018 00:00,05-02-2018 00:00,58.17,12.0,8.97,0.67
35,05-02-2018 00:00,06-02-2018 00:00,49.45,5.33,8.66,0.68
36,06-02-2018 00:00,07-02-2018 00:00,42.93,13.87,6.34,0.67
37,07-02-2018 00:00,08-02-2018 00:00,44.73,24.98,13.52,0.56
38,08-02-2018 00:00,09-02-2018 00:00,51.34,9.06,31.45,0.66
39,09-02-2018 00:00,10-02-2018 00:00,32.59,80.02,27.1,0.61
40,10-02-2018 00:00,11-02-2018 00:00,54.1,9.66,25.21,0.86
41,11-02-2018 00:00,12-02-2018 00:00,43.89,28.8,13.11,0.69
42,12-02-2018 00:00,13-02-2018 00:00,35.52,6.37,9.45,0.4
43,13-02-2018 00:00,14-02-2018 00:00,45.58,7.87,17.98,0.54
44,14-02-2018 00:00,15-02-2018 00:00,45.18,9.12,14.18,0.41
45,15-02-2018 00:00,16-02-2018 00:00,36.54,21.95,18.89,0.47
46,16-02-2018 00:00,17-02-2018 00:00,28.5,38.87,14.83,0.53
47,17-02-2018 00:00,18-02-2018 00:00,68.68,10.21,34.99,0.49
48,18-02-2018 00:00,19-02-2018 00:00,70.67,9.32,23.2,0.52
49,19-02-2018 00:00,20-02-2018 00:00,56.0,13.66,23.74,0.73
50,20-02-2018 00:00,21-02-2018 00:00,53.63,4.74,43.01,0.69
51,21-02-2018 00:00,22-02-2018 00:00,67.95,8.59,63.86,0.97
52,22-02-2018 00:00,23-02-2018 00:00,83.05,7.64,63.06,0.7
53,23-02-2018 00:00,24-02-2018 00:00,67.12,7.04,60.37,0.62
54,24-02-2018 00:00,25-02-2018 00:00,73.99,10.64,59.68,0.78
55,25-02-2018 00:00,26-02-2018 00:00,46.75,7.13,35.37,0.63
56,26-02-2018 00:00,27-02-2018 00:00,45.53,7.44,44.33,0.52
57,27-02-2018 00:00,28-02-2018 00:00,25.59,33.55,17.09,0.65
58,28-02-2018 00:00,01-03-2018 00:00,52.68,40.84,22.0,0.66
59,01-03-2018 00:00,02-03-2018 00:00,59.39,18.98,27.12,0.7
60,02-03-2018 00:00,03-03-2018 00:00,37.49,16.88,15.25,0.68
61,03-03-2018 00:00,04-03-2018 00:00,27.78,3.16,37.09,0.56
62,04-03-2018 00:00,05-03-2018 00:00,33.84,9.15,40.95,0.53
63,05-03-2018 00:00,06-03-2018 00:00,35.14,7.85,19.13,0.56
64,06-03-2018 00:00,07-03-2018 00:00,55.19,39.79,29.08,0.51
65,07-03-2018 00:00,08-03-2018 00:00,37.55,30.77,27.2,0.62
66,08-03-2018 00:00,09-03-2018 00:00,40.6,13.63,23.23,0.78
67,09-03-2018 00:00,10-03-2018 00:00,34.98,11.8,28.31,0.71
68,10-03-2018 00:00,11-03-2018 00:00,50.01,10.8,18.68,0.57
69,11-03-2018 00:00,12-03-2018 00:00,30.1,20.98,20.7,0.76
70,12-03-2018 00:00,13-03-2018 00:00,32.68,13.16,22.15,0.58
71,13-03-2018 00:00,14-03-2018 00:00,41.45,31.56,23.87,0.8
72,14-03-2018 00:00,15-03-2018 00:00,34.78,10.14,11.07,0.6
73,15-03-2018 00:00,16-03-2018 00:00,30.87,14.45,11.71,0.58
74,16-03-2018 00:00,17-03-2018 00:00,44.03,21.97,15.76,0.59
75,17-03-2018 00:00,18-03-2018 00:00,60.54,29.61,22.15,0.54
76,18-03-2018 00:00,19-03-2018 00:00,50.32,30.09,17.83,0.54
77,19-03-2018 00:00,20-03-2018 00:00,51.43,21.62,10.94,0.52
78,20-03-2018 00:00,21-03-2018 00:00,49.87,21.73,7.18,0.68
79,21-03-2018 00:00,22-03-2018 00:00,25.2,2.99,6.0,0.6
80,22-03-2018 00:00,23-03-2018 00:00,44.57,12.13,6.91,0.45
81,23-03-2018 00:00,24-03-2018 00:00,57.1,33.25,18.05,0.41
82,24-03-2018 00:00,25-03-2018 00:00,142.29,29.94,23.47,0.43
83,25-03-2018 00:00,26-03-2018 00:00,67.76,22.6,21.61,0.43
84,26-03-2018 00:00,27-03-2018 00:00,77.06,23.69,19.9,0.55
85,27-03-2018 00:00,28-03-2018 00:00,99.32,25.95,21.84,0.63
86,28-03-2018 00:00,29-03-2018 00:00,85.84,27.27,23.19,0.58
87,29-03-2018 00:00,30-03-2018 00:00,81.55,32.42,21.57,0.46
88,30-03-2018 00:00,31-03-2018 00:00,49.76,10.43,12.84,0.5
89,31-03-2018 00:00,01-04-2018 00:00,63.56,7.28,11.01,0.65
90,01-04-2018 00:00,02-04-2018 00:00,89.29,34.63,10.91,0.62
91,02-04-2018 00:00,03-04-2018 00:00,73.28,14.59,10.77,0.68
92,03-04-2018 00:00,04-04-2018 00:00,56.83,8.79,11.75,0.74
93,04-04-2018 00:00,05-04-2018 00:00,58.39,15.25,12.39,0.74
94,05-04-2018 00:00,06-04-2018 00:00,59.36,4.87,12.21,0.71
95,06-04-2018 00:00,07-04-2018 00:00,68.07,33.09,14.86,0.61
96,07-04-2018 00:00,08-04-2018 00:00,96.9,11.88,4.0,0.51
97,08-04-2018 00:00,09-04-2018 00:00,61.7,26.25,10.45,0.52
98,09-04-2018 00:00,10-04-2018 00:00,61.89,18.78,9.35,0.68
99,10-04-2018 00:00,11-04-2018 00:00,51.11,12.67,6.98,0.66
100,11-04-2018 00:00,12-04-2018 00:00,59.43,6.98,4.68,0.5
101,12-04-2018 00:00,13-04-2018 00:00,52.97,16.38,4.96,0.39
102,13-04-2018 00:00,14-04-2018 00:00,49.48,6.8,4.15,0.42
103,14-04-2018 00:00,15-04-2018 00:00,52.58,9.06,9.47,0.44
104,15-04-2018 00:00,16-04-2018 00:00,54.24,5.54,5.08,0.45
105,16-04-2018 00:00,17-04-2018 00:00,58.71,3.98,6.0,0.38
106,17-04-2018 00:00,18-04-2018 00:00,48.31,2.56,8.69,0.35
107,18-04-2018 00:00,19-04-2018 00:00,61.67,18.07,10.61,0.29
108,19-04-2018 00:00,20-04-2018 00:00,58.6,2.57,53.66,0.35
109,20-04-2018 00:00,21-04-2018 00:00,47.41,2.78,9.54,0.26
110,21-04-2018 00:00,22-04-2018 00:00,145.23,32.99,12.32,0.33
111,22-04-2018 00:00,23-04-2018 00:00,74.68,13.35,16.65,0.34
