,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,48.26,3.81,15.7,1.43
1,02-01-2018 00:00,03-01-2018 00:00,40.28,3.7,16.52,1.45
2,03-01-2018 00:00,04-01-2018 00:00,43.46,4.85,18.19,1.49
3,04-01-2018 00:00,05-01-2018 00:00,59.27,4.94,16.55,1.54
4,05-01-2018 00:00,06-01-2018 00:00,63.01,7.51,15.84,1.47
5,06-01-2018 00:00,07-01-2018 00:00,68.08,7.42,14.37,1.47
6,07-01-2018 00:00,08-01-2018 00:00,54.21,6.71,14.79,1.5
7,08-01-2018 00:00,09-01-2018 00:00,64.0,8.3,13.68,1.5
8,09-01-2018 00:00,10-01-2018 00:00,47.1,6.99,12.89,1.52
9,10-01-2018 00:00,11-01-2018 00:00,60.2,6.12,13.22,1.6
10,11-01-2018 00:00,12-01-2018 00:00,61.86,4.86,22.03,1.52
11,12-01-2018 00:00,13-01-2018 00:00,68.35,4.22,21.11,1.49
12,13-01-2018 00:00,14-01-2018 00:00,67.2,5.71,24.82,1.49
13,14-01-2018 00:00,15-01-2018 00:00,52.56,5.59,21.19,1.52
14,15-01-2018 00:00,16-01-2018 00:00,56.08,6.1,12.32,1.48
15,16-01-2018 00:00,17-01-2018 00:00,62.53,5.92,11.48,1.5
16,17-01-2018 00:00,18-01-2018 00:00,50.07,5.99,21.97,1.46
17,18-01-2018 00:00,19-01-2018 00:00,36.59,7.5,21.35,1.45
18,19-01-2018 00:00,20-01-2018 00:00,39.98,7.37,20.31,1.49
19,20-01-2018 00:00,21-01-2018 00:00,49.37,8.44,21.2,1.46
20,21-01-2018 00:00,22-01-2018 00:00,49.31,10.29,20.31,1.46
21,22-01-2018 00:00,23-01-2018 00:00,45.74,9.21,20.72,1.49
22,23-01-2018 00:00,24-01-2018 00:00,34.61,8.38,20.96,1.54
23,24-01-2018 00:00,25-01-2018 00:00,47.91,8.72,20.75,1.49
24,25-01-2018 00:00,26-01-2018 00:00,46.28,8.39,21.34,1.42
25,26-01-2018 00:00,27-01-2018 00:00,51.49,5.61,21.25,1.5
26,27-01-2018 00:00,28-01-2018 00:00,55.76,5.87,21.25,1.46
27,28-01-2018 00:00,29-01-2018 00:00,44.92,6.01,21.8,1.49
28,29-01-2018 00:00,30-01-2018 00:00,43.65,6.06,19.72,1.5
29,30-01-2018 00:00,31-01-2018 00:00,36.79,6.15,22.11,1.54
30,31-01-2018 00:00,01-02-2018 00:00,56.14,7.54,21.08,1.58
31,01-02-2018 00:00,02-02-2018 00:00,45.03,6.48,22.85,1.52
