,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,56.15,15.64,23.19,0.0
1,02-01-2018 00:00,03-01-2018 00:00,63.43,14.94,27.66,0.0
2,03-01-2018 00:00,04-01-2018 00:00,72.61,15.33,26.38,0.0
3,04-01-2018 00:00,05-01-2018 00:00,67.91,21.94,17.32,0.0
4,05-01-2018 00:00,06-01-2018 00:00,71.39,21.53,31.98,0.0
5,06-01-2018 00:00,07-01-2018 00:00,72.2,15.72,36.49,0.0
6,07-01-2018 00:00,08-01-2018 00:00,68.19,14.16,25.92,0.0
7,08-01-2018 00:00,09-01-2018 00:00,68.22,14.14,27.79,0.0
8,09-01-2018 00:00,10-01-2018 00:00,77.33,16.21,31.86,0.0
9,10-01-2018 00:00,11-01-2018 00:00,71.11,15.43,28.03,0.0
10,11-01-2018 00:00,12-01-2018 00:00,74.58,20.02,32.66,0.0
11,12-01-2018 00:00,13-01-2018 00:00,67.88,22.09,34.27,0.0
12,13-01-2018 00:00,14-01-2018 00:00,68.86,22.54,34.93,0.0
13,14-01-2018 00:00,15-01-2018 00:00,69.03,15.21,28.52,0.0
14,15-01-2018 00:00,16-01-2018 00:00,61.96,13.69,16.6,0.0
15,16-01-2018 00:00,17-01-2018 00:00,57.11,12.09,18.87,0.0
16,17-01-2018 00:00,18-01-2018 00:00,59.27,16.0,23.89,0.0
17,18-01-2018 00:00,19-01-2018 00:00,63.86,19.02,29.14,0.0
18,19-01-2018 00:00,20-01-2018 00:00,59.41,23.05,30.31,0.0
19,20-01-2018 00:00,21-01-2018 00:00,62.92,29.04,35.7,0.0
20,21-01-2018 00:00,22-01-2018 00:00,65.15,19.29,31.26,0.0
21,22-01-2018 00:00,23-01-2018 00:00,70.95,16.38,27.97,0.0
22,23-01-2018 00:00,24-01-2018 00:00,52.79,10.94,20.52,0.0
23,24-01-2018 00:00,25-01-2018 00:00,59.89,14.71,17.3,0.0
24,25-01-2018 00:00,26-01-2018 00:00,62.83,16.97,22.8,0.0
25,26-01-2018 00:00,27-01-2018 00:00,64.69,23.41,29.82,0.0
26,27-01-2018 00:00,28-01-2018 00:00,66.91,18.68,35.31,0.0
27,28-01-2018 00:00,29-01-2018 00:00,67.77,15.57,26.99,0.0
28,29-01-2018 00:00,30-01-2018 00:00,62.48,16.4,24.74,0.0
29,30-01-2018 00:00,31-01-2018 00:00,56.6,23.85,32.01,0.0
30,31-01-2018 00:00,01-02-2018 00:00,51.04,20.32,35.55,0.0
31,01-02-2018 00:00,02-02-2018 00:00,42.62,26.66,33.33,0.0
32,02-02-2018 00:00,03-02-2018 00:00,40.27,19.79,33.26,0.0
33,03-02-2018 00:00,04-02-2018 00:00,38.07,13.13,29.05,0.0
34,04-02-2018 00:00,05-02-2018 00:00,33.48,16.26,19.88,2.19
35,05-02-2018 00:00,06-02-2018 00:00,35.37,14.66,21.43,2.76
36,06-02-2018 00:00,07-02-2018 00:00,53.55,20.66,36.13,2.15
37,07-02-2018 00:00,08-02-2018 00:00,48.77,13.35,36.99,0.0
38,08-02-2018 00:00,09-02-2018 00:00,35.26,14.41,27.7,0.0
39,09-02-2018 00:00,10-02-2018 00:00,38.21,17.17,23.29,0.0
40,10-02-2018 00:00,11-02-2018 00:00,43.37,27.0,27.64,0.0
41,11-02-2018 00:00,12-02-2018 00:00,36.35,25.97,13.98,0.0
42,12-02-2018 00:00,13-02-2018 00:00,43.44,18.59,9.37,0.0
43,13-02-2018 00:00,14-02-2018 00:00,43.95,17.66,0.1,0.0
44,14-02-2018 00:00,15-02-2018 00:00,47.61,18.63,52.92,0.0
45,15-02-2018 00:00,16-02-2018 00:00,48.29,22.03,18.86,0.0
46,16-02-2018 00:00,17-02-2018 00:00,50.0,22.04,24.12,0.0
47,17-02-2018 00:00,18-02-2018 00:00,44.22,17.0,31.48,0.0
48,18-02-2018 00:00,19-02-2018 00:00,51.03,14.57,29.73,0.0
49,19-02-2018 00:00,20-02-2018 00:00,40.4,9.68,18.68,0.0
50,20-02-2018 00:00,21-02-2018 00:00,42.96,9.66,17.32,0.0
51,21-02-2018 00:00,22-02-2018 00:00,49.43,10.12,19.25,0.0
52,22-02-2018 00:00,23-02-2018 00:00,55.13,17.75,22.84,0.0
53,23-02-2018 00:00,24-02-2018 00:00,49.98,12.13,24.75,0.0
54,24-02-2018 00:00,25-02-2018 00:00,35.84,17.02,22.09,0.0
55,25-02-2018 00:00,26-02-2018 00:00,36.97,14.99,28.79,0.0
56,26-02-2018 00:00,27-02-2018 00:00,47.53,11.37,33.4,0.0
57,27-02-2018 00:00,28-02-2018 00:00,52.58,16.96,34.68,0.0
58,28-02-2018 00:00,01-03-2018 00:00,60.23,16.78,43.32,0.0
59,01-03-2018 00:00,02-03-2018 00:00,50.38,12.91,33.21,0.0
60,02-03-2018 00:00,03-03-2018 00:00,45.02,11.6,25.41,0.0
61,03-03-2018 00:00,04-03-2018 00:00,45.34,12.8,22.27,0.0
62,04-03-2018 00:00,05-03-2018 00:00,45.28,12.61,19.35,0.0
63,05-03-2018 00:00,06-03-2018 00:00,40.05,12.96,19.92,0.0
64,06-03-2018 00:00,07-03-2018 00:00,41.53,13.64,18.42,0.0
65,07-03-2018 00:00,08-03-2018 00:00,75.14,12.44,13.87,0.0
66,08-03-2018 00:00,09-03-2018 00:00,39.73,6.5,46.28,0.0
67,09-03-2018 00:00,10-03-2018 00:00,47.5,2.83,65.62,0.0
68,10-03-2018 00:00,11-03-2018 00:00,75.62,11.88,30.85,0.0
69,11-03-2018 00:00,12-03-2018 00:00,48.44,11.65,15.16,1.53
70,12-03-2018 00:00,13-03-2018 00:00,35.32,7.92,18.41,1.57
71,13-03-2018 00:00,14-03-2018 00:00,36.48,8.26,19.69,2.14
