,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,188.49,4.74,36.32,0.0
1,02-01-2018 00:00,03-01-2018 00:00,191.16,5.88,35.52,0.0
2,03-01-2018 00:00,04-01-2018 00:00,278.93,6.28,31.27,0.0
3,04-01-2018 00:00,05-01-2018 00:00,295.48,5.71,38.55,0.0
4,05-01-2018 00:00,06-01-2018 00:00,268.56,5.81,40.25,0.0
5,06-01-2018 00:00,07-01-2018 00:00,238.04,6.17,47.66,0.0
6,07-01-2018 00:00,08-01-2018 00:00,276.16,5.81,54.04,0.0
7,08-01-2018 00:00,09-01-2018 00:00,345.09,5.46,50.79,0.0
8,09-01-2018 00:00,10-01-2018 00:00,272.03,5.54,37.35,0.66
9,10-01-2018 00:00,11-01-2018 00:00,252.64,4.93,40.94,0.71
10,11-01-2018 00:00,12-01-2018 00:00,124.3,5.39,24.17,0.9
11,12-01-2018 00:00,13-01-2018 00:00,125.21,5.3,22.08,1.15
12,13-01-2018 00:00,14-01-2018 00:00,178.96,5.68,32.15,1.68
13,14-01-2018 00:00,15-01-2018 00:00,194.61,5.09,49.96,0.97
14,15-01-2018 00:00,16-01-2018 00:00,241.12,5.13,58.5,0.56
15,16-01-2018 00:00,17-01-2018 00:00,195.77,6.52,43.91,1.1
16,17-01-2018 00:00,18-01-2018 00:00,215.26,4.87,47.77,0.95
17,18-01-2018 00:00,19-01-2018 00:00,267.14,6.2,37.61,1.57
18,19-01-2018 00:00,20-01-2018 00:00,318.71,19.33,31.88,1.22
19,20-01-2018 00:00,21-01-2018 00:00,206.59,18.09,27.35,0.88
20,21-01-2018 00:00,22-01-2018 00:00,193.55,2.62,24.85,1.19
21,22-01-2018 00:00,23-01-2018 00:00,246.76,2.82,31.95,1.16
22,23-01-2018 00:00,24-01-2018 00:00,241.25,4.04,18.09,1.19
23,24-01-2018 00:00,25-01-2018 00:00,84.57,4.58,11.61,0.46
24,25-01-2018 00:00,26-01-2018 00:00,169.16,4.69,17.18,0.7
25,26-01-2018 00:00,27-01-2018 00:00,204.98,5.46,20.77,0.59
26,27-01-2018 00:00,28-01-2018 00:00,175.79,5.28,22.17,0.7
27,28-01-2018 00:00,29-01-2018 00:00,229.03,5.64,25.04,0.76
28,29-01-2018 00:00,30-01-2018 00:00,142.24,6.11,13.62,0.91
29,30-01-2018 00:00,31-01-2018 00:00,132.35,5.9,19.74,0.99
30,31-01-2018 00:00,01-02-2018 00:00,120.65,5.66,17.82,0.85
