,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,191.58,17.72,43.73,0.0
1,02-01-2018 00:00,03-01-2018 00:00,154.23,18.53,36.41,0.0
2,03-01-2018 00:00,04-01-2018 00:00,160.0,18.99,37.5,0.0
3,04-01-2018 00:00,05-01-2018 00:00,147.29,19.71,60.85,0.0
4,05-01-2018 00:00,06-01-2018 00:00,107.49,19.02,52.36,0.0
5,06-01-2018 00:00,07-01-2018 00:00,172.87,25.02,62.3,0.0
6,07-01-2018 00:00,08-01-2018 00:00,49.18,24.2,50.28,0.0
7,08-01-2018 00:00,09-01-2018 00:00,87.05,23.7,43.24,0.0
8,09-01-2018 00:00,10-01-2018 00:00,143.19,18.84,52.48,0.66
9,10-01-2018 00:00,11-01-2018 00:00,179.16,23.62,49.39,0.71
10,11-01-2018 00:00,12-01-2018 00:00,158.88,17.31,55.59,0.9
11,12-01-2018 00:00,13-01-2018 00:00,120.97,17.96,56.29,1.15
12,13-01-2018 00:00,14-01-2018 00:00,218.19,19.51,60.77,1.68
13,14-01-2018 00:00,15-01-2018 00:00,363.24,24.87,48.47,0.97
14,15-01-2018 00:00,16-01-2018 00:00,290.37,22.77,44.0,0.56
15,16-01-2018 00:00,17-01-2018 00:00,212.74,22.68,47.86,1.1
16,17-01-2018 00:00,18-01-2018 00:00,285.13,19.23,50.18,0.95
17,18-01-2018 00:00,19-01-2018 00:00,279.63,26.69,74.02,1.57
18,19-01-2018 00:00,20-01-2018 00:00,233.98,27.94,68.0,1.22
19,20-01-2018 00:00,21-01-2018 00:00,91.71,23.11,61.08,0.88
20,21-01-2018 00:00,22-01-2018 00:00,66.26,21.07,82.65,1.19
21,22-01-2018 00:00,23-01-2018 00:00,75.38,25.16,99.23,1.16
22,23-01-2018 00:00,24-01-2018 00:00,114.69,24.81,71.94,1.19
23,24-01-2018 00:00,25-01-2018 00:00,46.84,20.34,47.84,0.46
24,25-01-2018 00:00,26-01-2018 00:00,62.56,18.31,49.04,0.7
25,26-01-2018 00:00,27-01-2018 00:00,59.02,20.0,31.41,0.59
26,27-01-2018 00:00,28-01-2018 00:00,64.23,22.45,42.91,0.7
27,28-01-2018 00:00,29-01-2018 00:00,130.81,20.25,44.88,0.76
28,29-01-2018 00:00,30-01-2018 00:00,108.15,26.17,51.14,0.91
29,30-01-2018 00:00,31-01-2018 00:00,67.8,22.67,42.29,0.99
30,31-01-2018 00:00,01-02-2018 00:00,62.03,21.78,47.16,0.85
31,01-02-2018 00:00,02-02-2018 00:00,63.42,25.71,71.01,1.08
32,02-02-2018 00:00,03-02-2018 00:00,74.47,36.78,50.68,0.8
33,03-02-2018 00:00,04-02-2018 00:00,106.32,32.25,46.75,0.77
34,04-02-2018 00:00,05-02-2018 00:00,106.28,27.17,45.88,0.82
35,05-02-2018 00:00,06-02-2018 00:00,72.24,25.15,60.89,0.99
36,06-02-2018 00:00,07-02-2018 00:00,86.08,21.16,52.49,1.14
37,07-02-2018 00:00,08-02-2018 00:00,68.5,26.14,52.73,0.69
