From_Date,To_Date,PM2.5,NO2,SO2,CO
01-01-2018 00:00,02-01-2018 00:00,268.29,47.59,51.1,3.8
02-01-2018 00:00,03-01-2018 00:00,228.88,21.71,33.89,3.87
03-01-2018 00:00,04-01-2018 00:00,248.58,88.46,41.76,3.26
04-01-2018 00:00,05-01-2018 00:00,281.95,52.59,34.8,3.23
05-01-2018 00:00,06-01-2018 00:00,245.74,20.2,30.51,4.43
06-01-2018 00:00,07-01-2018 00:00,239.76,72.76,32.3,3.48
07-01-2018 00:00,08-01-2018 00:00,271.72,92.5,56.67,2.49
08-01-2018 00:00,09-01-2018 00:00,320.55,89.86,60.11,2.54
09-01-2018 00:00,10-01-2018 00:00,236.46,42.41,52.2,3.05
10-01-2018 00:00,11-01-2018 00:00,205.46,55.8,41.78,1.72
11-01-2018 00:00,12-01-2018 00:00,205.51,75.99,66.28,2.64
12-01-2018 00:00,13-01-2018 00:00,246.39,92.73,69.46,2.75
13-01-2018 00:00,14-01-2018 00:00,237.66,67.13,49.68,2.79
14-01-2018 00:00,15-01-2018 00:00,191.33,28.32,44.23,3.93
15-01-2018 00:00,16-01-2018 00:00,212.53,66.26,46.58,1.85
16-01-2018 00:00,17-01-2018 00:00,218.11,77.8,57.55,2.71
17-01-2018 00:00,18-01-2018 00:00,174.48,34.1,49.25,2.68
18-01-2018 00:00,19-01-2018 00:00,179.65,27.22,42.79,3.44
19-01-2018 00:00,20-01-2018 00:00,138.53,51.15,42.12,2.84
20-01-2018 00:00,21-01-2018 00:00,119.71,62.74,47.82,3.01
21-01-2018 00:00,22-01-2018 00:00,176.07,65.04,46.82,2.92
22-01-2018 00:00,23-01-2018 00:00,201.13,43.94,48.76,3.72
23-01-2018 00:00,24-01-2018 00:00,195.85,68.31,46.58,1.11
24-01-2018 00:00,25-01-2018 00:00,168.55,36.1,48.01,1.56
25-01-2018 00:00,26-01-2018 00:00,114.59,20.73,49.14,1.24
26-01-2018 00:00,27-01-2018 00:00,108.98,9.21,48.55,3.87
27-01-2018 00:00,28-01-2018 00:00,155.55,46.11,44.25,2.19
28-01-2018 00:00,29-01-2018 00:00,239.87,22.6,29.38,8.37
29-01-2018 00:00,30-01-2018 00:00,195.33,13.85,32.05,7.83
30-01-2018 00:00,31-01-2018 00:00,294.88,92.7,35.82,12.32
31-01-2018 00:00,01-02-2018 00:00,255.69,67.67,36.23,17.57
01-02-2018 00:00,02-02-2018 00:00,209.72,14.7,33.75,2.795
02-02-2018 00:00,03-02-2018 00:00,197.13,8.41,37.08,4.12
03-02-2018 00:00,04-02-2018 00:00,150.39,103.0,29.71,5.42
04-02-2018 00:00,05-02-2018 00:00,102.16,119.68,34.29,1.68
05-02-2018 00:00,06-02-2018 00:00,80.3,48.97,34.16,1.245
06-02-2018 00:00,07-02-2018 00:00,101.32,32.48,36.07,1.05
07-02-2018 00:00,08-02-2018 00:00,126.41,28.44,36.14,1.135
08-02-2018 00:00,09-02-2018 00:00,109.01,24.99,26.65,2.45
09-02-2018 00:00,10-02-2018 00:00,101.34,24.14,37.76,2.975
10-02-2018 00:00,11-02-2018 00:00,121.12,21.26,39.06,3.675
11-02-2018 00:00,12-02-2018 00:00,157.82,20.89,37.47,1.985
12-02-2018 00:00,13-02-2018 00:00,177.09,28.26,31.66,1.065
13-02-2018 00:00,14-02-2018 00:00,149.52,24.68,36.19,1.07
14-02-2018 00:00,15-02-2018 00:00,104.77,22.23,31.16,0.76
15-02-2018 00:00,16-02-2018 00:00,96.59,20.51,37.88,1.01
16-02-2018 00:00,17-02-2018 00:00,137.65,22.26,33.28,1.395
17-02-2018 00:00,18-02-2018 00:00,155.11,50.92,33.92,1.51
18-02-2018 00:00,19-02-2018 00:00,160.86,49.15,54.14,1.63
19-02-2018 00:00,20-02-2018 00:00,157.27,26.96,49.87,2.4450000000000003
20-02-2018 00:00,21-02-2018 00:00,173.7,53.98,41.76,2.535
21-02-2018 00:00,22-02-2018 00:00,176.11,35.96,38.95,3.3200000000000003
22-02-2018 00:00,23-02-2018 00:00,215.25,23.63,37.13,2.325
23-02-2018 00:00,24-02-2018 00:00,155.66,15.79,38.16,2.19
24-02-2018 00:00,25-02-2018 00:00,226.19,14.81,37.03,1.9
25-02-2018 00:00,26-02-2018 00:00,167.15,12.69,38.66,1.055
26-02-2018 00:00,27-02-2018 00:00,170.48,10.56,26.81,0.755
27-02-2018 00:00,28-02-2018 00:00,117.14,12.19,35.14,1.395
28-02-2018 00:00,01-03-2018 00:00,146.81,11.44,33.2,1.685
01-03-2018 00:00,02-03-2018 00:00,144.28,45.1,40.55,1.65
02-03-2018 00:00,03-03-2018 00:00,158.33,25.21,32.75,1.935
03-03-2018 00:00,04-03-2018 00:00,81.86,12.07,39.68,1.25
04-03-2018 00:00,05-03-2018 00:00,91.1,15.01,38.85,0.975
05-03-2018 00:00,06-03-2018 00:00,103.88,12.42,34.95,0.965
06-03-2018 00:00,07-03-2018 00:00,76.12,12.73,36.5,0.8500000000000001
07-03-2018 00:00,08-03-2018 00:00,91.03,14.54,34.49,1.35
08-03-2018 00:00,09-03-2018 00:00,113.63,15.14,36.49,2.655
09-03-2018 00:00,10-03-2018 00:00,114.04,15.24,41.43,1.915
10-03-2018 00:00,11-03-2018 00:00,115.27,10.52,37.81,0.915
11-03-2018 00:00,12-03-2018 00:00,96.65,11.25,33.85,1.3
12-03-2018 00:00,13-03-2018 00:00,134.03,70.49,37.83,1.3250000000000002
13-03-2018 00:00,14-03-2018 00:00,131.73,129.88,30.65,1.79
14-03-2018 00:00,15-03-2018 00:00,166.77,136.96,44.22,2.065
15-03-2018 00:00,16-03-2018 00:00,171.66,87.88,44.79,1.16
16-03-2018 00:00,17-03-2018 00:00,154.87,58.56,41.13,1.105
17-03-2018 00:00,18-03-2018 00:00,86.93,34.46,48.32,0.8999999999999999
18-03-2018 00:00,19-03-2018 00:00,95.55,26.32,50.39,0.93
19-03-2018 00:00,20-03-2018 00:00,105.21,63.0,46.52,1.15
20-03-2018 00:00,21-03-2018 00:00,125.77,54.29,48.11,1.725
21-03-2018 00:00,22-03-2018 00:00,142.12,25.0,46.59,1.285
22-03-2018 00:00,23-03-2018 00:00,174.79,23.69,50.86,0.925
23-03-2018 00:00,24-03-2018 00:00,122.48,18.97,47.55,0.845
24-03-2018 00:00,25-03-2018 00:00,96.98,13.17,46.74,0.855
25-03-2018 00:00,26-03-2018 00:00,106.25,13.6,47.61,0.96
26-03-2018 00:00,27-03-2018 00:00,109.71,19.27,44.25,1.095
27-03-2018 00:00,28-03-2018 00:00,135.36,15.56,51.64,1.84
28-03-2018 00:00,29-03-2018 00:00,144.48,13.7,49.81,1.805
29-03-2018 00:00,30-03-2018 00:00,139.01,16.84,48.27,1.01
30-03-2018 00:00,31-03-2018 00:00,107.48,10.55,46.97,1.185
31-03-2018 00:00,01-04-2018 00:00,60.69,39.85,42.84,1.255
01-04-2018 00:00,02-04-2018 00:00,73.62,45.51,44.94,0.6050000000000001
02-04-2018 00:00,03-04-2018 00:00,63.73,45.12,47.15,1.4249999999999998
03-04-2018 00:00,04-04-2018 00:00,97.57,40.72,52.23,1.37
04-04-2018 00:00,05-04-2018 00:00,86.62,27.68,46.19,1.795
05-04-2018 00:00,06-04-2018 00:00,64.58,19.05,50.2,2.06
06-04-2018 00:00,07-04-2018 00:00,75.24,15.59,50.64,1.095
07-04-2018 00:00,08-04-2018 00:00,104.35,14.05,50.26,0.865
08-04-2018 00:00,09-04-2018 00:00,85.25,15.26,53.12,0.78
09-04-2018 00:00,10-04-2018 00:00,87.18,14.54,46.12,1.11
10-04-2018 00:00,11-04-2018 00:00,89.27,12.24,49.19,1.1800000000000002
11-04-2018 00:00,12-04-2018 00:00,85.47,12.36,50.98,0.735
12-04-2018 00:00,13-04-2018 00:00,98.01,12.64,48.18,1.235
13-04-2018 00:00,14-04-2018 00:00,78.93,17.06,47.24,1.395
14-04-2018 00:00,15-04-2018 00:00,102.37,45.4,35.82,1.7
15-04-2018 00:00,16-04-2018 00:00,115.14,25.68,42.85,1.825
16-04-2018 00:00,17-04-2018 00:00,97.47,17.32,46.48,2.01
17-04-2018 00:00,18-04-2018 00:00,93.26,12.35,48.2,1.13
18-04-2018 00:00,19-04-2018 00:00,97.8,11.62,53.4,0.61
19-04-2018 00:00,20-04-2018 00:00,93.17,10.49,51.05,1.075
20-04-2018 00:00,21-04-2018 00:00,148.07,7.58,49.23,0.6799999999999999
21-04-2018 00:00,22-04-2018 00:00,98.41,7.05,48.15,0.525
22-04-2018 00:00,23-04-2018 00:00,89.64,8.85,49.82,0.58
23-04-2018 00:00,24-04-2018 00:00,77.88,10.88,46.26,0.925
24-04-2018 00:00,25-04-2018 00:00,176.0,14.75,51.27,1.535
25-04-2018 00:00,26-04-2018 00:00,117.53,60.2,48.75,1.93
26-04-2018 00:00,27-04-2018 00:00,66.72,71.5,49.38,2.1
27-04-2018 00:00,28-04-2018 00:00,60.83,80.17,41.39,1.005
28-04-2018 00:00,29-04-2018 00:00,66.47,71.25,49.88,0.915
29-04-2018 00:00,30-04-2018 00:00,63.68,56.69,47.14,0.95
30-04-2018 00:00,01-05-2018 00:00,44.38,67.37,48.2,0.93
01-05-2018 00:00,02-05-2018 00:00,48.63,54.0,49.62,0.715
02-05-2018 00:00,03-05-2018 00:00,55.65,46.53,50.09,0.685
03-05-2018 00:00,04-05-2018 00:00,51.89,37.57,50.49,0.685
04-05-2018 00:00,05-05-2018 00:00,57.83,58.21,39.98,0.8200000000000001
05-05-2018 00:00,06-05-2018 00:00,66.57,81.56,46.1,1.33
06-05-2018 00:00,07-05-2018 00:00,100.0,75.57,43.9,1.415
07-05-2018 00:00,08-05-2018 00:00,97.46,82.69,45.34,1.505
08-05-2018 00:00,09-05-2018 00:00,99.26,85.31,41.69,0.47
09-05-2018 00:00,10-05-2018 00:00,81.52,90.89,41.47,1.125
10-05-2018 00:00,11-05-2018 00:00,90.98,84.54,38.49,1.285
11-05-2018 00:00,12-05-2018 00:00,77.16,30.87,33.3,1.645
12-05-2018 00:00,13-05-2018 00:00,58.03,17.54,43.87,1.72
13-05-2018 00:00,14-05-2018 00:00,62.01,11.95,39.33,0.6799999999999999
14-05-2018 00:00,15-05-2018 00:00,41.16,12.29,47.8,0.6950000000000001
15-05-2018 00:00,16-05-2018 00:00,63.46,49.86,38.69,0.655
16-05-2018 00:00,17-05-2018 00:00,62.28,62.31,41.66,0.6799999999999999
17-05-2018 00:00,18-05-2018 00:00,66.47,45.11,47.7,0.845
18-05-2018 00:00,19-05-2018 00:00,79.85,25.72,45.99,1.27
19-05-2018 00:00,20-05-2018 00:00,72.61,16.77,45.74,1.59
20-05-2018 00:00,21-05-2018 00:00,68.93,17.05,46.97,1.19
21-05-2018 00:00,22-05-2018 00:00,100.12,14.18,43.35,0.885
22-05-2018 00:00,23-05-2018 00:00,86.1,7.39,42.02,1.65
23-05-2018 00:00,24-05-2018 00:00,71.95,3.64,43.64,2.255
24-05-2018 00:00,25-05-2018 00:00,76.25,2.12,45.84,1.66
25-05-2018 00:00,26-05-2018 00:00,77.31,53.92,37.5,1.5550000000000002
26-05-2018 00:00,27-05-2018 00:00,73.2,71.53,32.69,1.79
27-05-2018 00:00,28-05-2018 00:00,77.57,47.96,36.57,1.22
28-05-2018 00:00,29-05-2018 00:00,66.82,52.45,31.42,1.805
29-05-2018 00:00,30-05-2018 00:00,48.92,71.85,9.43,1.445
30-05-2018 00:00,31-05-2018 00:00,53.61,75.21,38.82,0.935
31-05-2018 00:00,01-06-2018 00:00,56.0,63.91,39.23,1.215
01-06-2018 00:00,02-06-2018 00:00,47.13,80.2,38.43,0.95
02-06-2018 00:00,03-06-2018 00:00,54.43,79.25,38.63,0.845
