From_Date,To_Date,PM2.5,NO2,SO2,CO
01-01-2018 00:00,02-01-2018 00:00,488.62,87.65,21.69,3.72
02-01-2018 00:00,03-01-2018 00:00,360.76,83.98,23.63,3.93
03-01-2018 00:00,04-01-2018 00:00,288.57,87.43,20.43,2.12
04-01-2018 00:00,05-01-2018 00:00,352.22,92.08,21.95,1.28
05-01-2018 00:00,06-01-2018 00:00,305.94,82.24,21.69,2.67
06-01-2018 00:00,07-01-2018 00:00,324.43,123.86,22.34,3.54
07-01-2018 00:00,08-01-2018 00:00,244.64,104.59,21.55,2.74
08-01-2018 00:00,09-01-2018 00:00,177.4,129.12,23.5,3.35
09-01-2018 00:00,10-01-2018 00:00,373.14,138.93,23.49,3.82
10-01-2018 00:00,11-01-2018 00:00,246.4,109.23,23.07,2.76
11-01-2018 00:00,12-01-2018 00:00,203.02,106.37,23.39,4.49
12-01-2018 00:00,13-01-2018 00:00,235.63,128.18,30.31,2.36
13-01-2018 00:00,14-01-2018 00:00,378.93,137.78,24.67,4.9
14-01-2018 00:00,15-01-2018 00:00,302.92,123.09,24.67,2.73
15-01-2018 00:00,16-01-2018 00:00,240.9,101.05,20.8,1.83
16-01-2018 00:00,17-01-2018 00:00,163.43,113.0,27.87,2.06
17-01-2018 00:00,18-01-2018 00:00,291.16,72.49,18.02,1.28
18-01-2018 00:00,19-01-2018 00:00,451.25,137.55,31.91,4.07
19-01-2018 00:00,20-01-2018 00:00,414.69,149.24,21.65,2.25
20-01-2018 00:00,21-01-2018 00:00,234.83,107.97,21.96,1.51
21-01-2018 00:00,22-01-2018 00:00,227.46,159.15,34.29,2.74
22-01-2018 00:00,23-01-2018 00:00,212.96,122.22,29.3,3.1
23-01-2018 00:00,24-01-2018 00:00,195.95,87.01,24.91,2.16
24-01-2018 00:00,25-01-2018 00:00,158.36,70.92,25.14,2.07
25-01-2018 00:00,26-01-2018 00:00,75.71,364.9,10.8,10.14
26-01-2018 00:00,27-01-2018 00:00,190.5,81.27,16.85,2.62
27-01-2018 00:00,28-01-2018 00:00,222.35,185.3,15.08,3.47
28-01-2018 00:00,29-01-2018 00:00,235.47,156.33,15.76,3.04
29-01-2018 00:00,30-01-2018 00:00,241.02,303.91,12.74,3.75
30-01-2018 00:00,31-01-2018 00:00,130.58,146.69,18.58,3.65
31-01-2018 00:00,01-02-2018 00:00,141.84,155.33,14.99,5.16
01-02-2018 00:00,02-02-2018 00:00,194.83,342.19,13.67,4.12
02-02-2018 00:00,03-02-2018 00:00,128.85,230.33,16.39,2.25
03-02-2018 00:00,04-02-2018 00:00,104.88,202.86,17.58,4.15
04-02-2018 00:00,05-02-2018 00:00,137.03,247.05,14.94,6.37
