From_Date,To_Date,PM2.5,NO2,SO2,CO
01-01-2018 00:00,02-01-2018 00:00,317.88,32.17,18.65,1.12
02-01-2018 00:00,03-01-2018 00:00,359.79,31.39,23.32,1.11
03-01-2018 00:00,04-01-2018 00:00,197.22,28.28,14.41,1.32
04-01-2018 00:00,05-01-2018 00:00,223.66,30.41,15.32,1.29
05-01-2018 00:00,06-01-2018 00:00,224.11,30.36,15.54,1.28
06-01-2018 00:00,07-01-2018 00:00,279.25,30.71,16.75,1.25
07-01-2018 00:00,08-01-2018 00:00,188.91,29.96,26.16,1.36
08-01-2018 00:00,09-01-2018 00:00,181.2,31.12,38.0,1.28
09-01-2018 00:00,10-01-2018 00:00,230.74,32.8,45.83,1.22
10-01-2018 00:00,11-01-2018 00:00,188.06,31.93,48.31,1.26
11-01-2018 00:00,12-01-2018 00:00,164.57,32.09,55.17,1.23
12-01-2018 00:00,13-01-2018 00:00,177.7,31.7,62.76,1.27
13-01-2018 00:00,14-01-2018 00:00,173.2,31.56,30.79,1.2
14-01-2018 00:00,15-01-2018 00:00,68.72,30.72,40.85,1.23
15-01-2018 00:00,16-01-2018 00:00,64.24,30.59,44.27,1.34
16-01-2018 00:00,17-01-2018 00:00,122.98,32.7,48.99,1.17
17-01-2018 00:00,18-01-2018 00:00,201.1,31.32,16.35,1.15
18-01-2018 00:00,19-01-2018 00:00,352.27,32.43,34.31,1.02
19-01-2018 00:00,20-01-2018 00:00,124.47,29.14,27.93,1.53
20-01-2018 00:00,21-01-2018 00:00,73.76,30.07,41.57,1.32
21-01-2018 00:00,22-01-2018 00:00,64.2,31.44,46.68,1.14
22-01-2018 00:00,23-01-2018 00:00,148.51,32.72,39.63,0.98
23-01-2018 00:00,24-01-2018 00:00,146.28,30.22,9.19,1.28
24-01-2018 00:00,25-01-2018 00:00,144.32,30.46,11.19,1.26
25-01-2018 00:00,26-01-2018 00:00,126.02,29.29,5.36,1.42
26-01-2018 00:00,27-01-2018 00:00,147.16,30.11,4.66,1.31
27-01-2018 00:00,28-01-2018 00:00,192.55,30.94,8.9,1.26
28-01-2018 00:00,29-01-2018 00:00,157.39,30.58,14.22,1.34
29-01-2018 00:00,30-01-2018 00:00,176.15,31.15,20.71,1.36
30-01-2018 00:00,31-01-2018 00:00,148.22,29.4,29.72,1.43
31-01-2018 00:00,01-02-2018 00:00,142.37,29.93,28.37,1.37
01-02-2018 00:00,02-02-2018 00:00,137.93,32.7,23.49,1.25
02-02-2018 00:00,03-02-2018 00:00,133.62,32.43,15.913333333333332,1.06
03-02-2018 00:00,04-02-2018 00:00,107.67,32.51,18.2,1.0
04-02-2018 00:00,05-02-2018 00:00,118.58,33.02,18.24333333333333,0.93
05-02-2018 00:00,06-02-2018 00:00,156.39,33.75,20.3,0.86
06-02-2018 00:00,07-02-2018 00:00,151.16,32.56,21.31,1.01
07-02-2018 00:00,08-02-2018 00:00,133.35,32.94,21.913333333333338,0.93
08-02-2018 00:00,09-02-2018 00:00,187.02,33.99,13.163333333333332,0.85
09-02-2018 00:00,10-02-2018 00:00,201.92,34.63,13.846666666666666,0.82
10-02-2018 00:00,11-02-2018 00:00,231.09,35.99,12.76,0.63
11-02-2018 00:00,12-02-2018 00:00,153.57,34.24,13.5,0.79
12-02-2018 00:00,13-02-2018 00:00,57.78,32.26,10.453333333333331,1.03
13-02-2018 00:00,14-02-2018 00:00,94.88,31.88,11.29,1.16
14-02-2018 00:00,15-02-2018 00:00,90.96,30.43,10.68,1.45
15-02-2018 00:00,16-02-2018 00:00,83.77,24.0,13.95,2.7
16-02-2018 00:00,17-02-2018 00:00,118.98,27.22,18.286666666666665,2.07
17-02-2018 00:00,18-02-2018 00:00,115.6,32.16,22.543333333333337,1.1
18-02-2018 00:00,19-02-2018 00:00,119.29,33.14,16.813333333333336,0.96
19-02-2018 00:00,20-02-2018 00:00,174.6,29.61,17.616666666666664,1.68
20-02-2018 00:00,21-02-2018 00:00,170.28,32.2,17.756666666666664,1.35
21-02-2018 00:00,22-02-2018 00:00,194.74,31.32,14.106666666666667,1.27
22-02-2018 00:00,23-02-2018 00:00,166.8,30.06,19.60666666666667,1.33
23-02-2018 00:00,24-02-2018 00:00,195.24,32.84,18.89333333333333,1.16
24-02-2018 00:00,25-02-2018 00:00,145.64,33.97,15.9,1.2
25-02-2018 00:00,26-02-2018 00:00,100.96,30.69,16.066666666666666,1.25
26-02-2018 00:00,27-02-2018 00:00,96.19,28.48,10.58,1.68
27-02-2018 00:00,28-02-2018 00:00,115.64,30.16,12.08,1.47
28-02-2018 00:00,01-03-2018 00:00,134.51,30.69,18.290000000000003,1.3
01-03-2018 00:00,02-03-2018 00:00,120.27,29.58,19.953333333333333,1.45
02-03-2018 00:00,03-03-2018 00:00,149.3,30.82,11.196666666666664,1.27
03-03-2018 00:00,04-03-2018 00:00,105.52,30.1,18.293333333333333,1.37
04-03-2018 00:00,05-03-2018 00:00,95.79,29.41,16.283333333333335,1.45
05-03-2018 00:00,06-03-2018 00:00,86.44,29.16,15.543333333333331,1.48
06-03-2018 00:00,07-03-2018 00:00,93.79,29.48,17.97,1.44
07-03-2018 00:00,08-03-2018 00:00,102.94,30.67,15.303333333333336,1.3
08-03-2018 00:00,09-03-2018 00:00,159.01,34.48,16.326666666666664,1.03
09-03-2018 00:00,10-03-2018 00:00,166.38,32.61,22.37666666666667,1.1
10-03-2018 00:00,11-03-2018 00:00,82.74,29.1,18.89,1.45
11-03-2018 00:00,12-03-2018 00:00,103.38,30.16,21.723333333333333,1.37
12-03-2018 00:00,13-03-2018 00:00,120.83,31.09,21.686666666666667,1.27
13-03-2018 00:00,14-03-2018 00:00,149.43,30.5,21.473333333333333,1.39
14-03-2018 00:00,15-03-2018 00:00,154.11,31.69,17.563333333333333,1.16
15-03-2018 00:00,16-03-2018 00:00,124.5,30.45,19.156666666666663,1.35
16-03-2018 00:00,17-03-2018 00:00,129.63,32.91,21.97666666666667,1.12
17-03-2018 00:00,18-03-2018 00:00,114.2,28.84,31.215,1.65
18-03-2018 00:00,19-03-2018 00:00,109.64,24.0,24.8,2.7
19-03-2018 00:00,20-03-2018 00:00,102.21,24.0,29.425,2.7
20-03-2018 00:00,21-03-2018 00:00,122.31,24.0,24.666666666666668,2.7
21-03-2018 00:00,22-03-2018 00:00,160.37,30.35,32.086666666666666,1.35
22-03-2018 00:00,23-03-2018 00:00,91.77,30.52,27.88,1.26
23-03-2018 00:00,24-03-2018 00:00,77.69,27.03,18.236666666666668,1.98
24-03-2018 00:00,25-03-2018 00:00,91.19,30.88,21.933333333333334,1.22
25-03-2018 00:00,26-03-2018 00:00,118.49,30.65,22.460000000000004,1.25
26-03-2018 00:00,27-03-2018 00:00,115.77,28.89,24.473333333333333,1.64
27-03-2018 00:00,28-03-2018 00:00,135.6,29.14,26.36666666666667,1.72
28-03-2018 00:00,29-03-2018 00:00,141.88,31.35,20.226666666666667,1.15
29-03-2018 00:00,30-03-2018 00:00,102.59,30.94,25.17,1.21
30-03-2018 00:00,31-03-2018 00:00,132.03,31.0,21.86,1.2
31-03-2018 00:00,01-04-2018 00:00,112.72,33.35,20.496666666666663,0.91
01-04-2018 00:00,02-04-2018 00:00,102.26,34.39,15.563333333333333,0.78
02-04-2018 00:00,03-04-2018 00:00,116.89,32.95,17.79,0.96
