From_Date,To_Date,PM2.5,NO2,SO2,CO
01-01-2018 00:00,02-01-2018 00:00,338.07,8.48,9.107204169221337,1.96
02-01-2018 00:00,03-01-2018 00:00,293.25,8.48,6.432204169221336,1.42
03-01-2018 00:00,04-01-2018 00:00,218.55,8.13,8.147204169221336,1.33
04-01-2018 00:00,05-01-2018 00:00,220.73,8.48,9.157204169221338,1.19
05-01-2018 00:00,06-01-2018 00:00,235.6,8.47,6.127204169221336,1.14
06-01-2018 00:00,07-01-2018 00:00,243.49,8.49,9.982204169221337,1.73
07-01-2018 00:00,08-01-2018 00:00,157.4,8.49,8.177204169221337,1.13
08-01-2018 00:00,09-01-2018 00:00,131.22,8.48,7.907204169221337,0.95
09-01-2018 00:00,10-01-2018 00:00,192.8,8.48,7.727204169221336,1.53
10-01-2018 00:00,11-01-2018 00:00,169.25,8.48,6.032204169221337,1.14
11-01-2018 00:00,12-01-2018 00:00,136.78,8.48,5.657204169221337,0.68
12-01-2018 00:00,13-01-2018 00:00,137.8,8.49,8.622204169221337,1.12
13-01-2018 00:00,14-01-2018 00:00,169.98,8.48,10.842204169221336,2.27
14-01-2018 00:00,15-01-2018 00:00,149.18,8.48,10.112204169221336,1.48
15-01-2018 00:00,16-01-2018 00:00,161.05,12.51,11.002204169221336,1.11
16-01-2018 00:00,17-01-2018 00:00,99.7,16.25,11.007204169221335,1.27
17-01-2018 00:00,18-01-2018 00:00,206.94,14.81,11.832204169221336,1.78
18-01-2018 00:00,19-01-2018 00:00,224.38,14.53,11.017204169221335,1.74
19-01-2018 00:00,20-01-2018 00:00,190.9,14.93,12.407204169221338,1.32
20-01-2018 00:00,21-01-2018 00:00,122.7,13.84,12.242204169221337,0.94
21-01-2018 00:00,22-01-2018 00:00,121.18,13.6,13.917204169221336,1.08
22-01-2018 00:00,23-01-2018 00:00,175.36,15.28,13.532204169221338,1.64
23-01-2018 00:00,24-01-2018 00:00,165.93,14.31,12.857204169221337,0.97
24-01-2018 00:00,25-01-2018 00:00,144.79,13.03,13.847204169221335,0.56
25-01-2018 00:00,26-01-2018 00:00,93.95,12.94,16.742204169221335,0.16
26-01-2018 00:00,27-01-2018 00:00,121.42,13.25,17.497204169221337,0.67
27-01-2018 00:00,28-01-2018 00:00,144.67,13.61,16.807204169221336,0.7
28-01-2018 00:00,29-01-2018 00:00,124.44,13.29,16.727204169221338,0.91
29-01-2018 00:00,30-01-2018 00:00,125.49,13.33,18.122204169221337,0.87
30-01-2018 00:00,31-01-2018 00:00,101.71,12.49,16.777204169221335,0.48
31-01-2018 00:00,01-02-2018 00:00,101.42,12.33,17.302204169221337,0.52
01-02-2018 00:00,02-02-2018 00:00,104.47,13.78,17.855,0.66
02-02-2018 00:00,03-02-2018 00:00,93.63,14.66,16.345,0.51
03-02-2018 00:00,04-02-2018 00:00,70.45,21.56,16.655,0.55
04-02-2018 00:00,05-02-2018 00:00,78.3,21.79,18.43,1.16
05-02-2018 00:00,06-02-2018 00:00,117.22,32.79,17.21,1.01
06-02-2018 00:00,07-02-2018 00:00,98.17,40.32,16.785,1.04
07-02-2018 00:00,08-02-2018 00:00,74.92,32.62,19.42,1.77
08-02-2018 00:00,09-02-2018 00:00,123.74,48.98,19.84,2.5
09-02-2018 00:00,10-02-2018 00:00,121.29,52.38,19.840000000000003,2.22
10-02-2018 00:00,11-02-2018 00:00,127.65,64.42,22.880000000000003,3.15
11-02-2018 00:00,12-02-2018 00:00,104.9,25.73,19.915,2.44
12-02-2018 00:00,13-02-2018 00:00,52.31,14.69,17.715,1.36
13-02-2018 00:00,14-02-2018 00:00,66.95,17.58,18.485,1.56
14-02-2018 00:00,15-02-2018 00:00,52.54,14.18,19.95,1.17
15-02-2018 00:00,16-02-2018 00:00,48.28,14.25,21.835,1.18
16-02-2018 00:00,17-02-2018 00:00,74.97,14.75,22.63,1.51
17-02-2018 00:00,18-02-2018 00:00,86.46,15.45,22.435,1.61
18-02-2018 00:00,19-02-2018 00:00,65.57,15.14,21.56,1.66
19-02-2018 00:00,20-02-2018 00:00,100.67,19.03,23.455,2.45
20-02-2018 00:00,21-02-2018 00:00,113.09,22.66,17.545,2.26
21-02-2018 00:00,22-02-2018 00:00,112.14,36.69,8.83,2.73
22-02-2018 00:00,23-02-2018 00:00,109.72,25.66,9.675,1.95
23-02-2018 00:00,24-02-2018 00:00,122.18,33.33,5.49,1.7
24-02-2018 00:00,25-02-2018 00:00,130.87,24.21,5.055,1.04
25-02-2018 00:00,26-02-2018 00:00,79.9,17.86,6.1,0.77
26-02-2018 00:00,27-02-2018 00:00,39.46,15.03,3.03,0.57
27-02-2018 00:00,28-02-2018 00:00,56.37,19.34,4.15,2.13
28-02-2018 00:00,01-03-2018 00:00,88.42,21.87,3.875,4.04
01-03-2018 00:00,02-03-2018 00:00,79.4,22.93,6.42,2.72
02-03-2018 00:00,03-03-2018 00:00,84.26,20.12,3.935,2.62
03-03-2018 00:00,04-03-2018 00:00,64.78,18.07,5.484999999999999,1.8
04-03-2018 00:00,05-03-2018 00:00,53.65,16.27,4.66,1.61
05-03-2018 00:00,06-03-2018 00:00,46.84,19.27,5.78,1.54
06-03-2018 00:00,07-03-2018 00:00,45.32,22.16,8.78,1.59
07-03-2018 00:00,08-03-2018 00:00,53.8,26.5,3.875,1.76
08-03-2018 00:00,09-03-2018 00:00,87.42,37.17,5.745,2.57
09-03-2018 00:00,10-03-2018 00:00,93.55,34.44,5.574999999999999,2.28
10-03-2018 00:00,11-03-2018 00:00,49.38,23.92,4.12,1.51
11-03-2018 00:00,12-03-2018 00:00,56.53,25.01,5.315,1.58
12-03-2018 00:00,13-03-2018 00:00,51.93,28.02,7.43,2.03
13-03-2018 00:00,14-03-2018 00:00,71.55,30.11,6.97,3.09
14-03-2018 00:00,15-03-2018 00:00,76.94,28.49,7.275,3.54
15-03-2018 00:00,16-03-2018 00:00,34.3,23.44,6.025,2.91
16-03-2018 00:00,17-03-2018 00:00,80.76,24.19,4.4,3.01
17-03-2018 00:00,18-03-2018 00:00,79.12,21.39,6.744999999999999,3.04
18-03-2018 00:00,19-03-2018 00:00,61.97,21.16,3.75,3.9
19-03-2018 00:00,20-03-2018 00:00,90.30333333333334,28.49666666666667,8.535,0.805
20-03-2018 00:00,21-03-2018 00:00,88.66,58.94,7.33,4.53
21-03-2018 00:00,22-03-2018 00:00,92.49,26.2,6.109999999999999,4.28
22-03-2018 00:00,23-03-2018 00:00,57.87,21.09,7.220000000000001,2.88
23-03-2018 00:00,24-03-2018 00:00,44.83,20.0,8.115,1.2
24-03-2018 00:00,25-03-2018 00:00,49.44,21.19,6.87,2.11
25-03-2018 00:00,26-03-2018 00:00,53.75,20.23,5.48,3.05
26-03-2018 00:00,27-03-2018 00:00,53.89,22.42,6.605,2.91
27-03-2018 00:00,28-03-2018 00:00,64.63,29.48,8.435,3.33
28-03-2018 00:00,29-03-2018 00:00,75.09,28.05,9.17,3.53
29-03-2018 00:00,30-03-2018 00:00,50.39,22.06,9.595,2.83
30-03-2018 00:00,31-03-2018 00:00,60.09,25.54,7.609999999999999,2.53
31-03-2018 00:00,01-04-2018 00:00,67.96,23.21,5.7,2.55
01-04-2018 00:00,02-04-2018 00:00,56.38,18.2,2.28,2.18
02-04-2018 00:00,03-04-2018 00:00,79.48,24.96,4.99,2.68
03-04-2018 00:00,04-04-2018 00:00,79.49,26.72,7.115,3.79
04-04-2018 00:00,05-04-2018 00:00,82.74,31.66,7.34,3.68
05-04-2018 00:00,06-04-2018 00:00,112.06,32.45,12.57,3.98
06-04-2018 00:00,07-04-2018 00:00,75.97,22.96,8.49,3.51
07-04-2018 00:00,08-04-2018 00:00,36.4,17.92,3.63,2.61
08-04-2018 00:00,09-04-2018 00:00,40.51,14.57,5.495,2.36
09-04-2018 00:00,10-04-2018 00:00,39.79,19.23,2.715,2.36
10-04-2018 00:00,11-04-2018 00:00,68.97,18.75,3.29,2.77
11-04-2018 00:00,12-04-2018 00:00,39.11,38.64,4.55,1.55
12-04-2018 00:00,13-04-2018 00:00,38.82,66.43,7.335000000000001,2.74
13-04-2018 00:00,14-04-2018 00:00,52.07,55.69,11.63,2.97
14-04-2018 00:00,15-04-2018 00:00,63.25,61.35,7.93,1.99
15-04-2018 00:00,16-04-2018 00:00,72.46,65.24,7.484999999999999,2.13
16-04-2018 00:00,17-04-2018 00:00,64.14,60.7,5.295,1.8
17-04-2018 00:00,18-04-2018 00:00,58.51,53.93,6.25,1.83
18-04-2018 00:00,19-04-2018 00:00,41.1,56.22,6.01,2.59
19-04-2018 00:00,20-04-2018 00:00,56.23,58.79,9.19,0.0
20-04-2018 00:00,21-04-2018 00:00,69.49,54.91,5.24,0.0
21-04-2018 00:00,22-04-2018 00:00,83.61,50.32,3.41,0.14
22-04-2018 00:00,23-04-2018 00:00,36.32,38.58,9.335,0.26
23-04-2018 00:00,24-04-2018 00:00,31.49,23.33,13.555,0.6
24-04-2018 00:00,25-04-2018 00:00,62.53,39.04,7.545,1.45
25-04-2018 00:00,26-04-2018 00:00,75.09,85.32,8.37,2.72
26-04-2018 00:00,27-04-2018 00:00,112.42,84.56,8.665,3.4
27-04-2018 00:00,28-04-2018 00:00,79.45,51.93,5.245,2.64
28-04-2018 00:00,29-04-2018 00:00,68.31,42.47,6.725,1.08
29-04-2018 00:00,30-04-2018 00:00,72.53,44.48,4.45,1.11
30-04-2018 00:00,01-05-2018 00:00,65.36,47.16,6.31,0.84
01-05-2018 00:00,02-05-2018 00:00,42.24,24.15,4.27,0.37
02-05-2018 00:00,03-05-2018 00:00,62.53,29.73,6.705,2.87
03-05-2018 00:00,04-05-2018 00:00,31.65,31.38,6.065,6.14
04-05-2018 00:00,05-05-2018 00:00,35.34,18.17,6.58,1.21
05-05-2018 00:00,06-05-2018 00:00,73.12,36.36,4.92,1.4
06-05-2018 00:00,07-05-2018 00:00,70.51,30.42,8.594999999999999,0.07
07-05-2018 00:00,08-05-2018 00:00,77.68,29.77,9.455,0.71
08-05-2018 00:00,09-05-2018 00:00,30.66,19.73,6.975,0.8
09-05-2018 00:00,10-05-2018 00:00,52.78,27.6,4.755,1.19
10-05-2018 00:00,11-05-2018 00:00,69.09,27.89,7.57,1.06
11-05-2018 00:00,12-05-2018 00:00,105.23,32.83,8.89,1.52
12-05-2018 00:00,13-05-2018 00:00,124.05,33.57,10.68,1.46
13-05-2018 00:00,14-05-2018 00:00,67.04,25.75,4.155,0.76
14-05-2018 00:00,15-05-2018 00:00,43.85,24.87,5.33,0.74
15-05-2018 00:00,16-05-2018 00:00,52.64,26.05,8.605,0.97
16-05-2018 00:00,17-05-2018 00:00,57.74,24.78,7.86,0.9
17-05-2018 00:00,18-05-2018 00:00,64.5,27.6,9.05,1.36
18-05-2018 00:00,19-05-2018 00:00,71.24,28.93,6.12,2.33
19-05-2018 00:00,20-05-2018 00:00,77.03,29.68,8.415,3.03
20-05-2018 00:00,21-05-2018 00:00,58.13,25.67,7.555,1.16
21-05-2018 00:00,22-05-2018 00:00,47.15,24.04,11.35,1.23
22-05-2018 00:00,23-05-2018 00:00,59.39,28.6,8.59,1.08
23-05-2018 00:00,24-05-2018 00:00,92.7,34.11,7.33,1.56
24-05-2018 00:00,25-05-2018 00:00,84.64,31.47,10.255,2.29
25-05-2018 00:00,26-05-2018 00:00,53.85,31.23,6.595000000000001,2.88
26-05-2018 00:00,27-05-2018 00:00,64.76,30.8,11.225,4.33
27-05-2018 00:00,28-05-2018 00:00,69.27,27.63,6.565,1.56
28-05-2018 00:00,29-05-2018 00:00,101.71,50.8,6.675,1.29
