From_Date,To_Date,PM2.5,NO2,SO2,CO
01-01-2018 00:00,02-01-2018 00:00,261.3775,67.3025,22.535,0.01
02-01-2018 00:00,03-01-2018 00:00,240.66,55.4975,7.925,0.0
03-01-2018 00:00,04-01-2018 00:00,223.21,50.505,7.215,0.0
04-01-2018 00:00,05-01-2018 00:00,239.135,59.045,13.34,0.0
05-01-2018 00:00,06-01-2018 00:00,231.755,54.99250000000001,12.285,0.0
06-01-2018 00:00,07-01-2018 00:00,240.8,69.255,25.63,0.0
07-01-2018 00:00,08-01-2018 00:00,208.56,55.05,14.72,0.0
08-01-2018 00:00,09-01-2018 00:00,204.3925,64.365,10.11,0.0
09-01-2018 00:00,10-01-2018 00:00,215.4325,67.23,14.225,0.535
10-01-2018 00:00,11-01-2018 00:00,198.57,57.535,9.075,0.6399999999999999
11-01-2018 00:00,12-01-2018 00:00,132.055,51.9425,6.61,0.755
12-01-2018 00:00,13-01-2018 00:00,174.33249999999998,62.4,9.985,1.0
13-01-2018 00:00,14-01-2018 00:00,193.7,79.63,21.96,1.33
14-01-2018 00:00,15-01-2018 00:00,180.75,65.36,13.34,0.935
15-01-2018 00:00,16-01-2018 00:00,198.65,65.94999999999999,11.355,0.555
16-01-2018 00:00,17-01-2018 00:00,196.31,45.182500000000005,6.62,1.005
17-01-2018 00:00,18-01-2018 00:00,211.7625,44.1,13.96,0.845
18-01-2018 00:00,19-01-2018 00:00,238.1125,42.8325,17.865000000000002,1.29
19-01-2018 00:00,20-01-2018 00:00,263.0,38.822500000000005,25.925,0.995
20-01-2018 00:00,21-01-2018 00:00,184.22,39.86,10.4,0.7949999999999999
21-01-2018 00:00,22-01-2018 00:00,171.08333333333334,46.14333333333334,14.32,1.085
22-01-2018 00:00,23-01-2018 00:00,207.3375,47.1725,15.125,1.045
23-01-2018 00:00,24-01-2018 00:00,181.7025,34.07,12.305,0.885
24-01-2018 00:00,25-01-2018 00:00,119.3075,23.76,8.5,0.6
25-01-2018 00:00,26-01-2018 00:00,121.03,24.7175,5.69,0.635
26-01-2018 00:00,27-01-2018 00:00,145.285,21.7525,7.06,0.6
27-01-2018 00:00,28-01-2018 00:00,145.26333333333332,30.3,5.0600000000000005,0.695
28-01-2018 00:00,29-01-2018 00:00,161.07333333333332,29.39,10.02,0.725
29-01-2018 00:00,30-01-2018 00:00,135.4425,29.3025,11.795,0.855
30-01-2018 00:00,31-01-2018 00:00,123.465,33.6075,10.41,0.8049999999999999
31-01-2018 00:00,01-02-2018 00:00,129.2425,41.49,7.640000000000001,0.73
01-02-2018 00:00,02-02-2018 00:00,145.88,99.09,23.18,2.65
02-02-2018 00:00,03-02-2018 00:00,156.87,78.58,16.77,1.71
03-02-2018 00:00,04-02-2018 00:00,115.57,76.45,20.49,1.31
04-02-2018 00:00,05-02-2018 00:00,146.8,69.23,17.79,1.43
05-02-2018 00:00,06-02-2018 00:00,183.44,99.02,20.76,2.15
06-02-2018 00:00,07-02-2018 00:00,147.61,90.21,20.4,1.63
07-02-2018 00:00,08-02-2018 00:00,137.08,74.48,21.53,1.71
08-02-2018 00:00,09-02-2018 00:00,181.62,95.13,18.15,3.07
09-02-2018 00:00,10-02-2018 00:00,223.1,86.65,18.22,3.21
10-02-2018 00:00,11-02-2018 00:00,207.79,89.08,15.21,4.54
11-02-2018 00:00,12-02-2018 00:00,162.51,78.81,18.43,2.66
12-02-2018 00:00,13-02-2018 00:00,76.39,43.63,15.4,0.79
13-02-2018 00:00,14-02-2018 00:00,111.73,70.78,18.16,1.35
14-02-2018 00:00,15-02-2018 00:00,68.2,44.68,15.66,0.66
