From_Date,To_Date,PM2.5,NO2,SO2,CO
01-01-2018 00:00,02-01-2018 00:00,322.935,64.795,30.31,3.8
02-01-2018 00:00,03-01-2018 00:00,276.625,49.745000000000005,19.505,3.87
03-01-2018 00:00,04-01-2018 00:00,251.03500000000005,75.035,26.39,3.26
04-01-2018 00:00,05-01-2018 00:00,280.67,69.075,25.81,3.23
05-01-2018 00:00,06-01-2018 00:00,255.65,48.835,22.565,4.43
06-01-2018 00:00,07-01-2018 00:00,251.885,67.96000000000001,26.475,3.48
07-01-2018 00:00,08-01-2018 00:00,241.98,75.545,36.375,2.49
08-01-2018 00:00,09-01-2018 00:00,242.38,76.855,36.17,2.54
09-01-2018 00:00,10-01-2018 00:00,241.36,55.225,37.03,3.05
10-01-2018 00:00,11-01-2018 00:00,201.81,62.84,29.15,1.72
11-01-2018 00:00,12-01-2018 00:00,185.205,69.53999999999999,38.8,2.64
12-01-2018 00:00,13-01-2018 00:00,210.67,83.285,42.125,2.75
13-01-2018 00:00,14-01-2018 00:00,244.535,69.58,39.365,2.79
14-01-2018 00:00,15-01-2018 00:00,202.635,48.30500000000001,33.599999999999994,3.93
15-01-2018 00:00,16-01-2018 00:00,204.235,64.99000000000001,32.27,1.85
16-01-2018 00:00,17-01-2018 00:00,181.555,73.32,34.265,2.71
17-01-2018 00:00,18-01-2018 00:00,178.665,55.73,33.665,2.68
18-01-2018 00:00,19-01-2018 00:00,217.785,53.6,31.225,3.44
19-01-2018 00:00,20-01-2018 00:00,206.51,60.505,33.52,2.84
20-01-2018 00:00,21-01-2018 00:00,163.005,60.38,29.425,3.01
21-01-2018 00:00,22-01-2018 00:00,149.515,72.46000000000001,28.71,2.92
22-01-2018 00:00,23-01-2018 00:00,220.1,70.25,35.575,3.72
23-01-2018 00:00,24-01-2018 00:00,184.53,72.81,30.145,1.11
24-01-2018 00:00,25-01-2018 00:00,166.705,40.365,32.165,1.56
25-01-2018 00:00,26-01-2018 00:00,121.75,24.905,28.16,1.24
26-01-2018 00:00,27-01-2018 00:00,103.02,23.905,28.405,3.87
27-01-2018 00:00,28-01-2018 00:00,138.15,44.695,25.725,2.19
28-01-2018 00:00,29-01-2018 00:00,193.825,32.35,19.805,8.37
29-01-2018 00:00,30-01-2018 00:00,184.055,29.175,22.7,7.83
30-01-2018 00:00,31-01-2018 00:00,214.23,67.82,22.625,12.32
31-01-2018 00:00,01-02-2018 00:00,201.7,55.870000000000005,21.045,17.57
01-02-2018 00:00,02-02-2018 00:00,179.24,121.76333333333332,25.866666666666664,2.795
02-02-2018 00:00,03-02-2018 00:00,172.39666666666668,80.22,20.176666666666662,4.12
03-02-2018 00:00,04-02-2018 00:00,131.30666666666664,95.01333333333332,22.14333333333333,5.42
04-02-2018 00:00,05-02-2018 00:00,126.86666666666667,90.47,20.21,1.68
05-02-2018 00:00,06-02-2018 00:00,139.32333333333335,98.12333333333332,20.33,1.245
06-02-2018 00:00,07-02-2018 00:00,133.83666666666667,67.27666666666666,24.74000000000001,1.05
