From_Date,To_Date,PM2.5,NO2,SO2,CO
01-01-2018 00:00,02-01-2018 00:00,373.6,161.91,22.535,0.01
02-01-2018 00:00,03-01-2018 00:00,380.46,106.49,7.925,0.0
03-01-2018 00:00,04-01-2018 00:00,236.79,85.06,7.215,0.0
04-01-2018 00:00,05-01-2018 00:00,269.81,82.62,13.34,0.0
05-01-2018 00:00,06-01-2018 00:00,278.94,71.62,12.285,0.0
06-01-2018 00:00,07-01-2018 00:00,259.15,118.23,25.63,0.0
07-01-2018 00:00,08-01-2018 00:00,223.67,67.06,14.72,0.0
08-01-2018 00:00,09-01-2018 00:00,157.41,109.25,10.11,0.0
09-01-2018 00:00,10-01-2018 00:00,229.33,111.04,14.225,0.535
10-01-2018 00:00,11-01-2018 00:00,229.91,73.59,9.075,0.6399999999999999
11-01-2018 00:00,12-01-2018 00:00,115.44,65.09,6.61,0.755
12-01-2018 00:00,13-01-2018 00:00,274.71,105.77,9.985,1.0
13-01-2018 00:00,14-01-2018 00:00,203.89,158.71,21.96,1.33
14-01-2018 00:00,15-01-2018 00:00,178.97,99.35,13.34,0.935
15-01-2018 00:00,16-01-2018 00:00,229.38,101.32,11.355,0.555
16-01-2018 00:00,17-01-2018 00:00,321.09,30.26,6.62,1.005
17-01-2018 00:00,18-01-2018 00:00,266.78,20.43,13.96,0.845
18-01-2018 00:00,19-01-2018 00:00,238.05,19.04,17.865000000000002,1.29
19-01-2018 00:00,20-01-2018 00:00,288.45,21.48,25.925,0.995
20-01-2018 00:00,21-01-2018 00:00,184.22,39.86,10.4,0.7949999999999999
21-01-2018 00:00,22-01-2018 00:00,171.08333333333334,46.14333333333334,14.32,1.085
22-01-2018 00:00,23-01-2018 00:00,189.89,18.36,15.125,1.045
23-01-2018 00:00,24-01-2018 00:00,188.46,15.67,12.305,0.885
24-01-2018 00:00,25-01-2018 00:00,169.1,15.82,8.5,0.6
25-01-2018 00:00,26-01-2018 00:00,124.92,13.46,5.69,0.635
26-01-2018 00:00,27-01-2018 00:00,178.56,17.36,7.06,0.6
27-01-2018 00:00,28-01-2018 00:00,145.26333333333332,30.3,5.0600000000000005,0.695
28-01-2018 00:00,29-01-2018 00:00,161.07333333333332,29.39,10.02,0.725
29-01-2018 00:00,30-01-2018 00:00,129.15,16.99,11.795,0.855
30-01-2018 00:00,31-01-2018 00:00,131.9,14.17,10.41,0.8049999999999999
31-01-2018 00:00,01-02-2018 00:00,188.72,32.37,7.640000000000001,0.73
01-02-2018 00:00,02-02-2018 00:00,125.12,73.28,18.80333333333333,1.4666666666666668
02-02-2018 00:00,03-02-2018 00:00,147.01,79.42,14.716666666666669,1.0333333333333334
03-02-2018 00:00,04-02-2018 00:00,109.59,74.84,14.933333333333332,0.8766666666666666
04-02-2018 00:00,05-02-2018 00:00,130.41,56.77,13.393333333333333,0.9733333333333332
05-02-2018 00:00,06-02-2018 00:00,154.86,74.49,16.623333333333335,1.2733333333333332
06-02-2018 00:00,07-02-2018 00:00,133.59,69.27,15.68,1.1466666666666667
07-02-2018 00:00,08-02-2018 00:00,127.33,63.73,12.893333333333333,0.9866666666666668
08-02-2018 00:00,09-02-2018 00:00,149.31,89.51,14.723333333333334,1.4466666666666663
09-02-2018 00:00,10-02-2018 00:00,184.97,89.6,12.986666666666666,1.59
10-02-2018 00:00,11-02-2018 00:00,195.4,124.32,17.330000000000002,2.3666666666666667
11-02-2018 00:00,12-02-2018 00:00,150.77,89.69,17.37,1.4233333333333331
12-02-2018 00:00,13-02-2018 00:00,61.59,42.55,8.53,0.6066666666666667
13-02-2018 00:00,14-02-2018 00:00,83.3,53.73,11.096666666666666,1.3233333333333337
14-02-2018 00:00,15-02-2018 00:00,51.725,23.45,8.796666666666667,1.31
15-02-2018 00:00,16-02-2018 00:00,65.41,44.97,11.53,0.7166666666666667
16-02-2018 00:00,17-02-2018 00:00,125.5,48.55,14.420000000000002,0.9466666666666668
17-02-2018 00:00,18-02-2018 00:00,113.17,50.9,15.576666666666668,0.8966666666666668
18-02-2018 00:00,19-02-2018 00:00,116.04,52.5,14.056666666666668,1.0566666666666666
19-02-2018 00:00,20-02-2018 00:00,125.22,72.91,18.246666666666663,1.6133333333333333
20-02-2018 00:00,21-02-2018 00:00,151.07,70.43,12.416666666666666,1.63
21-02-2018 00:00,22-02-2018 00:00,189.36,112.54,16.256666666666664,2.4633333333333334
22-02-2018 00:00,23-02-2018 00:00,78.0,74.9,15.583333333333334,1.4633333333333336
23-02-2018 00:00,24-02-2018 00:00,179.20666666666668,58.81999999999999,16.633333333333336,1.7966666666666666
24-02-2018 00:00,25-02-2018 00:00,159.53,58.373333333333335,15.339999999999998,1.29
25-02-2018 00:00,26-02-2018 00:00,103.35666666666668,36.53333333333333,15.036666666666669,0.7699999999999999
26-02-2018 00:00,27-02-2018 00:00,59.46666666666667,26.536666666666665,10.903333333333334,0.6166666666666667
27-02-2018 00:00,28-02-2018 00:00,75.66333333333334,41.876666666666665,13.526666666666666,0.8766666666666666
28-02-2018 00:00,01-03-2018 00:00,118.19,49.6,18.546666666666667,1.2566666666666666
01-03-2018 00:00,02-03-2018 00:00,105.29,53.26,16.516666666666666,1.2733333333333332
02-03-2018 00:00,03-03-2018 00:00,116.38,51.14,18.176666666666662,1.55
03-03-2018 00:00,04-03-2018 00:00,95.0,47.61,16.843333333333334,0.99
04-03-2018 00:00,05-03-2018 00:00,62.96,45.23,14.413333333333332,0.7966666666666665
05-03-2018 00:00,06-03-2018 00:00,77.19,51.16,13.653333333333334,0.8866666666666667
06-03-2018 00:00,07-03-2018 00:00,71.39,41.86,14.159999999999998,0.6466666666666667
07-03-2018 00:00,08-03-2018 00:00,82.39,53.64,14.343333333333334,0.9566666666666668
08-03-2018 00:00,09-03-2018 00:00,92.5,80.57,18.206666666666667,1.9333333333333331
09-03-2018 00:00,10-03-2018 00:00,105.06,80.15,18.506666666666664,1.72
10-03-2018 00:00,11-03-2018 00:00,66.99,50.73,13.61,0.6933333333333334
11-03-2018 00:00,12-03-2018 00:00,82.1,44.74,17.13,0.9366666666666666
12-03-2018 00:00,13-03-2018 00:00,96.33,59.66,20.0,1.0066666666666666
13-03-2018 00:00,14-03-2018 00:00,96.17,68.63,19.73,1.4266666666666663
14-03-2018 00:00,15-03-2018 00:00,84.76,72.55,27.52333333333333,1.41
15-03-2018 00:00,16-03-2018 00:00,82.31,53.84,20.47,0.87
16-03-2018 00:00,17-03-2018 00:00,83.38,53.3,16.023333333333333,1.0033333333333332
17-03-2018 00:00,18-03-2018 00:00,78.43,45.21,16.436666666666667,0.6666666666666666
18-03-2018 00:00,19-03-2018 00:00,78.33,44.61,14.48,0.6233333333333333
19-03-2018 00:00,20-03-2018 00:00,62.38,48.94,15.49,0.9066666666666668
