From_Date,To_Date,PM2.5,NO2,SO2,CO
01-01-2018 00:00,02-01-2018 00:00,113.28,41.79,8.33,1.13
02-01-2018 00:00,03-01-2018 00:00,90.24,36.55,7.96,0.89
03-01-2018 00:00,04-01-2018 00:00,67.63,39.99,4.6,0.73
04-01-2018 00:00,05-01-2018 00:00,72.72,41.17,7.51,1.01
05-01-2018 00:00,06-01-2018 00:00,71.63,46.01,8.34,1.09
06-01-2018 00:00,07-01-2018 00:00,73.17,43.41,7.5,0.76
07-01-2018 00:00,08-01-2018 00:00,59.31,44.56,8.32,0.74
08-01-2018 00:00,09-01-2018 00:00,64.78,46.56,7.13,0.74
09-01-2018 00:00,10-01-2018 00:00,84.58,40.9,12.45,0.7
10-01-2018 00:00,11-01-2018 00:00,73.29,32.89,19.89,0.71
11-01-2018 00:00,12-01-2018 00:00,56.45,19.73,10.38,0.87
12-01-2018 00:00,13-01-2018 00:00,50.94,14.26,11.38,0.84
13-01-2018 00:00,14-01-2018 00:00,60.53,25.23,18.19,1.02
14-01-2018 00:00,15-01-2018 00:00,65.52,24.83,17.18,0.93
15-01-2018 00:00,16-01-2018 00:00,50.48,22.61,16.96,0.87
16-01-2018 00:00,17-01-2018 00:00,58.57,21.75,21.28,1.13
17-01-2018 00:00,18-01-2018 00:00,56.65,18.28,23.88,1.06
18-01-2018 00:00,19-01-2018 00:00,49.58,22.12,14.43,0.82
19-01-2018 00:00,20-01-2018 00:00,50.3,17.9,14.96,0.61
20-01-2018 00:00,21-01-2018 00:00,71.9,19.66,16.66,0.85
21-01-2018 00:00,22-01-2018 00:00,76.08,17.03,7.51,0.82
22-01-2018 00:00,23-01-2018 00:00,65.9,23.11,22.18,1.35
23-01-2018 00:00,24-01-2018 00:00,34.52,11.05,6.16,0.82
24-01-2018 00:00,25-01-2018 00:00,45.37,13.44,14.47,0.57
25-01-2018 00:00,26-01-2018 00:00,49.31,14.11,12.36,0.59
26-01-2018 00:00,27-01-2018 00:00,48.18,17.8,18.69,0.59
27-01-2018 00:00,28-01-2018 00:00,52.49,20.05,20.13,0.61
28-01-2018 00:00,29-01-2018 00:00,65.14,20.69,26.96,0.65
29-01-2018 00:00,30-01-2018 00:00,63.24,13.37,11.29,0.72
30-01-2018 00:00,31-01-2018 00:00,61.02,13.71,13.27,0.64
31-01-2018 00:00,01-02-2018 00:00,37.15,12.4,22.16,0.63
01-02-2018 00:00,02-02-2018 00:00,50.15,18.16,44.19,0.59
02-02-2018 00:00,03-02-2018 00:00,48.55,10.9,11.7,0.56
03-02-2018 00:00,04-02-2018 00:00,54.87,7.33,11.36,0.53
04-02-2018 00:00,05-02-2018 00:00,58.17,8.97,12.0,0.54
05-02-2018 00:00,06-02-2018 00:00,49.45,8.66,5.33,0.56
06-02-2018 00:00,07-02-2018 00:00,42.93,6.34,13.87,0.56
07-02-2018 00:00,08-02-2018 00:00,44.73,13.52,24.98,0.6
08-02-2018 00:00,09-02-2018 00:00,51.34,31.45,9.06,0.63
09-02-2018 00:00,10-02-2018 00:00,32.59,27.1,80.02,0.82
