,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,,,,
1,02-01-2018 00:00,03-01-2018 00:00,,,,
2,03-01-2018 00:00,04-01-2018 00:00,,,,
3,04-01-2018 00:00,05-01-2018 00:00,,,,
4,05-01-2018 00:00,06-01-2018 00:00,,,,
5,06-01-2018 00:00,07-01-2018 00:00,,,,
6,07-01-2018 00:00,08-01-2018 00:00,,,,
7,08-01-2018 00:00,09-01-2018 00:00,,,,
8,09-01-2018 00:00,10-01-2018 00:00,,,,
9,10-01-2018 00:00,11-01-2018 00:00,,,,
10,11-01-2018 00:00,12-01-2018 00:00,,,,
11,12-01-2018 00:00,13-01-2018 00:00,,,,
12,13-01-2018 00:00,14-01-2018 00:00,,,,
13,14-01-2018 00:00,15-01-2018 00:00,,,,
14,15-01-2018 00:00,16-01-2018 00:00,,,,
15,16-01-2018 00:00,17-01-2018 00:00,,,,
16,17-01-2018 00:00,18-01-2018 00:00,,,,
17,18-01-2018 00:00,19-01-2018 00:00,,,,
18,19-01-2018 00:00,20-01-2018 00:00,,,,
19,20-01-2018 00:00,21-01-2018 00:00,,,,
20,21-01-2018 00:00,22-01-2018 00:00,,,,
21,22-01-2018 00:00,23-01-2018 00:00,,,,
22,23-01-2018 00:00,24-01-2018 00:00,,,,
23,24-01-2018 00:00,25-01-2018 00:00,,,,
24,25-01-2018 00:00,26-01-2018 00:00,,,,
25,26-01-2018 00:00,27-01-2018 00:00,,,,
26,27-01-2018 00:00,28-01-2018 00:00,,,,
27,28-01-2018 00:00,29-01-2018 00:00,,,,
28,29-01-2018 00:00,30-01-2018 00:00,,,,
29,30-01-2018 00:00,31-01-2018 00:00,,,,
30,31-01-2018 00:00,01-02-2018 00:00,,,,
31,01-02-2018 00:00,02-02-2018 00:00,226.33,13.46,78.55,1.4
32,02-02-2018 00:00,03-02-2018 00:00,181.87,11.03,54.36,0.96
33,03-02-2018 00:00,04-02-2018 00:00,152.29,14.95,43.35,0.87
34,04-02-2018 00:00,05-02-2018 00:00,172.53,13.45,45.92,0.88
35,05-02-2018 00:00,06-02-2018 00:00,210.9,16.52,55.32,1.04
36,06-02-2018 00:00,07-02-2018 00:00,169.65,14.07,51.62,0.91
37,07-02-2018 00:00,08-02-2018 00:00,160.76,14.4,52.74,0.91
38,08-02-2018 00:00,09-02-2018 00:00,236.96,11.2,104.84,1.41
39,09-02-2018 00:00,10-02-2018 00:00,250.13,13.24,78.58,1.42
40,10-02-2018 00:00,11-02-2018 00:00,269.63,7.16,168.87,2.96
41,11-02-2018 00:00,12-02-2018 00:00,145.62,8.38,41.69,1.04
42,12-02-2018 00:00,13-02-2018 00:00,82.09,4.46,23.14,0.7
43,13-02-2018 00:00,14-02-2018 00:00,140.83,6.75,36.03,0.98
44,14-02-2018 00:00,15-02-2018 00:00,93.0,7.77,27.78,0.59
45,15-02-2018 00:00,16-02-2018 00:00,113.39,10.01,30.34,0.73
46,16-02-2018 00:00,17-02-2018 00:00,157.04,11.02,39.56,0.94
47,17-02-2018 00:00,18-02-2018 00:00,177.21,10.69,37.1,0.93
48,18-02-2018 00:00,19-02-2018 00:00,178.19,8.93,60.85,1.17
49,19-02-2018 00:00,20-02-2018 00:00,247.54,12.37,97.85,1.61
50,20-02-2018 00:00,21-02-2018 00:00,214.58,11.1,82.04,1.74
51,21-02-2018 00:00,22-02-2018 00:00,221.25,8.78,114.64,2.38
52,22-02-2018 00:00,23-02-2018 00:00,193.43,10.11,54.53,1.47
53,23-02-2018 00:00,24-02-2018 00:00,196.55,9.49,54.5,1.4
54,24-02-2018 00:00,25-02-2018 00:00,152.2,3.47,42.23,0.07
55,25-02-2018 00:00,26-02-2018 00:00,103.68,5.2,38.07,0.21
56,26-02-2018 00:00,27-02-2018 00:00,75.54,8.05,34.1,0.52
57,27-02-2018 00:00,28-02-2018 00:00,110.51,10.9,39.55,0.74
58,28-02-2018 00:00,01-03-2018 00:00,178.64,10.8,67.74,0.95
59,01-03-2018 00:00,02-03-2018 00:00,150.8,7.75,42.64,0.87
