,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,,,,
1,02-01-2018 00:00,03-01-2018 00:00,,,,
2,03-01-2018 00:00,04-01-2018 00:00,,,,
3,04-01-2018 00:00,05-01-2018 00:00,,,,
4,05-01-2018 00:00,06-01-2018 00:00,,,,
5,06-01-2018 00:00,07-01-2018 00:00,,,,
6,07-01-2018 00:00,08-01-2018 00:00,,,,
7,08-01-2018 00:00,09-01-2018 00:00,,,,
8,09-01-2018 00:00,10-01-2018 00:00,,,,
9,10-01-2018 00:00,11-01-2018 00:00,,,,
10,11-01-2018 00:00,12-01-2018 00:00,,,,
11,12-01-2018 00:00,13-01-2018 00:00,,,,
12,13-01-2018 00:00,14-01-2018 00:00,,,,
13,14-01-2018 00:00,15-01-2018 00:00,,,,
14,15-01-2018 00:00,16-01-2018 00:00,,,,
15,16-01-2018 00:00,17-01-2018 00:00,,,,
16,17-01-2018 00:00,18-01-2018 00:00,,,,
17,18-01-2018 00:00,19-01-2018 00:00,,,,
18,19-01-2018 00:00,20-01-2018 00:00,,,,
19,20-01-2018 00:00,21-01-2018 00:00,,,,
20,21-01-2018 00:00,22-01-2018 00:00,,,,
21,22-01-2018 00:00,23-01-2018 00:00,,,,
22,23-01-2018 00:00,24-01-2018 00:00,,,,
23,24-01-2018 00:00,25-01-2018 00:00,,,,
24,25-01-2018 00:00,26-01-2018 00:00,,,,
25,26-01-2018 00:00,27-01-2018 00:00,,,,
26,27-01-2018 00:00,28-01-2018 00:00,,,,
27,28-01-2018 00:00,29-01-2018 00:00,,,,
28,29-01-2018 00:00,30-01-2018 00:00,,,,
29,30-01-2018 00:00,31-01-2018 00:00,,,,
30,31-01-2018 00:00,01-02-2018 00:00,,,,
31,01-02-2018 00:00,02-02-2018 00:00,,,194.65,2.34
32,02-02-2018 00:00,03-02-2018 00:00,,,90.37,1.48
33,03-02-2018 00:00,04-02-2018 00:00,56.5,,92.29,1.45
34,04-02-2018 00:00,05-02-2018 00:00,,,71.59,0.92
35,05-02-2018 00:00,06-02-2018 00:00,,,133.54,1.67
36,06-02-2018 00:00,07-02-2018 00:00,57.67,,91.2,1.34
37,07-02-2018 00:00,08-02-2018 00:00,,,105.42,1.7
38,08-02-2018 00:00,09-02-2018 00:00,53.0,,149.19,2.08
39,09-02-2018 00:00,10-02-2018 00:00,,,161.68,1.94
40,10-02-2018 00:00,11-02-2018 00:00,58.0,,148.9,1.95
41,11-02-2018 00:00,12-02-2018 00:00,,,93.73,1.26
42,12-02-2018 00:00,13-02-2018 00:00,59.0,,28.92,0.86
43,13-02-2018 00:00,14-02-2018 00:00,,,70.13,1.39
44,14-02-2018 00:00,15-02-2018 00:00,41.88,,54.8,0.84
45,15-02-2018 00:00,16-02-2018 00:00,52.67,,62.81,1.06
46,16-02-2018 00:00,17-02-2018 00:00,,,75.28,1.23
47,17-02-2018 00:00,18-02-2018 00:00,,,91.65,1.39
48,18-02-2018 00:00,19-02-2018 00:00,50.43,,82.63,1.31
49,19-02-2018 00:00,20-02-2018 00:00,55.5,,131.13,1.91
50,20-02-2018 00:00,21-02-2018 00:00,52.5,,110.14,2.15
51,21-02-2018 00:00,22-02-2018 00:00,59.0,,117.29,2.37
52,22-02-2018 00:00,23-02-2018 00:00,,,148.87,2.45
53,23-02-2018 00:00,24-02-2018 00:00,,,181.84,2.77
54,24-02-2018 00:00,25-02-2018 00:00,,,81.12,1.69
55,25-02-2018 00:00,26-02-2018 00:00,55.14,,41.65,1.04
56,26-02-2018 00:00,27-02-2018 00:00,39.73,,42.45,1.04
57,27-02-2018 00:00,28-02-2018 00:00,44.8,,66.24,1.33
58,28-02-2018 00:00,01-03-2018 00:00,,,96.64,1.83
59,01-03-2018 00:00,02-03-2018 00:00,49.75,,109.35,1.57
60,02-03-2018 00:00,03-03-2018 00:00,46.5,,77.53,0.1
61,03-03-2018 00:00,04-03-2018 00:00,44.33,,62.08,1.16
62,04-03-2018 00:00,05-03-2018 00:00,45.49,,57.52,1.23
63,05-03-2018 00:00,06-03-2018 00:00,27.95,,66.5,1.22
