,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,,,,
1,02-01-2018 00:00,03-01-2018 00:00,,,,
2,03-01-2018 00:00,04-01-2018 00:00,,,,
3,04-01-2018 00:00,05-01-2018 00:00,,,,
4,05-01-2018 00:00,06-01-2018 00:00,,,,
5,06-01-2018 00:00,07-01-2018 00:00,,,,
6,07-01-2018 00:00,08-01-2018 00:00,,,,
7,08-01-2018 00:00,09-01-2018 00:00,,,,
8,09-01-2018 00:00,10-01-2018 00:00,,,,
9,10-01-2018 00:00,11-01-2018 00:00,,,,
10,11-01-2018 00:00,12-01-2018 00:00,,,,
11,12-01-2018 00:00,13-01-2018 00:00,,,,
12,13-01-2018 00:00,14-01-2018 00:00,,,,
13,14-01-2018 00:00,15-01-2018 00:00,,,,
14,15-01-2018 00:00,16-01-2018 00:00,,,,
15,16-01-2018 00:00,17-01-2018 00:00,,,,
16,17-01-2018 00:00,18-01-2018 00:00,,,,
17,18-01-2018 00:00,19-01-2018 00:00,,,,
18,19-01-2018 00:00,20-01-2018 00:00,,,,
19,20-01-2018 00:00,21-01-2018 00:00,,,,
20,21-01-2018 00:00,22-01-2018 00:00,,,,
21,22-01-2018 00:00,23-01-2018 00:00,,,,
22,23-01-2018 00:00,24-01-2018 00:00,,,,
23,24-01-2018 00:00,25-01-2018 00:00,,,,
24,25-01-2018 00:00,26-01-2018 00:00,,,,
25,26-01-2018 00:00,27-01-2018 00:00,,,,
26,27-01-2018 00:00,28-01-2018 00:00,,,,
27,28-01-2018 00:00,29-01-2018 00:00,,,,
28,29-01-2018 00:00,30-01-2018 00:00,,,,
29,30-01-2018 00:00,31-01-2018 00:00,,,,
30,31-01-2018 00:00,01-02-2018 00:00,,,,
31,01-02-2018 00:00,02-02-2018 00:00,,3.58,91.35,4.49
32,02-02-2018 00:00,03-02-2018 00:00,,5.24,20.26,1.68
33,03-02-2018 00:00,04-02-2018 00:00,,5.46,20.04,1.99
34,04-02-2018 00:00,05-02-2018 00:00,,4.62,23.01,2.02
35,05-02-2018 00:00,06-02-2018 00:00,,5.97,46.33,2.77
36,06-02-2018 00:00,07-02-2018 00:00,,3.43,23.48,2.21
37,07-02-2018 00:00,08-02-2018 00:00,,5.01,58.17,2.56
38,08-02-2018 00:00,09-02-2018 00:00,,3.47,92.26,3.1
39,09-02-2018 00:00,10-02-2018 00:00,,4.61,79.13,3.0
40,10-02-2018 00:00,11-02-2018 00:00,,4.94,218.16,4.45
41,11-02-2018 00:00,12-02-2018 00:00,,6.32,37.6,2.03
42,12-02-2018 00:00,13-02-2018 00:00,,2.49,16.58,1.58
43,13-02-2018 00:00,14-02-2018 00:00,,4.07,37.18,1.99
44,14-02-2018 00:00,15-02-2018 00:00,,2.84,18.27,1.58
45,15-02-2018 00:00,16-02-2018 00:00,,5.49,20.89,1.99
46,16-02-2018 00:00,17-02-2018 00:00,,6.37,26.15,2.24
47,17-02-2018 00:00,18-02-2018 00:00,,4.68,35.49,2.16
48,18-02-2018 00:00,19-02-2018 00:00,,4.18,68.42,2.28
49,19-02-2018 00:00,20-02-2018 00:00,,3.89,88.02,2.69
50,20-02-2018 00:00,21-02-2018 00:00,,6.58,90.18,2.78
51,21-02-2018 00:00,22-02-2018 00:00,,4.55,171.48,3.9
52,22-02-2018 00:00,23-02-2018 00:00,,5.88,73.71,2.95
53,23-02-2018 00:00,24-02-2018 00:00,,5.99,103.3,3.05
54,24-02-2018 00:00,25-02-2018 00:00,,6.6,44.28,2.56
55,25-02-2018 00:00,26-02-2018 00:00,,5.91,25.58,1.92
56,26-02-2018 00:00,27-02-2018 00:00,,2.23,18.02,1.68
57,27-02-2018 00:00,28-02-2018 00:00,,3.92,30.89,1.61
58,28-02-2018 00:00,01-03-2018 00:00,,5.25,26.04,1.23
59,01-03-2018 00:00,02-03-2018 00:00,,9.86,33.71,1.57
60,02-03-2018 00:00,03-03-2018 00:00,,3.69,34.86,1.47
61,03-03-2018 00:00,04-03-2018 00:00,,5.98,22.84,1.14
62,04-03-2018 00:00,05-03-2018 00:00,,4.91,19.92,0.7
