,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,,4.91,71.67,
1,02-01-2018 00:00,03-01-2018 00:00,,2.55,72.27,
2,03-01-2018 00:00,04-01-2018 00:00,,2.07,69.22,
3,04-01-2018 00:00,05-01-2018 00:00,,6.21,88.79,
4,05-01-2018 00:00,06-01-2018 00:00,,3.07,75.19,
5,06-01-2018 00:00,07-01-2018 00:00,,4.31,90.43,
6,07-01-2018 00:00,08-01-2018 00:00,,4.86,75.61,
7,08-01-2018 00:00,09-01-2018 00:00,,6.12,85.59,
8,09-01-2018 00:00,10-01-2018 00:00,,12.69,96.17,
9,10-01-2018 00:00,11-01-2018 00:00,,6.54,83.63,
10,11-01-2018 00:00,12-01-2018 00:00,,4.9,80.01,
11,12-01-2018 00:00,13-01-2018 00:00,,7.37,96.32,
12,13-01-2018 00:00,14-01-2018 00:00,,15.65,107.9,
13,14-01-2018 00:00,15-01-2018 00:00,,10.02,93.38,
14,15-01-2018 00:00,16-01-2018 00:00,,7.53,78.65,
15,16-01-2018 00:00,17-01-2018 00:00,,6.08,81.74,
16,17-01-2018 00:00,18-01-2018 00:00,,6.42,77.33,
17,18-01-2018 00:00,19-01-2018 00:00,,9.22,122.36,
18,19-01-2018 00:00,20-01-2018 00:00,,8.61,98.5,
19,20-01-2018 00:00,21-01-2018 00:00,,7.72,81.45,
20,21-01-2018 00:00,22-01-2018 00:00,,7.49,88.55,
21,22-01-2018 00:00,23-01-2018 00:00,,10.39,100.38,
22,23-01-2018 00:00,24-01-2018 00:00,,7.39,77.65,
23,24-01-2018 00:00,25-01-2018 00:00,,5.25,57.75,
24,25-01-2018 00:00,26-01-2018 00:00,,3.11,64.73,
25,26-01-2018 00:00,27-01-2018 00:00,,2.23,46.47,
26,27-01-2018 00:00,28-01-2018 00:00,,3.6,59.32,
27,28-01-2018 00:00,29-01-2018 00:00,,3.81,69.55,
28,29-01-2018 00:00,30-01-2018 00:00,,6.11,76.7,
29,30-01-2018 00:00,31-01-2018 00:00,,6.21,71.14,
30,31-01-2018 00:00,01-02-2018 00:00,,4.03,64.17,
31,01-02-2018 00:00,02-02-2018 00:00,,11.46,85.01,
32,02-02-2018 00:00,03-02-2018 00:00,,8.68,69.58,
33,03-02-2018 00:00,04-02-2018 00:00,,10.54,66.75,
34,04-02-2018 00:00,05-02-2018 00:00,,7.92,66.3,
35,05-02-2018 00:00,06-02-2018 00:00,,9.44,85.27,
36,06-02-2018 00:00,07-02-2018 00:00,,8.55,73.42,
37,07-02-2018 00:00,08-02-2018 00:00,,7.06,70.91,
38,08-02-2018 00:00,09-02-2018 00:00,,9.97,90.52,
39,09-02-2018 00:00,10-02-2018 00:00,,13.39,86.85,
40,10-02-2018 00:00,11-02-2018 00:00,,13.14,86.74,
41,11-02-2018 00:00,12-02-2018 00:00,,13.96,69.79,
42,12-02-2018 00:00,13-02-2018 00:00,,2.24,42.27,
43,13-02-2018 00:00,14-02-2018 00:00,,6.55,61.21,
44,14-02-2018 00:00,15-02-2018 00:00,,3.46,46.51,
45,15-02-2018 00:00,16-02-2018 00:00,,4.87,51.42,
46,16-02-2018 00:00,17-02-2018 00:00,,5.98,69.65,
47,17-02-2018 00:00,18-02-2018 00:00,,5.97,69.12,
48,18-02-2018 00:00,19-02-2018 00:00,,6.69,69.12,
49,19-02-2018 00:00,20-02-2018 00:00,,11.35,90.4,
50,20-02-2018 00:00,21-02-2018 00:00,,9.0,87.75,
51,21-02-2018 00:00,22-02-2018 00:00,,19.97,119.45,
52,22-02-2018 00:00,23-02-2018 00:00,,,,
53,23-02-2018 00:00,24-02-2018 00:00,,14.52,75.32,
54,24-02-2018 00:00,25-02-2018 00:00,,15.02,75.23,
55,25-02-2018 00:00,26-02-2018 00:00,,12.46,48.94,
56,26-02-2018 00:00,27-02-2018 00:00,,3.69,46.89,
57,27-02-2018 00:00,28-02-2018 00:00,,5.41,64.99,
58,28-02-2018 00:00,01-03-2018 00:00,,11.92,64.05,
59,01-03-2018 00:00,02-03-2018 00:00,,12.44,68.28,
60,02-03-2018 00:00,03-03-2018 00:00,,8.63,66.87,
61,03-03-2018 00:00,04-03-2018 00:00,,8.44,56.08,
62,04-03-2018 00:00,05-03-2018 00:00,,7.86,51.03,
63,05-03-2018 00:00,06-03-2018 00:00,,7.21,52.78,
64,06-03-2018 00:00,07-03-2018 00:00,,4.57,52.45,
65,07-03-2018 00:00,08-03-2018 00:00,,5.7,65.34,
66,08-03-2018 00:00,09-03-2018 00:00,,14.94,85.96,
67,09-03-2018 00:00,10-03-2018 00:00,,15.75,66.71,
68,10-03-2018 00:00,11-03-2018 00:00,,6.26,49.46,
69,11-03-2018 00:00,12-03-2018 00:00,,8.09,64.22,
70,12-03-2018 00:00,13-03-2018 00:00,,8.56,63.62,
71,13-03-2018 00:00,14-03-2018 00:00,,12.71,76.95,
72,14-03-2018 00:00,15-03-2018 00:00,,9.35,77.74,
73,15-03-2018 00:00,16-03-2018 00:00,,4.34,14.97,
74,16-03-2018 00:00,17-03-2018 00:00,,7.99,28.81,
75,17-03-2018 00:00,18-03-2018 00:00,,16.77,54.47,
76,18-03-2018 00:00,19-03-2018 00:00,,22.11,58.02,
77,19-03-2018 00:00,20-03-2018 00:00,,23.12,57.36,
78,20-03-2018 00:00,21-03-2018 00:00,,29.21,87.7,
79,21-03-2018 00:00,22-03-2018 00:00,,27.64,51.99,
80,22-03-2018 00:00,23-03-2018 00:00,,15.22,41.56,
81,23-03-2018 00:00,24-03-2018 00:00,,8.4,52.2,
82,24-03-2018 00:00,25-03-2018 00:00,,11.7,53.63,
83,25-03-2018 00:00,26-03-2018 00:00,,10.33,55.23,
84,26-03-2018 00:00,27-03-2018 00:00,,10.81,62.51,
85,27-03-2018 00:00,28-03-2018 00:00,,17.67,81.07,
86,28-03-2018 00:00,29-03-2018 00:00,,13.85,79.04,
87,29-03-2018 00:00,30-03-2018 00:00,,11.48,63.39,
88,30-03-2018 00:00,31-03-2018 00:00,,11.42,70.26,
89,31-03-2018 00:00,01-04-2018 00:00,,17.43,55.99,
90,01-04-2018 00:00,02-04-2018 00:00,,12.26,50.11,
91,02-04-2018 00:00,03-04-2018 00:00,,16.6,64.19,
92,03-04-2018 00:00,04-04-2018 00:00,,15.4,61.68,
93,04-04-2018 00:00,05-04-2018 00:00,,22.18,73.62,
94,05-04-2018 00:00,06-04-2018 00:00,,26.88,70.07,
95,06-04-2018 00:00,07-04-2018 00:00,,38.14,58.07,
96,07-04-2018 00:00,08-04-2018 00:00,,4.88,30.82,
97,08-04-2018 00:00,09-04-2018 00:00,,,,
98,09-04-2018 00:00,10-04-2018 00:00,,13.74,68.67,
99,10-04-2018 00:00,11-04-2018 00:00,,11.52,54.14,
100,11-04-2018 00:00,12-04-2018 00:00,,8.89,42.19,
101,12-04-2018 00:00,13-04-2018 00:00,,9.45,55.63,
102,13-04-2018 00:00,14-04-2018 00:00,,17.59,66.78,
103,14-04-2018 00:00,15-04-2018 00:00,,13.37,66.43,
104,15-04-2018 00:00,16-04-2018 00:00,,16.86,70.85,
105,16-04-2018 00:00,17-04-2018 00:00,,22.15,74.04,
106,17-04-2018 00:00,18-04-2018 00:00,,12.22,59.87,
107,18-04-2018 00:00,19-04-2018 00:00,,10.52,52.97,
108,19-04-2018 00:00,20-04-2018 00:00,,15.55,61.13,
109,20-04-2018 00:00,21-04-2018 00:00,,11.31,44.48,
110,21-04-2018 00:00,22-04-2018 00:00,,11.91,42.58,
111,22-04-2018 00:00,23-04-2018 00:00,,11.37,43.55,
112,23-04-2018 00:00,24-04-2018 00:00,,9.57,63.16,
113,24-04-2018 00:00,25-04-2018 00:00,,11.95,80.03,
114,25-04-2018 00:00,26-04-2018 00:00,,12.68,93.61,
115,26-04-2018 00:00,27-04-2018 00:00,,17.81,83.58,
116,27-04-2018 00:00,28-04-2018 00:00,,9.47,43.21,
117,28-04-2018 00:00,29-04-2018 00:00,,11.07,36.92,
118,29-04-2018 00:00,30-04-2018 00:00,,13.14,50.24,
119,30-04-2018 00:00,01-05-2018 00:00,,10.32,53.86,
120,01-05-2018 00:00,02-05-2018 00:00,,5.87,31.29,
121,02-05-2018 00:00,03-05-2018 00:00,,5.46,32.24,
122,03-05-2018 00:00,04-05-2018 00:00,,7.0,38.22,
123,04-05-2018 00:00,05-05-2018 00:00,,9.66,37.4,
124,05-05-2018 00:00,06-05-2018 00:00,,12.73,63.99,
125,06-05-2018 00:00,07-05-2018 00:00,,20.46,63.73,
126,07-05-2018 00:00,08-05-2018 00:00,,23.12,63.59,
127,08-05-2018 00:00,09-05-2018 00:00,,5.57,32.64,
128,09-05-2018 00:00,10-05-2018 00:00,,16.37,67.24,
129,10-05-2018 00:00,11-05-2018 00:00,,11.61,77.94,
130,11-05-2018 00:00,12-05-2018 00:00,,15.62,90.98,
131,12-05-2018 00:00,13-05-2018 00:00,,20.26,73.41,
132,13-05-2018 00:00,14-05-2018 00:00,,11.99,27.44,
133,14-05-2018 00:00,15-05-2018 00:00,,10.65,43.66,
134,15-05-2018 00:00,16-05-2018 00:00,,11.16,46.54,
135,16-05-2018 00:00,17-05-2018 00:00,,7.25,60.35,
136,17-05-2018 00:00,18-05-2018 00:00,,14.79,40.17,
137,18-05-2018 00:00,19-05-2018 00:00,,18.21,50.78,
138,19-05-2018 00:00,20-05-2018 00:00,,14.97,87.59,
139,20-05-2018 00:00,21-05-2018 00:00,,13.81,52.34,
140,21-05-2018 00:00,22-05-2018 00:00,,11.76,38.67,
141,22-05-2018 00:00,23-05-2018 00:00,,14.63,74.23,
142,23-05-2018 00:00,24-05-2018 00:00,,22.48,70.61,
143,24-05-2018 00:00,25-05-2018 00:00,,15.84,52.79,
144,25-05-2018 00:00,26-05-2018 00:00,,14.92,74.34,
145,26-05-2018 00:00,27-05-2018 00:00,,16.04,81.08,
146,27-05-2018 00:00,28-05-2018 00:00,,13.9,72.97,
147,28-05-2018 00:00,29-05-2018 00:00,,22.46,66.78,
148,29-05-2018 00:00,30-05-2018 00:00,,14.3,60.03,
149,30-05-2018 00:00,31-05-2018 00:00,,6.99,34.66,
150,31-05-2018 00:00,01-06-2018 00:00,,7.33,35.01,
151,01-06-2018 00:00,02-06-2018 00:00,,8.98,34.06,
152,02-06-2018 00:00,03-06-2018 00:00,,7.53,34.63,
153,03-06-2018 00:00,04-06-2018 00:00,,13.59,36.43,
154,04-06-2018 00:00,05-06-2018 00:00,,7.28,31.53,
155,05-06-2018 00:00,06-06-2018 00:00,,6.3,31.69,
156,06-06-2018 00:00,07-06-2018 00:00,,15.88,35.61,
157,07-06-2018 00:00,08-06-2018 00:00,,12.4,39.28,
158,08-06-2018 00:00,09-06-2018 00:00,,5.68,31.67,
159,09-06-2018 00:00,10-06-2018 00:00,,5.62,35.91,
160,10-06-2018 00:00,11-06-2018 00:00,,10.17,55.27,
161,11-06-2018 00:00,12-06-2018 00:00,,6.4,54.13,
162,12-06-2018 00:00,13-06-2018 00:00,,4.61,53.45,
163,13-06-2018 00:00,14-06-2018 00:00,,3.49,39.38,
164,14-06-2018 00:00,15-06-2018 00:00,,4.47,39.11,
165,15-06-2018 00:00,16-06-2018 00:00,,4.61,29.5,
166,16-06-2018 00:00,17-06-2018 00:00,,3.78,29.21,
167,17-06-2018 00:00,18-06-2018 00:00,,3.78,29.21,
168,18-06-2018 00:00,19-06-2018 00:00,,3.78,29.21,
169,19-06-2018 00:00,20-06-2018 00:00,,5.27,31.09,
170,20-06-2018 00:00,21-06-2018 00:00,,15.02,44.64,
171,21-06-2018 00:00,22-06-2018 00:00,,12.24,46.07,
172,22-06-2018 00:00,23-06-2018 00:00,,20.05,66.58,
173,23-06-2018 00:00,24-06-2018 00:00,,11.72,54.2,
174,24-06-2018 00:00,25-06-2018 00:00,,14.75,39.79,
175,25-06-2018 00:00,26-06-2018 00:00,,7.87,46.48,
176,26-06-2018 00:00,27-06-2018 00:00,,8.16,47.7,
177,27-06-2018 00:00,28-06-2018 00:00,,9.77,43.46,
178,28-06-2018 00:00,29-06-2018 00:00,,9.42,38.13,
179,29-06-2018 00:00,30-06-2018 00:00,,13.99,44.86,
180,30-06-2018 00:00,01-07-2018 00:00,,4.24,35.06,
181,01-07-2018 00:00,02-07-2018 00:00,,4.24,35.06,
182,02-07-2018 00:00,03-07-2018 00:00,,3.99,38.32,
183,03-07-2018 00:00,04-07-2018 00:00,,9.13,46.08,
184,04-07-2018 00:00,05-07-2018 00:00,,8.32,33.06,
185,05-07-2018 00:00,06-07-2018 00:00,,13.74,45.31,
186,06-07-2018 00:00,07-07-2018 00:00,,7.08,36.37,
187,07-07-2018 00:00,08-07-2018 00:00,,9.62,36.51,
188,08-07-2018 00:00,09-07-2018 00:00,,13.42,39.06,
189,09-07-2018 00:00,10-07-2018 00:00,,7.42,35.01,
190,10-07-2018 00:00,11-07-2018 00:00,,6.62,32.39,
191,11-07-2018 00:00,12-07-2018 00:00,,11.29,48.16,
192,12-07-2018 00:00,13-07-2018 00:00,,8.05,47.95,
193,13-07-2018 00:00,14-07-2018 00:00,,9.83,42.59,
194,14-07-2018 00:00,15-07-2018 00:00,,15.26,42.29,
195,15-07-2018 00:00,16-07-2018 00:00,,9.26,39.46,
196,16-07-2018 00:00,17-07-2018 00:00,,5.65,46.42,
197,17-07-2018 00:00,18-07-2018 00:00,,6.2,36.57,
198,18-07-2018 00:00,19-07-2018 00:00,,13.97,35.87,
199,19-07-2018 00:00,20-07-2018 00:00,,11.57,39.87,
200,20-07-2018 00:00,21-07-2018 00:00,,9.98,53.26,
201,21-07-2018 00:00,22-07-2018 00:00,,12.57,53.24,
202,22-07-2018 00:00,23-07-2018 00:00,,5.91,44.87,
203,23-07-2018 00:00,24-07-2018 00:00,,13.92,39.12,
204,24-07-2018 00:00,25-07-2018 00:00,,10.25,42.02,
205,25-07-2018 00:00,26-07-2018 00:00,,4.61,49.79,
206,26-07-2018 00:00,27-07-2018 00:00,,4.13,39.46,
207,27-07-2018 00:00,28-07-2018 00:00,,4.27,34.82,
208,28-07-2018 00:00,29-07-2018 00:00,,4.02,37.71,
209,29-07-2018 00:00,30-07-2018 00:00,,4.34,50.29,
210,30-07-2018 00:00,31-07-2018 00:00,,3.33,42.83,
211,31-07-2018 00:00,01-08-2018 00:00,,4.61,55.19,
212,01-08-2018 00:00,02-08-2018 00:00,,3.3,47.39,
213,02-08-2018 00:00,03-08-2018 00:00,,2.89,42.49,
214,03-08-2018 00:00,04-08-2018 00:00,,2.57,41.64,
215,04-08-2018 00:00,05-08-2018 00:00,,3.46,48.4,
216,05-08-2018 00:00,06-08-2018 00:00,,3.73,40.3,
217,06-08-2018 00:00,07-08-2018 00:00,,5.54,32.94,
218,07-08-2018 00:00,08-08-2018 00:00,,16.39,37.4,
219,08-08-2018 00:00,09-08-2018 00:00,,10.98,42.04,
220,09-08-2018 00:00,10-08-2018 00:00,,9.64,39.25,
221,10-08-2018 00:00,11-08-2018 00:00,,3.78,65.83,
222,11-08-2018 00:00,12-08-2018 00:00,,2.95,46.82,
223,12-08-2018 00:00,13-08-2018 00:00,,3.46,44.11,
224,13-08-2018 00:00,14-08-2018 00:00,,4.36,42.38,
225,14-08-2018 00:00,15-08-2018 00:00,,7.01,44.36,
226,15-08-2018 00:00,16-08-2018 00:00,,5.78,34.53,
227,16-08-2018 00:00,17-08-2018 00:00,,11.87,41.77,
228,17-08-2018 00:00,18-08-2018 00:00,,8.29,33.45,
229,18-08-2018 00:00,19-08-2018 00:00,,7.09,40.52,
230,19-08-2018 00:00,20-08-2018 00:00,,14.83,63.3,
231,20-08-2018 00:00,21-08-2018 00:00,,8.71,56.43,
232,21-08-2018 00:00,22-08-2018 00:00,,9.56,41.67,
233,22-08-2018 00:00,23-08-2018 00:00,,5.58,38.15,
234,23-08-2018 00:00,24-08-2018 00:00,,2.88,41.02,
235,24-08-2018 00:00,25-08-2018 00:00,,2.4,47.41,
236,25-08-2018 00:00,26-08-2018 00:00,,2.62,41.78,
237,26-08-2018 00:00,27-08-2018 00:00,,3.2,34.24,
238,27-08-2018 00:00,28-08-2018 00:00,,11.97,37.65,
239,28-08-2018 00:00,29-08-2018 00:00,,8.53,42.91,
240,29-08-2018 00:00,30-08-2018 00:00,,7.77,47.97,
241,30-08-2018 00:00,31-08-2018 00:00,,5.86,48.93,
242,31-08-2018 00:00,01-09-2018 00:00,,4.4,45.16,
243,01-09-2018 00:00,02-09-2018 00:00,,3.26,52.75,
244,02-09-2018 00:00,03-09-2018 00:00,,9.07,41.48,
245,03-09-2018 00:00,04-09-2018 00:00,,10.79,51.81,
246,04-09-2018 00:00,05-09-2018 00:00,,7.07,66.85,
247,05-09-2018 00:00,06-09-2018 00:00,,3.13,58.71,
248,06-09-2018 00:00,07-09-2018 00:00,,3.71,50.84,
249,07-09-2018 00:00,08-09-2018 00:00,,10.08,66.84,
