,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,271.83,,25.46,1.26
1,02-01-2018 00:00,03-01-2018 00:00,216.7,,23.74,1.43
2,03-01-2018 00:00,04-01-2018 00:00,171.37,,23.16,1.49
3,04-01-2018 00:00,05-01-2018 00:00,178.71,,23.97,1.45
4,05-01-2018 00:00,06-01-2018 00:00,183.92,,23.85,1.42
5,06-01-2018 00:00,07-01-2018 00:00,193.14,,24.18,1.39
6,07-01-2018 00:00,08-01-2018 00:00,144.0,,23.92,1.41
7,08-01-2018 00:00,09-01-2018 00:00,144.23,,24.04,1.41
8,09-01-2018 00:00,10-01-2018 00:00,180.29,,24.91,1.32
9,10-01-2018 00:00,11-01-2018 00:00,155.22,,24.18,1.39
10,11-01-2018 00:00,12-01-2018 00:00,120.17,,23.69,1.45
11,12-01-2018 00:00,13-01-2018 00:00,128.47,,23.56,1.48
12,13-01-2018 00:00,14-01-2018 00:00,169.64,,24.8,1.33
13,14-01-2018 00:00,15-01-2018 00:00,141.31,,24.46,1.37
14,15-01-2018 00:00,16-01-2018 00:00,133.51,,24.95,1.31
15,16-01-2018 00:00,17-01-2018 00:00,102.74,,24.72,1.35
16,17-01-2018 00:00,18-01-2018 00:00,183.96,,25.14,1.29
17,18-01-2018 00:00,19-01-2018 00:00,204.52,,25.38,1.27
18,19-01-2018 00:00,20-01-2018 00:00,235.07,,25.14,1.29
19,20-01-2018 00:00,21-01-2018 00:00,138.58,,24.31,1.38
20,21-01-2018 00:00,22-01-2018 00:00,122.9,,24.21,1.4
21,22-01-2018 00:00,23-01-2018 00:00,153.14,,26.33,1.21
22,23-01-2018 00:00,24-01-2018 00:00,136.57,,23.75,1.43
23,24-01-2018 00:00,25-01-2018 00:00,115.69,,22.47,1.57
24,25-01-2018 00:00,26-01-2018 00:00,68.34,,21.74,1.68
25,26-01-2018 00:00,27-01-2018 00:00,1.33,,22.51,1.58
26,27-01-2018 00:00,28-01-2018 00:00,167.06,,23.36,1.49
27,28-01-2018 00:00,29-01-2018 00:00,136.39,,23.11,1.52
28,29-01-2018 00:00,30-01-2018 00:00,126.1,,23.41,1.47
29,30-01-2018 00:00,31-01-2018 00:00,99.66,,23.55,1.45
30,31-01-2018 00:00,01-02-2018 00:00,121.38,,23.66,1.43
31,01-02-2018 00:00,02-02-2018 00:00,98.22,,22.68,1.56
32,02-02-2018 00:00,03-02-2018 00:00,102.05,,23.17,1.5
33,03-02-2018 00:00,04-02-2018 00:00,85.06,,23.58,1.46
34,04-02-2018 00:00,05-02-2018 00:00,100.7,,23.99,1.42
35,05-02-2018 00:00,06-02-2018 00:00,113.61,,24.16,1.38
36,06-02-2018 00:00,07-02-2018 00:00,97.32,,23.66,1.44
37,07-02-2018 00:00,08-02-2018 00:00,98.11,,23.96,1.42
38,08-02-2018 00:00,09-02-2018 00:00,132.67,,24.36,1.37
39,09-02-2018 00:00,10-02-2018 00:00,135.59,,24.76,1.33
40,10-02-2018 00:00,11-02-2018 00:00,135.56,,24.62,1.36
41,11-02-2018 00:00,12-02-2018 00:00,79.46,,23.29,1.51
42,12-02-2018 00:00,13-02-2018 00:00,49.29,,22.1,1.63
43,13-02-2018 00:00,14-02-2018 00:00,68.31,,22.13,1.66
44,14-02-2018 00:00,15-02-2018 00:00,59.92,,22.28,1.61
45,15-02-2018 00:00,16-02-2018 00:00,80.95,,22.89,1.53
46,16-02-2018 00:00,17-02-2018 00:00,88.67,,23.16,1.49
47,17-02-2018 00:00,18-02-2018 00:00,84.96,,22.97,1.52
48,18-02-2018 00:00,19-02-2018 00:00,79.97,,23.76,1.44
49,19-02-2018 00:00,20-02-2018 00:00,111.86,,24.38,1.36
50,20-02-2018 00:00,21-02-2018 00:00,113.57,,23.14,1.53
51,21-02-2018 00:00,22-02-2018 00:00,119.12,,24.49,1.36
52,22-02-2018 00:00,23-02-2018 00:00,126.78,,23.12,1.51
53,23-02-2018 00:00,24-02-2018 00:00,106.93,,23.9,1.44
54,24-02-2018 00:00,25-02-2018 00:00,115.84,,24.41,1.37
55,25-02-2018 00:00,26-02-2018 00:00,90.03,,23.86,1.42
56,26-02-2018 00:00,27-02-2018 00:00,51.48,,23.5,1.53
57,27-02-2018 00:00,28-02-2018 00:00,60.63,,22.82,1.55
58,28-02-2018 00:00,01-03-2018 00:00,100.96,,23.88,1.42
59,01-03-2018 00:00,02-03-2018 00:00,90.33,,23.68,1.45
60,02-03-2018 00:00,03-03-2018 00:00,92.24,,24.17,1.4
61,03-03-2018 00:00,04-03-2018 00:00,70.33,,22.57,1.56
62,04-03-2018 00:00,05-03-2018 00:00,56.45,,21.86,1.69
63,05-03-2018 00:00,06-03-2018 00:00,50.03,,22.81,1.55
64,06-03-2018 00:00,07-03-2018 00:00,51.64,,23.36,1.47
65,07-03-2018 00:00,08-03-2018 00:00,64.03,,23.54,1.46
66,08-03-2018 00:00,09-03-2018 00:00,62.47,,24.79,1.35
67,09-03-2018 00:00,10-03-2018 00:00,101.58,,24.49,1.36
68,10-03-2018 00:00,11-03-2018 00:00,55.12,,22.82,1.54
69,11-03-2018 00:00,12-03-2018 00:00,61.04,,23.21,1.5
70,12-03-2018 00:00,13-03-2018 00:00,77.63,,23.39,1.48
71,13-03-2018 00:00,14-03-2018 00:00,76.11,,23.11,1.52
72,14-03-2018 00:00,15-03-2018 00:00,61.72,,21.88,1.68
73,15-03-2018 00:00,16-03-2018 00:00,63.91,,21.53,1.71
74,16-03-2018 00:00,17-03-2018 00:00,72.35,,23.1,1.52
75,17-03-2018 00:00,18-03-2018 00:00,59.52,,23.44,1.48
76,18-03-2018 00:00,19-03-2018 00:00,56.71,,23.55,1.47
77,19-03-2018 00:00,20-03-2018 00:00,64.4,,22.63,1.59
78,20-03-2018 00:00,21-03-2018 00:00,86.21,,23.64,1.47
79,21-03-2018 00:00,22-03-2018 00:00,92.15,,24.06,1.41
80,22-03-2018 00:00,23-03-2018 00:00,65.57,,23.42,1.5
81,23-03-2018 00:00,24-03-2018 00:00,47.98,,22.48,1.59
82,24-03-2018 00:00,25-03-2018 00:00,57.77,,22.98,1.53
83,25-03-2018 00:00,26-03-2018 00:00,54.38,,22.94,1.54
84,26-03-2018 00:00,27-03-2018 00:00,66.65,,22.84,1.55
85,27-03-2018 00:00,28-03-2018 00:00,82.59,,21.79,1.69
86,28-03-2018 00:00,29-03-2018 00:00,78.9,,22.76,1.56
87,29-03-2018 00:00,30-03-2018 00:00,51.0,,22.5,1.62
88,30-03-2018 00:00,31-03-2018 00:00,136.6,,23.0,1.52
89,31-03-2018 00:00,01-04-2018 00:00,49.73,,23.43,1.5
90,01-04-2018 00:00,02-04-2018 00:00,52.9,,23.8,1.47
91,02-04-2018 00:00,03-04-2018 00:00,59.73,,23.42,1.53
92,03-04-2018 00:00,04-04-2018 00:00,69.59,,23.73,1.48
93,04-04-2018 00:00,05-04-2018 00:00,78.8,,23.83,1.49
94,05-04-2018 00:00,06-04-2018 00:00,124.29,,24.3,1.4
95,06-04-2018 00:00,07-04-2018 00:00,62.03,,22.15,1.7
96,07-04-2018 00:00,08-04-2018 00:00,36.06,,20.66,1.9
97,08-04-2018 00:00,09-04-2018 00:00,36.45,,21.88,1.69
98,09-04-2018 00:00,10-04-2018 00:00,40.8,,20.28,1.91
99,10-04-2018 00:00,11-04-2018 00:00,58.07,,22.39,1.63
100,11-04-2018 00:00,12-04-2018 00:00,35.32,,21.31,1.77
101,12-04-2018 00:00,13-04-2018 00:00,35.54,,20.72,1.87
102,13-04-2018 00:00,14-04-2018 00:00,61.03,,23.6,1.54
103,14-04-2018 00:00,15-04-2018 00:00,70.86,,25.36,1.26
104,15-04-2018 00:00,16-04-2018 00:00,73.38,,25.97,1.22
105,16-04-2018 00:00,17-04-2018 00:00,79.33,,23.59,1.06
106,17-04-2018 00:00,18-04-2018 00:00,53.46,,17.22,0.7
107,18-04-2018 00:00,19-04-2018 00:00,43.83,,19.91,0.71
108,19-04-2018 00:00,20-04-2018 00:00,47.83,,36.56,0.71
109,20-04-2018 00:00,21-04-2018 00:00,51.55,,40.03,0.77
110,21-04-2018 00:00,22-04-2018 00:00,67.48,,41.57,0.78
111,22-04-2018 00:00,23-04-2018 00:00,30.26,,45.14,0.77
112,23-04-2018 00:00,24-04-2018 00:00,45.9,,46.53,0.79
113,24-04-2018 00:00,25-04-2018 00:00,64.07,,44.33,0.63
114,25-04-2018 00:00,26-04-2018 00:00,96.02,,42.15,0.53
115,26-04-2018 00:00,27-04-2018 00:00,69.82,,44.1,0.53
116,27-04-2018 00:00,28-04-2018 00:00,71.79,,46.27,0.56
117,28-04-2018 00:00,29-04-2018 00:00,60.18,,52.67,0.57
118,29-04-2018 00:00,30-04-2018 00:00,62.02,,51.3,0.58
119,30-04-2018 00:00,01-05-2018 00:00,52.02,,48.84,0.58
120,01-05-2018 00:00,02-05-2018 00:00,36.94,,50.62,0.59
121,02-05-2018 00:00,03-05-2018 00:00,38.41,,50.21,0.53
122,03-05-2018 00:00,04-05-2018 00:00,28.49,,45.61,0.61
123,04-05-2018 00:00,05-05-2018 00:00,30.73,,48.03,0.61
124,05-05-2018 00:00,06-05-2018 00:00,50.08,,48.82,0.6
125,06-05-2018 00:00,07-05-2018 00:00,76.22,,43.55,0.59
126,07-05-2018 00:00,08-05-2018 00:00,74.13,,45.48,0.6
127,08-05-2018 00:00,09-05-2018 00:00,23.63,,46.58,0.6
128,09-05-2018 00:00,10-05-2018 00:00,48.2,,45.69,0.59
129,10-05-2018 00:00,11-05-2018 00:00,75.54,,45.9,0.59
130,11-05-2018 00:00,12-05-2018 00:00,108.44,,48.84,0.59
131,12-05-2018 00:00,13-05-2018 00:00,115.71,,50.68,0.58
132,13-05-2018 00:00,14-05-2018 00:00,63.11,,47.03,0.58
133,14-05-2018 00:00,15-05-2018 00:00,35.93,,43.68,0.58
134,15-05-2018 00:00,16-05-2018 00:00,47.31,,44.22,0.6
135,16-05-2018 00:00,17-05-2018 00:00,48.57,,30.54,0.63
136,17-05-2018 00:00,18-05-2018 00:00,62.02,,15.09,0.65
137,18-05-2018 00:00,19-05-2018 00:00,58.18,,15.18,0.63
138,19-05-2018 00:00,20-05-2018 00:00,67.82,,18.07,0.64
139,20-05-2018 00:00,21-05-2018 00:00,49.44,,15.12,0.65
140,21-05-2018 00:00,22-05-2018 00:00,44.35,,15.17,0.66
141,22-05-2018 00:00,23-05-2018 00:00,57.71,,14.96,0.64
142,23-05-2018 00:00,24-05-2018 00:00,81.8,,15.55,0.64
143,24-05-2018 00:00,25-05-2018 00:00,67.57,,15.08,0.68
144,25-05-2018 00:00,26-05-2018 00:00,54.46,,15.9,0.64
145,26-05-2018 00:00,27-05-2018 00:00,76.39,,14.71,0.84
146,27-05-2018 00:00,28-05-2018 00:00,55.06,,13.48,1.02
147,28-05-2018 00:00,29-05-2018 00:00,72.25,,13.83,1.04
148,29-05-2018 00:00,30-05-2018 00:00,52.01,,14.99,1.12
149,30-05-2018 00:00,31-05-2018 00:00,34.51,,14.31,1.2
150,31-05-2018 00:00,01-06-2018 00:00,52.15,,14.56,0.85
151,01-06-2018 00:00,02-06-2018 00:00,48.87,,14.41,0.56
152,02-06-2018 00:00,03-06-2018 00:00,27.21,,15.82,0.64
153,03-06-2018 00:00,04-06-2018 00:00,38.99,,15.27,0.67
154,04-06-2018 00:00,05-06-2018 00:00,44.01,,15.27,0.64
155,05-06-2018 00:00,06-06-2018 00:00,39.0,,15.32,0.61
156,06-06-2018 00:00,07-06-2018 00:00,46.33,,15.16,0.67
157,07-06-2018 00:00,08-06-2018 00:00,52.74,,15.1,0.61
158,08-06-2018 00:00,09-06-2018 00:00,53.81,,15.2,0.61
159,09-06-2018 00:00,10-06-2018 00:00,41.26,,15.25,0.61
160,10-06-2018 00:00,11-06-2018 00:00,37.23,,15.13,0.66
161,11-06-2018 00:00,12-06-2018 00:00,47.33,,15.28,0.65
162,12-06-2018 00:00,13-06-2018 00:00,73.32,,15.26,0.55
163,13-06-2018 00:00,14-06-2018 00:00,118.86,,15.09,0.58
164,14-06-2018 00:00,15-06-2018 00:00,88.87,,15.08,0.61
165,15-06-2018 00:00,16-06-2018 00:00,63.28,,15.02,0.54
166,16-06-2018 00:00,17-06-2018 00:00,54.49,,15.06,0.49
167,17-06-2018 00:00,18-06-2018 00:00,43.04,,15.11,0.5
168,18-06-2018 00:00,19-06-2018 00:00,35.09,,15.21,0.5
169,19-06-2018 00:00,20-06-2018 00:00,37.11,,15.3,0.5
170,20-06-2018 00:00,21-06-2018 00:00,40.17,,15.13,0.51
171,21-06-2018 00:00,22-06-2018 00:00,50.12,,15.11,0.51
172,22-06-2018 00:00,23-06-2018 00:00,51.81,,15.09,0.74
173,23-06-2018 00:00,24-06-2018 00:00,56.07,,15.19,1.01
174,24-06-2018 00:00,25-06-2018 00:00,41.05,,15.24,1.02
175,25-06-2018 00:00,26-06-2018 00:00,32.6,,15.23,1.28
176,26-06-2018 00:00,27-06-2018 00:00,28.7,,15.23,1.24
177,27-06-2018 00:00,28-06-2018 00:00,33.25,,15.17,1.07
178,28-06-2018 00:00,29-06-2018 00:00,16.34,,15.13,1.43
179,29-06-2018 00:00,30-06-2018 00:00,28.41,,15.08,1.47
180,30-06-2018 00:00,01-07-2018 00:00,29.8,,14.89,1.5
181,01-07-2018 00:00,02-07-2018 00:00,24.51,,14.72,1.43
182,02-07-2018 00:00,03-07-2018 00:00,32.2,,14.85,1.4
183,03-07-2018 00:00,04-07-2018 00:00,35.23,,14.91,1.36
184,04-07-2018 00:00,05-07-2018 00:00,34.18,,14.8,1.37
185,05-07-2018 00:00,06-07-2018 00:00,39.02,,14.79,1.38
186,06-07-2018 00:00,07-07-2018 00:00,43.21,,16.01,1.32
187,07-07-2018 00:00,08-07-2018 00:00,48.3,,15.72,1.41
188,08-07-2018 00:00,09-07-2018 00:00,58.32,,15.68,1.55
189,09-07-2018 00:00,10-07-2018 00:00,56.1,,17.08,1.3
190,10-07-2018 00:00,11-07-2018 00:00,39.24,,18.79,0.6
191,11-07-2018 00:00,12-07-2018 00:00,36.88,,19.26,0.51
192,12-07-2018 00:00,13-07-2018 00:00,44.76,,16.49,0.5
193,13-07-2018 00:00,14-07-2018 00:00,18.28,,12.38,0.49
194,14-07-2018 00:00,15-07-2018 00:00,29.41,,13.88,0.49
195,15-07-2018 00:00,16-07-2018 00:00,27.27,,12.61,0.47
196,16-07-2018 00:00,17-07-2018 00:00,30.35,,13.28,0.47
197,17-07-2018 00:00,18-07-2018 00:00,23.84,,13.18,0.47
198,18-07-2018 00:00,19-07-2018 00:00,29.31,,13.71,0.49
199,19-07-2018 00:00,20-07-2018 00:00,31.01,,20.3,0.51
200,20-07-2018 00:00,21-07-2018 00:00,28.0,,15.3,0.51
201,21-07-2018 00:00,22-07-2018 00:00,39.58,,12.75,0.5
202,22-07-2018 00:00,23-07-2018 00:00,21.84,,8.39,0.52
203,23-07-2018 00:00,24-07-2018 00:00,29.03,,11.7,0.5
204,24-07-2018 00:00,25-07-2018 00:00,30.61,,10.61,0.46
205,25-07-2018 00:00,26-07-2018 00:00,24.66,,4.06,0.49
206,26-07-2018 00:00,27-07-2018 00:00,21.72,,1.71,0.48
207,27-07-2018 00:00,28-07-2018 00:00,17.25,,2.66,0.48
