,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,,,,
1,02-01-2018 00:00,03-01-2018 00:00,,,,
2,03-01-2018 00:00,04-01-2018 00:00,,,,
3,04-01-2018 00:00,05-01-2018 00:00,,,,
4,05-01-2018 00:00,06-01-2018 00:00,,,,
5,06-01-2018 00:00,07-01-2018 00:00,,,,
6,07-01-2018 00:00,08-01-2018 00:00,,,,
7,08-01-2018 00:00,09-01-2018 00:00,,,,
8,09-01-2018 00:00,10-01-2018 00:00,,,,
9,10-01-2018 00:00,11-01-2018 00:00,,,,
10,11-01-2018 00:00,12-01-2018 00:00,,,,
11,12-01-2018 00:00,13-01-2018 00:00,,,,
12,13-01-2018 00:00,14-01-2018 00:00,,,,
13,14-01-2018 00:00,15-01-2018 00:00,,,,
14,15-01-2018 00:00,16-01-2018 00:00,,,,
15,16-01-2018 00:00,17-01-2018 00:00,,,,
16,17-01-2018 00:00,18-01-2018 00:00,,,,
17,18-01-2018 00:00,19-01-2018 00:00,,,,
18,19-01-2018 00:00,20-01-2018 00:00,,,,
19,20-01-2018 00:00,21-01-2018 00:00,,,,
20,21-01-2018 00:00,22-01-2018 00:00,,,,
21,22-01-2018 00:00,23-01-2018 00:00,,,,
22,23-01-2018 00:00,24-01-2018 00:00,,,,
23,24-01-2018 00:00,25-01-2018 00:00,,,,
24,25-01-2018 00:00,26-01-2018 00:00,,,,
25,26-01-2018 00:00,27-01-2018 00:00,,,,
26,27-01-2018 00:00,28-01-2018 00:00,,,,
27,28-01-2018 00:00,29-01-2018 00:00,,,,
28,29-01-2018 00:00,30-01-2018 00:00,,,,
29,30-01-2018 00:00,31-01-2018 00:00,,,,
30,31-01-2018 00:00,01-02-2018 00:00,,,,
31,01-02-2018 00:00,02-02-2018 00:00,162.92,13.4,22.3,1.02
32,02-02-2018 00:00,03-02-2018 00:00,146.08,9.73,20.71,0.77
33,03-02-2018 00:00,04-02-2018 00:00,139.44,11.9,22.54,0.72
34,04-02-2018 00:00,05-02-2018 00:00,169.65,11.35,21.12,0.63
35,05-02-2018 00:00,06-02-2018 00:00,202.14,14.88,27.61,0.89
36,06-02-2018 00:00,07-02-2018 00:00,191.41,15.27,23.3,0.82
37,07-02-2018 00:00,08-02-2018 00:00,176.52,13.46,23.16,0.86
38,08-02-2018 00:00,09-02-2018 00:00,177.89,19.0,28.86,1.14
39,09-02-2018 00:00,10-02-2018 00:00,204.2,17.07,30.14,1.11
40,10-02-2018 00:00,11-02-2018 00:00,188.45,12.65,53.74,1.36
41,11-02-2018 00:00,12-02-2018 00:00,159.63,10.74,46.62,1.21
42,12-02-2018 00:00,13-02-2018 00:00,105.74,5.27,22.7,0.74
43,13-02-2018 00:00,14-02-2018 00:00,148.13,5.65,25.04,0.78
44,14-02-2018 00:00,15-02-2018 00:00,84.96,5.58,13.43,0.43
45,15-02-2018 00:00,16-02-2018 00:00,113.05,6.67,15.84,0.56
46,16-02-2018 00:00,17-02-2018 00:00,159.82,9.5,18.61,0.68
47,17-02-2018 00:00,18-02-2018 00:00,176.34,9.14,17.51,0.76
48,18-02-2018 00:00,19-02-2018 00:00,160.41,7.26,19.35,0.73
49,19-02-2018 00:00,20-02-2018 00:00,172.16,13.34,26.78,0.89
50,20-02-2018 00:00,21-02-2018 00:00,181.84,13.65,24.34,0.77
51,21-02-2018 00:00,22-02-2018 00:00,127.46,10.68,32.6,1.35
52,22-02-2018 00:00,23-02-2018 00:00,164.77,11.92,36.68,1.1
53,23-02-2018 00:00,24-02-2018 00:00,181.06,15.23,34.56,1.12
54,24-02-2018 00:00,25-02-2018 00:00,217.5,16.65,32.24,1.21
55,25-02-2018 00:00,26-02-2018 00:00,97.29,11.19,19.35,0.6
56,26-02-2018 00:00,27-02-2018 00:00,73.18,7.17,14.76,0.48
57,27-02-2018 00:00,28-02-2018 00:00,123.36,9.82,18.55,0.64
58,28-02-2018 00:00,01-03-2018 00:00,159.97,13.14,24.31,0.82
59,01-03-2018 00:00,02-03-2018 00:00,143.94,10.39,20.85,0.81
