,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,434.49,24.15,133.32,3.7
1,02-01-2018 00:00,03-01-2018 00:00,349.56,11.48,101.94,1.92
2,03-01-2018 00:00,04-01-2018 00:00,284.05,11.05,83.31,1.53
3,04-01-2018 00:00,05-01-2018 00:00,349.5,18.67,132.92,2.47
4,05-01-2018 00:00,06-01-2018 00:00,273.71,17.74,108.12,1.96
5,06-01-2018 00:00,07-01-2018 00:00,299.57,14.74,,3.45
6,07-01-2018 00:00,08-01-2018 00:00,252.12,20.21,,1.6
7,08-01-2018 00:00,09-01-2018 00:00,194.59,23.01,105.69,1.84
8,09-01-2018 00:00,10-01-2018 00:00,280.82,24.59,112.97,2.19
9,10-01-2018 00:00,11-01-2018 00:00,298.14,26.83,105.85,1.43
10,11-01-2018 00:00,12-01-2018 00:00,176.72,20.35,106.25,1.5
11,12-01-2018 00:00,13-01-2018 00:00,206.65,37.19,113.18,1.71
12,13-01-2018 00:00,14-01-2018 00:00,196.7,25.13,117.53,2.94
13,14-01-2018 00:00,15-01-2018 00:00,287.1,33.16,107.37,2.58
14,15-01-2018 00:00,16-01-2018 00:00,248.54,24.06,105.33,1.69
15,16-01-2018 00:00,17-01-2018 00:00,163.37,27.76,110.25,1.28
16,17-01-2018 00:00,18-01-2018 00:00,260.8,12.32,138.94,2.9
17,18-01-2018 00:00,19-01-2018 00:00,341.22,26.11,134.92,3.58
18,19-01-2018 00:00,20-01-2018 00:00,350.56,19.53,111.61,2.4
19,20-01-2018 00:00,21-01-2018 00:00,240.04,18.26,87.3,1.0
20,21-01-2018 00:00,22-01-2018 00:00,181.34,24.9,124.55,2.74
21,22-01-2018 00:00,23-01-2018 00:00,237.05,26.13,140.61,2.31
22,23-01-2018 00:00,24-01-2018 00:00,190.02,18.41,123.42,1.32
23,24-01-2018 00:00,25-01-2018 00:00,180.3,15.26,90.1,1.2
24,25-01-2018 00:00,26-01-2018 00:00,159.22,10.1,70.96,1.18
25,26-01-2018 00:00,27-01-2018 00:00,166.77,8.21,70.05,1.2
