,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,373.6,,161.91,
1,02-01-2018 00:00,03-01-2018 00:00,380.46,,106.49,
2,03-01-2018 00:00,04-01-2018 00:00,236.79,,85.06,
3,04-01-2018 00:00,05-01-2018 00:00,269.81,,82.62,
4,05-01-2018 00:00,06-01-2018 00:00,278.94,,71.62,
5,06-01-2018 00:00,07-01-2018 00:00,259.15,,118.23,
6,07-01-2018 00:00,08-01-2018 00:00,223.67,,67.06,
7,08-01-2018 00:00,09-01-2018 00:00,157.41,,109.25,
8,09-01-2018 00:00,10-01-2018 00:00,229.33,,111.04,
9,10-01-2018 00:00,11-01-2018 00:00,229.91,,73.59,
10,11-01-2018 00:00,12-01-2018 00:00,115.44,,65.09,
11,12-01-2018 00:00,13-01-2018 00:00,274.71,,105.77,
12,13-01-2018 00:00,14-01-2018 00:00,203.89,,158.71,
13,14-01-2018 00:00,15-01-2018 00:00,178.97,,99.35,
14,15-01-2018 00:00,16-01-2018 00:00,229.38,,101.32,
15,16-01-2018 00:00,17-01-2018 00:00,321.09,,30.26,
16,17-01-2018 00:00,18-01-2018 00:00,266.78,,20.43,
17,18-01-2018 00:00,19-01-2018 00:00,238.05,,19.04,
18,19-01-2018 00:00,20-01-2018 00:00,288.45,,21.48,
19,20-01-2018 00:00,21-01-2018 00:00,,,,
20,21-01-2018 00:00,22-01-2018 00:00,,,,
21,22-01-2018 00:00,23-01-2018 00:00,189.89,,18.36,
22,23-01-2018 00:00,24-01-2018 00:00,188.46,,15.67,
23,24-01-2018 00:00,25-01-2018 00:00,169.1,,15.82,
24,25-01-2018 00:00,26-01-2018 00:00,124.92,,13.46,
25,26-01-2018 00:00,27-01-2018 00:00,178.56,,17.36,
26,27-01-2018 00:00,28-01-2018 00:00,,,,
27,28-01-2018 00:00,29-01-2018 00:00,,,,
28,29-01-2018 00:00,30-01-2018 00:00,129.15,,16.99,
29,30-01-2018 00:00,31-01-2018 00:00,131.9,,14.17,
30,31-01-2018 00:00,01-02-2018 00:00,188.72,,32.37,
31,01-02-2018 00:00,02-02-2018 00:00,125.12,,73.28,
32,02-02-2018 00:00,03-02-2018 00:00,147.01,,79.42,
33,03-02-2018 00:00,04-02-2018 00:00,109.59,,74.84,
34,04-02-2018 00:00,05-02-2018 00:00,130.41,,56.77,
35,05-02-2018 00:00,06-02-2018 00:00,154.86,,74.49,
36,06-02-2018 00:00,07-02-2018 00:00,133.59,,69.27,
37,07-02-2018 00:00,08-02-2018 00:00,127.33,,63.73,
38,08-02-2018 00:00,09-02-2018 00:00,149.31,,89.51,
39,09-02-2018 00:00,10-02-2018 00:00,184.97,,89.6,
40,10-02-2018 00:00,11-02-2018 00:00,195.4,,124.32,
41,11-02-2018 00:00,12-02-2018 00:00,150.77,,89.69,
42,12-02-2018 00:00,13-02-2018 00:00,61.59,,42.55,
43,13-02-2018 00:00,14-02-2018 00:00,83.3,,53.73,
44,14-02-2018 00:00,15-02-2018 00:00,,,,
45,15-02-2018 00:00,16-02-2018 00:00,65.41,,44.97,
46,16-02-2018 00:00,17-02-2018 00:00,125.5,,48.55,
47,17-02-2018 00:00,18-02-2018 00:00,113.17,,50.9,
48,18-02-2018 00:00,19-02-2018 00:00,116.04,,52.5,
49,19-02-2018 00:00,20-02-2018 00:00,125.22,,72.91,
50,20-02-2018 00:00,21-02-2018 00:00,151.07,,70.43,
51,21-02-2018 00:00,22-02-2018 00:00,189.36,,112.54,
52,22-02-2018 00:00,23-02-2018 00:00,78.0,,74.9,
53,23-02-2018 00:00,24-02-2018 00:00,,,,
54,24-02-2018 00:00,25-02-2018 00:00,,,,
55,25-02-2018 00:00,26-02-2018 00:00,,,,
56,26-02-2018 00:00,27-02-2018 00:00,,,,
57,27-02-2018 00:00,28-02-2018 00:00,,,,
58,28-02-2018 00:00,01-03-2018 00:00,118.19,,49.6,
59,01-03-2018 00:00,02-03-2018 00:00,105.29,,53.26,
60,02-03-2018 00:00,03-03-2018 00:00,116.38,,51.14,
61,03-03-2018 00:00,04-03-2018 00:00,95.0,,47.61,
62,04-03-2018 00:00,05-03-2018 00:00,62.96,,45.23,
63,05-03-2018 00:00,06-03-2018 00:00,77.19,,51.16,
64,06-03-2018 00:00,07-03-2018 00:00,71.39,,41.86,
65,07-03-2018 00:00,08-03-2018 00:00,82.39,,53.64,
66,08-03-2018 00:00,09-03-2018 00:00,92.5,,80.57,
67,09-03-2018 00:00,10-03-2018 00:00,105.06,,80.15,
68,10-03-2018 00:00,11-03-2018 00:00,66.99,,50.73,
69,11-03-2018 00:00,12-03-2018 00:00,82.1,,44.74,
70,12-03-2018 00:00,13-03-2018 00:00,96.33,,59.66,
71,13-03-2018 00:00,14-03-2018 00:00,96.17,,68.63,
72,14-03-2018 00:00,15-03-2018 00:00,84.76,,72.55,
73,15-03-2018 00:00,16-03-2018 00:00,82.31,,53.84,
74,16-03-2018 00:00,17-03-2018 00:00,83.38,,53.3,
75,17-03-2018 00:00,18-03-2018 00:00,78.43,,45.21,
76,18-03-2018 00:00,19-03-2018 00:00,78.33,,44.61,
77,19-03-2018 00:00,20-03-2018 00:00,62.38,,48.94,
78,20-03-2018 00:00,21-03-2018 00:00,80.15,,64.13,
79,21-03-2018 00:00,22-03-2018 00:00,141.76,,41.17,
80,22-03-2018 00:00,23-03-2018 00:00,70.99,,30.49,
81,23-03-2018 00:00,24-03-2018 00:00,115.75,,33.78,
82,24-03-2018 00:00,25-03-2018 00:00,77.0,,28.32,
83,25-03-2018 00:00,26-03-2018 00:00,87.68,,25.62,
84,26-03-2018 00:00,27-03-2018 00:00,90.55,,33.87,
85,27-03-2018 00:00,28-03-2018 00:00,98.42,,51.32,
86,28-03-2018 00:00,29-03-2018 00:00,81.58,,61.45,
87,29-03-2018 00:00,30-03-2018 00:00,,,,
88,30-03-2018 00:00,31-03-2018 00:00,65.1,,1.4,
89,31-03-2018 00:00,01-04-2018 00:00,136.41,,1.04,
90,01-04-2018 00:00,02-04-2018 00:00,58.91,,1.06,
91,02-04-2018 00:00,03-04-2018 00:00,71.26,,1.24,
92,03-04-2018 00:00,04-04-2018 00:00,85.12,,1.21,
93,04-04-2018 00:00,05-04-2018 00:00,89.86,,1.33,
94,05-04-2018 00:00,06-04-2018 00:00,165.76,,1.45,
95,06-04-2018 00:00,07-04-2018 00:00,139.77,,1.46,
96,07-04-2018 00:00,08-04-2018 00:00,33.13,,1.18,
97,08-04-2018 00:00,09-04-2018 00:00,,,,
98,09-04-2018 00:00,10-04-2018 00:00,,,,2.33
99,10-04-2018 00:00,11-04-2018 00:00,,4.0,7.99,3.07
100,11-04-2018 00:00,12-04-2018 00:00,,,8.71,2.45
