,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,416.86,8.08,110.91,
1,02-01-2018 00:00,03-01-2018 00:00,248.82,6.7,87.44,
2,03-01-2018 00:00,04-01-2018 00:00,178.59,8.66,76.83,
3,04-01-2018 00:00,05-01-2018 00:00,239.29,7.52,68.38,
4,05-01-2018 00:00,06-01-2018 00:00,360.12,6.19,59.55,
5,06-01-2018 00:00,07-01-2018 00:00,227.64,7.82,76.77,
6,07-01-2018 00:00,08-01-2018 00:00,139.0,5.21,71.89,
7,08-01-2018 00:00,09-01-2018 00:00,146.58,6.75,71.28,
8,09-01-2018 00:00,10-01-2018 00:00,201.72,7.58,83.1,
9,10-01-2018 00:00,11-01-2018 00:00,146.76,7.23,73.38,
10,11-01-2018 00:00,12-01-2018 00:00,117.33,6.25,67.29,
11,12-01-2018 00:00,13-01-2018 00:00,148.83,12.75,72.2,
12,13-01-2018 00:00,14-01-2018 00:00,205.63,19.12,71.27,
13,14-01-2018 00:00,15-01-2018 00:00,162.86,16.03,75.8,
14,15-01-2018 00:00,16-01-2018 00:00,204.16,13.32,82.09,
15,16-01-2018 00:00,17-01-2018 00:00,117.57,10.97,80.68,
16,17-01-2018 00:00,18-01-2018 00:00,285.77,4.1,71.44,
17,18-01-2018 00:00,19-01-2018 00:00,299.18,11.75,77.71,
18,19-01-2018 00:00,20-01-2018 00:00,207.96,12.0,91.89,
19,20-01-2018 00:00,21-01-2018 00:00,154.83,10.94,83.5,
20,21-01-2018 00:00,22-01-2018 00:00,160.19,12.78,82.17,
21,22-01-2018 00:00,23-01-2018 00:00,216.74,16.54,83.53,
22,23-01-2018 00:00,24-01-2018 00:00,156.63,5.29,74.53,
23,24-01-2018 00:00,25-01-2018 00:00,145.15,5.43,70.79,
24,25-01-2018 00:00,26-01-2018 00:00,118.84,4.34,61.68,
25,26-01-2018 00:00,27-01-2018 00:00,174.46,4.59,72.36,
26,27-01-2018 00:00,28-01-2018 00:00,263.29,8.85,90.51,
27,28-01-2018 00:00,29-01-2018 00:00,163.56,10.61,69.58,
28,29-01-2018 00:00,30-01-2018 00:00,211.99,16.22,64.42,
29,30-01-2018 00:00,31-01-2018 00:00,106.68,7.52,63.09,
30,31-01-2018 00:00,01-02-2018 00:00,135.3,8.29,64.33,
31,01-02-2018 00:00,02-02-2018 00:00,103.83,13.37,67.81,
32,02-02-2018 00:00,03-02-2018 00:00,139.08,14.18,62.01,
33,03-02-2018 00:00,04-02-2018 00:00,110.53,19.06,62.26,
34,04-02-2018 00:00,05-02-2018 00:00,128.08,10.96,61.92,
35,05-02-2018 00:00,06-02-2018 00:00,148.29,16.2,71.66,
36,06-02-2018 00:00,07-02-2018 00:00,144.75,11.6,77.73,
37,07-02-2018 00:00,08-02-2018 00:00,118.36,11.38,71.5,
38,08-02-2018 00:00,09-02-2018 00:00,169.7,21.61,86.92,
39,09-02-2018 00:00,10-02-2018 00:00,197.31,27.87,94.68,
40,10-02-2018 00:00,11-02-2018 00:00,211.59,28.15,93.73,
41,11-02-2018 00:00,12-02-2018 00:00,155.37,28.74,68.27,
42,12-02-2018 00:00,13-02-2018 00:00,205.87,3.69,46.5,
43,13-02-2018 00:00,14-02-2018 00:00,261.1,12.48,62.38,
44,14-02-2018 00:00,15-02-2018 00:00,72.35,4.81,53.35,
45,15-02-2018 00:00,16-02-2018 00:00,98.04,10.69,54.6,
46,16-02-2018 00:00,17-02-2018 00:00,110.05,11.76,61.17,
47,17-02-2018 00:00,18-02-2018 00:00,102.37,11.4,62.95,
