,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,,,,
1,02-01-2018 00:00,03-01-2018 00:00,,,,
2,03-01-2018 00:00,04-01-2018 00:00,,,,
3,04-01-2018 00:00,05-01-2018 00:00,,,,
4,05-01-2018 00:00,06-01-2018 00:00,,,,
5,06-01-2018 00:00,07-01-2018 00:00,,,,
6,07-01-2018 00:00,08-01-2018 00:00,,,,
7,08-01-2018 00:00,09-01-2018 00:00,,,,
8,09-01-2018 00:00,10-01-2018 00:00,38.25,4.86,12.93,
9,10-01-2018 00:00,11-01-2018 00:00,35.4,2.46,9.75,
10,11-01-2018 00:00,12-01-2018 00:00,96.43,5.15,14.86,
11,12-01-2018 00:00,13-01-2018 00:00,35.19,3.31,23.76,
12,13-01-2018 00:00,14-01-2018 00:00,33.12,3.75,26.51,
13,14-01-2018 00:00,15-01-2018 00:00,38.66,2.89,29.71,
14,15-01-2018 00:00,16-01-2018 00:00,36.88,3.39,17.65,
15,16-01-2018 00:00,17-01-2018 00:00,41.63,3.32,37.51,
16,17-01-2018 00:00,18-01-2018 00:00,43.67,3.61,36.36,
17,18-01-2018 00:00,19-01-2018 00:00,34.13,5.01,33.65,
18,19-01-2018 00:00,20-01-2018 00:00,33.66,4.38,23.39,
19,20-01-2018 00:00,21-01-2018 00:00,31.48,4.45,19.31,
20,21-01-2018 00:00,22-01-2018 00:00,36.84,4.27,14.52,
21,22-01-2018 00:00,23-01-2018 00:00,46.05,3.78,19.73,
22,23-01-2018 00:00,24-01-2018 00:00,50.7,4.95,28.32,
23,24-01-2018 00:00,25-01-2018 00:00,47.71,5.73,48.15,
24,25-01-2018 00:00,26-01-2018 00:00,45.28,7.68,27.93,
25,26-01-2018 00:00,27-01-2018 00:00,42.3,8.36,15.84,
26,27-01-2018 00:00,28-01-2018 00:00,51.77,6.85,29.22,
27,28-01-2018 00:00,29-01-2018 00:00,40.52,7.37,17.82,
28,29-01-2018 00:00,30-01-2018 00:00,38.34,7.26,22.34,
29,30-01-2018 00:00,31-01-2018 00:00,82.87,6.52,25.53,
30,31-01-2018 00:00,01-02-2018 00:00,38.78,6.75,26.2,
31,01-02-2018 00:00,02-02-2018 00:00,33.82,8.96,48.16,
32,02-02-2018 00:00,03-02-2018 00:00,32.1,8.38,31.92,
33,03-02-2018 00:00,04-02-2018 00:00,34.98,8.93,22.56,
34,04-02-2018 00:00,05-02-2018 00:00,28.24,3.35,20.01,
35,05-02-2018 00:00,06-02-2018 00:00,28.25,3.18,26.81,
36,06-02-2018 00:00,07-02-2018 00:00,35.03,2.88,19.68,
37,07-02-2018 00:00,08-02-2018 00:00,29.66,2.43,29.78,
38,08-02-2018 00:00,09-02-2018 00:00,28.08,3.2,52.0,
39,09-02-2018 00:00,10-02-2018 00:00,28.89,2.06,43.42,
40,10-02-2018 00:00,11-02-2018 00:00,26.47,1.82,31.94,
41,11-02-2018 00:00,12-02-2018 00:00,24.9,3.16,10.08,
42,12-02-2018 00:00,13-02-2018 00:00,23.1,2.38,10.68,
43,13-02-2018 00:00,14-02-2018 00:00,33.5,1.97,11.36,
44,14-02-2018 00:00,15-02-2018 00:00,34.02,1.58,10.53,
45,15-02-2018 00:00,16-02-2018 00:00,28.66,1.2,11.96,
46,16-02-2018 00:00,17-02-2018 00:00,27.23,2.38,26.81,
47,17-02-2018 00:00,18-02-2018 00:00,30.45,4.99,40.49,
48,18-02-2018 00:00,19-02-2018 00:00,26.22,3.36,16.99,
49,19-02-2018 00:00,20-02-2018 00:00,26.48,3.36,22.73,
50,20-02-2018 00:00,21-02-2018 00:00,28.66,3.74,21.21,
51,21-02-2018 00:00,22-02-2018 00:00,31.76,3.85,30.09,
52,22-02-2018 00:00,23-02-2018 00:00,35.26,4.03,39.12,
53,23-02-2018 00:00,24-02-2018 00:00,27.63,4.58,29.94,
54,24-02-2018 00:00,25-02-2018 00:00,21.72,3.92,12.01,
55,25-02-2018 00:00,26-02-2018 00:00,19.88,3.71,9.57,
56,26-02-2018 00:00,27-02-2018 00:00,16.25,3.45,20.2,
