,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,,,,0.33
1,02-01-2018 00:00,03-01-2018 00:00,,,,1.84
2,03-01-2018 00:00,04-01-2018 00:00,,,,3.58
3,04-01-2018 00:00,05-01-2018 00:00,,,,3.46
4,05-01-2018 00:00,06-01-2018 00:00,,,,2.78
5,06-01-2018 00:00,07-01-2018 00:00,,,,2.91
6,07-01-2018 00:00,08-01-2018 00:00,,,,2.61
7,08-01-2018 00:00,09-01-2018 00:00,,,,2.46
8,09-01-2018 00:00,10-01-2018 00:00,,,,2.15
9,10-01-2018 00:00,11-01-2018 00:00,,,,2.42
10,11-01-2018 00:00,12-01-2018 00:00,,,,2.2
11,12-01-2018 00:00,13-01-2018 00:00,,,,2.08
12,13-01-2018 00:00,14-01-2018 00:00,,,,1.91
13,14-01-2018 00:00,15-01-2018 00:00,,,,2.19
14,15-01-2018 00:00,16-01-2018 00:00,,,,2.5
15,16-01-2018 00:00,17-01-2018 00:00,,,,2.05
16,17-01-2018 00:00,18-01-2018 00:00,,,,1.36
17,18-01-2018 00:00,19-01-2018 00:00,,,,1.25
18,19-01-2018 00:00,20-01-2018 00:00,,,,1.43
19,20-01-2018 00:00,21-01-2018 00:00,,,,1.18
20,21-01-2018 00:00,22-01-2018 00:00,,,,1.3
21,22-01-2018 00:00,23-01-2018 00:00,,,,1.28
22,23-01-2018 00:00,24-01-2018 00:00,,,,0.83
23,24-01-2018 00:00,25-01-2018 00:00,,,,0.46
24,25-01-2018 00:00,26-01-2018 00:00,,,,0.0
25,26-01-2018 00:00,27-01-2018 00:00,,,,0.0
26,27-01-2018 00:00,28-01-2018 00:00,,,,0.0
27,28-01-2018 00:00,29-01-2018 00:00,,,,0.0
28,29-01-2018 00:00,30-01-2018 00:00,,,,0.0
29,30-01-2018 00:00,31-01-2018 00:00,,,,0.0
30,31-01-2018 00:00,01-02-2018 00:00,,,,0.0
31,01-02-2018 00:00,02-02-2018 00:00,,,,1.49
32,02-02-2018 00:00,03-02-2018 00:00,,,,1.3
33,03-02-2018 00:00,04-02-2018 00:00,,,,1.08
34,04-02-2018 00:00,05-02-2018 00:00,,,,1.79
35,05-02-2018 00:00,06-02-2018 00:00,,,,1.57
36,06-02-2018 00:00,07-02-2018 00:00,,,,1.69
37,07-02-2018 00:00,08-02-2018 00:00,,,,1.61
38,08-02-2018 00:00,09-02-2018 00:00,,,,1.59
39,09-02-2018 00:00,10-02-2018 00:00,,,,1.38
40,10-02-2018 00:00,11-02-2018 00:00,,,,1.53
41,11-02-2018 00:00,12-02-2018 00:00,,,,1.33
42,12-02-2018 00:00,13-02-2018 00:00,,,,1.05
43,13-02-2018 00:00,14-02-2018 00:00,,,,1.43
44,14-02-2018 00:00,15-02-2018 00:00,,,,1.52
45,15-02-2018 00:00,16-02-2018 00:00,,,,0.99
46,16-02-2018 00:00,17-02-2018 00:00,,,,0.97
47,17-02-2018 00:00,18-02-2018 00:00,,,,0.99
48,18-02-2018 00:00,19-02-2018 00:00,,,,0.99
49,19-02-2018 00:00,20-02-2018 00:00,,,,1.08
50,20-02-2018 00:00,21-02-2018 00:00,,2.85,,1.18
51,21-02-2018 00:00,22-02-2018 00:00,,,,1.22
52,22-02-2018 00:00,23-02-2018 00:00,,,,1.52
53,23-02-2018 00:00,24-02-2018 00:00,,,,1.38
54,24-02-2018 00:00,25-02-2018 00:00,,,,1.56
55,25-02-2018 00:00,26-02-2018 00:00,,,,1.69
56,26-02-2018 00:00,27-02-2018 00:00,,,,1.67
57,27-02-2018 00:00,28-02-2018 00:00,,,0.38,1.83
58,28-02-2018 00:00,01-03-2018 00:00,,,,1.93
59,01-03-2018 00:00,02-03-2018 00:00,,,,1.98
60,02-03-2018 00:00,03-03-2018 00:00,,,,2.07
61,03-03-2018 00:00,04-03-2018 00:00,,,,1.86
62,04-03-2018 00:00,05-03-2018 00:00,,,,1.7
63,05-03-2018 00:00,06-03-2018 00:00,,,,1.72
64,06-03-2018 00:00,07-03-2018 00:00,,,,1.79
65,07-03-2018 00:00,08-03-2018 00:00,,,,1.69
66,08-03-2018 00:00,09-03-2018 00:00,,,,1.74
67,09-03-2018 00:00,10-03-2018 00:00,,,,1.8
68,10-03-2018 00:00,11-03-2018 00:00,,,,1.74
69,11-03-2018 00:00,12-03-2018 00:00,,,,1.91
70,12-03-2018 00:00,13-03-2018 00:00,,,,1.63
71,13-03-2018 00:00,14-03-2018 00:00,,,,1.32
72,14-03-2018 00:00,15-03-2018 00:00,,,,1.26
73,15-03-2018 00:00,16-03-2018 00:00,,,,1.33
74,16-03-2018 00:00,17-03-2018 00:00,,,,1.51
75,17-03-2018 00:00,18-03-2018 00:00,,,,1.45
76,18-03-2018 00:00,19-03-2018 00:00,,,,1.36
77,19-03-2018 00:00,20-03-2018 00:00,,,,1.41
