,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,155.86,2.93,24.82,1.13
1,02-01-2018 00:00,03-01-2018 00:00,96.06,2.93,25.45,0.89
2,03-01-2018 00:00,04-01-2018 00:00,73.89,2.83,24.19,0.73
3,04-01-2018 00:00,05-01-2018 00:00,116.61,3.32,25.95,1.01
4,05-01-2018 00:00,06-01-2018 00:00,120.9,3.59,25.89,1.09
5,06-01-2018 00:00,07-01-2018 00:00,74.74,1.96,19.34,0.76
6,07-01-2018 00:00,08-01-2018 00:00,68.77,3.86,16.11,0.74
7,08-01-2018 00:00,09-01-2018 00:00,76.01,3.01,15.53,0.74
8,09-01-2018 00:00,10-01-2018 00:00,77.26,4.63,14.1,0.7
9,10-01-2018 00:00,11-01-2018 00:00,85.36,4.46,15.72,0.71
10,11-01-2018 00:00,12-01-2018 00:00,76.98,6.68,17.66,0.87
11,12-01-2018 00:00,13-01-2018 00:00,78.31,,,0.84
12,13-01-2018 00:00,14-01-2018 00:00,94.97,,,1.02
13,14-01-2018 00:00,15-01-2018 00:00,91.22,,,0.93
14,15-01-2018 00:00,16-01-2018 00:00,81.12,9.12,38.74,0.87
15,16-01-2018 00:00,17-01-2018 00:00,82.24,6.06,34.67,1.13
16,17-01-2018 00:00,18-01-2018 00:00,120.36,4.73,26.31,1.06
17,18-01-2018 00:00,19-01-2018 00:00,91.24,3.86,21.16,0.82
18,19-01-2018 00:00,20-01-2018 00:00,57.59,4.55,22.26,0.61
19,20-01-2018 00:00,21-01-2018 00:00,61.78,4.32,23.45,0.85
20,21-01-2018 00:00,22-01-2018 00:00,62.29,4.16,24.69,0.82
21,22-01-2018 00:00,23-01-2018 00:00,114.55,4.98,29.75,1.35
22,23-01-2018 00:00,24-01-2018 00:00,74.14,5.01,27.2,0.82
23,24-01-2018 00:00,25-01-2018 00:00,32.28,4.23,23.52,0.57
24,25-01-2018 00:00,26-01-2018 00:00,38.97,5.1,23.72,0.59
