,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,48.96,3.37,10.87,
1,02-01-2018 00:00,03-01-2018 00:00,75.83,5.54,13.46,
2,03-01-2018 00:00,04-01-2018 00:00,75.45,6.75,18.84,
3,04-01-2018 00:00,05-01-2018 00:00,209.23,17.62,21.18,
4,05-01-2018 00:00,06-01-2018 00:00,88.07,29.26,19.49,
5,06-01-2018 00:00,07-01-2018 00:00,82.56,57.94,19.91,
6,07-01-2018 00:00,08-01-2018 00:00,69.97,27.54,12.58,
7,08-01-2018 00:00,09-01-2018 00:00,72.58,19.72,13.35,
8,09-01-2018 00:00,10-01-2018 00:00,63.48,19.51,14.98,
9,10-01-2018 00:00,11-01-2018 00:00,63.96,6.46,10.58,
10,11-01-2018 00:00,12-01-2018 00:00,76.04,11.43,12.1,
11,12-01-2018 00:00,13-01-2018 00:00,88.09,20.54,13.35,
12,13-01-2018 00:00,14-01-2018 00:00,278.63,39.11,18.88,
13,14-01-2018 00:00,15-01-2018 00:00,99.67,36.94,7.65,
14,15-01-2018 00:00,16-01-2018 00:00,78.19,20.5,6.1,
15,16-01-2018 00:00,17-01-2018 00:00,88.72,23.25,6.61,
16,17-01-2018 00:00,18-01-2018 00:00,84.13,63.79,13.54,
17,18-01-2018 00:00,19-01-2018 00:00,77.58,48.36,18.51,
18,19-01-2018 00:00,20-01-2018 00:00,86.9,60.74,19.43,
19,20-01-2018 00:00,21-01-2018 00:00,74.67,64.48,24.4,
20,21-01-2018 00:00,22-01-2018 00:00,100.7,60.02,20.64,
21,22-01-2018 00:00,23-01-2018 00:00,71.95,11.45,18.01,
22,23-01-2018 00:00,24-01-2018 00:00,140.72,7.67,20.77,
23,24-01-2018 00:00,25-01-2018 00:00,127.98,7.67,25.09,
24,25-01-2018 00:00,26-01-2018 00:00,115.84,8.14,23.64,
25,26-01-2018 00:00,27-01-2018 00:00,101.05,8.18,19.67,
26,27-01-2018 00:00,28-01-2018 00:00,104.13,8.89,22.18,
27,28-01-2018 00:00,29-01-2018 00:00,95.88,8.23,15.23,
28,29-01-2018 00:00,30-01-2018 00:00,92.74,9.1,15.32,
29,30-01-2018 00:00,31-01-2018 00:00,96.14,8.5,21.65,
30,31-01-2018 00:00,01-02-2018 00:00,105.93,7.73,25.29,
31,01-02-2018 00:00,02-02-2018 00:00,65.74,9.02,18.08,
32,02-02-2018 00:00,03-02-2018 00:00,98.08,7.59,20.01,
33,03-02-2018 00:00,04-02-2018 00:00,114.67,6.64,18.18,
34,04-02-2018 00:00,05-02-2018 00:00,60.6,7.66,12.15,
35,05-02-2018 00:00,06-02-2018 00:00,55.75,7.57,22.45,
36,06-02-2018 00:00,07-02-2018 00:00,64.76,7.77,30.12,
37,07-02-2018 00:00,08-02-2018 00:00,50.11,7.38,24.7,
38,08-02-2018 00:00,09-02-2018 00:00,46.06,8.26,26.45,
39,09-02-2018 00:00,10-02-2018 00:00,98.98,6.56,20.1,
40,10-02-2018 00:00,11-02-2018 00:00,85.15,8.09,23.53,
41,11-02-2018 00:00,12-02-2018 00:00,78.49,8.61,14.5,
42,12-02-2018 00:00,13-02-2018 00:00,73.63,7.17,17.94,
43,13-02-2018 00:00,14-02-2018 00:00,107.41,7.13,21.73,
