,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,56.32,15.59,43.99,
1,02-01-2018 00:00,03-01-2018 00:00,64.01,9.19,33.24,
2,03-01-2018 00:00,04-01-2018 00:00,73.7,9.87,33.8,
3,04-01-2018 00:00,05-01-2018 00:00,76.6,14.89,35.73,
4,05-01-2018 00:00,06-01-2018 00:00,74.92,14.38,37.6,
5,06-01-2018 00:00,07-01-2018 00:00,71.8,15.46,46.02,
6,07-01-2018 00:00,08-01-2018 00:00,70.45,15.8,49.46,
7,08-01-2018 00:00,09-01-2018 00:00,73.7,8.58,34.11,
8,09-01-2018 00:00,10-01-2018 00:00,77.13,13.98,39.63,
9,10-01-2018 00:00,11-01-2018 00:00,72.62,13.92,38.12,
10,11-01-2018 00:00,12-01-2018 00:00,70.54,13.92,34.75,
11,12-01-2018 00:00,13-01-2018 00:00,71.67,24.88,45.23,
12,13-01-2018 00:00,14-01-2018 00:00,64.64,28.04,32.77,
13,14-01-2018 00:00,15-01-2018 00:00,66.05,17.24,26.45,
14,15-01-2018 00:00,16-01-2018 00:00,71.74,9.73,19.64,
15,16-01-2018 00:00,17-01-2018 00:00,60.09,11.07,27.44,
16,17-01-2018 00:00,18-01-2018 00:00,63.61,12.93,29.36,
17,18-01-2018 00:00,19-01-2018 00:00,62.99,17.68,51.2,
18,19-01-2018 00:00,20-01-2018 00:00,53.91,20.22,38.93,
19,20-01-2018 00:00,21-01-2018 00:00,58.31,25.86,47.76,
20,21-01-2018 00:00,22-01-2018 00:00,65.01,18.66,39.04,
21,22-01-2018 00:00,23-01-2018 00:00,70.12,11.33,38.94,
22,23-01-2018 00:00,24-01-2018 00:00,66.37,8.36,35.79,
23,24-01-2018 00:00,25-01-2018 00:00,66.05,15.37,29.18,
24,25-01-2018 00:00,26-01-2018 00:00,64.09,22.35,31.16,
25,26-01-2018 00:00,27-01-2018 00:00,63.89,20.91,31.98,
26,27-01-2018 00:00,28-01-2018 00:00,67.53,16.53,38.94,
27,28-01-2018 00:00,29-01-2018 00:00,74.05,12.54,32.25,
28,29-01-2018 00:00,30-01-2018 00:00,70.22,10.17,32.56,
29,30-01-2018 00:00,31-01-2018 00:00,53.45,18.24,34.46,
30,31-01-2018 00:00,01-02-2018 00:00,44.71,20.26,32.94,
31,01-02-2018 00:00,02-02-2018 00:00,50.27,34.26,58.35,
32,02-02-2018 00:00,03-02-2018 00:00,43.08,25.43,50.19,
33,03-02-2018 00:00,04-02-2018 00:00,47.93,10.5,40.14,
34,04-02-2018 00:00,05-02-2018 00:00,44.43,11.93,31.37,
35,05-02-2018 00:00,06-02-2018 00:00,45.11,8.46,30.62,
36,06-02-2018 00:00,07-02-2018 00:00,51.29,18.18,45.12,
37,07-02-2018 00:00,08-02-2018 00:00,59.12,23.46,42.23,
38,08-02-2018 00:00,09-02-2018 00:00,51.32,32.94,60.87,
39,09-02-2018 00:00,10-02-2018 00:00,57.65,23.34,50.54,
40,10-02-2018 00:00,11-02-2018 00:00,55.29,14.32,38.36,
41,11-02-2018 00:00,12-02-2018 00:00,46.91,6.24,18.02,
42,12-02-2018 00:00,13-02-2018 00:00,52.98,4.86,18.04,
43,13-02-2018 00:00,14-02-2018 00:00,49.76,4.47,17.29,
44,14-02-2018 00:00,15-02-2018 00:00,55.84,8.05,27.49,
45,15-02-2018 00:00,16-02-2018 00:00,47.42,11.87,24.18,
46,16-02-2018 00:00,17-02-2018 00:00,45.73,18.59,28.67,
47,17-02-2018 00:00,18-02-2018 00:00,44.02,24.43,34.56,
48,18-02-2018 00:00,19-02-2018 00:00,58.19,13.82,33.18,
49,19-02-2018 00:00,20-02-2018 00:00,52.48,9.69,33.43,
50,20-02-2018 00:00,21-02-2018 00:00,47.1,6.53,25.78,
51,21-02-2018 00:00,22-02-2018 00:00,59.39,7.06,35.97,
52,22-02-2018 00:00,23-02-2018 00:00,62.31,5.55,38.27,
53,23-02-2018 00:00,24-02-2018 00:00,59.8,8.11,31.05,
54,24-02-2018 00:00,25-02-2018 00:00,47.5,8.03,33.29,
55,25-02-2018 00:00,26-02-2018 00:00,43.47,7.91,30.81,
56,26-02-2018 00:00,27-02-2018 00:00,53.25,9.7,59.41,
57,27-02-2018 00:00,28-02-2018 00:00,57.63,16.03,58.75,
58,28-02-2018 00:00,01-03-2018 00:00,62.32,11.16,57.66,
59,01-03-2018 00:00,02-03-2018 00:00,60.9,16.52,66.39,
60,02-03-2018 00:00,03-03-2018 00:00,61.41,14.7,62.1,
61,03-03-2018 00:00,04-03-2018 00:00,62.51,16.33,46.86,
62,04-03-2018 00:00,05-03-2018 00:00,62.84,12.23,47.43,
63,05-03-2018 00:00,06-03-2018 00:00,55.06,9.74,42.01,
64,06-03-2018 00:00,07-03-2018 00:00,53.39,12.12,31.23,
65,07-03-2018 00:00,08-03-2018 00:00,51.63,8.59,29.38,
66,08-03-2018 00:00,09-03-2018 00:00,55.31,7.4,38.1,
67,09-03-2018 00:00,10-03-2018 00:00,61.31,7.78,32.16,
68,10-03-2018 00:00,11-03-2018 00:00,71.84,9.42,39.59,
69,11-03-2018 00:00,12-03-2018 00:00,55.35,7.25,21.77,
70,12-03-2018 00:00,13-03-2018 00:00,41.25,5.41,26.99,
71,13-03-2018 00:00,14-03-2018 00:00,45.41,6.41,28.31,
72,14-03-2018 00:00,15-03-2018 00:00,55.47,8.83,37.83,
73,15-03-2018 00:00,16-03-2018 00:00,55.37,15.46,31.22,
74,16-03-2018 00:00,17-03-2018 00:00,59.43,14.87,17.05,
75,17-03-2018 00:00,18-03-2018 00:00,52.69,5.69,17.04,
76,18-03-2018 00:00,19-03-2018 00:00,41.68,4.92,17.48,
77,19-03-2018 00:00,20-03-2018 00:00,51.47,5.21,29.79,
78,20-03-2018 00:00,21-03-2018 00:00,60.51,8.26,34.21,
79,21-03-2018 00:00,22-03-2018 00:00,64.15,19.77,34.21,
80,22-03-2018 00:00,23-03-2018 00:00,55.62,20.1,34.05,
81,23-03-2018 00:00,24-03-2018 00:00,57.12,17.94,36.91,
82,24-03-2018 00:00,25-03-2018 00:00,59.91,26.5,42.43,
83,25-03-2018 00:00,26-03-2018 00:00,74.95,10.57,29.44,
84,26-03-2018 00:00,27-03-2018 00:00,66.31,7.25,26.75,
85,27-03-2018 00:00,28-03-2018 00:00,67.12,12.19,38.02,
86,28-03-2018 00:00,29-03-2018 00:00,59.96,10.76,32.61,
87,29-03-2018 00:00,30-03-2018 00:00,66.88,9.89,36.28,
88,30-03-2018 00:00,31-03-2018 00:00,65.96,13.45,32.46,
89,31-03-2018 00:00,01-04-2018 00:00,,,,
90,01-04-2018 00:00,02-04-2018 00:00,,,,
91,02-04-2018 00:00,03-04-2018 00:00,,,,
92,03-04-2018 00:00,04-04-2018 00:00,,,,
93,04-04-2018 00:00,05-04-2018 00:00,,,,
94,05-04-2018 00:00,06-04-2018 00:00,,,,
95,06-04-2018 00:00,07-04-2018 00:00,39.49,6.44,19.24,
96,07-04-2018 00:00,08-04-2018 00:00,37.03,11.83,34.1,
97,08-04-2018 00:00,09-04-2018 00:00,34.71,6.22,22.4,
98,09-04-2018 00:00,10-04-2018 00:00,45.56,8.09,33.06,
99,10-04-2018 00:00,11-04-2018 00:00,37.45,5.01,29.03,
100,11-04-2018 00:00,12-04-2018 00:00,32.58,7.93,23.53,
101,12-04-2018 00:00,13-04-2018 00:00,42.24,8.96,30.16,
102,13-04-2018 00:00,14-04-2018 00:00,28.17,4.56,22.78,
103,14-04-2018 00:00,15-04-2018 00:00,27.9,4.74,24.43,
104,15-04-2018 00:00,16-04-2018 00:00,33.88,8.76,23.92,
105,16-04-2018 00:00,17-04-2018 00:00,49.66,12.87,33.03,
106,17-04-2018 00:00,18-04-2018 00:00,38.31,7.42,30.11,
107,18-04-2018 00:00,19-04-2018 00:00,56.46,22.84,32.58,
108,19-04-2018 00:00,20-04-2018 00:00,53.32,16.33,44.92,
109,20-04-2018 00:00,21-04-2018 00:00,49.7,12.42,36.14,
110,21-04-2018 00:00,22-04-2018 00:00,49.67,9.59,35.71,
111,22-04-2018 00:00,23-04-2018 00:00,47.56,7.94,29.71,
112,23-04-2018 00:00,24-04-2018 00:00,36.52,5.92,22.21,
113,24-04-2018 00:00,25-04-2018 00:00,42.35,12.75,25.37,
114,25-04-2018 00:00,26-04-2018 00:00,37.96,5.09,17.89,
115,26-04-2018 00:00,27-04-2018 00:00,45.15,6.65,35.25,
116,27-04-2018 00:00,28-04-2018 00:00,42.59,5.65,22.52,
117,28-04-2018 00:00,29-04-2018 00:00,39.2,6.7,24.7,
118,29-04-2018 00:00,30-04-2018 00:00,39.16,7.4,18.73,
119,30-04-2018 00:00,01-05-2018 00:00,46.91,14.57,31.94,
120,01-05-2018 00:00,02-05-2018 00:00,48.43,7.4,21.77,
121,02-05-2018 00:00,03-05-2018 00:00,39.75,3.82,24.91,
122,03-05-2018 00:00,04-05-2018 00:00,33.2,3.9,18.02,
123,04-05-2018 00:00,05-05-2018 00:00,23.62,8.35,27.03,
124,05-05-2018 00:00,06-05-2018 00:00,28.54,4.63,22.34,
125,06-05-2018 00:00,07-05-2018 00:00,36.78,6.58,26.35,
126,07-05-2018 00:00,08-05-2018 00:00,34.95,9.74,18.69,
127,08-05-2018 00:00,09-05-2018 00:00,50.02,13.2,33.87,
128,09-05-2018 00:00,10-05-2018 00:00,45.93,7.35,30.67,
