,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,53.23,4.04,54.06,
1,02-01-2018 00:00,03-01-2018 00:00,76.06,5.3,56.09,
2,03-01-2018 00:00,04-01-2018 00:00,87.53,8.19,54.46,
3,04-01-2018 00:00,05-01-2018 00:00,88.14,13.66,63.57,
4,05-01-2018 00:00,06-01-2018 00:00,66.8,12.55,68.41,
5,06-01-2018 00:00,07-01-2018 00:00,67.71,8.34,78.09,
6,07-01-2018 00:00,08-01-2018 00:00,71.02,8.0,59.1,
7,08-01-2018 00:00,09-01-2018 00:00,71.95,6.49,64.37,
8,09-01-2018 00:00,10-01-2018 00:00,77.21,6.43,62.67,
9,10-01-2018 00:00,11-01-2018 00:00,70.19,9.66,58.09,
10,11-01-2018 00:00,12-01-2018 00:00,78.25,11.08,75.31,
11,12-01-2018 00:00,13-01-2018 00:00,72.46,16.81,86.59,
12,13-01-2018 00:00,14-01-2018 00:00,64.08,25.0,71.16,
13,14-01-2018 00:00,15-01-2018 00:00,73.58,11.52,56.1,
14,15-01-2018 00:00,16-01-2018 00:00,78.95,4.68,36.85,
15,16-01-2018 00:00,17-01-2018 00:00,62.49,5.74,44.88,
16,17-01-2018 00:00,18-01-2018 00:00,57.62,6.84,54.01,
17,18-01-2018 00:00,19-01-2018 00:00,59.03,5.86,63.29,
18,19-01-2018 00:00,20-01-2018 00:00,54.96,13.34,67.24,
19,20-01-2018 00:00,21-01-2018 00:00,57.09,21.03,75.56,
20,21-01-2018 00:00,22-01-2018 00:00,63.35,9.28,66.76,
21,22-01-2018 00:00,23-01-2018 00:00,66.73,5.53,55.81,
22,23-01-2018 00:00,24-01-2018 00:00,54.55,3.93,52.63,
23,24-01-2018 00:00,25-01-2018 00:00,59.69,5.78,45.07,
24,25-01-2018 00:00,26-01-2018 00:00,67.62,15.79,65.91,
25,26-01-2018 00:00,27-01-2018 00:00,64.7,19.47,68.13,
26,27-01-2018 00:00,28-01-2018 00:00,65.99,10.16,65.81,
27,28-01-2018 00:00,29-01-2018 00:00,63.6,4.44,50.93,
28,29-01-2018 00:00,30-01-2018 00:00,61.61,5.67,50.51,
29,30-01-2018 00:00,31-01-2018 00:00,52.36,15.69,60.79,
30,31-01-2018 00:00,01-02-2018 00:00,47.14,16.16,86.45,
31,01-02-2018 00:00,02-02-2018 00:00,43.0,10.96,85.46,
32,02-02-2018 00:00,03-02-2018 00:00,42.04,9.71,90.63,
33,03-02-2018 00:00,04-02-2018 00:00,35.1,7.83,49.91,
34,04-02-2018 00:00,05-02-2018 00:00,31.41,7.13,35.88,
35,05-02-2018 00:00,06-02-2018 00:00,33.57,4.31,45.36,
36,06-02-2018 00:00,07-02-2018 00:00,40.59,4.67,68.7,
37,07-02-2018 00:00,08-02-2018 00:00,50.45,8.44,91.96,
38,08-02-2018 00:00,09-02-2018 00:00,39.32,3.91,74.22,
39,09-02-2018 00:00,10-02-2018 00:00,45.74,7.62,54.89,
40,10-02-2018 00:00,11-02-2018 00:00,54.09,6.44,63.37,
41,11-02-2018 00:00,12-02-2018 00:00,70.91,1.51,36.0,
42,12-02-2018 00:00,13-02-2018 00:00,60.29,1.25,24.46,
43,13-02-2018 00:00,14-02-2018 00:00,43.18,0.87,34.63,
44,14-02-2018 00:00,15-02-2018 00:00,45.36,3.06,52.92,
45,15-02-2018 00:00,16-02-2018 00:00,49.45,10.58,55.24,
46,16-02-2018 00:00,17-02-2018 00:00,42.06,16.99,57.8,
47,17-02-2018 00:00,18-02-2018 00:00,42.6,19.02,68.79,
48,18-02-2018 00:00,19-02-2018 00:00,52.03,6.34,76.49,
49,19-02-2018 00:00,20-02-2018 00:00,41.21,4.72,43.68,
50,20-02-2018 00:00,21-02-2018 00:00,41.33,3.86,46.74,
51,21-02-2018 00:00,22-02-2018 00:00,48.9,4.94,51.62,
52,22-02-2018 00:00,23-02-2018 00:00,51.14,7.22,59.85,
53,23-02-2018 00:00,24-02-2018 00:00,45.82,5.22,57.99,
54,24-02-2018 00:00,25-02-2018 00:00,35.95,2.6,53.1,
55,25-02-2018 00:00,26-02-2018 00:00,31.69,3.79,68.56,
56,26-02-2018 00:00,27-02-2018 00:00,41.06,5.31,81.41,
57,27-02-2018 00:00,28-02-2018 00:00,40.55,8.07,84.74,
58,28-02-2018 00:00,01-03-2018 00:00,52.64,7.29,78.45,
59,01-03-2018 00:00,02-03-2018 00:00,44.91,6.69,71.66,
60,02-03-2018 00:00,03-03-2018 00:00,40.6,6.68,47.17,
61,03-03-2018 00:00,04-03-2018 00:00,41.99,6.59,47.5,
62,04-03-2018 00:00,05-03-2018 00:00,43.67,7.03,47.28,
63,05-03-2018 00:00,06-03-2018 00:00,38.07,7.42,44.71,
64,06-03-2018 00:00,07-03-2018 00:00,39.72,8.72,37.85,
65,07-03-2018 00:00,08-03-2018 00:00,36.04,5.57,40.98,
66,08-03-2018 00:00,09-03-2018 00:00,39.73,6.5,46.28,
67,09-03-2018 00:00,10-03-2018 00:00,47.5,2.83,65.62,
68,10-03-2018 00:00,11-03-2018 00:00,57.46,6.18,46.26,
69,11-03-2018 00:00,12-03-2018 00:00,44.02,4.52,34.44,
70,12-03-2018 00:00,13-03-2018 00:00,32.08,2.4,50.61,
71,13-03-2018 00:00,14-03-2018 00:00,31.83,3.72,49.81,
72,14-03-2018 00:00,15-03-2018 00:00,37.58,4.12,49.69,
73,15-03-2018 00:00,16-03-2018 00:00,43.25,6.72,49.27,
74,16-03-2018 00:00,17-03-2018 00:00,52.32,14.87,45.35,
75,17-03-2018 00:00,18-03-2018 00:00,43.88,1.93,38.57,
76,18-03-2018 00:00,19-03-2018 00:00,32.96,1.39,42.51,
77,19-03-2018 00:00,20-03-2018 00:00,35.92,2.39,55.19,
78,20-03-2018 00:00,21-03-2018 00:00,45.67,1.89,62.15,
79,21-03-2018 00:00,22-03-2018 00:00,50.11,9.27,58.29,
80,22-03-2018 00:00,23-03-2018 00:00,58.45,16.2,72.07,
81,23-03-2018 00:00,24-03-2018 00:00,49.29,16.13,82.39,
82,24-03-2018 00:00,25-03-2018 00:00,54.96,15.7,84.6,
83,25-03-2018 00:00,26-03-2018 00:00,64.41,8.36,54.98,
84,26-03-2018 00:00,27-03-2018 00:00,51.35,4.33,43.1,
85,27-03-2018 00:00,28-03-2018 00:00,48.43,7.16,43.28,
86,28-03-2018 00:00,29-03-2018 00:00,41.85,11.35,44.78,
87,29-03-2018 00:00,30-03-2018 00:00,47.55,7.16,49.88,
88,30-03-2018 00:00,31-03-2018 00:00,43.6,4.68,40.11,
89,31-03-2018 00:00,01-04-2018 00:00,41.97,6.08,40.06,
90,01-04-2018 00:00,02-04-2018 00:00,34.35,2.6,30.03,
91,02-04-2018 00:00,03-04-2018 00:00,32.02,1.09,51.57,
92,03-04-2018 00:00,04-04-2018 00:00,43.0,2.75,44.61,
93,04-04-2018 00:00,05-04-2018 00:00,38.43,4.06,47.6,
94,05-04-2018 00:00,06-04-2018 00:00,35.41,1.8,42.56,
95,06-04-2018 00:00,07-04-2018 00:00,40.91,2.72,48.33,
96,07-04-2018 00:00,08-04-2018 00:00,22.57,4.13,50.32,
97,08-04-2018 00:00,09-04-2018 00:00,23.56,0.49,38.54,
98,09-04-2018 00:00,10-04-2018 00:00,28.26,1.27,47.68,
99,10-04-2018 00:00,11-04-2018 00:00,28.5,1.38,54.18,
100,11-04-2018 00:00,12-04-2018 00:00,20.22,1.48,32.7,
101,12-04-2018 00:00,13-04-2018 00:00,23.54,5.03,49.55,
102,13-04-2018 00:00,14-04-2018 00:00,18.32,1.49,35.5,
103,14-04-2018 00:00,15-04-2018 00:00,15.1,1.56,30.95,
104,15-04-2018 00:00,16-04-2018 00:00,23.47,3.18,36.52,
105,16-04-2018 00:00,17-04-2018 00:00,36.09,4.05,60.85,
106,17-04-2018 00:00,18-04-2018 00:00,25.54,4.43,39.76,
107,18-04-2018 00:00,19-04-2018 00:00,24.68,4.38,37.81,
108,19-04-2018 00:00,20-04-2018 00:00,33.24,9.6,49.94,
109,20-04-2018 00:00,21-04-2018 00:00,34.73,4.52,55.66,
110,21-04-2018 00:00,22-04-2018 00:00,35.48,3.79,62.67,
111,22-04-2018 00:00,23-04-2018 00:00,30.96,4.61,34.93,
112,23-04-2018 00:00,24-04-2018 00:00,24.1,1.9,27.71,
113,24-04-2018 00:00,25-04-2018 00:00,23.93,2.63,38.28,
114,25-04-2018 00:00,26-04-2018 00:00,28.36,1.67,31.15,
115,26-04-2018 00:00,27-04-2018 00:00,31.48,3.68,42.39,
116,27-04-2018 00:00,28-04-2018 00:00,30.99,3.71,39.44,
117,28-04-2018 00:00,29-04-2018 00:00,69.73,3.31,27.8,
118,29-04-2018 00:00,30-04-2018 00:00,79.44,4.6,25.2,
119,30-04-2018 00:00,01-05-2018 00:00,57.39,4.29,48.92,
120,01-05-2018 00:00,02-05-2018 00:00,36.45,3.54,36.9,
121,02-05-2018 00:00,03-05-2018 00:00,33.36,2.63,13.94,
122,03-05-2018 00:00,04-05-2018 00:00,25.57,1.52,28.29,
123,04-05-2018 00:00,05-05-2018 00:00,14.64,1.59,29.03,
124,05-05-2018 00:00,06-05-2018 00:00,23.19,1.76,26.68,
125,06-05-2018 00:00,07-05-2018 00:00,26.72,3.51,23.34,
126,07-05-2018 00:00,08-05-2018 00:00,25.72,2.24,26.87,
127,08-05-2018 00:00,09-05-2018 00:00,36.94,3.12,50.45,
128,09-05-2018 00:00,10-05-2018 00:00,35.48,3.99,32.82,
129,10-05-2018 00:00,11-05-2018 00:00,26.27,2.08,30.26,
130,11-05-2018 00:00,12-05-2018 00:00,27.35,3.08,29.18,
131,12-05-2018 00:00,13-05-2018 00:00,26.03,2.2,25.24,
132,13-05-2018 00:00,14-05-2018 00:00,26.18,1.71,26.63,
133,14-05-2018 00:00,15-05-2018 00:00,23.61,1.62,21.83,
134,15-05-2018 00:00,16-05-2018 00:00,21.45,1.62,20.19,
135,16-05-2018 00:00,17-05-2018 00:00,36.92,3.5,30.44,
136,17-05-2018 00:00,18-05-2018 00:00,34.75,1.69,36.83,
137,18-05-2018 00:00,19-05-2018 00:00,29.88,1.23,24.25,
138,19-05-2018 00:00,20-05-2018 00:00,41.53,3.56,33.97,
139,20-05-2018 00:00,21-05-2018 00:00,36.2,2.75,22.9,
140,21-05-2018 00:00,22-05-2018 00:00,41.67,3.31,29.57,
141,22-05-2018 00:00,23-05-2018 00:00,36.67,2.45,22.92,
142,23-05-2018 00:00,24-05-2018 00:00,42.66,2.72,36.43,
143,24-05-2018 00:00,25-05-2018 00:00,32.84,2.21,36.54,
144,25-05-2018 00:00,26-05-2018 00:00,35.69,2.46,27.96,
145,26-05-2018 00:00,27-05-2018 00:00,20.1,0.58,23.22,
146,27-05-2018 00:00,28-05-2018 00:00,21.76,1.24,23.17,
147,28-05-2018 00:00,29-05-2018 00:00,25.43,1.5,20.18,
148,29-05-2018 00:00,30-05-2018 00:00,29.56,2.78,28.85,
149,30-05-2018 00:00,31-05-2018 00:00,25.5,1.59,18.0,
150,31-05-2018 00:00,01-06-2018 00:00,28.42,2.28,24.6,
151,01-06-2018 00:00,02-06-2018 00:00,31.58,1.59,27.97,
152,02-06-2018 00:00,03-06-2018 00:00,32.18,0.83,30.58,
153,03-06-2018 00:00,04-06-2018 00:00,29.7,0.78,21.68,
154,04-06-2018 00:00,05-06-2018 00:00,27.52,0.8,18.23,
155,05-06-2018 00:00,06-06-2018 00:00,29.32,0.84,31.05,
156,06-06-2018 00:00,07-06-2018 00:00,28.92,0.44,23.69,
157,07-06-2018 00:00,08-06-2018 00:00,15.28,0.15,13.12,
158,08-06-2018 00:00,09-06-2018 00:00,16.98,0.78,14.21,
159,09-06-2018 00:00,10-06-2018 00:00,16.8,0.4,14.02,
160,10-06-2018 00:00,11-06-2018 00:00,14.27,0.27,14.33,
161,11-06-2018 00:00,12-06-2018 00:00,19.93,0.49,18.83,
162,12-06-2018 00:00,13-06-2018 00:00,23.68,0.37,14.16,
163,13-06-2018 00:00,14-06-2018 00:00,23.45,0.3,14.11,
164,14-06-2018 00:00,15-06-2018 00:00,,3.25,14.27,
165,15-06-2018 00:00,16-06-2018 00:00,,2.31,13.94,
