,date,PM2.5,SO2,NO2
0,2018-01-01,58.52,5.53,23.0
1,2018-02-01,64.59,10.19,29.15
2,2018-03-01,73.38,14.3,56.69
3,2018-04-01,112.94,34.13,84.75
4,2018-05-01,91.33,11.17,60.04
5,2018-06-01,106.33,12.89,76.09
6,2018-07-01,91.71,14.11,72.01
7,2018-08-01,98.15,12.87,58.05
8,2018-09-01,65.05,10.31,33.28
9,2018-10-01,99.35,13.0,67.81
10,2018-11-01,124.24,15.56,71.9
11,2018-12-01,128.2,14.11,68.55
12,2018-01-13,113.95,15.18,51.57
13,2018-01-14,208.81,15.04,67.42
14,2018-01-15,111.33,10.83,44.79
15,2018-01-16,126.38,18.52,56.07
16,2018-01-17,101.57,12.48,51.71
17,2018-01-18,83.89,13.43,55.76
18,2018-01-19,86.73,10.93,58.05
19,2018-01-20,102.42,14.2,61.09
20,2018-01-21,88.45,12.32,59.49
21,2018-01-22,94.49,11.74,65.22
22,2018-01-23,110.51,14.48,84.03
23,2018-01-24,44.43873479318735,11.856380145278449,36.36138703815869
24,2018-01-25,44.43873479318735,11.856380145278449,36.36138703815869
25,2018-01-26,44.43873479318735,11.856380145278449,36.36138703815869
26,2018-01-27,70.9,8.93,25.01
27,2018-01-28,84.04,15.55,36.99
28,2018-01-29,86.74,9.24,51.64
29,2018-01-30,95.0,19.86,68.16
30,2018-01-31,94.75,10.91,65.87
31,2018-01-02,74.26,2.4,64.96
32,2018-02-02,78.68,4.74,68.22
33,2018-03-02,79.25,9.56,67.83
34,2018-04-02,61.98,12.49,63.38
35,2018-05-02,65.82,11.04,61.73
36,2018-06-02,69.51,11.6,57.14
37,2018-07-02,60.86,9.18,48.22
38,2018-08-02,51.79,9.86,48.44
39,2018-09-02,49.01,8.73,40.53
40,2018-10-02,54.68,8.5,40.54
41,2018-11-02,72.58,10.97,27.01
42,2018-12-02,72.05,9.18,37.378
43,2018-02-13,63.71,10.84,38.88
44,2018-02-14,52.07,7.85,7.69
45,2018-02-15,67.5,10.83,10.84
46,2018-02-16,74.38,11.14,7.95
47,2018-02-17,82.37,10.64,0.58
48,2018-02-18,66.87,10.28,0.72
49,2018-02-19,79.44,9.74,0.95
50,2018-02-20,80.36,10.61,21.29
51,2018-02-21,71.4,9.54,49.0
52,2018-02-22,72.25,16.82,66.76
53,2018-02-23,76.68,16.37,60.62
54,2018-02-24,89.14,30.29,93.77
55,2018-02-25,64.05,18.8,68.07
56,2018-02-26,58.97,21.64,83.56
57,2018-02-27,47.56,16.96,57.83
58,2018-02-28,50.95,19.07,70.27
59,2018-01-03,56.24,18.86,58.1
60,2018-02-03,54.94,21.22,49.56
61,2018-03-03,36.95,38.83,56.15
62,2018-04-03,32.38,25.49,57.99
63,2018-05-03,47.3,21.05,52.75
64,2018-06-03,49.17,15.9,43.78
65,2018-07-03,64.07,12.79,46.74
66,2018-08-03,48.64,2.46,19.93
67,2018-09-03,46.5,4.31,25.12
68,2018-10-03,59.5,10.73,44.91
69,2018-11-03,64.49,14.1,53.52
70,2018-12-03,56.47,19.96,49.05
71,2018-03-13,49.66,18.9,57.29
72,2018-03-14,39.77,22.65,56.49
73,2018-03-15,42.38,20.68,39.53
74,2018-03-16,44.35,10.31,34.54
75,2018-03-17,96.52,15.8,68.21
76,2018-03-18,93.09,11.33,51.81
77,2018-03-19,67.04,8.62,40.71
78,2018-03-20,55.55,17.86,40.94
79,2018-03-21,59.91,22.81,46.65
80,2018-03-22,51.73,15.67,42.39
81,2018-03-23,55.52,14.29,41.61
82,2018-03-24,54.3,8.41,32.77
83,2018-03-25,45.52,4.61,27.78
84,2018-03-26,52.48,9.68,37.85
85,2018-03-27,47.77,24.17,40.12
86,2018-03-28,29.89,16.26,29.03
87,2018-03-29,28.13,9.73,28.98
88,2018-03-30,30.1,10.81,27.81
89,2018-03-31,39.24,14.82,41.14
90,2018-01-04,35.64,9.95,33.41
91,2018-02-04,28.94,9.22,30.43
92,2018-03-04,22.16,4.15,22.56
93,2018-04-04,23.97,5.29,30.92
94,2018-05-04,27.8,8.66,35.21
95,2018-06-04,38.81,10.87,35.51
96,2018-07-04,36.19,10.93,33.64
97,2018-08-04,23.96,3.46,22.01
98,2018-09-04,40.1,5.06,42.04
99,2018-10-04,48.12,15.11,36.31
100,2018-11-04,28.87,12.32,30.43
101,2018-12-04,22.1,11.09,29.46
102,2018-04-13,29.09,17.54,35.11
103,2018-04-14,19.04,14.71,24.17
104,2018-04-15,16.36,9.4,26.51
105,2018-04-16,18.67,18.18,31.76
106,2018-04-17,24.88,31.21,32.89
107,2018-04-18,20.33,25.11,33.04
108,2018-04-19,17.64,12.99,27.86
109,2018-04-20,16.23,16.51,24.09
110,2018-04-21,21.68,8.09,22.79
111,2018-04-22,15.61,36.16,23.82
112,2018-04-23,27.94,19.59,31.39
113,2018-04-24,29.33,15.68,35.52
114,2018-04-25,24.66,16.75,26.33
115,2018-04-26,21.83,21.54,26.91
116,2018-04-27,16.18,10.09,18.9
117,2018-04-28,13.38,12.18,19.61
118,2018-04-29,17.15,12.01,23.13
119,2018-04-30,14.66,12.24,21.46
120,2018-01-05,15.09,4.42,31.98
121,2018-02-05,32.16,12.71,49.55
122,2018-03-05,24.73,9.33,64.32
123,2018-04-05,22.05,12.85,38.36
124,2018-05-05,18.68,4.4,25.59
125,2018-06-05,14.86,11.64,23.25
126,2018-07-05,16.98,15.43,27.68
127,2018-08-05,20.08,13.84,26.88
128,2018-09-05,19.61,7.09,28.58
129,2018-10-05,19.9,20.36,35.16
130,2018-11-05,9.04,10.24,22.94
131,2018-12-05,58.16,8.48,35.52
132,2018-05-13,16.44,7.54,25.96
133,2018-05-14,16.7,6.97,34.25
134,2018-05-15,25.43,13.97,48.06
135,2018-05-16,17.58,16.61,29.87
136,2018-05-17,11.95,11.71,19.73
137,2018-05-18,21.66,22.4,41.07
138,2018-05-19,20.34,8.38,29.28
139,2018-05-20,15.97,7.96,25.97
140,2018-05-21,18.3,8.05,28.1
141,2018-05-22,15.36,4.63,25.23
142,2018-05-23,10.7,7.18,20.67
143,2018-05-24,13.17,7.89,22.76
144,2018-05-25,11.9,5.74,21.62
