,date,PM2.5,SO2,NO2
0,2018-01-01,268.29,51.1,47.59
1,2018-02-01,228.88,33.89,21.71
2,2018-03-01,248.58,41.76,88.46
3,2018-04-01,281.95,34.8,52.59
4,2018-05-01,245.74,30.51,20.2
5,2018-06-01,239.76,32.3,72.76
6,2018-07-01,271.72,56.67,92.5
7,2018-08-01,320.55,60.11,89.86
8,2018-09-01,236.46,52.2,42.41
9,2018-10-01,205.46,41.78,55.8
10,2018-11-01,205.51,66.28,75.99
11,2018-12-01,246.39,69.46,92.73
12,2018-01-13,237.66,49.68,67.13
13,2018-01-14,191.33,44.23,28.32
14,2018-01-15,212.53,46.58,66.26
15,2018-01-16,218.11,57.55,77.8
16,2018-01-17,174.48,49.25,34.1
17,2018-01-18,179.65,42.79,27.22
18,2018-01-19,138.53,42.12,51.15
19,2018-01-20,119.71,47.82,62.74
20,2018-01-21,176.07,46.82,65.04
21,2018-01-22,201.13,48.76,43.94
22,2018-01-23,195.85,46.58,68.31
23,2018-01-24,168.55,48.01,36.1
24,2018-01-25,114.59,49.14,20.73
25,2018-01-26,108.98,48.55,9.21
26,2018-01-27,155.55,44.25,46.11
27,2018-01-28,239.87,29.38,22.6
28,2018-01-29,195.33,32.05,13.85
29,2018-01-30,294.88,35.82,92.7
30,2018-01-31,255.69,36.23,67.67
31,2018-01-02,209.72,33.75,14.7
32,2018-02-02,197.13,37.08,8.41
33,2018-03-02,150.39,29.71,103.0
34,2018-04-02,102.16,34.29,119.68
35,2018-05-02,80.3,34.16,48.97
36,2018-06-02,101.32,36.07,32.48
37,2018-07-02,126.41,36.14,28.44
38,2018-08-02,109.01,26.65,24.99
39,2018-09-02,101.34,37.76,24.14
40,2018-10-02,121.12,39.06,21.26
41,2018-11-02,157.82,37.47,20.89
42,2018-12-02,177.09,31.66,28.26
43,2018-02-13,149.52,36.19,24.68
44,2018-02-14,104.77,31.16,22.23
45,2018-02-15,96.59,37.88,20.51
46,2018-02-16,137.65,33.28,22.26
47,2018-02-17,155.11,33.92,50.92
48,2018-02-18,160.86,54.14,49.15
49,2018-02-19,157.27,49.87,26.96
50,2018-02-20,173.7,41.76,53.98
51,2018-02-21,176.11,38.95,35.96
52,2018-02-22,215.25,37.13,23.63
53,2018-02-23,155.66,38.16,15.79
54,2018-02-24,226.19,37.03,14.81
55,2018-02-25,167.15,38.66,12.69
56,2018-02-26,170.48,26.81,10.56
57,2018-02-27,117.14,35.14,12.19
58,2018-02-28,146.81,33.2,11.44
59,2018-01-03,144.28,40.55,45.1
60,2018-02-03,158.33,32.75,25.21
61,2018-03-03,81.86,39.68,12.07
62,2018-04-03,91.1,38.85,15.01
63,2018-05-03,103.88,34.95,12.42
64,2018-06-03,76.12,36.5,12.73
65,2018-07-03,91.03,34.49,14.54
66,2018-08-03,113.63,36.49,15.14
67,2018-09-03,114.04,41.43,15.24
68,2018-10-03,115.27,37.81,10.52
69,2018-11-03,96.65,33.85,11.25
70,2018-12-03,134.03,37.83,70.49
71,2018-03-13,131.73,30.65,129.88
72,2018-03-14,166.77,44.22,136.96
73,2018-03-15,171.66,44.79,87.88
74,2018-03-16,154.87,41.13,58.56
75,2018-03-17,86.93,48.32,34.46
76,2018-03-18,95.55,50.39,26.32
77,2018-03-19,105.21,46.52,63.0
78,2018-03-20,125.77,48.11,54.29
79,2018-03-21,142.12,46.59,25.0
80,2018-03-22,174.79,50.86,23.69
81,2018-03-23,122.48,47.55,18.97
82,2018-03-24,96.98,46.74,13.17
83,2018-03-25,106.25,47.61,13.6
84,2018-03-26,109.71,44.25,19.27
85,2018-03-27,135.36,51.64,15.56
86,2018-03-28,144.48,49.81,13.7
87,2018-03-29,139.01,48.27,16.84
88,2018-03-30,107.48,46.97,10.55
89,2018-03-31,60.69,42.84,39.85
90,2018-01-04,73.62,44.94,45.51
91,2018-02-04,63.73,47.15,45.12
92,2018-03-04,97.57,52.23,40.72
93,2018-04-04,86.62,46.19,27.68
94,2018-05-04,64.58,50.2,19.05
95,2018-06-04,75.24,50.64,15.59
96,2018-07-04,104.35,50.26,14.05
97,2018-08-04,85.25,53.12,15.26
98,2018-09-04,87.18,46.12,14.54
99,2018-10-04,89.27,49.19,12.24
100,2018-11-04,85.47,50.98,12.36
101,2018-12-04,98.01,48.18,12.64
102,2018-04-13,78.93,47.24,17.06
103,2018-04-14,102.37,35.82,45.4
104,2018-04-15,115.14,42.85,25.68
105,2018-04-16,97.47,46.48,17.32
106,2018-04-17,93.26,48.2,12.35
107,2018-04-18,97.8,53.4,11.62
108,2018-04-19,93.17,51.05,10.49
109,2018-04-20,148.07,49.23,7.58
110,2018-04-21,98.41,48.15,7.05
111,2018-04-22,89.64,49.82,8.85
112,2018-04-23,77.88,46.26,10.88
113,2018-04-24,176.0,51.27,14.75
114,2018-04-25,117.53,48.75,60.2
115,2018-04-26,66.72,49.38,71.5
116,2018-04-27,60.83,41.39,80.17
117,2018-04-28,66.47,49.88,71.25
118,2018-04-29,63.68,47.14,56.69
119,2018-04-30,44.38,48.2,67.37
120,2018-01-05,48.63,49.62,54.0
121,2018-02-05,55.65,50.09,46.53
122,2018-03-05,51.89,50.49,37.57
123,2018-04-05,57.83,39.98,58.21
124,2018-05-05,66.57,46.1,81.56
125,2018-06-05,100.0,43.9,75.57
126,2018-07-05,97.46,45.34,82.69
127,2018-08-05,99.26,41.69,85.31
128,2018-09-05,81.52,41.47,90.89
129,2018-10-05,90.98,38.49,84.54
130,2018-11-05,77.16,33.3,30.87
131,2018-12-05,58.03,43.87,17.54
132,2018-05-13,62.01,39.33,11.95
133,2018-05-14,41.16,47.8,12.29
134,2018-05-15,63.46,38.69,49.86
135,2018-05-16,62.28,41.66,62.31
136,2018-05-17,66.47,47.7,45.11
137,2018-05-18,79.85,45.99,25.72
138,2018-05-19,72.61,45.74,16.77
139,2018-05-20,68.93,46.97,17.05
140,2018-05-21,100.12,43.35,14.18
141,2018-05-22,86.1,42.02,7.39
142,2018-05-23,71.95,43.64,3.64
143,2018-05-24,76.25,45.84,2.12
144,2018-05-25,77.31,37.5,53.92
145,2018-05-26,73.2,32.69,71.53
146,2018-05-27,77.57,36.57,47.96
147,2018-05-28,66.82,31.42,52.45
148,2018-05-29,48.92,9.43,71.85
149,2018-05-30,53.61,38.82,75.21
150,2018-05-31,56.0,39.23,63.91
151,2018-01-06,47.13,38.43,80.2
152,2018-02-06,54.43,38.63,79.25
153,2018-03-06,78.93,39.18,74.01
154,2018-04-06,82.01,39.2,75.91
155,2018-05-06,73.36,38.94,106.13
156,2018-06-06,78.31,34.57,105.39
157,2018-07-06,69.89,35.8,94.49
158,2018-08-06,44.25,35.26,66.54
159,2018-09-06,52.58,37.44,52.65
160,2018-10-06,52.2,34.98,38.63
161,2018-11-06,65.82,34.03,33.1
162,2018-12-06,70.76,36.62,30.48
163,2018-06-13,82.94,30.306,25.78
164,2018-06-14,75.48,16.35,13.14
165,2018-06-15,98.14,21.23,92.69800000000001
166,2018-06-16,80.22,32.51,84.77
167,2018-06-17,82.87,35.22,54.42
168,2018-06-18,74.29,35.01,81.73
