,date,PM2.5,NO2,CO
0,2018-01-01,317.88,32.17,1.12
1,2018-02-01,359.79,31.39,1.11
2,2018-03-01,197.22,28.28,1.32
3,2018-04-01,223.66,30.41,1.29
4,2018-05-01,224.11,30.36,1.28
5,2018-06-01,279.25,30.71,1.25
6,2018-07-01,188.91,29.96,1.36
7,2018-08-01,181.2,31.12,1.28
8,2018-09-01,230.74,32.8,1.22
9,2018-10-01,188.06,31.93,1.26
10,2018-11-01,164.57,32.09,1.23
11,2018-12-01,177.7,31.7,1.27
12,2018-01-13,173.2,31.56,1.2
13,2018-01-14,68.72,30.72,1.23
14,2018-01-15,64.24,30.59,1.34
15,2018-01-16,122.98,32.7,1.17
16,2018-01-17,201.1,31.32,1.15
17,2018-01-18,352.27,32.43,1.02
18,2018-01-19,124.47,29.14,1.53
19,2018-01-20,73.76,30.07,1.32
20,2018-01-21,64.2,31.44,1.14
21,2018-01-22,148.51,32.72,0.98
22,2018-01-23,146.28,30.22,1.28
23,2018-01-24,144.32,30.46,1.26
24,2018-01-25,126.02,29.29,1.42
25,2018-01-26,147.16,30.11,1.31
26,2018-01-27,192.55,30.94,1.26
27,2018-01-28,157.39,30.58,1.34
28,2018-01-29,176.15,31.15,1.36
29,2018-01-30,148.22,29.4,1.43
30,2018-01-31,142.37,29.93,1.37
31,2018-01-02,137.93,32.7,1.25
32,2018-02-02,133.62,32.43,1.06
33,2018-03-02,107.67,32.51,1.0
34,2018-04-02,118.58,33.02,0.93
35,2018-05-02,156.39,33.75,0.86
36,2018-06-02,151.16,32.56,1.01
37,2018-07-02,133.35,32.94,0.93
38,2018-08-02,187.02,33.99,0.85
39,2018-09-02,201.92,34.63,0.82
40,2018-10-02,231.09,35.99,0.63
41,2018-11-02,153.57,34.24,0.79
42,2018-12-02,57.78,32.26,1.03
43,2018-02-13,94.88,31.88,1.16
44,2018-02-14,90.96,30.43,1.45
45,2018-02-15,83.77,24.0,2.7
46,2018-02-16,118.98,27.22,2.07
47,2018-02-17,115.6,32.16,1.1
48,2018-02-18,119.29,33.14,0.96
49,2018-02-19,174.6,29.61,1.68
50,2018-02-20,170.28,32.2,1.35
51,2018-02-21,194.74,31.32,1.27
52,2018-02-22,166.8,30.06,1.33
53,2018-02-23,195.24,32.84,1.16
54,2018-02-24,145.64,33.97,1.2
55,2018-02-25,100.96,30.69,1.25
56,2018-02-26,96.19,28.48,1.68
57,2018-02-27,115.64,30.16,1.47
58,2018-02-28,134.51,30.69,1.3
59,2018-01-03,120.27,29.58,1.45
60,2018-02-03,149.3,30.82,1.27
61,2018-03-03,105.52,30.1,1.37
62,2018-04-03,95.79,29.41,1.45
63,2018-05-03,86.44,29.16,1.48
64,2018-06-03,93.79,29.48,1.44
65,2018-07-03,102.94,30.67,1.3
66,2018-08-03,159.01,34.48,1.03
67,2018-09-03,166.38,32.61,1.1
68,2018-10-03,82.74,29.1,1.45
69,2018-11-03,103.38,30.16,1.37
70,2018-12-03,120.83,31.09,1.27
71,2018-03-13,149.43,30.5,1.39
72,2018-03-14,154.11,31.69,1.16
73,2018-03-15,124.5,30.45,1.35
74,2018-03-16,129.63,32.91,1.12
75,2018-03-17,114.2,28.84,1.65
76,2018-03-18,109.64,24.0,2.7
77,2018-03-19,102.21,24.0,2.7
78,2018-03-20,122.31,24.0,2.7
79,2018-03-21,160.37,30.35,1.35
80,2018-03-22,91.77,30.52,1.26
81,2018-03-23,77.69,27.03,1.98
82,2018-03-24,91.19,30.88,1.22
83,2018-03-25,118.49,30.65,1.25
84,2018-03-26,115.77,28.89,1.64
85,2018-03-27,135.6,29.14,1.72
86,2018-03-28,141.88,31.35,1.15
87,2018-03-29,102.59,30.94,1.21
88,2018-03-30,132.03,31.0,1.2
89,2018-03-31,112.72,33.35,0.91
90,2018-01-04,102.26,34.39,0.78
91,2018-02-04,116.89,32.95,0.96
92,2018-03-04,133.42,33.13,0.95
93,2018-04-04,153.94,33.51,0.91
94,2018-05-04,205.23,35.08,0.73
95,2018-06-04,136.95,35.73,0.7
96,2018-07-04,65.58,33.88,0.84
97,2018-08-04,59.42,34.41,0.78
98,2018-09-04,55.65,32.98,0.93
99,2018-10-04,108.97,33.8,0.84
100,2018-11-04,54.24,33.54,0.87
101,2018-12-04,88.14,32.63,0.98
102,2018-04-13,127.58,33.24,0.91
103,2018-04-14,142.11,31.15,1.17
104,2018-04-15,139.22,31.68,1.12
105,2018-04-16,156.82,32.8,0.99
106,2018-04-17,114.16,31.82,1.12
107,2018-04-18,148.48,30.75,1.23
108,2018-04-19,148.89,31.06,1.2
109,2018-04-20,193.95,31.47,1.19
110,2018-04-21,239.23,31.57,1.27
111,2018-04-22,104.32,31.36,1.2
112,2018-04-23,120.9,31.72,1.21
113,2018-04-24,151.85,31.42,1.2
114,2018-04-25,182.9,30.61,1.24
115,2018-04-26,188.88,34.86,0.91
116,2018-04-27,118.39,34.86,0.73
117,2018-04-28,102.51509803921569,40.11805605247466,1.659726840855107
118,2018-04-29,102.51509803921569,40.11805605247466,1.659726840855107
119,2018-04-30,98.58,36.12,0.62
120,2018-01-05,50.73,35.01,0.73
121,2018-02-05,82.16,34.07,0.85
122,2018-03-05,65.42,32.62,1.0
123,2018-04-05,76.66,33.78,0.85
124,2018-05-05,79.85,32.51,1.02
125,2018-06-05,106.47,32.91,0.97
126,2018-07-05,112.87,32.25,1.08
127,2018-08-05,38.82,33.35,0.89
