,date,SO2,NO2
0,2018-01-01,4.91,71.67
1,2018-02-01,2.55,72.27
2,2018-03-01,2.07,69.22
3,2018-04-01,6.21,88.79
4,2018-05-01,3.07,75.19
5,2018-06-01,4.31,90.43
6,2018-07-01,4.86,75.61
7,2018-08-01,6.12,85.59
8,2018-09-01,12.69,96.17
9,2018-10-01,6.54,83.63
10,2018-11-01,4.9,80.01
11,2018-12-01,7.37,96.32
12,2018-01-13,15.65,107.9
13,2018-01-14,10.02,93.38
14,2018-01-15,7.53,78.65
15,2018-01-16,6.08,81.74
16,2018-01-17,6.42,77.33
17,2018-01-18,9.22,122.36
18,2018-01-19,8.61,98.5
19,2018-01-20,7.72,81.45
20,2018-01-21,7.49,88.55
21,2018-01-22,10.39,100.38
22,2018-01-23,7.39,77.65
23,2018-01-24,5.25,57.75
24,2018-01-25,3.11,64.73
25,2018-01-26,2.23,46.47
26,2018-01-27,3.6,59.32
27,2018-01-28,3.81,69.55
28,2018-01-29,6.11,76.7
29,2018-01-30,6.21,71.14
30,2018-01-31,4.03,64.17
31,2018-01-02,11.46,85.01
32,2018-02-02,8.68,69.58
33,2018-03-02,10.54,66.75
34,2018-04-02,7.92,66.3
35,2018-05-02,9.44,85.27
36,2018-06-02,8.55,73.42
37,2018-07-02,7.06,70.91
38,2018-08-02,9.97,90.52
39,2018-09-02,13.39,86.85
40,2018-10-02,13.14,86.74
41,2018-11-02,13.96,69.79
42,2018-12-02,2.24,42.27
43,2018-02-13,6.55,61.21
44,2018-02-14,3.46,46.51
45,2018-02-15,4.87,51.42
46,2018-02-16,5.98,69.65
47,2018-02-17,5.97,69.12
48,2018-02-18,6.69,69.12
49,2018-02-19,11.35,90.4
50,2018-02-20,9.0,87.75
51,2018-02-21,19.97,119.45
52,2018-02-22,17.277408575031526,61.10681818181818
53,2018-02-23,14.52,75.32
54,2018-02-24,15.02,75.23
55,2018-02-25,12.46,48.94
56,2018-02-26,3.69,46.89
57,2018-02-27,5.41,64.99
58,2018-02-28,11.92,64.05
59,2018-01-03,12.44,68.28
60,2018-02-03,8.63,66.87
61,2018-03-03,8.44,56.08
62,2018-04-03,7.86,51.03
63,2018-05-03,7.21,52.78
64,2018-06-03,4.57,52.45
65,2018-07-03,5.7,65.34
66,2018-08-03,14.94,85.96
67,2018-09-03,15.75,66.71
68,2018-10-03,6.26,49.46
69,2018-11-03,8.09,64.22
70,2018-12-03,8.56,63.62
71,2018-03-13,12.71,76.95
72,2018-03-14,9.35,77.74
73,2018-03-15,4.34,14.97
74,2018-03-16,7.99,28.81
75,2018-03-17,16.77,54.47
76,2018-03-18,22.11,58.02
77,2018-03-19,23.12,57.36
78,2018-03-20,29.21,87.7
79,2018-03-21,27.64,51.99
80,2018-03-22,15.22,41.56
81,2018-03-23,8.4,52.2
82,2018-03-24,11.7,53.63
83,2018-03-25,10.33,55.23
84,2018-03-26,10.81,62.51
85,2018-03-27,17.67,81.07
86,2018-03-28,13.85,79.04
87,2018-03-29,11.48,63.39
88,2018-03-30,11.42,70.26
89,2018-03-31,17.43,55.99
90,2018-01-04,12.26,50.11
91,2018-02-04,16.6,64.19
92,2018-03-04,15.4,61.68
93,2018-04-04,22.18,73.62
94,2018-05-04,26.88,70.07
95,2018-06-04,38.14,58.07
96,2018-07-04,4.88,30.82
97,2018-08-04,17.277408575031526,61.10681818181818
98,2018-09-04,13.74,68.67
99,2018-10-04,11.52,54.14
100,2018-11-04,8.89,42.19
101,2018-12-04,9.45,55.63
102,2018-04-13,17.59,66.78
103,2018-04-14,13.37,66.43
104,2018-04-15,16.86,70.85
105,2018-04-16,22.15,74.04
106,2018-04-17,12.22,59.87
107,2018-04-18,10.52,52.97
108,2018-04-19,15.55,61.13
109,2018-04-20,11.31,44.48
110,2018-04-21,11.91,42.58
111,2018-04-22,11.37,43.55
112,2018-04-23,9.57,63.16
113,2018-04-24,11.95,80.03
114,2018-04-25,12.68,93.61
115,2018-04-26,17.81,83.58
116,2018-04-27,9.47,43.21
117,2018-04-28,11.07,36.92
118,2018-04-29,13.14,50.24
119,2018-04-30,10.32,53.86
120,2018-01-05,5.87,31.29
121,2018-02-05,5.46,32.24
122,2018-03-05,7.0,38.22
123,2018-04-05,9.66,37.4
124,2018-05-05,12.73,63.99
125,2018-06-05,20.46,63.73
126,2018-07-05,23.12,63.59
127,2018-08-05,5.57,32.64
128,2018-09-05,16.37,67.24
129,2018-10-05,11.61,77.94
