,date,PM2.5,NO2,CO
0,2018-01-01,271.83,25.46,1.26
1,2018-02-01,216.7,23.74,1.43
2,2018-03-01,171.37,23.16,1.49
3,2018-04-01,178.71,23.97,1.45
4,2018-05-01,183.92,23.85,1.42
5,2018-06-01,193.14,24.18,1.39
6,2018-07-01,144.0,23.92,1.41
7,2018-08-01,144.23,24.04,1.41
8,2018-09-01,180.29,24.91,1.32
9,2018-10-01,155.22,24.18,1.39
10,2018-11-01,120.17,23.69,1.45
11,2018-12-01,128.47,23.56,1.48
12,2018-01-13,169.64,24.8,1.33
13,2018-01-14,141.31,24.46,1.37
14,2018-01-15,133.51,24.95,1.31
15,2018-01-16,102.74,24.72,1.35
16,2018-01-17,183.96,25.14,1.29
17,2018-01-18,204.52,25.38,1.27
18,2018-01-19,235.07,25.14,1.29
19,2018-01-20,138.58,24.31,1.38
20,2018-01-21,122.9,24.21,1.4
21,2018-01-22,153.14,26.33,1.21
22,2018-01-23,136.57,23.75,1.43
23,2018-01-24,115.69,22.47,1.57
24,2018-01-25,68.34,21.74,1.68
25,2018-01-26,1.33,22.51,1.58
26,2018-01-27,167.06,23.36,1.49
27,2018-01-28,136.39,23.11,1.52
28,2018-01-29,126.1,23.41,1.47
29,2018-01-30,99.66,23.55,1.45
30,2018-01-31,121.38,23.66,1.43
31,2018-01-02,98.22,22.68,1.56
32,2018-02-02,102.05,23.17,1.5
33,2018-03-02,85.06,23.58,1.46
34,2018-04-02,100.7,23.99,1.42
35,2018-05-02,113.61,24.16,1.38
36,2018-06-02,97.32,23.66,1.44
37,2018-07-02,98.11,23.96,1.42
38,2018-08-02,132.67,24.36,1.37
39,2018-09-02,135.59,24.76,1.33
40,2018-10-02,135.56,24.62,1.36
41,2018-11-02,79.46,23.29,1.51
42,2018-12-02,49.29,22.1,1.63
43,2018-02-13,68.31,22.13,1.66
44,2018-02-14,59.92,22.28,1.61
45,2018-02-15,80.95,22.89,1.53
46,2018-02-16,88.67,23.16,1.49
47,2018-02-17,84.96,22.97,1.52
48,2018-02-18,79.97,23.76,1.44
49,2018-02-19,111.86,24.38,1.36
50,2018-02-20,113.57,23.14,1.53
51,2018-02-21,119.12,24.49,1.36
52,2018-02-22,126.78,23.12,1.51
53,2018-02-23,106.93,23.9,1.44
54,2018-02-24,115.84,24.41,1.37
55,2018-02-25,90.03,23.86,1.42
56,2018-02-26,51.48,23.5,1.53
57,2018-02-27,60.63,22.82,1.55
58,2018-02-28,100.96,23.88,1.42
59,2018-01-03,90.33,23.68,1.45
60,2018-02-03,92.24,24.17,1.4
61,2018-03-03,70.33,22.57,1.56
62,2018-04-03,56.45,21.86,1.69
63,2018-05-03,50.03,22.81,1.55
64,2018-06-03,51.64,23.36,1.47
65,2018-07-03,64.03,23.54,1.46
66,2018-08-03,62.47,24.79,1.35
67,2018-09-03,101.58,24.49,1.36
68,2018-10-03,55.12,22.82,1.54
69,2018-11-03,61.04,23.21,1.5
70,2018-12-03,77.63,23.39,1.48
71,2018-03-13,76.11,23.11,1.52
72,2018-03-14,61.72,21.88,1.68
73,2018-03-15,63.91,21.53,1.71
74,2018-03-16,72.35,23.1,1.52
75,2018-03-17,59.52,23.44,1.48
76,2018-03-18,56.71,23.55,1.47
77,2018-03-19,64.4,22.63,1.59
78,2018-03-20,86.21,23.64,1.47
79,2018-03-21,92.15,24.06,1.41
80,2018-03-22,65.57,23.42,1.5
81,2018-03-23,47.98,22.48,1.59
82,2018-03-24,57.77,22.98,1.53
83,2018-03-25,54.38,22.94,1.54
84,2018-03-26,66.65,22.84,1.55
85,2018-03-27,82.59,21.79,1.69
86,2018-03-28,78.9,22.76,1.56
87,2018-03-29,51.0,22.5,1.62
88,2018-03-30,136.6,23.0,1.52
89,2018-03-31,49.73,23.43,1.5
90,2018-01-04,52.9,23.8,1.47
91,2018-02-04,59.73,23.42,1.53
92,2018-03-04,69.59,23.73,1.48
93,2018-04-04,78.8,23.83,1.49
94,2018-05-04,124.29,24.3,1.4
95,2018-06-04,62.03,22.15,1.7
96,2018-07-04,36.06,20.66,1.9
97,2018-08-04,36.45,21.88,1.69
98,2018-09-04,40.8,20.28,1.91
99,2018-10-04,58.07,22.39,1.63
100,2018-11-04,35.32,21.31,1.77
101,2018-12-04,35.54,20.72,1.87
102,2018-04-13,61.03,23.6,1.54
103,2018-04-14,70.86,25.36,1.26
104,2018-04-15,73.38,25.97,1.22
105,2018-04-16,79.33,23.59,1.06
106,2018-04-17,53.46,17.22,0.7
107,2018-04-18,43.83,19.91,0.71
108,2018-04-19,47.83,36.56,0.71
109,2018-04-20,51.55,40.03,0.77
110,2018-04-21,67.48,41.57,0.78
111,2018-04-22,30.26,45.14,0.77
112,2018-04-23,45.9,46.53,0.79
113,2018-04-24,64.07,44.33,0.63
114,2018-04-25,96.02,42.15,0.53
115,2018-04-26,69.82,44.1,0.53
116,2018-04-27,71.79,46.27,0.56
117,2018-04-28,60.18,52.67,0.57
118,2018-04-29,62.02,51.3,0.58
119,2018-04-30,52.02,48.84,0.58
120,2018-01-05,36.94,50.62,0.59
121,2018-02-05,38.41,50.21,0.53
122,2018-03-05,28.49,45.61,0.61
123,2018-04-05,30.73,48.03,0.61
124,2018-05-05,50.08,48.82,0.6
125,2018-06-05,76.22,43.55,0.59
126,2018-07-05,74.13,45.48,0.6
127,2018-08-05,23.63,46.58,0.6
128,2018-09-05,48.2,45.69,0.59
129,2018-10-05,75.54,45.9,0.59
130,2018-11-05,108.44,48.84,0.59
131,2018-12-05,115.71,50.68,0.58
132,2018-05-13,63.11,47.03,0.58
133,2018-05-14,35.93,43.68,0.58
134,2018-05-15,47.31,44.22,0.6
135,2018-05-16,48.57,30.54,0.63
136,2018-05-17,62.02,15.09,0.65
137,2018-05-18,58.18,15.18,0.63
138,2018-05-19,67.82,18.07,0.64
139,2018-05-20,49.44,15.12,0.65
140,2018-05-21,44.35,15.17,0.66
141,2018-05-22,57.71,14.96,0.64
142,2018-05-23,81.8,15.55,0.64
143,2018-05-24,67.57,15.08,0.68
144,2018-05-25,54.46,15.9,0.64
145,2018-05-26,76.39,14.71,0.84
146,2018-05-27,55.06,13.48,1.02
147,2018-05-28,72.25,13.83,1.04
148,2018-05-29,52.01,14.99,1.12
149,2018-05-30,34.51,14.31,1.2
150,2018-05-31,52.15,14.56,0.85
151,2018-01-06,48.87,14.41,0.56
152,2018-02-06,27.21,15.82,0.64
153,2018-03-06,38.99,15.27,0.67
154,2018-04-06,44.01,15.27,0.64
155,2018-05-06,39.0,15.32,0.61
156,2018-06-06,46.33,15.16,0.67
157,2018-07-06,52.74,15.1,0.61
158,2018-08-06,53.81,15.2,0.61
159,2018-09-06,41.26,15.25,0.61
160,2018-10-06,37.23,15.13,0.66
161,2018-11-06,47.33,15.28,0.65
162,2018-12-06,73.32,15.26,0.55
163,2018-06-13,118.86,15.09,0.58
164,2018-06-14,88.87,15.08,0.61
165,2018-06-15,63.28,15.02,0.54
166,2018-06-16,54.49,15.06,0.49
167,2018-06-17,43.04,15.11,0.5
168,2018-06-18,35.09,15.21,0.5
169,2018-06-19,37.11,15.3,0.5
170,2018-06-20,40.17,15.13,0.51
171,2018-06-21,50.12,15.11,0.51
172,2018-06-22,51.81,15.09,0.74
173,2018-06-23,56.07,15.19,1.01
174,2018-06-24,41.05,15.24,1.02
175,2018-06-25,32.6,15.23,1.28
176,2018-06-26,28.7,15.23,1.24
177,2018-06-27,33.25,15.17,1.07
178,2018-06-28,16.34,15.13,1.43
179,2018-06-29,28.41,15.08,1.47
180,2018-06-30,29.8,14.89,1.5
181,2018-01-07,24.51,14.72,1.43
182,2018-02-07,32.2,14.85,1.4
183,2018-03-07,35.23,14.91,1.36
184,2018-04-07,34.18,14.8,1.37
185,2018-05-07,39.02,14.79,1.38
186,2018-06-07,43.21,16.01,1.32
187,2018-07-07,48.3,15.72,1.41
188,2018-08-07,58.32,15.68,1.55
189,2018-09-07,56.1,17.08,1.3
190,2018-10-07,39.24,18.79,0.6
191,2018-11-07,36.88,19.26,0.51
192,2018-12-07,44.76,16.49,0.5
193,2018-07-13,18.28,12.38,0.49
194,2018-07-14,29.41,13.88,0.49
195,2018-07-15,27.27,12.61,0.47
196,2018-07-16,30.35,13.28,0.47
197,2018-07-17,23.84,13.18,0.47
198,2018-07-18,29.31,13.71,0.49
199,2018-07-19,31.01,20.3,0.51
200,2018-07-20,28.0,15.3,0.51
201,2018-07-21,39.58,12.75,0.5
202,2018-07-22,21.84,8.39,0.52
203,2018-07-23,29.03,11.7,0.5
204,2018-07-24,30.61,10.61,0.46
205,2018-07-25,24.66,4.06,0.49
206,2018-07-26,21.72,1.71,0.48
207,2018-07-27,17.25,2.66,0.48
208,2018-07-28,25.39,8.43,0.48
209,2018-07-29,31.12,6.58,0.47
210,2018-07-30,26.78,2.89,0.48
211,2018-07-31,33.63,3.02,0.48
212,2018-01-08,40.64,3.13,0.47
213,2018-02-08,50.18,1.24,0.45
214,2018-03-08,41.65,0.58,0.44
215,2018-04-08,44.3,0.84,0.49
216,2018-05-08,40.4,0.82,0.44
217,2018-06-08,37.73,2.28,0.48
218,2018-07-08,38.83,2.52,0.46
219,2018-08-08,26.09,1.54,0.43
220,2018-09-08,31.34,5.38,0.4
221,2018-10-08,33.64,4.68,0.4
222,2018-11-08,32.86,4.42,0.38
223,2018-12-08,19.04,1.34,0.37
224,2018-08-13,23.61,17.05,0.49
225,2018-08-14,36.41,21.1,0.47
226,2018-08-15,31.89,21.15,0.31
227,2018-08-16,27.81,22.71,0.29
228,2018-08-17,31.02,31.12,0.32
229,2018-08-18,25.22,31.06,0.38
230,2018-08-19,36.5,31.07,0.32
231,2018-08-20,54.11,31.04,0.36
232,2018-08-21,22.93,31.06,0.36
233,2018-08-22,23.43,33.26,0.29
234,2018-08-23,18.14,15.08,0.34
235,2018-08-24,16.05,15.87,0.31
236,2018-08-25,16.27,16.52,0.32
237,2018-08-26,18.62,16.51,0.32
238,2018-08-27,27.69,18.09,0.34
239,2018-08-28,24.66,18.29,0.35
240,2018-08-29,21.79,18.63,0.34
241,2018-08-30,30.1,20.32,0.31
242,2018-08-31,34.38,23.39,0.35
243,2018-01-09,32.13,30.02,0.33
244,2018-02-09,28.47,27.12,0.29
245,2018-03-09,34.53,29.62,0.31
246,2018-04-09,34.52,29.46,0.32
247,2018-05-09,31.63,26.91,0.26
248,2018-06-09,30.7,25.68,0.2
249,2018-07-09,29.99,29.19,0.0
250,2018-08-09,23.75,24.24,0.62
251,2018-09-09,17.52,21.01,0.85
252,2018-10-09,23.46,22.42,0.85
253,2018-11-09,22.14,22.39,0.84
254,2018-12-09,21.33,18.69,0.84
255,2018-09-13,21.34,11.01,0.86
256,2018-09-14,24.83,9.64,0.87
257,2018-09-15,30.67,8.79,0.84
258,2018-09-16,41.5,0.57,0.86
259,2018-09-17,56.53,0.71,0.87
260,2018-09-18,44.17,23.625999999999998,0.92
261,2018-09-19,55.32,72.398,0.94
262,2018-09-20,64.71,36.038,0.97
263,2018-09-21,33.65,36.059999999999995,0.98
264,2018-09-22,16.87,21.378,0.98
265,2018-09-23,26.66,27.95,0.98
266,2018-09-24,15.56,29.722,0.98
267,2018-09-25,15.42,31.848000000000003,0.98
268,2018-09-26,32.88,37.51,0.97
269,2018-09-27,64.95,47.513999999999996,0.96
270,2018-09-28,69.89,46.248,0.95
271,2018-09-29,75.13,42.588,0.92
272,2018-09-30,86.53822643979056,40.99322888283378,1.4368083714846305
273,2018-01-10,86.53822643979056,40.99322888283378,1.4368083714846305
274,2018-02-10,86.53822643979056,40.99322888283378,1.4368083714846305
275,2018-03-10,51.06,33.448,1.06
276,2018-04-10,66.43,44.628,1.1
277,2018-05-10,110.7,66.544,1.08
278,2018-06-10,66.73,46.12,1.04
279,2018-07-10,65.1,31.821999999999996,1.05
280,2018-08-10,90.9,46.214,1.07
281,2018-09-10,90.48,38.065999999999995,1.11
282,2018-10-10,73.71,27.391999999999996,1.1
283,2018-11-10,53.21,36.312,1.1
284,2018-12-10,46.51,36.432,1.13
285,2018-10-13,89.76,48.65,1.09
286,2018-10-14,73.84,27.392000000000003,1.09
287,2018-10-15,96.69,37.92,1.09
288,2018-10-16,99.04,45.86999999999999,1.08
289,2018-10-17,88.78,34.715999999999994,1.09
290,2018-10-18,92.58,40.626,1.08
291,2018-10-19,120.63,57.352,1.09
292,2018-10-20,137.33,42.458000000000006,1.09
293,2018-10-21,107.11,36.184000000000005,1.09
294,2018-10-22,88.14,43.902,1.08
295,2018-10-23,79.66,32.278,1.08
296,2018-10-24,109.74,55.522000000000006,1.07
297,2018-10-25,108.15,18.2,1.07
298,2018-10-26,136.0,50.27,1.04
299,2018-10-27,152.35,61.17800000000001,1.05
300,2018-10-28,171.13,42.796,1.06
301,2018-10-29,164.2,55.79600000000001,1.07
302,2018-10-30,185.23,29.14,0.76
303,2018-10-31,148.88,28.28,0.53
304,2018-01-11,158.28,27.66,0.6
305,2018-02-11,145.11,26.13,0.61
306,2018-03-11,143.79,20.37,0.55
307,2018-04-11,103.26,59.464,0.59
