,date,PM2.5,SO2,CO,NH3
0,2018-01-01,231.8,20.19,3.2879999999999994,36.58
1,2018-02-01,232.5,18.198,2.614,34.75
2,2018-03-01,261.67,20.538000000000004,3.2739999999999996,31.08
3,2018-04-01,267.89,21.636000000000003,4.764,39.28
4,2018-05-01,275.81,15.656,3.2739999999999996,57.52
5,2018-06-01,295.01,7.234,3.052,92.8
6,2018-07-01,207.14,12.290000000000001,2.1239999999999997,47.848
7,2018-08-01,167.11,17.502000000000002,1.964,56.06
8,2018-09-01,258.94,10.878,2.9539999999999997,50.59
9,2018-10-01,188.23,13.216,2.024,31.67
10,2018-11-01,158.59,14.532,1.428,28.91
11,2018-12-01,185.99,15.051999999999998,2.602,67.61
12,2018-01-13,262.18,5.682,3.176,79.84
13,2018-01-14,225.81,9.668000000000001,3.162,44.536
14,2018-01-15,188.72,12.498000000000001,2.392,55.56
15,2018-01-16,140.95,17.086,1.6060000000000003,17.21
16,2018-01-17,270.33,10.36,2.312,42.754
17,2018-01-18,319.6,36.188,4.458,41.938
18,2018-01-19,275.74,11.164000000000001,2.29,30.514
19,2018-01-20,183.47,18.491999999999997,1.9080000000000001,60.57199999999999
20,2018-01-21,189.31,9.838000000000001,1.504,28.064
21,2018-01-22,241.58,15.258,4.151999999999999,53.59
22,2018-01-23,187.53,9.788,2.364,7.4
23,2018-01-24,146.6,14.472,1.1019999999999999,40.2
24,2018-01-25,127.57,19.698,1.7280000000000002,42.11
25,2018-01-26,150.16,19.73,2.318,34.9
26,2018-01-27,186.32,15.108,2.4160000000000004,58.33
27,2018-01-28,162.1,16.756,2.1100000000000003,61.23
28,2018-01-29,158.15,12.768,2.038,65.85
29,2018-01-30,112.17,16.332,2.088,35.42
30,2018-01-31,123.9,18.704,2.238,35.1
31,2018-01-02,149.84,16.798000000000002,1.6759999999999997,56.9
32,2018-02-02,102.89,18.418,1.796,55.28
33,2018-03-02,93.11,16.07,1.076,51.83
34,2018-04-02,103.49,16.312,1.948,43.86
35,2018-05-02,128.55,22.33,1.8359999999999999,66.73
36,2018-06-02,104.02,16.312,1.92,45.93
37,2018-07-02,103.61,18.502000000000002,1.924,51.01
38,2018-08-02,165.16,24.387999999999998,1.5900000000000003,122.29
39,2018-09-02,193.2,16.81,2.5460000000000003,90.83
40,2018-10-02,191.15,17.116,1.966,178.6
41,2018-11-02,142.73,20.870000000000005,1.2719999999999998,96.68
42,2018-12-02,68.89,14.62,1.834,50.99
43,2018-02-13,99.68,18.018,1.4940000000000002,57.32
44,2018-02-14,61.7,11.261999999999999,0.9039999999999999,27.06
45,2018-02-15,76.23,16.279999999999998,1.832,30.44
46,2018-02-16,118.65,15.75,1.754,37.01
47,2018-02-17,125.03,15.106,2.0520000000000005,37.29
48,2018-02-18,122.11,15.395999999999997,1.6640000000000001,57.67
49,2018-02-19,143.22,20.870000000000005,1.2719999999999998,109.5
50,2018-02-20,146.4,19.202,1.2719999999999998,93.5
