,date,PM2.5,SO2,NO2,CO
0,2018-01-01,377.58,9.52,82.0,3.8
1,2018-02-01,324.37,5.12,77.78,3.87
2,2018-03-01,253.49,11.02,61.61,3.26
3,2018-04-01,279.39,16.82,85.56,3.23
4,2018-05-01,265.56,14.62,77.47,4.43
5,2018-06-01,264.01,20.65,63.16,3.48
6,2018-07-01,212.24,16.08,58.59,2.49
7,2018-08-01,164.21,12.23,63.85,2.54
8,2018-09-01,246.26,21.86,68.04,3.05
9,2018-10-01,198.16,16.52,69.88,1.72
10,2018-11-01,164.9,11.32,63.09,2.64
11,2018-12-01,174.95,14.79,73.84,2.75
12,2018-01-13,251.41,29.05,72.03,2.79
13,2018-01-14,213.94,22.97,68.29,3.93
14,2018-01-15,195.94,17.96,63.72,1.85
15,2018-01-16,145.0,10.98,68.84,2.71
16,2018-01-17,182.85,18.08,77.36,2.68
17,2018-01-18,255.92,19.66,79.98,3.44
18,2018-01-19,274.49,24.92,69.86,2.84
19,2018-01-20,206.3,11.03,58.02,3.01
20,2018-01-21,122.96,10.6,79.88,2.92
21,2018-01-22,239.07,22.39,96.56,3.72
22,2018-01-23,173.21,13.71,77.31,1.11
23,2018-01-24,164.86,16.32,44.63,1.56
24,2018-01-25,128.91,7.18,29.08,1.24
25,2018-01-26,97.06,8.26,38.6,3.87
26,2018-01-27,120.75,7.2,43.28,2.19
27,2018-01-28,147.78,10.23,42.1,8.37
28,2018-01-29,172.78,13.35,44.5,7.83
29,2018-01-30,133.58,9.43,42.94,12.32
30,2018-01-31,147.71,5.86,44.07,17.57
31,2018-01-02,172.85,22.65,65.44,3.1
32,2018-02-02,138.98,10.75,62.96,6.55
33,2018-03-02,113.01,10.27,45.28,9.38
34,2018-04-02,127.38,5.29,35.6,2.03
35,2018-05-02,151.55,5.78,53.55,0.77
36,2018-06-02,129.74,8.01,48.22,0.76
37,2018-07-02,129.5,10.46,41.67,0.83
38,2018-08-02,166.22,25.58,59.9,1.99
39,2018-09-02,194.01,23.43,75.12,2.32
40,2018-10-02,175.0,20.69,114.61,2.66
41,2018-11-02,114.21,17.54,76.56,0.96
42,2018-12-02,88.16,5.6,45.44,0.64
43,2018-02-13,95.6,11.52,47.68,0.9
44,2018-02-14,69.46,6.55,30.45,0.76
45,2018-02-15,81.79,8.91,35.2,1.03
46,2018-02-16,129.52,13.62,42.68,1.3
47,2018-02-17,139.55,16.34,47.05,1.25
48,2018-02-18,129.47,14.81,48.22,1.57
49,2018-02-19,161.78,23.72,65.67,2.0
50,2018-02-20,167.93,18.69,108.59,2.34
51,2018-02-21,159.17,26.9,132.87,2.52
52,2018-02-22,155.68,23.62,63.68,1.59
53,2018-02-23,154.14,21.58,80.66,1.7
54,2018-02-24,159.45,21.01,74.04,1.57
55,2018-02-25,95.21,15.38,38.56,0.93
56,2018-02-26,57.69,3.95,27.4,0.7
57,2018-02-27,80.03,5.42,42.3,1.41
58,2018-02-28,135.7,17.03,64.69,1.43
59,2018-01-03,107.1,14.65,61.24,1.45
60,2018-02-03,130.67,15.03,49.89,1.62
61,2018-03-03,97.28,12.89,45.21,1.15
62,2018-04-03,68.02,8.56,40.74,0.85
63,2018-05-03,69.73,8.13,38.4,0.88
64,2018-06-03,74.55,9.49,35.79,0.81
65,2018-07-03,75.65,17.93,41.88,1.05
66,2018-08-03,115.99,31.73,85.59,2.23
67,2018-09-03,143.69,37.73,69.2,1.34
68,2018-10-03,68.25,25.49,42.28,0.83
69,2018-11-03,80.33,22.32,43.18,1.31
70,2018-12-03,89.0,21.03,50.1,1.05
71,2018-03-13,87.37,21.31,60.77,1.43
72,2018-03-14,79.7,24.41,66.32,1.89
73,2018-03-15,76.49,19.47,50.35,1.1
74,2018-03-16,89.69,20.86,47.73,1.03
75,2018-03-17,99.13,20.77,39.3,0.83
76,2018-03-18,57.35,16.06,40.83,0.93
77,2018-03-19,61.1,19.88,53.43,1.02
78,2018-03-20,91.3,23.99,72.24,1.59
79,2018-03-21,119.29,29.74,59.52,1.16
80,2018-03-22,71.67,16.65,46.43,0.96
81,2018-03-23,53.83,12.13,34.98,0.82
82,2018-03-24,62.79,12.86,36.2,0.8
83,2018-03-25,83.94,13.81,36.39,0.96
84,2018-03-26,70.7,13.31,42.81,0.95
85,2018-03-27,86.73,18.31,64.0,1.54
86,2018-03-28,86.09,23.41,76.5,1.29
87,2018-03-29,77.74,16.36,42.48,0.93
88,2018-03-30,79.19,17.15,56.83,1.14
89,2018-03-31,85.43,18.63,63.17,1.18
90,2018-01-04,60.13,13.76,53.51,1.11
