,date,PM2.5,SO2,NO2,CO
0,2018-01-01,286.64,18.68,27.25,0.02
1,2018-02-01,251.27,8.26,43.57,0.0
2,2018-03-01,222.42,6.44,48.19,0.0
3,2018-04-01,201.49,7.75,54.16,0.0
4,2018-05-01,226.09,7.99,55.74,0.0
5,2018-06-01,257.14,15.75,48.83,0.0
6,2018-07-01,198.13,11.69,48.82,0.0
7,2018-08-01,211.12,9.84,54.18,0.0
8,2018-09-01,225.52,12.64,68.05,0.41
9,2018-10-01,201.14,8.77,66.22,0.57
10,2018-11-01,188.67,7.03,62.92,0.61
11,2018-12-01,193.65,10.17,65.46,0.85
12,2018-01-13,233.51,16.86,66.89,0.98
13,2018-01-14,209.57,12.45,63.66,0.9
14,2018-01-15,214.36,12.17,59.98,0.55
15,2018-01-16,182.45,8.82,58.7,0.91
16,2018-01-17,219.6,12.55,58.02,0.74
17,2018-01-18,262.41,10.36,40.66,1.01
18,2018-01-19,294.83,14.26,33.93,0.77
19,2018-01-20,248.79,10.44,31.15,0.71
20,2018-01-21,207.93,12.1,30.93,0.98
21,2018-01-22,265.68,10.09,39.15,0.93
22,2018-01-23,187.99,10.5,30.58,0.58
23,2018-01-24,146.77,8.26,19.77,0.74
24,2018-01-25,114.0,5.28,19.19,0.57
25,2018-01-26,122.11,7.06,17.47,0.61
26,2018-01-27,171.73,5.89,25.82,0.69
27,2018-01-28,152.73,11.24,18.25,0.69
28,2018-01-29,175.52,12.9,35.46,0.8
29,2018-01-30,160.91,13.76,58.23,0.62
30,2018-01-31,137.38,9.09,68.61,0.61
31,2018-01-02,143.61,10.65,77.5,0.67
32,2018-02-02,152.21,11.93,63.13,0.59
33,2018-03-02,134.64,9.95,53.28,0.55
34,2018-04-02,153.16,12.5,52.75,0.67
35,2018-05-02,166.37,11.14,57.06,0.68
36,2018-06-02,158.88,10.61,52.9,0.67
37,2018-07-02,137.5,7.91,41.21,0.56
38,2018-08-02,210.85,11.43,39.18,0.66
39,2018-09-02,200.74,10.6,36.06,0.61
40,2018-10-02,245.91,17.97,43.94,0.86
41,2018-11-02,146.9,14.44,35.95,0.69
42,2018-12-02,70.02,5.34,24.11,0.4
43,2018-02-13,94.83,5.73,30.87,0.54
44,2018-02-14,86.49,4.2,23.33,0.41
45,2018-02-15,98.76,5.86,25.97,0.47
46,2018-02-16,123.83,9.22,28.8,0.53
47,2018-02-17,135.36,9.68,30.07,0.49
48,2018-02-18,146.22,11.17,25.86,0.52
49,2018-02-19,164.28,14.31,28.42,0.73
50,2018-02-20,177.76,13.53,28.67,0.69
51,2018-02-21,221.85,16.46,38.29,0.97
52,2018-02-22,186.98,18.32,29.03,0.7
53,2018-02-23,163.87,16.76,24.65,0.62
54,2018-02-24,146.97,18.72,31.26,0.78
55,2018-02-25,100.93,14.19,23.75,0.63
56,2018-02-26,66.9,7.91,18.17,0.52
57,2018-02-27,84.23,11.57,27.61,0.65
58,2018-02-28,133.43,17.04,32.79,0.66
59,2018-01-03,138.61,15.43,35.05,0.7
60,2018-02-03,124.79,15.19,33.89,0.68
61,2018-03-03,91.87,13.0,30.29,0.56
62,2018-04-03,84.45,10.57,30.79,0.53
63,2018-05-03,74.29,9.84,32.79,0.56
64,2018-06-03,74.35,9.77,30.4,0.51
65,2018-07-03,85.05,12.01,33.98,0.62
66,2018-08-03,123.64,15.86,42.61,0.78
67,2018-09-03,121.21,19.97,38.84,0.71
68,2018-10-03,79.21,11.92,32.11,0.57
69,2018-11-03,93.27,13.07,34.65,0.76
70,2018-12-03,98.36,17.12,37.75,0.58
71,2018-03-13,88.44,14.51,39.28,0.8
72,2018-03-14,113.75,13.58,41.43,0.6
73,2018-03-15,119.54,12.95,35.12,0.58
74,2018-03-16,114.41,13.48,34.11,0.59
75,2018-03-17,91.63,13.5,32.7,0.54
76,2018-03-18,85.9,11.56,30.68,0.54
77,2018-03-19,90.54,10.14,32.28,0.52
78,2018-03-20,137.61,14.16,41.0,0.68
79,2018-03-21,146.36,15.68,35.25,0.6
80,2018-03-22,104.11,8.8,25.82,0.45
81,2018-03-23,83.1,7.7,27.42,0.41
82,2018-03-24,109.88,8.41,29.55,0.43
83,2018-03-25,116.5,9.03,29.07,0.43
84,2018-03-26,116.42,11.24,31.94,0.55
85,2018-03-27,131.57,11.43,35.13,0.63
86,2018-03-28,147.37,15.37,37.12,0.58
87,2018-03-29,115.07,10.46,31.63,0.46
88,2018-03-30,113.95,12.32,33.63,0.5
89,2018-03-31,107.64,12.09,29.16,0.65
90,2018-01-04,104.02,12.12,27.02,0.62
91,2018-02-04,82.81,10.99,33.56,0.68
92,2018-03-04,84.93,13.05,35.37,0.74
93,2018-04-04,89.08,10.87,34.45,0.74
94,2018-05-04,132.4,23.58,35.04,0.71
95,2018-06-04,91.22,8.13,28.24,0.61
96,2018-07-04,60.09,4.77,26.81,0.51
97,2018-08-04,60.16,2.48,24.02,0.52
98,2018-09-04,66.55,5.67,27.27,0.68
99,2018-10-04,121.33,11.04,31.79,0.66
100,2018-11-04,50.43,5.62,27.2,0.5
101,2018-12-04,59.62,4.82,34.84,0.39
102,2018-04-13,106.88,12.73,46.2,0.42
103,2018-04-14,105.49,10.79,46.87,0.44
104,2018-04-15,102.25,12.56,41.81,0.45
105,2018-04-16,103.93,10.63,48.99,0.38
106,2018-04-17,90.46,10.98,45.34,0.35
107,2018-04-18,101.45,4.1,42.1,0.29
108,2018-04-19,118.48,9.12,47.38,0.35
109,2018-04-20,126.33,3.3,37.14,0.26
110,2018-04-21,176.81,1.69,30.79,0.33
111,2018-04-22,99.87,5.39,33.41,0.34
112,2018-04-23,122.25,17.62,39.82,0.42
113,2018-04-24,141.91,22.04,46.21,0.44
114,2018-04-25,129.44,26.83,54.89,0.74
115,2018-04-26,166.92,23.24,58.87,0.47
116,2018-04-27,111.73,5.17,43.75,0.46
117,2018-04-28,94.86,11.22,28.68,0.4
118,2018-04-29,98.3,7.69,29.89,0.35
119,2018-04-30,76.65,8.28,40.0,0.34
120,2018-01-05,62.42,9.41,25.98,0.46
