,date,PM2.5,SO2,NO2,CO
0,2018-01-01,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
1,2018-02-01,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
2,2018-03-01,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
3,2018-04-01,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
4,2018-05-01,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
5,2018-06-01,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
6,2018-07-01,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
7,2018-08-01,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
8,2018-09-01,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
9,2018-10-01,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
10,2018-11-01,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
11,2018-12-01,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
12,2018-01-13,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
13,2018-01-14,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
14,2018-01-15,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
15,2018-01-16,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
16,2018-01-17,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
17,2018-01-18,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
18,2018-01-19,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
19,2018-01-20,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
20,2018-01-21,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
21,2018-01-22,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
22,2018-01-23,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
23,2018-01-24,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
24,2018-01-25,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
25,2018-01-26,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
26,2018-01-27,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
27,2018-01-28,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
28,2018-01-29,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
29,2018-01-30,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
30,2018-01-31,110.99078931390407,13.349431887599268,36.86279805352798,1.1601582471089469
31,2018-01-02,162.92,13.4,22.3,1.02
32,2018-02-02,146.08,9.73,20.71,0.77
33,2018-03-02,139.44,11.9,22.54,0.72
34,2018-04-02,169.65,11.35,21.12,0.63
35,2018-05-02,202.14,14.88,27.61,0.89
36,2018-06-02,191.41,15.27,23.3,0.82
37,2018-07-02,176.52,13.46,23.16,0.86
38,2018-08-02,177.89,19.0,28.86,1.14
39,2018-09-02,204.2,17.07,30.14,1.11
40,2018-10-02,188.45,12.65,53.74,1.36
41,2018-11-02,159.63,10.74,46.62,1.21
42,2018-12-02,105.74,5.27,22.7,0.74
43,2018-02-13,148.13,5.65,25.04,0.78
44,2018-02-14,84.96,5.58,13.43,0.43
45,2018-02-15,113.05,6.67,15.84,0.56
46,2018-02-16,159.82,9.5,18.61,0.68
47,2018-02-17,176.34,9.14,17.51,0.76
48,2018-02-18,160.41,7.26,19.35,0.73
49,2018-02-19,172.16,13.34,26.78,0.89
50,2018-02-20,181.84,13.65,24.34,0.77
51,2018-02-21,127.46,10.68,32.6,1.35
52,2018-02-22,164.77,11.92,36.68,1.1
53,2018-02-23,181.06,15.23,34.56,1.12
54,2018-02-24,217.5,16.65,32.24,1.21
55,2018-02-25,97.29,11.19,19.35,0.6
56,2018-02-26,73.18,7.17,14.76,0.48
57,2018-02-27,123.36,9.82,18.55,0.64
58,2018-02-28,159.97,13.14,24.31,0.82
59,2018-01-03,143.94,10.39,20.85,0.81
60,2018-02-03,127.31,12.55,18.23,0.94
61,2018-03-03,107.86,6.1,15.69,0.56
62,2018-04-03,82.14,9.41,15.63,0.54
63,2018-05-03,97.83,10.9,16.14,0.55
64,2018-06-03,95.58,9.22,15.5,0.52
65,2018-07-03,114.75,9.51,21.56,0.61
66,2018-08-03,172.09,16.09,36.89,1.06
67,2018-09-03,124.62,11.93,30.13,0.86
68,2018-10-03,89.58,10.56,14.19,0.52
69,2018-11-03,103.52,11.55,16.73,0.57
70,2018-12-03,122.69,13.75,19.05,0.65
71,2018-03-13,136.48,13.98,28.42,0.81
72,2018-03-14,154.85,14.14,44.53,1.01
73,2018-03-15,145.57,14.17,23.93,0.85
74,2018-03-16,118.13,11.93,18.5,0.71
75,2018-03-17,118.77,11.21,12.51,0.43
76,2018-03-18,67.4,8.56,10.53,0.48
77,2018-03-19,94.72,15.98,16.0,0.66
78,2018-03-20,136.0,19.45,22.01,0.88
79,2018-03-21,115.61,13.05,14.96,0.69
80,2018-03-22,96.01,11.61,10.04,0.53
81,2018-03-23,75.38,10.49,9.45,0.48
82,2018-03-24,113.29,14.54,8.93,0.51
83,2018-03-25,106.0,10.85,8.48,0.54
84,2018-03-26,113.33,14.87,10.14,0.58
85,2018-03-27,128.36,19.26,25.78,0.95
86,2018-03-28,140.34,14.12,21.41,0.93
87,2018-03-29,101.08,13.08,9.42,0.56
88,2018-03-30,140.23,16.37,13.06,0.74
89,2018-03-31,122.96,13.61,17.09,0.77
90,2018-01-04,101.68,10.42,14.46,0.67
91,2018-02-04,144.65,16.7,17.87,0.96
92,2018-03-04,157.47,17.58,21.05,1.03
93,2018-04-04,171.94,17.25,23.04,1.17
94,2018-05-04,150.47,15.41,24.15,0.96
95,2018-06-04,130.6,15.37,26.51,0.75
96,2018-07-04,67.44,9.75,26.28,0.54
97,2018-08-04,80.21,9.63,25.7,0.56
98,2018-09-04,66.27,7.43,55.09,0.98
99,2018-10-04,112.88,9.86,31.57,0.76
