,date,PM2.5,SO2,NO2,CO
0,2018-01-01,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
1,2018-02-01,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
2,2018-03-01,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
3,2018-04-01,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
4,2018-05-01,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
5,2018-06-01,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
6,2018-07-01,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
7,2018-08-01,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
8,2018-09-01,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
9,2018-10-01,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
10,2018-11-01,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
11,2018-12-01,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
12,2018-01-13,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
13,2018-01-14,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
14,2018-01-15,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
15,2018-01-16,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
16,2018-01-17,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
17,2018-01-18,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
18,2018-01-19,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
19,2018-01-20,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
20,2018-01-21,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
21,2018-01-22,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
22,2018-01-23,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
23,2018-01-24,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
24,2018-01-25,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
25,2018-01-26,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
26,2018-01-27,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
27,2018-01-28,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
28,2018-01-29,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
29,2018-01-30,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
30,2018-01-31,114.85675090252707,14.00987973541792,52.43709288299156,1.4938364401683704
31,2018-01-02,170.24,5.03,70.62,1.54
32,2018-02-02,154.39,3.36,41.67,0.85
33,2018-03-02,122.81,5.95,28.61,0.59
34,2018-04-02,145.42,3.9,32.22,0.66
35,2018-05-02,187.71,4.91,44.48,1.0
36,2018-06-02,146.75,4.85,37.91,0.73
37,2018-07-02,139.98,4.87,34.06,0.73
38,2018-08-02,206.54,3.13,117.86,1.57
39,2018-09-02,227.88,6.2,82.32,1.45
40,2018-10-02,244.87,3.77,199.65,2.6
41,2018-11-02,161.2,7.16,50.1,0.93
42,2018-12-02,79.04,1.97,15.01,0.29
43,2018-02-13,134.25,3.12,25.39,0.66
44,2018-02-14,72.89,2.07,19.36,0.26
45,2018-02-15,90.39,2.92,20.78,0.41
46,2018-02-16,130.67,4.34,24.31,0.7
47,2018-02-17,159.83,4.13,25.83,0.75
48,2018-02-18,151.96,2.79,61.38,0.99
49,2018-02-19,218.54,3.24,122.0,1.85
50,2018-02-20,187.54,3.11,83.92,1.7
51,2018-02-21,206.54,3.79,144.1,2.29
52,2018-02-22,176.38,4.33,69.0,1.55
53,2018-02-23,162.32,6.72,37.99,1.36
54,2018-02-24,146.79,5.2,29.17,0.97
55,2018-02-25,118.12,3.65,20.28,0.49
56,2018-02-26,61.67,3.07,16.88,0.25
57,2018-02-27,69.34,3.63,22.35,0.67
58,2018-02-28,104.15,5.63,33.79,0.91
59,2018-01-03,144.35,5.98,25.42,0.93
60,2018-02-03,163.97,3.72,48.96,1.43
