,date,PM2.5,SO2,NO2,CO
0,2018-01-01,316.42,18.65,93.94,3.64
1,2018-02-01,362.25,23.32,85.64,2.14
2,2018-03-01,231.58,14.41,70.0,2.19
3,2018-04-01,195.54,15.32,90.54,2.18
4,2018-05-01,230.04,15.54,72.83,2.5
5,2018-06-01,227.92,16.75,80.08,2.82
6,2018-07-01,189.96,26.16,76.14,1.49
7,2018-08-01,185.12,38.0,79.75,2.2
8,2018-09-01,216.15,45.83,87.1,1.73
9,2018-10-01,174.6,48.31,78.56,1.32
10,2018-11-01,163.51,55.17,80.13,1.25
11,2018-12-01,204.19,62.76,99.17,2.39
12,2018-01-13,218.14,30.79,93.15,2.96
13,2018-01-14,187.79,40.85,89.63,2.12
14,2018-01-15,202.75,44.27,81.23,1.62
15,2018-01-16,190.34,48.99,73.71,1.04
16,2018-01-17,247.66,16.35,79.79,2.83
17,2018-01-18,304.5,34.31,75.23,2.76
18,2018-01-19,260.69,27.93,85.45,2.16
19,2018-01-20,225.87,41.57,69.54,1.27
20,2018-01-21,237.76,46.68,90.6,1.42
21,2018-01-22,245.33,39.63,98.97,2.72
22,2018-01-23,143.06,9.19,94.04,2.53
23,2018-01-24,145.64,11.19,58.61,2.45
24,2018-01-25,111.58,5.36,47.51,2.19
25,2018-01-26,154.67,4.66,54.24,2.5
26,2018-01-27,202.92,8.9,72.7,3.19
27,2018-01-28,208.83,14.22,62.19,2.96
28,2018-01-29,180.48,20.71,58.61,2.69
29,2018-01-30,134.93,29.72,50.85,1.91
30,2018-01-31,136.45,28.37,38.63,1.93
31,2018-01-02,151.29,39.72,46.54,3.1
32,2018-02-02,149.74,24.11,32.26,2.25
33,2018-03-02,117.66,27.66,27.59,2.29
34,2018-04-02,135.19,29.65,28.61,2.19
35,2018-05-02,174.13,31.17,72.97,2.76
36,2018-06-02,154.48,35.63,100.02,2.15
37,2018-07-02,140.5,37.34,95.12,2.66
38,2018-08-02,201.07,16.58,115.2,2.54
39,2018-09-02,246.6,16.5,136.95,1.92
40,2018-10-02,253.62,16.8,114.5,2.45
41,2018-11-02,180.88,15.99,77.4,1.69
42,2018-12-02,70.12,10.63,43.02,0.35
43,2018-02-13,102.83,10.64,63.74,0.72
44,2018-02-14,80.92,12.3,45.92,0.33
45,2018-02-15,96.65,17.15,54.68,0.63
46,2018-02-16,146.97,27.29,70.71,1.03
47,2018-02-17,131.46,36.18,79.18,1.45
48,2018-02-18,141.68,26.09,75.83,1.7
49,2018-02-19,157.49,25.96,84.81,2.38
50,2018-02-20,210.78,27.59,96.08,2.45
51,2018-02-21,180.87,24.95,93.36,3.66
52,2018-02-22,168.42,32.77,85.91,3.05
53,2018-02-23,169.44,26.73,121.99,2.75
54,2018-02-24,186.63,18.52,86.7,1.9
55,2018-02-25,101.88,17.13,58.02,0.7
56,2018-02-26,82.88,11.48,47.04,0.62
57,2018-02-27,85.96,11.73,66.34,1.42
58,2018-02-28,149.46,26.02,90.98,1.79
59,2018-01-03,129.33,30.14,94.49,1.89
60,2018-02-03,133.08,12.16,82.59,1.22
61,2018-03-03,113.78,23.11,83.58,1.44
62,2018-04-03,75.92,21.54,70.0,1.07
63,2018-05-03,91.22,19.93,74.24,1.28
64,2018-06-03,80.7,27.72,70.99,0.97
65,2018-07-03,110.15,19.65,74.94,0.78
66,2018-08-03,129.38,18.28,82.98,0.62
67,2018-09-03,130.67,35.7,78.66,1.11
68,2018-10-03,80.45,26.98,70.76,0.88
69,2018-11-03,101.42,33.58,69.66,1.53
70,2018-12-03,131.09,33.82,81.97,1.57
71,2018-03-13,132.51,36.07,83.23,2.14
72,2018-03-14,108.73,28.68,83.44,2.06
73,2018-03-15,104.74,28.11,74.26,1.28
74,2018-03-16,96.75,30.82,73.76,1.26
75,2018-03-17,134.56,33.94,61.07,1.03
76,2018-03-18,52.08,27.7,59.52,1.04
77,2018-03-19,93.05,35.75,81.14,1.32
78,2018-03-20,107.36,37.14,92.45,1.95
79,2018-03-21,123.54,49.69,69.68,1.23
80,2018-03-22,71.71,44.27,52.99,0.86
81,2018-03-23,70.0,31.71,49.38,0.9
82,2018-03-24,87.65,39.45,53.29,0.88
83,2018-03-25,95.13,35.71,52.18,0.89
84,2018-03-26,111.9,46.13,72.91,1.54
85,2018-03-27,118.62,52.0,88.74,1.98
86,2018-03-28,97.95,34.77,65.4,1.37
87,2018-03-29,91.17,36.11,65.83,1.2
88,2018-03-30,112.22,32.07,82.92,1.51
89,2018-03-31,91.42,26.79,89.02,1.34
90,2018-01-04,69.25,17.05,81.66,1.21
91,2018-02-04,81.78,18.97,107.04,1.34
92,2018-03-04,91.95,21.54,101.2,1.37
93,2018-04-04,115.28,27.97,93.87,2.06
94,2018-05-04,152.04,33.38,97.58,2.12
95,2018-06-04,118.9,33.27,78.95,1.09
96,2018-07-04,48.74,11.88,61.77,0.87
97,2018-08-04,49.39,16.09,50.25,0.77
98,2018-09-04,88.67,22.06,61.14,1.64
99,2018-10-04,89.79,17.52,73.94,0.95
100,2018-11-04,68.77,12.17,53.95,0.55
101,2018-12-04,103.17618452380954,14.63713606654783,48.43467971530249,1.3506739526411657
102,2018-04-13,103.17618452380954,14.63713606654783,48.43467971530249,1.3506739526411657
103,2018-04-14,80.02,35.16,152.93,0.12
104,2018-04-15,124.21,42.6,125.55,0.2
105,2018-04-16,109.44,41.37,102.91,0.17
106,2018-04-17,73.71,28.11,73.16,0.14
107,2018-04-18,88.24,18.3,63.0,1.22
108,2018-04-19,119.09,27.66,88.08,2.58
109,2018-04-20,124.62,10.38,63.13,1.2
110,2018-04-21,178.75,18.03,52.69,1.32
111,2018-04-22,85.12,28.65,56.94,1.26
112,2018-04-23,101.79,23.82,70.71,1.98
113,2018-04-24,143.34,28.89,90.87,2.09
114,2018-04-25,132.53,28.25,86.16,2.78
115,2018-04-26,184.26,33.4,119.39,2.63
116,2018-04-27,129.27,24.89,79.93,1.44
117,2018-04-28,101.88,16.64,53.52,1.47
118,2018-04-29,105.79,26.15,65.48,1.8
119,2018-04-30,75.88,15.84,63.28,1.66
120,2018-01-05,55.17,18.87,47.33,0.92
121,2018-02-05,61.62,7.41,47.44,1.27
122,2018-03-05,49.54,15.34,48.59,1.43
123,2018-04-05,68.14,19.83,60.45,1.92
124,2018-05-05,91.27,17.59,70.48,2.43
125,2018-06-05,108.82,15.65,78.69,2.11
126,2018-07-05,134.29,22.29,85.19,2.5
127,2018-08-05,74.41,5.71,42.91,1.41
128,2018-09-05,75.3,14.6,92.05,1.87
129,2018-10-05,120.75,13.86,88.33,1.32
130,2018-11-05,152.08,23.99,110.62,1.49
131,2018-12-05,173.5,17.04,112.54,2.9
132,2018-05-13,99.91,3.77,30.74,2.76
133,2018-05-14,59.26,11.73,55.76,0.76
134,2018-05-15,71.04,23.71,68.82,1.2
135,2018-05-16,91.29,15.28,61.73,0.71
136,2018-05-17,112.48,19.42,77.92,0.77
137,2018-05-18,109.48,36.4,93.67,1.52
138,2018-05-19,105.56,26.76,71.12,1.4
139,2018-05-20,104.12,31.03,74.85,1.24
140,2018-05-21,99.0,30.83,87.91,1.02
141,2018-05-22,118.62,43.77,96.76,1.74
142,2018-05-23,155.96,42.6,128.27,2.43
143,2018-05-24,125.58,40.74,118.61,1.99
144,2018-05-25,95.17,30.58,90.19,1.72
145,2018-05-26,123.5,45.93,85.38,2.33
146,2018-05-27,116.75,25.73,87.86,1.54
147,2018-05-28,140.02,37.26,105.8,2.81
148,2018-05-29,113.75,26.0,73.6,1.37
149,2018-05-30,81.0,26.06,55.89,0.82
150,2018-05-31,84.83,24.7,85.73,0.99
151,2018-01-06,90.1,27.45,52.0,0.8
152,2018-02-06,134.41,25.55,42.16,0.65
153,2018-03-06,130.18,23.12,60.96,0.9
154,2018-04-06,84.12,19.5,47.67,0.82
155,2018-05-06,81.65,20.85,44.57,0.82
156,2018-06-06,80.49,21.62,68.7,0.87
157,2018-07-06,74.29,9.49,64.5,0.35
158,2018-08-06,75.96,18.46,38.82,0.91
159,2018-09-06,62.38,17.43,47.94,0.84
160,2018-10-06,62.17,20.02,63.67,1.07
161,2018-11-06,64.25,13.58,66.66,0.77
162,2018-12-06,127.65,17.97,49.36,0.56
163,2018-06-13,146.41,19.29,30.6,0.57
164,2018-06-14,120.0,20.52,29.74,0.56
165,2018-06-15,109.43,18.19,27.21,0.74
166,2018-06-16,92.33,21.12,26.85,0.67
167,2018-06-17,84.0,18.19,28.61,0.7
168,2018-06-18,58.33,16.95,46.53,0.64
169,2018-06-19,55.14,19.65,56.82,0.36
170,2018-06-20,65.38,20.21,77.4,0.67
171,2018-06-21,62.07,17.51,74.74,0.6
172,2018-06-22,75.25,27.66,96.69,0.56
