,date,PM2.5,SO2,NO2,CO
0,2018-01-01,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
1,2018-02-01,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
2,2018-03-01,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
3,2018-04-01,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
4,2018-05-01,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
5,2018-06-01,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
6,2018-07-01,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
7,2018-08-01,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
8,2018-09-01,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
9,2018-10-01,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
10,2018-11-01,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
11,2018-12-01,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
12,2018-01-13,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
13,2018-01-14,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
14,2018-01-15,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
15,2018-01-16,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
16,2018-01-17,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
17,2018-01-18,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
18,2018-01-19,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
19,2018-01-20,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
20,2018-01-21,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
21,2018-01-22,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
22,2018-01-23,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
23,2018-01-24,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
24,2018-01-25,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
25,2018-01-26,107.06504531722055,12.117147258163895,35.157095790115925,1.3654275318374773
