,date,SO2,NO2,CO
0,2018-01-01,1.17,42.06,0.7
1,2018-02-01,1.25,36.91,0.46
2,2018-03-01,1.23,44.65,0.59
3,2018-04-01,2.04,41.55,0.37
4,2018-05-01,7.28,43.51,0.61
5,2018-06-01,4.19,49.45,0.45
6,2018-07-01,1.51,35.84,0.48
7,2018-08-01,1.52,44.64,0.35
8,2018-09-01,1.18,37.65,0.36
9,2018-10-01,1.07,39.94,0.45
10,2018-11-01,1.19,40.91,0.57
11,2018-12-01,1.35,39.57,0.58
12,2018-01-13,1.54,44.47,0.51
13,2018-01-14,1.7,38.27,0.45
14,2018-01-15,2.45,38.07,0.39
15,2018-01-16,1.94,37.02,0.43
16,2018-01-17,2.72,35.23,0.41
17,2018-01-18,2.23,36.94,0.44
18,2018-01-19,1.69,38.62,0.41
19,2018-01-20,1.65,37.21,0.45
20,2018-01-21,1.28,32.5,0.36
21,2018-01-22,1.36,41.59,0.49
22,2018-01-23,1.14,44.19,0.64
23,2018-01-24,1.24,44.96,0.5
24,2018-01-25,1.03,38.36,0.48
25,2018-01-26,1.01,40.86,0.47
26,2018-01-27,1.32,45.38,0.8
27,2018-01-28,1.16,33.15,0.36
28,2018-01-29,1.04,37.26,0.44
29,2018-01-30,1.58,37.21,0.43
30,2018-01-31,1.61,41.83,0.46
31,2018-01-02,1.56,49.86,0.48
32,2018-02-02,1.78,47.25,0.48
33,2018-03-02,1.93,36.58,0.44
34,2018-04-02,1.74,29.84,0.43
35,2018-05-02,1.61,31.65,0.44
36,2018-06-02,1.75,30.22,0.47
37,2018-07-02,1.81,22.85,0.47
38,2018-08-02,1.89,36.98,0.7
39,2018-09-02,1.86,30.17,0.41
40,2018-10-02,1.99,35.45,0.47
41,2018-11-02,1.72,25.22,0.39
42,2018-12-02,1.63,24.73,0.44
43,2018-02-13,1.57,22.39,0.39
44,2018-02-14,1.61,24.95,0.41
45,2018-02-15,1.67,25.38,0.44
46,2018-02-16,3.72,34.48,0.48
47,2018-02-17,7.99,34.78,0.48
48,2018-02-18,8.05,28.23,0.38
49,2018-02-19,5.39,27.95,0.45
50,2018-02-20,0.98,20.55,0.38
51,2018-02-21,2.1,31.17,0.39
52,2018-02-22,1.9,29.65,0.41
53,2018-02-23,0.67,35.07,0.52
54,2018-02-24,0.54,26.75,0.47
55,2018-02-25,0.4,19.14,0.45
56,2018-02-26,1.37,31.61,0.49
57,2018-02-27,3.0,33.32,0.5
58,2018-02-28,2.8,31.22,0.55
59,2018-01-03,2.22,26.66,0.48
60,2018-02-03,2.62,31.51,0.73
61,2018-03-03,2.64,32.64,0.46
62,2018-04-03,1.55,19.16,0.25
63,2018-05-03,2.86,32.29,0.39
64,2018-06-03,2.77,32.6,0.37
65,2018-07-03,2.7,32.58,0.54
66,2018-08-03,3.0,32.79,0.65
67,2018-09-03,3.7,42.08,0.7
68,2018-10-03,3.36,32.31,0.58
69,2018-11-03,3.0,27.62,0.61
70,2018-12-03,2.97,26.1,0.65
71,2018-03-13,2.86,21.29,0.64
72,2018-03-14,3.26,26.79,0.91
73,2018-03-15,3.65,23.8,0.74
74,2018-03-16,3.27,21.93,0.69
75,2018-03-17,2.18,21.97,0.71
76,2018-03-18,2.4,19.54,0.68
77,2018-03-19,2.38,31.74,0.74
78,2018-03-20,2.64,42.42,0.75
79,2018-03-21,2.52,33.17,0.72
80,2018-03-22,3.63,36.37,1.01
81,2018-03-23,3.99,35.82,0.76
82,2018-03-24,3.5,32.43,0.67
83,2018-03-25,3.62,27.58,0.72
84,2018-03-26,4.65,32.46,0.62
85,2018-03-27,6.75,32.58,0.55
