,date,PM2.5,SO2,NO2
0,2018-01-01,101.4,6.59,53.19
1,2018-02-01,70.01,6.28,51.09
2,2018-03-01,74.13,6.79,52.58
3,2018-04-01,59.51,6.91,51.63
4,2018-05-01,68.41,5.95,59.25
5,2018-06-01,58.51,6.76,60.72
6,2018-07-01,53.84,5.63,66.97
7,2018-08-01,57.44,5.91,68.44
8,2018-09-01,55.56,6.96,66.82
9,2018-10-01,48.5,6.69,71.78
10,2018-11-01,52.73,6.25,67.39
11,2018-12-01,64.61,7.47,67.65
12,2018-01-13,71.55,7.02,70.36
13,2018-01-14,93.97,5.74,65.55
14,2018-01-15,82.47,6.94,53.06
15,2018-01-16,90.52,6.95,63.78
16,2018-01-17,58.69,7.35,51.62
17,2018-01-18,74.17,6.35,54.89
18,2018-01-19,70.58,6.41,57.84
19,2018-01-20,57.85,6.1,56.93
20,2018-01-21,41.16,5.35,59.9
21,2018-01-22,76.48,5.8,59.99
22,2018-01-23,92.15,6.21,55.35
23,2018-01-24,70.93,6.54,48.85
24,2018-01-25,66.86,6.14,57.75
25,2018-01-26,67.43,6.3,60.81
26,2018-01-27,40.19,6.6,60.59
27,2018-01-28,78.51,5.98,65.34
28,2018-01-29,102.06,6.47,60.1
29,2018-01-30,76.78,6.39,57.68
30,2018-01-31,45.55,5.51,63.09
31,2018-01-02,44.91,5.31,50.65
32,2018-02-02,47.08,4.28,62.77
33,2018-03-02,58.11,5.2,60.23
34,2018-04-02,56.99,4.84,53.74
35,2018-05-02,46.5,4.98,54.26
36,2018-06-02,43.52,4.99,52.05
37,2018-07-02,55.86,5.93,54.97
38,2018-08-02,59.09,5.21,57.22
39,2018-09-02,37.2,5.66,45.31
40,2018-10-02,50.58,5.54,48.42
41,2018-11-02,56.69,5.45,53.35
42,2018-12-02,54.15,5.87,36.03
43,2018-02-13,44.24,5.91,44.92
44,2018-02-14,39.32,5.91,40.02
45,2018-02-15,41.94,5.49,51.77
46,2018-02-16,41.35,4.29,59.46
47,2018-02-17,41.95,4.79,60.31
48,2018-02-18,46.55,5.49,56.74
49,2018-02-19,45.55,4.37,55.44
50,2018-02-20,39.14,4.08,50.47
51,2018-02-21,46.62,5.55,60.04
52,2018-02-22,58.0,5.4,59.16
53,2018-02-23,58.52,5.49,49.16
54,2018-02-24,57.83,5.49,51.25
55,2018-02-25,51.07,5.02,55.39
56,2018-02-26,62.58,4.29,46.82
57,2018-02-27,100.03,5.56,42.73
58,2018-02-28,113.52,6.26,47.14
59,2018-01-03,128.14,4.6,45.57
60,2018-02-03,98.85,4.55,40.86
61,2018-03-03,89.7,5.62,36.49
62,2018-04-03,80.76,5.82,39.08
63,2018-05-03,76.78,5.27,29.98
64,2018-06-03,62.66,5.63,34.18
65,2018-07-03,91.92,5.7,28.42
66,2018-08-03,85.44,5.17,36.25
67,2018-09-03,95.75,5.81,37.91
68,2018-10-03,108.89,4.98,32.92
69,2018-11-03,96.69,5.54,35.75
70,2018-12-03,92.88,5.24,44.31
71,2018-03-13,95.59,5.08,36.66
72,2018-03-14,86.47,5.23,35.82
73,2018-03-15,67.02,5.65,33.92
74,2018-03-16,65.13,4.83,33.52
75,2018-03-17,57.25,6.75,42.47
76,2018-03-18,53.17,5.56,39.24
77,2018-03-19,51.01,4.87,32.9
78,2018-03-20,61.47,4.74,34.46
79,2018-03-21,51.89,4.77,34.47
80,2018-03-22,62.77,6.23,37.68
81,2018-03-23,75.06,5.8,35.91
82,2018-03-24,99.71,6.71,35.08
83,2018-03-25,80.13,5.82,33.66
84,2018-03-26,94.71,5.44,37.43
85,2018-03-27,108.58,5.44,39.46
86,2018-03-28,92.32,5.05,34.06
87,2018-03-29,90.44,6.7,41.17
88,2018-03-30,79.5,5.62,44.64
89,2018-03-31,72.43,4.92,38.79
90,2018-01-04,59.91,7.68,57.39
91,2018-02-04,58.79,8.67,36.08
92,2018-03-04,55.49,4.44,23.24
93,2018-04-04,50.41,6.04,18.95
94,2018-05-04,59.02,4.8,19.4
95,2018-06-04,88.61,5.0,25.54
96,2018-07-04,73.11,6.45,22.54
97,2018-08-04,57.83,4.88,22.74
98,2018-09-04,44.79,4.34,21.5
99,2018-10-04,45.52,6.82,21.53
100,2018-11-04,45.02,5.89,23.49
101,2018-12-04,52.45,4.85,21.93
102,2018-04-13,56.93,4.51,22.42
103,2018-04-14,52.7,5.38,19.5
104,2018-04-15,48.57,5.24,18.25
105,2018-04-16,38.34,5.38,18.48
106,2018-04-17,47.43,4.64,21.25
107,2018-04-18,40.01,4.9,17.5
108,2018-04-19,46.84,4.51,12.7
109,2018-04-20,47.32,4.52,12.27
110,2018-04-21,42.67,4.71,12.2
111,2018-04-22,40.01,15.331999999999999,13.3
112,2018-04-23,50.16,7.15,13.83
113,2018-04-24,46.54,6.27,13.67
114,2018-04-25,50.07,5.9,10.88
115,2018-04-26,52.07,6.67,11.1
116,2018-04-27,56.72,4.75,9.62
117,2018-04-28,51.0,8.2,9.63
118,2018-04-29,42.1,4.45,8.53
