,date,PM2.5,SO2,NO2
0,2018-01-01,76.51,6.1,30.28
1,2018-02-01,83.06,6.44,37.01
2,2018-03-01,80.61,10.35,42.68
3,2018-04-01,63.61,4.67,35.47
4,2018-05-01,50.32,8.06,31.97
5,2018-06-01,58.65,1.6,23.26
6,2018-07-01,40.77,2.68,27.93
7,2018-08-01,55.41,8.76,40.69
8,2018-09-01,86.08,7.24,45.66
9,2018-10-01,96.86,10.99,52.32
10,2018-11-01,75.05,13.23,51.08
11,2018-12-01,77.25,20.08,62.69
12,2018-01-13,70.01,5.87,60.35
13,2018-01-14,65.3,3.96,39.11
14,2018-01-15,60.02,5.36,44.12
15,2018-01-16,45.43,4.43,34.6
16,2018-01-17,32.93,2.83,30.61
17,2018-01-18,51.83,5.88,37.37
18,2018-01-19,35.55,4.81,31.0
19,2018-01-20,58.54,9.57,39.58
20,2018-01-21,60.29,8.73,36.82
21,2018-01-22,72.55,4.67,38.11
22,2018-01-23,65.6,3.09,23.64
23,2018-01-24,57.32,4.68,33.54
24,2018-01-25,57.46,10.14,33.84
25,2018-01-26,57.0,8.92,32.22
26,2018-01-27,50.13,9.94,32.6
27,2018-01-28,35.9983313253012,3.809622075584883,23.134667919799497
28,2018-01-29,81.01,19.52,68.09
29,2018-01-30,71.06,11.24,43.29
30,2018-01-31,66.7,9.33,44.07
31,2018-01-02,60.22,14.93,47.07
32,2018-02-02,57.32,5.19,37.49
33,2018-03-02,48.57,4.88,30.95
34,2018-04-02,41.54,12.55,32.74
35,2018-05-02,47.72,11.53,41.24
36,2018-06-02,64.8,8.55,35.43
37,2018-07-02,60.62,6.46,36.47
38,2018-08-02,55.34,3.61,25.9
39,2018-09-02,46.16,3.02,27.44
40,2018-10-02,53.27,2.71,29.35
41,2018-11-02,32.41,2.74,22.81
42,2018-12-02,29.01,2.7,25.22
43,2018-02-13,67.33,5.67,28.85
44,2018-02-14,47.36,4.69,30.16
45,2018-02-15,45.19,10.73,34.77
46,2018-02-16,61.72,6.48,32.03
47,2018-02-17,39.66,7.94,26.66
48,2018-02-18,47.45,8.01,30.02
49,2018-02-19,43.65,6.9,33.19
50,2018-02-20,46.68,9.61,32.6
51,2018-02-21,46.22,9.94,36.89
52,2018-02-22,48.82,6.14,30.75
53,2018-02-23,50.82,5.53,29.44
54,2018-02-24,177.0,13.68,28.65
55,2018-02-25,61.24,16.09,41.62
56,2018-02-26,58.64,9.51,34.07
57,2018-02-27,54.79,12.33,42.27
58,2018-02-28,88.97,12.79,35.95
59,2018-01-03,108.62,16.89,42.88
60,2018-02-03,88.54,6.54,29.67
61,2018-03-03,55.58,7.36,27.22
62,2018-04-03,45.71,13.19,23.79
63,2018-05-03,78.28,6.56,24.01
64,2018-06-03,62.64,11.5,24.61
65,2018-07-03,61.94,10.97,33.17
66,2018-08-03,55.25,16.43,26.45
67,2018-09-03,43.93,10.97,25.41
68,2018-10-03,56.84,9.47,27.84
69,2018-11-03,46.71,7.81,26.38
70,2018-12-03,41.58,8.35,29.34
71,2018-03-13,43.6,12.88,26.65
72,2018-03-14,34.02,7.4,22.34
73,2018-03-15,48.14,11.12,41.16
74,2018-03-16,58.92,19.49,42.42
75,2018-03-17,40.85,16.59,45.09
76,2018-03-18,49.78,8.992,32.01
77,2018-03-19,47.0,10.18,22.18
78,2018-03-20,37.1,6.07,21.11
79,2018-03-21,38.83,5.82,15.76
80,2018-03-22,35.38,9.73,15.32
81,2018-03-23,38.96,2.95,17.6
82,2018-03-24,48.01,7.18,29.11
83,2018-03-25,47.73,10.3,42.68
84,2018-03-26,66.49,16.8,47.89
85,2018-03-27,40.79,9.56,23.25
86,2018-03-28,50.69,17.36,20.9
87,2018-03-29,41.82,16.04,19.21
88,2018-03-30,47.8,6.82,20.13
89,2018-03-31,47.83,3.19,19.74
90,2018-01-04,46.44,2.76,17.25
91,2018-02-04,64.47,6.67,5.02
92,2018-03-04,65.77,6.04,8.95
93,2018-04-04,51.67,5.96,7.57
94,2018-05-04,68.22,3.78,18.85
95,2018-06-04,68.27,2.74,20.61
96,2018-07-04,62.02,2.79,19.1
97,2018-08-04,60.44,3.91,19.12
98,2018-09-04,72.44,5.82,23.88
99,2018-10-04,48.76,4.08,20.12
100,2018-11-04,39.73,3.24,20.99
101,2018-12-04,55.29,3.97,20.2
102,2018-04-13,47.96,2.8,19.54
103,2018-04-14,42.15,2.91,19.18
104,2018-04-15,40.14,2.81,17.82
105,2018-04-16,40.43,3.03,17.75
106,2018-04-17,48.5,3.28,25.09
107,2018-04-18,52.12,4.69,24.17
108,2018-04-19,58.67,3.24,20.85
109,2018-04-20,44.6,2.57,18.13
110,2018-04-21,35.26,4.09,16.18
111,2018-04-22,42.63,2.36,16.96
112,2018-04-23,43.43,3.97,17.89
113,2018-04-24,31.82,3.0,20.33
114,2018-04-25,39.74,3.71,16.45
115,2018-04-26,37.62,2.76,14.64
116,2018-04-27,28.67,2.24,16.49
117,2018-04-28,33.66,2.25,17.2
118,2018-04-29,27.6,2.17,15.09
119,2018-04-30,31.0,1.94,12.74
120,2018-01-05,39.2,2.08,13.97
121,2018-02-05,30.17,2.36,13.97
122,2018-03-05,26.94,1.79,13.59
123,2018-04-05,29.25,2.73,16.38
124,2018-05-05,34.37,1.69,13.58
125,2018-06-05,33.41,1.65,15.21
126,2018-07-05,23.19,2.65,16.2
127,2018-08-05,34.09,1.85,16.02
128,2018-09-05,38.87,2.11,13.88
129,2018-10-05,49.64,4.56,17.05
130,2018-11-05,36.2,2.7,15.32
131,2018-12-05,37.49,2.72,13.68
132,2018-05-13,30.89,2.09,13.56
133,2018-05-14,26.92,2.21,14.4
