,date,PM2.5,SO2,NO2
0,2018-01-01,84.1,10.86,60.56
1,2018-02-01,92.26,10.33,72.63
2,2018-03-01,102.29,8.31,138.89
3,2018-04-01,90.95,16.68,156.7
4,2018-05-01,113.48,8.71,135.16
5,2018-06-01,119.2,9.04,128.04
6,2018-07-01,82.86,10.6,96.05
7,2018-08-01,103.33,11.36,164.35
8,2018-09-01,100.69,10.55,135.85
9,2018-10-01,117.28,11.08,212.91
10,2018-11-01,129.66,13.02,213.73
11,2018-12-01,105.7,13.66,131.3
12,2018-01-13,196.12,9.08,262.4
13,2018-01-14,37.54,3.29,15.0
14,2018-01-15,70.29,12.46,5.46
15,2018-01-16,81.51,13.76,4.42
16,2018-01-17,72.6,11.4,7.28
17,2018-01-18,78.65,11.39,6.74
18,2018-01-19,92.2,10.0,7.71
19,2018-01-20,108.69,11.2,8.36
20,2018-01-21,100.85,10.36,8.33
21,2018-01-22,78.18,13.87,6.92
22,2018-01-23,85.84,8.99,24.14
23,2018-01-24,108.75,10.09,70.29
24,2018-01-25,95.95,10.57,70.78
25,2018-01-26,104.22,9.85,70.76
26,2018-01-27,92.13,10.17,69.89
27,2018-01-28,91.05,9.97,70.94
28,2018-01-29,66.15,11.11,69.92
29,2018-01-30,147.04,10.85,70.11
30,2018-01-31,80.4,9.87,70.38
31,2018-01-02,172.76,11.44,46.46
32,2018-02-02,79.23,9.66,29.73
33,2018-03-02,57.45,11.32,30.03
34,2018-04-02,70.8,12.04,29.82
35,2018-05-02,78.78,11.49,29.86
36,2018-06-02,64.34,14.23,29.93
37,2018-07-02,78.9,15.67,29.76
38,2018-08-02,79.24,13.09,29.85
39,2018-09-02,84.51,13.37,25.53
40,2018-10-02,86.06,12.29,20.09
41,2018-11-02,66.61,10.77,20.01
42,2018-12-02,42.92,10.76,12.01
43,2018-02-13,80.67,10.3,18.05
44,2018-02-14,56.45,10.89,18.06
45,2018-02-15,63.93,12.0,10.14
46,2018-02-16,112.01,10.59,3.63
47,2018-02-17,117.71,10.73,3.71
48,2018-02-18,92.36,9.82,4.27
49,2018-02-19,83.34,11.22,5.05
50,2018-02-20,104.74,11.3,17.81
51,2018-02-21,120.02,11.72,34.67
52,2018-02-22,111.07,12.12,34.53
53,2018-02-23,161.97,9.92,36.54
54,2018-02-24,85.68,9.99,39.73
55,2018-02-25,55.55,9.69,39.87
56,2018-02-26,50.3,10.46,40.18
57,2018-02-27,74.31,11.13,39.79
58,2018-02-28,59.29,10.32,39.84
59,2018-01-03,63.76,10.33,40.15
60,2018-02-03,62.96,11.39,39.83
61,2018-03-03,52.92,10.32,40.11
62,2018-04-03,58.46,9.81,40.05
63,2018-05-03,37.22,10.71,39.66
64,2018-06-03,42.91,11.75,39.93
65,2018-07-03,54.79,11.01,39.7
66,2018-08-03,37.54,10.71,39.73
67,2018-09-03,45.95,10.64,39.46
68,2018-10-03,41.7,10.92,39.84
69,2018-11-03,48.81,10.83,40.15
70,2018-12-03,54.54,9.88,37.15
71,2018-03-13,61.6,12.05,29.98
72,2018-03-14,46.13,11.89,30.02
73,2018-03-15,53.7,11.08,30.06
74,2018-03-16,51.04,12.0,29.98
75,2018-03-17,47.21,11.72,30.04
76,2018-03-18,37.92,11.89,30.01
77,2018-03-19,57.35,11.34,29.88
78,2018-03-20,46.97,10.38,29.94
79,2018-03-21,51.74,10.82,29.96
80,2018-03-22,50.64,10.61,30.11
81,2018-03-23,44.01,11.41,29.93
82,2018-03-24,69.68,11.15,26.96
83,2018-03-25,90.75,10.91,24.73
84,2018-03-26,68.09,12.12,25.25
85,2018-03-27,91.41,13.3,24.7
86,2018-03-28,57.44,7.21,25.13
87,2018-03-29,51.05,4.35,25.11
88,2018-03-30,67.85,1.62,25.2
89,2018-03-31,38.19,1.09,25.74
90,2018-01-04,64.11569642857143,12.101257449344459,46.47281364190011
91,2018-02-04,63.71,11.99,25.02
92,2018-03-04,75.46,9.21,25.24
93,2018-04-04,75.38,9.49,24.96
94,2018-05-04,64.19,8.34,24.96
95,2018-06-04,63.73,8.56,25.29
96,2018-07-04,38.55,10.12,25.36
97,2018-08-04,61.81,10.19,24.76
98,2018-09-04,49.36,9.26,39.5
99,2018-10-04,52.35,11.48,49.8
100,2018-11-04,39.63,10.45,49.68
101,2018-12-04,25.29,10.81,49.74
102,2018-04-13,32.41,10.92,49.64
103,2018-04-14,44.0,11.68,50.49
104,2018-04-15,49.79,11.38,50.71
105,2018-04-16,79.83,10.42,49.23
106,2018-04-17,72.04,11.07,50.06
107,2018-04-18,63.74,11.38,49.95
108,2018-04-19,87.58,13.48,49.66
109,2018-04-20,115.74,26.45,49.37
110,2018-04-21,92.79,16.4,50.18
111,2018-04-22,40.14,16.35,49.42
112,2018-04-23,49.15,13.88,41.48
