,date,PM2.5,SO2,NO2
0,2018-01-01,88.43,9.21,44.79
1,2018-02-01,114.44,9.36,63.88
2,2018-03-01,137.8,12.38,69.95
3,2018-04-01,115.22,10.09,42.02
4,2018-05-01,113.63,7.32,27.97
5,2018-06-01,119.78,7.71,18.42
6,2018-07-01,97.51,7.17,26.5
7,2018-08-01,63.07,6.34,34.05
8,2018-09-01,102.48,7.12,43.63
9,2018-10-01,92.05,9.4,29.06
10,2018-11-01,123.08,8.15,35.85
11,2018-12-01,175.47,7.08,39.19
12,2018-01-13,154.73,5.75,37.89
13,2018-01-14,137.43,7.3,33.4
14,2018-01-15,166.01,8.53,35.83
15,2018-01-16,145.87,6.08,32.11
16,2018-01-17,120.99,7.35,26.72
17,2018-01-18,108.57,6.35,23.86
18,2018-01-19,139.74,6.82,14.71
19,2018-01-20,103.32,11.41,6.6
20,2018-01-21,128.52,11.8,13.88
21,2018-01-22,121.5,7.34,31.36
22,2018-01-23,91.99,7.14,29.8
23,2018-01-24,167.74,4.91,28.92
24,2018-01-25,133.6,5.39,27.48
25,2018-01-26,140.74,7.09,31.55
26,2018-01-27,149.49,5.45,31.18
27,2018-01-28,136.01,7.19,31.92
28,2018-01-29,148.89,10.29,34.06
29,2018-01-30,151.2,7.69,33.52
30,2018-01-31,110.86,11.17,25.75
31,2018-01-02,142.14,7.59,32.95
32,2018-02-02,109.84,6.63,33.04
33,2018-03-02,103.07,6.99,21.16
34,2018-04-02,100.02,11.4,35.78
35,2018-05-02,100.12,8.82,41.36
36,2018-06-02,88.32,5.73,63.33
37,2018-07-02,90.51,7.63,100.27
38,2018-08-02,123.66,7.17,99.25
39,2018-09-02,118.71,4.81,111.33
40,2018-10-02,156.62,6.61,86.58
41,2018-11-02,99.11,8.53,56.43
42,2018-12-02,113.04,7.77,66.83
43,2018-02-13,100.02,7.59,77.59
44,2018-02-14,83.48,8.7,73.2
45,2018-02-15,97.2,8.14,82.79
46,2018-02-16,136.19,8.4,98.31
47,2018-02-17,130.08,8.23,99.17
48,2018-02-18,104.06,10.71,82.53
49,2018-02-19,126.78,8.05,80.98
50,2018-02-20,160.12,7.46,86.03
51,2018-02-21,143.79,7.68,74.79
52,2018-02-22,115.66,7.9,47.26
53,2018-02-23,109.98,9.71,44.97
54,2018-02-24,96.63,9.52,30.9
55,2018-02-25,79.34,9.32,35.26
56,2018-02-26,80.63,8.71,37.76
57,2018-02-27,122.03,6.53,67.58
58,2018-02-28,121.11,6.63,65.17
59,2018-01-03,127.46,7.53,73.36
60,2018-02-03,97.31,9.01,35.356
61,2018-03-03,86.02,9.0,14.7
62,2018-04-03,78.67,9.66,29.51
63,2018-05-03,67.87,6.68,33.08
64,2018-06-03,76.93,5.19,45.66
65,2018-07-03,89.88,5.17,53.75
66,2018-08-03,98.97,4.43,57.78
67,2018-09-03,106.56,5.2,60.11
68,2018-10-03,100.74,5.42,62.78
69,2018-11-03,98.08,4.68,46.92
70,2018-12-03,99.83,4.5,58.54
71,2018-03-13,99.38,4.76,43.04
72,2018-03-14,89.03,5.65,32.38
73,2018-03-15,93.78,5.33,37.07
74,2018-03-16,105.19,5.17,49.06
75,2018-03-17,111.41,5.32,48.19
76,2018-03-18,107.81,5.84,54.51
77,2018-03-19,105.33,5.26,59.43
78,2018-03-20,120.92,5.73,50.04
79,2018-03-21,145.71,6.14,31.1
80,2018-03-22,65.5,6.28,24.5
81,2018-03-23,76.66,5.43,39.03
82,2018-03-24,111.02,8.55,61.71
83,2018-03-25,95.28,6.9,45.98
84,2018-03-26,129.72,8.63,71.64
85,2018-03-27,122.33,7.21,63.15
86,2018-03-28,115.43,10.28,55.35
87,2018-03-29,118.66,6.96,39.18
88,2018-03-30,123.36,8.03,53.13
89,2018-03-31,118.08,5.17,31.74
90,2018-01-04,138.58,4.43,33.95
91,2018-02-04,103.56,5.2,34.33
92,2018-03-04,116.83,6.81,42.56
93,2018-04-04,124.86,4.92,40.77
94,2018-05-04,173.52,4.23,40.2
95,2018-06-04,138.85,6.57,42.55
96,2018-07-04,151.3,3.41,36.16
97,2018-08-04,110.34,4.64,33.72
98,2018-09-04,96.17,4.07,30.49
99,2018-10-04,62.51,3.88,20.05
100,2018-11-04,291.91,4.34,28.11
101,2018-12-04,108.93,8.1,23.37
102,2018-04-13,95.65,7.26,39.68
103,2018-04-14,99.51,7.64,35.79
104,2018-04-15,118.32,8.21,25.31
105,2018-04-16,112.5,7.52,20.95
106,2018-04-17,98.83,5.97,17.02
107,2018-04-18,116.7,6.28,45.78
108,2018-04-19,109.36,5.36,20.95
109,2018-04-20,156.96,5.78,9.14
110,2018-04-21,268.37,5.64,21.25
111,2018-04-22,100.22,4.67,27.09
112,2018-04-23,101.84,5.77,45.78
113,2018-04-24,125.31,5.62,57.77
114,2018-04-25,107.57,8.39,31.23
115,2018-04-26,109.39,7.02,27.78
116,2018-04-27,105.41,6.68,27.79
